frame,drop_id,cx,cy,area_px,percentage
135,1,744,88,9809,100.0
136,1,745,112,9863,100.55
137,1,745,135,9420,96.03
138,1,746,158,9452,96.36
139,1,746,182,9301,94.82
140,1,746,206,9414,95.97
141,1,746,230,9087,92.64
142,1,746,255,8860,90.33
143,1,745,279,8815,89.87
144,1,746,303,8803,89.74
145,1,746,327,8922,90.96
146,1,746,352,8817,89.89
147,1,746,376,8520,86.86
148,1,745,400,8453,86.18
149,1,745,427,9113,92.9
150,1,746,441,8147,83.06
151,1,747,452,8278,84.39
152,1,747,458,6615,67.44
153,1,747,461,6276,63.98
154,1,748,462,6970,71.06
155,1,748,461,7707,78.57
156,1,747,460,8123,82.81
157,1,745,459,8863,90.36
158,1,746,458,8279,84.4
159,1,747,455,9066,92.43
160,1,747,449,9281,94.62
161,1,746,440,10903,111.15
162,1,746,434,10520,107.25
163,1,745,423,12125,123.61
164,1,744,411,13214,134.71
165,1,743,398,13815,140.84
166,1,742,389,14433,147.14
167,1,743,383,15416,157.16
168,1,743,378,15917,162.27
169,1,743,370,16719,170.45
170,1,743,364,17331,176.68
171,1,744,352,17403,177.42
172,1,744,346,17879,182.27
173,1,743,339,16920,172.49
174,1,743,337,18278,186.34
175,1,743,331,17536,178.77
176,1,744,326,18034,183.85
177,1,744,319,17505,178.46
178,1,744,305,16621,169.45
179,1,744,296,17398,177.37
180,1,748,336,10893,111.05
180,2,735,174,4249,43.32
181,1,748,334,10097,102.94
181,2,735,167,4082,41.61
182,1,749,331,9054,92.3
