frame,drop_id,cx,cy,area_px,percentage
71,1,731,74,9402,100.0
72,1,731,97,9265,98.54
73,1,731,120,9436,100.36
74,1,731,143,8965,95.35
75,1,731,166,9389,99.86
76,1,731,190,9376,99.72
77,1,732,214,9010,95.83
78,1,732,237,9032,96.06
79,1,732,261,9014,95.87
80,1,732,285,9456,100.57
81,1,732,308,9683,102.99
82,1,733,333,9756,103.77
83,1,732,357,9426,100.26
84,1,732,381,9688,103.04
85,1,732,404,9544,101.51
86,1,732,435,11004,117.04
87,1,733,449,10468,111.34
88,1,733,457,9137,97.18
89,1,733,462,8890,94.55
90,1,734,464,8586,91.32
91,1,734,464,9423,100.22
92,1,734,464,10185,108.33
93,1,734,463,10531,112.01
94,1,735,462,10320,109.76
95,1,735,460,9874,105.02
96,1,734,453,10668,113.47
97,1,734,441,12243,130.22
98,1,733,428,13561,144.24
99,1,733,417,14395,153.11
100,1,732,405,14033,149.26
101,1,731,396,15981,169.97
102,1,731,384,17113,182.01
103,1,731,375,18018,191.64
104,1,731,369,18571,197.52
105,1,731,362,17723,188.5
106,1,731,353,18242,194.02
107,1,731,343,18608,197.92
108,1,729,363,15448,164.31
108,2,738,169,2805,29.83
109,1,729,362,15655,166.51
109,2,738,153,2720,28.93
110,1,728,351,14544,154.69
110,2,738,138,2732,29.06
111,1,728,339,13547,144.09
111,2,737,122,2750,29.25
112,1,728,332,13204,140.44
112,2,737,107,2918,31.04
113,1,728,327,12023,127.88
114,1,728,320,11789,125.39
115,1,728,315,11379,121.03
116,1,728,310,11650,123.91
117,1,728,304,11211,119.24
118,1,727,298,10774,114.59
119,1,727,290,9882,105.11
120,1,727,284,9221,98.07
121,1,726,277,8632,91.81
122,1,725,274,8721,92.76
123,1,725,268,8323,88.52
124,1,725,260,7388,78.58
125,1,724,252,6907,73.46
126,1,724,244,7165,76.21
127,1,724,237,7433,79.06
128,1,725,230,8511,90.52
129,1,725,224,9106,96.85
130,1,725,218,9513,101.18
131,1,724,213,10189,108.37
132,1,724,208,10696,113.76
133,1,724,204,11524,122.57
134,1,724,199,12277,130.58
135,1,725,193,12702,135.1
136,1,725,187,12472,132.65
137,1,725,181,11842,125.95
138,1,724,174,10801,114.88
139,1,724,168,9861,104.88
140,1,723,161,8878,94.43
141,1,722,155,8705,92.59
142,1,722,150,8290,88.17
143,1,722,148,7526,80.05
144,1,723,144,6857,72.93
145,1,724,139,7294,77.58
146,1,725,134,7413,78.84
147,1,725,129,7062,75.11
148,1,724,124,7299,77.63
149,1,722,118,8151,86.69
150,1,721,112,8277,88.03
151,1,720,107,9208,97.94
152,1,720,104,9849,104.75
153,1,720,101,10381,110.41
154,1,721,98,10880,115.72
155,1,721,96,11455,121.84
156,1,721,93,11541,122.75
157,1,720,88,11265,119.81
158,1,720,83,10791,114.77
159,1,720,78,10116,107.59
160,1,719,74,9684,103.0
161,1,718,70,8759,93.16
162,1,719,65,8246,87.7
163,1,719,61,7721,82.12
164,1,720,58,7391,78.61
165,1,720,56,7334,78.0
166,1,721,53,7550,80.3
167,1,721,49,7691,81.8
168,1,720,46,7581,80.63
169,1,717,42,7982,84.9
170,1,716,40,7935,84.4
171,1,716,40,7942,84.47
172,1,716,41,7950,84.56
173,1,716,42,7892,83.94
174,1,717,44,7804,83.0
175,1,716,45,7663,81.5
176,1,715,45,7473,79.48
177,1,714,44,7128,75.81
178,1,713,42,6396,68.03
179,1,712,39,5944,63.22
180,1,712,37,5686,60.48
181,1,712,34,5709,60.72
182,1,713,29,5374,57.16
183,1,714,25,5087,54.11
184,1,716,21,4633,49.28
185,1,719,20,4562,48.52
186,1,720,18,4168,44.33
187,1,721,17,3925,41.75
188,1,721,16,3693,39.28
189,1,721,15,3484,37.06
190,1,719,15,3377,35.92
191,1,718,15,3238,34.44
192,1,717,16,3316,35.27
193,1,716,18,3484,37.06
194,1,714,20,3623,38.53
195,1,711,22,3967,42.19
196,1,709,23,3753,39.92
197,1,708,23,3699,39.34
198,1,707,23,3437,36.56
199,1,705,21,3104,33.01
200,1,705,20,2961,31.49
201,1,705,18,2878,30.61
202,1,707,16,2718,28.91
203,1,710,14,2505,26.64
204,1,714,11,2083,22.15
205,1,721,9,1797,19.11
206,1,724,8,1647,17.52
207,1,724,8,1569,16.69
208,1,722,8,1582,16.83
209,1,720,7,1503,15.99
210,1,718,7,1463,15.56
211,1,715,8,1525,16.22
212,1,715,9,1665,17.71
213,1,714,11,1967,20.92
214,1,711,14,2455,26.11
215,1,709,16,2635,28.03
216,1,706,16,2563,27.26
217,1,704,17,2735,29.09
218,1,702,17,2554,27.16
219,1,701,17,2480,26.38
220,1,700,17,2524,26.85
221,1,701,16,2492,26.5
222,1,703,15,2601,27.66
223,1,707,14,2583,27.47
224,1,711,13,2427,25.81
225,1,715,11,2177,23.15
226,1,716,11,2250,23.93
227,1,716,11,2388,25.4
228,1,715,11,2560,27.23
229,1,714,12,2644,28.12
230,1,713,12,2738,29.12
231,1,713,13,2748,29.23
232,1,712,14,2857,30.39
233,1,710,18,3464,36.84
234,1,707,19,3595,38.24
235,1,705,22,3954,42.05
236,1,702,23,3940,41.91
237,1,701,25,4070,43.29
238,1,700,26,4170,44.35
239,1,699,27,4337,46.13
240,1,700,27,4500,47.86
241,1,701,27,4741,50.43
242,1,702,27,5088,54.12
243,1,704,27,5309,56.47
244,1,706,26,5492,58.41
245,1,708,26,5727,60.91
246,1,708,27,6125,65.15
247,1,707,28,6758,71.88
248,1,706,30,7269,77.31
249,1,705,32,7625,81.1
250,1,705,33,7692,81.81
251,1,705,34,7651,81.38
252,1,705,35,7522,80.0
253,1,704,38,7531,80.1
254,1,703,41,7644,81.3
255,1,702,44,7540,80.2
256,1,701,46,7632,81.17
257,1,701,49,7988,84.96
258,1,701,51,8008,85.17
259,1,701,53,8216,87.39
260,1,701,56,8648,91.98
261,1,701,58,8808,93.68
262,1,702,61,8929,94.97
263,1,702,63,8867,94.31
264,1,702,66,8836,93.98
265,1,702,70,8986,95.58
266,1,701,75,9423,100.22
267,1,700,79,9784,104.06
268,1,699,83,10095,107.37
269,1,699,87,9958,105.91
270,1,699,90,9738,103.57
271,1,700,94,9657,102.71
272,1,700,98,9130,97.11
273,1,701,102,8774,93.32
274,1,700,106,8633,91.82
275,1,700,111,8625,91.74
276,1,699,116,8685,92.37
277,1,698,120,8744,93.0
278,1,698,125,8830,93.92
279,1,698,131,8928,94.96
280,1,698,135,8939,95.08
281,1,698,140,8966,95.36
282,1,699,144,8904,94.7
283,1,699,148,8753,93.1
284,1,698,153,8734,92.9
285,1,697,159,9106,96.85
286,1,697,164,9521,101.27
287,1,696,170,10004,106.4
288,1,696,175,10338,109.96
289,1,696,180,10403,110.65
290,1,696,186,10157,108.03
291,1,697,191,9702,103.19
292,1,697,197,9213,97.99
293,1,697,202,8791,93.5
294,1,697,208,8529,90.71
295,1,696,213,8532,90.75
296,1,695,220,8552,90.96
297,1,695,226,8616,91.64
298,1,695,233,8740,92.96
299,1,695,239,8776,93.34
300,1,695,245,8835,93.97
301,1,695,251,8750,93.07
302,1,695,257,8649,91.99
303,1,695,263,8615,91.63
304,1,694,270,8865,94.29
305,1,694,276,9343,99.37
306,1,694,283,9863,104.9
307,1,693,289,10297,109.52
308,1,693,296,10556,112.27
309,1,693,303,10609,112.84
310,1,693,310,10351,110.09
311,1,693,317,9764,103.85
312,1,693,324,9232,98.19
313,1,693,331,8826,93.87
314,1,692,338,8273,87.99
315,1,692,345,8434,89.7
316,1,692,352,8475,90.14
317,1,691,361,8552,90.96
318,1,691,368,8616,91.64
319,1,691,376,8387,89.2
320,1,691,384,8317,88.46
321,1,691,391,8514,90.56
322,1,691,398,8528,90.7
323,1,690,406,8557,91.01
324,1,690,413,8938,95.06
325,1,690,420,9323,99.16
326,1,690,425,9403,100.01
327,1,690,429,9122,97.02
328,1,690,434,8932,95.0
329,1,690,438,8339,88.69
330,1,691,440,7855,83.55
331,1,690,442,7590,80.73
332,1,690,442,7695,81.84
333,1,689,440,7552,80.32
334,1,688,438,7533,80.12
335,1,687,436,7776,82.71
336,1,687,433,8111,86.27
337,1,687,429,8347,88.78
338,1,688,425,8760,93.17
339,1,687,420,9252,98.4
340,1,687,415,9415,100.14
341,1,687,410,9723,103.41
342,1,688,405,9877,105.05
343,1,687,401,10021,106.58
344,1,687,396,10143,107.88
345,1,686,390,10125,107.69
346,1,686,385,9804,104.28
347,1,685,380,9724,103.42
348,1,686,375,9567,101.75
349,1,688,370,9345,99.39
350,1,687,365,9316,99.09
351,1,686,360,9114,96.94
352,1,685,355,8933,95.01
353,1,685,349,8726,92.81
354,1,684,344,8925,94.93
355,1,684,341,8880,94.45
356,1,684,337,8840,94.02
357,1,684,333,9091,96.69
358,1,684,328,9397,99.95
359,1,684,322,9584,101.94
360,1,684,318,9846,104.72
361,1,685,313,10051,106.9
362,1,684,310,10111,107.54
363,1,684,307,10183,108.31
364,1,683,304,10285,109.39
365,1,682,301,10170,108.17
366,1,682,297,9838,104.64
367,1,683,293,9506,101.11
368,1,684,289,9303,98.95
369,1,684,285,9198,97.83
370,1,684,282,9060,96.36
371,1,683,277,8791,93.5
372,1,682,274,8591,91.37
373,1,681,271,8596,91.43
374,1,680,268,8728,92.83
375,1,681,266,8789,93.48
376,1,681,263,8963,95.33
377,1,680,260,9196,97.81
378,1,680,256,9455,100.56
379,1,681,252,9844,104.7
380,1,682,249,9981,106.16
381,1,681,246,10016,106.53
382,1,680,244,10194,108.42
383,1,680,243,10313,109.69
384,1,679,242,10278,109.32
385,1,679,240,9953,105.86
386,1,679,238,9633,102.46
387,1,680,235,9365,99.61
388,1,681,232,9110,96.89
389,1,681,229,8918,94.85
390,1,680,227,8758,93.15
391,1,679,225,8580,91.26
392,1,679,223,8424,89.6
393,1,678,222,8451,89.89
394,1,678,221,8622,91.7
395,1,677,220,8827,93.88
396,1,677,219,9088,96.66
397,1,678,216,9404,100.02
398,1,678,213,9725,103.44
399,1,678,211,9903,105.33
400,1,678,209,10044,106.83
401,1,677,208,10229,108.8
402,1,677,208,10390,110.51
403,1,676,208,10353,110.11
404,1,676,208,10086,107.28
405,1,676,208,9747,103.67
406,1,677,207,9447,100.48
407,1,677,205,9147,97.29
408,1,677,204,8876,94.41
409,1,677,202,8649,91.99
410,1,677,201,8536,90.79
411,1,676,201,8430,89.66
412,1,675,201,8344,88.75
413,1,675,201,8423,89.59
414,1,675,202,8667,92.18
415,1,675,202,8959,95.29
416,1,675,202,9315,99.07
417,1,675,201,9643,102.56
418,1,675,200,9883,105.12
419,1,674,199,10082,107.23
420,1,674,198,10317,109.73
421,1,673,199,10481,111.48
422,1,673,200,10436,111.0
423,1,673,201,10231,108.82
424,1,674,203,9892,105.21
425,1,674,204,9570,101.79
426,1,674,204,9247,98.35
427,1,674,204,8907,94.74
428,1,674,204,8662,92.13
429,1,673,204,8484,90.24
430,1,673,205,8395,89.29
431,1,672,205,8312,88.41
432,1,672,207,8359,88.91
433,1,672,209,8590,91.36
434,1,672,211,8873,94.37
435,1,672,213,9235,98.22
436,1,672,214,9568,101.77
437,1,672,214,9875,105.03
438,1,671,214,10165,108.12
439,1,671,215,10395,110.56
440,1,670,216,10565,112.37
441,1,670,218,10522,111.91
442,1,670,221,10307,109.63
443,1,671,224,10015,106.52
444,1,671,226,9672,102.87
445,1,671,228,9316,99.09
446,1,671,230,8957,95.27
447,1,670,231,8638,91.87
448,1,670,233,8458,89.96
449,1,669,234,8342,88.73
450,1,669,236,8278,88.05
451,1,669,239,8313,88.42
452,1,669,242,8526,90.68
453,1,669,246,8807,93.67
454,1,669,249,9149,97.31
455,1,669,252,9498,101.02
456,1,669,254,9833,104.58
457,1,669,255,10137,107.82
458,1,668,257,10385,110.46
459,1,667,260,10518,111.87
460,1,667,263,10505,111.73
461,1,667,266,10325,109.82
462,1,667,270,10061,107.01
463,1,668,274,9708,103.25
464,1,668,278,9345,99.39
465,1,668,282,8999,95.71
466,1,667,285,8680,92.32
467,1,667,287,8422,89.58
468,1,666,290,8276,88.02
469,1,666,293,8232,87.56
470,1,666,297,8311,88.4
471,1,666,301,8493,90.33
472,1,666,306,8794,93.53
473,1,666,311,9125,97.05
474,1,666,315,9454,100.55
475,1,666,319,9812,104.36
476,1,666,323,10172,108.19
477,1,665,326,10412,110.74
478,1,664,329,10547,112.18
479,1,664,334,10523,111.92
480,1,664,338,10405,110.67
481,1,664,343,10116,107.59
482,1,665,348,9794,104.17
483,1,665,354,9423,100.22
484,1,665,358,9052,96.28
485,1,665,363,8753,93.1
486,1,664,368,8482,90.21
487,1,663,372,8333,88.63
488,1,663,376,8283,88.1
489,1,663,381,8353,88.84
490,1,663,387,8557,91.01
491,1,663,392,8839,94.01
492,1,663,398,9162,97.45
493,1,663,404,9414,100.13
494,1,663,409,9767,103.88
495,1,663,413,9841,104.67
496,1,662,416,9890,105.19
497,1,661,420,9776,103.98
498,1,661,423,9520,101.26
499,1,661,427,9154,97.36
500,1,661,431,8715,92.69
501,1,661,434,8144,86.62
502,1,661,438,7655,81.42
503,1,661,440,7506,79.83
504,1,661,441,7209,76.68
505,1,661,440,7212,76.71
506,1,661,438,7479,79.55
507,1,660,436,7825,83.23
508,1,660,434,8067,85.8
509,1,660,432,8349,88.8
510,1,659,429,8528,90.7
511,1,658,425,8708,92.62
512,1,659,421,8940,95.09
513,1,659,417,9155,97.37
514,1,659,413,9512,101.17
515,1,658,409,9931,105.63
516,1,658,405,10289,109.43
517,1,658,401,10555,112.26
518,1,657,397,10531,112.01
519,1,657,394,10385,110.46
520,1,656,390,10277,109.31
521,1,657,387,9980,106.15
522,1,657,384,9699,103.16
523,1,657,382,9436,100.36
524,1,657,378,9276,98.66
525,1,656,375,8952,95.21
526,1,656,372,8606,91.53
527,1,656,369,8437,89.74
528,1,655,365,8458,89.96
529,1,655,362,8519,90.61
530,1,654,360,8754,93.11
531,1,654,358,9018,95.92
532,1,654,356,9255,98.44
533,1,654,353,9591,102.01
534,1,654,351,9967,106.01
535,1,654,348,10347,110.05
536,1,654,346,10550,112.21
537,1,653,343,10578,112.51
538,1,652,341,10476,111.42
539,1,652,339,10214,108.64
540,1,652,337,9939,105.71
541,1,652,336,9700,103.17
542,1,652,334,9488,100.91
543,1,652,332,9223,98.1
544,1,651,331,8966,95.36
545,1,651,329,8687,92.4
546,1,650,327,8485,90.25
547,1,650,325,8510,90.51
548,1,649,324,8568,91.13
549,1,649,323,8871,94.35
550,1,649,322,9044,96.19
551,1,649,320,9317,99.1
552,1,649,319,9636,102.49
553,1,649,319,9812,104.36
554,1,648,318,10067,107.07
555,1,648,316,10408,110.7
556,1,648,315,10432,110.96
557,1,647,314,10308,109.64
558,1,647,314,10082,107.23
559,1,647,313,9835,104.61
560,1,647,313,9597,102.07
561,1,647,312,9429,100.29
562,1,646,312,9206,97.92
563,1,646,312,8934,95.02
564,1,646,312,8675,92.27
565,1,645,311,8443,89.8
566,1,645,311,8546,90.9
567,1,645,311,8649,91.99
568,1,644,311,8838,94.0
569,1,644,311,9103,96.82
570,1,644,311,9301,98.93
571,1,644,312,9581,101.9
572,1,644,312,9911,105.41
573,1,644,313,10175,108.22
574,1,643,313,10327,109.84
575,1,643,313,10346,110.04
576,1,642,314,10242,108.93
577,1,642,315,10022,106.59
578,1,642,315,9819,104.44
579,1,642,316,9613,102.24
580,1,642,317,9334,99.28
581,1,641,318,9110,96.89
582,1,641,319,8948,95.17
583,1,641,320,8693,92.46
584,1,641,321,8577,91.23
585,1,640,322,8602,91.49
586,1,640,324,8707,92.61
587,1,640,325,8888,94.53
588,1,640,326,9101,96.8
589,1,639,328,9347,99.42
590,1,639,330,9505,101.1
591,1,639,332,9873,105.01
592,1,639,334,10104,107.47
593,1,638,335,10244,108.96
594,1,638,337,10137,107.82
595,1,637,339,10014,106.51
596,1,637,341,9958,105.91
597,1,637,343,9740,103.59
598,1,637,345,9545,101.52
599,1,637,348,9353,99.48
600,1,637,350,9184,97.68
601,1,637,353,8949,95.18
602,1,636,355,8739,92.95
603,1,636,357,8649,91.99
604,1,636,360,8681,92.33
605,1,635,362,8807,93.67
606,1,635,365,9006,95.79
607,1,635,368,9211,97.97
608,1,635,371,9419,100.18
609,1,635,374,9655,102.69
610,1,634,377,9885,105.14
611,1,634,380,10084,107.25
612,1,634,384,10199,108.48
613,1,633,387,10175,108.22
614,1,633,390,10045,106.84
615,1,633,393,9874,105.02
616,1,633,397,9671,102.86
617,1,633,400,9495,100.99
618,1,632,404,9232,98.19
619,1,631,408,9026,96.0
620,1,631,412,8805,93.65
621,1,631,416,8638,91.87
622,1,631,419,8654,92.04
623,1,630,423,8736,92.92
624,1,630,427,8786,93.45
625,1,629,429,8676,92.28
626,1,629,431,8613,91.61
627,1,629,433,8668,92.19
628,1,629,435,8613,91.61
629,1,629,435,8423,89.59
630,1,629,437,8259,87.84
631,1,628,438,7917,84.21
632,1,628,437,7926,84.3
633,1,627,435,8057,85.69
634,1,627,433,8393,89.27
635,1,627,430,8892,94.58
636,1,626,428,9144,97.26
637,1,626,426,9386,99.83
638,1,626,423,9427,100.27
639,1,626,421,9648,102.62
640,1,626,418,9660,102.74
641,1,626,415,9641,102.54
642,1,626,412,9585,101.95
643,1,625,410,9503,101.07
644,1,624,406,9127,97.08
645,1,624,403,8978,95.49
646,1,624,399,9058,96.34
647,1,624,396,9132,97.13
648,1,624,393,9035,96.1
649,1,624,390,9218,98.04
650,1,623,387,9128,97.09
651,1,624,385,9298,98.89
652,1,623,383,9446,100.47
653,1,623,381,9599,102.1
654,1,623,378,9704,103.21
655,1,622,375,9618,102.3
656,1,622,372,9701,103.18
657,1,621,370,9482,100.85
658,1,622,367,9562,101.7
659,1,621,365,9377,99.73
660,1,621,364,9328,99.21
661,1,621,362,9385,99.82
662,1,621,361,9277,98.67
663,1,621,359,9168,97.51
664,1,620,357,9036,96.11
665,1,619,355,8842,94.04
666,1,619,353,8896,94.62
667,1,620,351,9128,97.09
668,1,619,349,9018,95.92
669,1,620,348,9219,98.05
670,1,619,348,9088,96.66
671,1,618,347,9197,97.82
672,1,618,346,9495,100.99
673,1,618,345,9436,100.36
674,1,617,344,9425,100.24
675,1,617,342,9411,100.1
676,1,617,341,9506,101.11
677,1,617,340,9441,100.41
678,1,617,339,9377,99.73
679,1,616,339,9162,97.45
680,1,617,339,9224,98.11
681,1,616,338,8981,95.52
682,1,616,338,8998,95.7
683,1,616,338,8931,94.99
684,1,616,337,8939,95.08
685,1,615,336,8994,95.66
686,1,615,336,8862,94.26
687,1,615,336,9076,96.53
688,1,615,336,9164,97.47
689,1,614,336,9117,96.97
690,1,614,337,9367,99.63
691,1,614,337,9474,100.77
692,1,614,338,9511,101.16
693,1,613,338,9529,101.35
694,1,613,338,9462,100.64
695,1,613,338,9373,99.69
696,1,613,338,9334,99.28
697,1,612,339,9286,98.77
698,1,612,340,9210,97.96
699,1,612,341,9128,97.09
700,1,612,342,9044,96.19
701,1,611,343,8948,95.17
702,1,611,344,8888,94.53
703,1,611,345,8914,94.81
704,1,610,346,8938,95.06
705,1,610,346,8989,95.61
706,1,610,348,9066,96.43
707,1,610,349,9134,97.15
708,1,610,351,9268,98.57
709,1,610,352,9375,99.71
710,1,609,354,9441,100.41
711,1,609,356,9488,100.91
712,1,609,358,9485,100.88
713,1,608,359,9457,100.58
714,1,608,361,9210,97.96
715,1,608,362,9324,99.17
716,1,608,364,9279,98.69
717,1,607,366,9097,96.76
718,1,607,368,9141,97.22
719,1,607,371,9079,96.56
720,1,606,374,8838,94.0
721,1,606,376,8957,95.27
722,1,606,378,8999,95.71
723,1,606,381,9039,96.14
724,1,606,383,9139,97.2
725,1,605,385,9009,95.82
726,1,606,388,9230,98.17
727,1,605,391,9337,99.31
728,1,605,394,9417,100.16
729,1,605,397,9481,100.84
730,1,605,400,9561,101.69
731,1,604,404,9538,101.45
732,1,604,407,9531,101.37
733,1,604,410,9541,101.48
734,1,603,413,9473,100.76
735,1,603,416,9452,100.53
736,1,603,419,9347,99.42
737,1,603,422,9243,98.31
738,1,603,426,9110,96.89
739,1,602,429,8924,94.92
740,1,602,431,8776,93.34
741,1,602,433,8648,91.98
