frame,drop_id,cx,cy,area_px,percentage
217,1,708,88,9117,100.0
218,1,708,113,9001,98.73
219,1,709,138,8840,96.96
220,1,709,162,8663,95.02
221,1,709,188,8525,93.51
222,1,709,213,8322,91.28
223,1,708,238,8078,88.6
224,1,708,263,7760,85.12
225,1,708,288,7640,83.8
226,1,708,313,7530,82.59
227,1,708,340,7602,83.38
228,1,709,365,7559,82.91
229,1,708,390,7548,82.79
230,1,709,415,7872,86.34
231,1,709,436,7697,84.42
232,1,709,448,6916,75.86
233,1,708,458,7182,78.78
234,1,709,462,6378,69.96
235,1,708,463,7310,80.18
236,1,708,462,8525,93.51
237,1,707,461,8541,93.68
238,1,706,460,8629,94.65
239,1,706,459,8385,91.97
240,1,705,455,9382,102.91
241,1,704,444,11310,124.05
242,1,704,435,11872,130.22
243,1,704,424,11456,125.66
244,1,705,415,11842,129.89
245,1,706,404,11953,131.11
246,1,706,394,12133,133.08
247,1,706,383,12082,132.52
248,1,705,375,13039,143.02
249,1,705,364,11759,128.98
250,1,704,356,12787,140.25
251,1,704,348,13224,145.05
252,1,705,344,14258,156.39
253,1,705,340,13912,152.59
254,1,705,336,15043,165.0
255,1,704,324,15069,165.28
256,1,704,314,14033,153.92
257,1,704,301,12961,142.16
258,1,703,288,12043,132.09
259,1,703,277,11555,126.74
260,1,702,267,11144,122.23
261,1,700,258,10756,117.98
262,1,700,249,10380,113.85
263,1,700,242,10488,115.04
264,1,700,234,10675,117.09
265,1,708,275,5411,59.35
265,2,693,169,4131,45.31
266,1,708,267,5422,59.47
266,2,693,164,4019,44.08
267,1,708,256,6156,67.52
267,2,693,160,4080,44.75
268,1,702,212,11813,129.57
269,1,701,207,11242,123.31
270,1,700,201,11417,125.23
271,1,700,196,12054,132.21
272,1,701,190,12000,131.62
273,1,701,182,10759,118.01
274,1,701,173,10766,118.09
275,1,701,164,9708,106.48
276,1,699,156,9474,103.92
277,1,698,151,9150,100.36
278,1,699,147,9327,102.3
279,1,699,142,8640,94.77
280,1,698,134,8585,94.16
281,1,698,127,7349,80.61
282,1,698,121,7519,82.47
283,1,698,114,7507,82.34
284,1,698,107,7782,85.36
285,1,698,101,7875,86.38
286,1,697,95,9310,102.12
287,1,696,88,9533,104.56
288,1,695,83,10254,112.47
289,1,695,79,10135,111.17
290,1,696,74,9912,108.72
291,1,696,70,9460,103.76
292,1,697,67,9079,99.58
293,1,697,64,8578,94.09
294,1,698,60,7950,87.2
295,1,697,55,7916,86.83
296,1,697,50,7690,84.35
297,1,697,46,7561,82.93
298,1,697,41,7359,80.72
299,1,697,37,7180,78.75
300,1,697,34,6979,76.55
301,1,695,30,6477,71.04
302,1,691,25,5526,60.61
303,1,687,21,4863,53.34
304,1,685,18,4250,46.62
305,1,684,16,3895,42.72
306,1,682,14,3189,34.98
307,1,682,12,2553,28.0
308,1,684,10,2096,22.99
309,1,688,9,1739,19.07
310,1,692,10,1752,19.22
311,1,697,11,1622,17.79
312,1,700,11,1491,16.35
313,1,703,11,1415,15.52
314,1,706,9,1233,13.52
315,1,709,7,999,10.96
316,1,710,5,704,7.72
317,1,712,3,433,4.75
318,1,711,2,245,2.69
319,1,707,1,145,1.59
2261,1,760,233,11449,125.58
