frame,drop_id,cx,cy,area_px,percentage
103,1,564,76,5905,100.0
104,1,564,99,6296,106.62
105,1,564,123,5860,99.24
106,1,564,148,5577,94.45
107,1,563,173,5224,88.47
108,1,563,196,5187,87.84
109,1,563,220,5236,88.67
110,1,563,244,5075,85.94
111,1,562,269,5076,85.96
112,1,562,293,5168,87.52
113,1,562,317,5210,88.23
114,1,562,341,5236,88.67
115,1,561,365,5282,89.45
116,1,561,390,5620,95.17
117,1,561,417,6460,109.4
118,1,561,440,6803,115.21
119,1,562,459,7255,122.86
120,1,561,478,9778,165.59
121,1,565,484,10129,171.53
122,1,562,484,10776,182.49
123,1,562,483,11298,191.33
124,1,563,482,11180,189.33
125,1,562,481,11115,188.23
126,1,563,479,10714,181.44
127,1,561,477,11025,186.71
128,1,558,474,10394,176.02
129,1,559,465,12678,214.7
130,1,557,457,13287,225.01
131,1,559,451,13542,229.33
132,1,558,446,13038,220.8
133,1,556,439,12099,204.89
134,1,556,432,11142,188.69
135,1,558,421,10022,169.72
136,1,557,410,9711,164.45
137,1,555,380,7337,124.25
138,1,555,369,7341,124.32
139,1,554,362,7396,125.25
140,1,554,359,7850,132.94
141,1,553,346,6773,114.7
142,1,553,343,6878,116.48
143,1,555,340,7354,124.54
144,1,556,335,7718,130.7
145,1,556,328,7473,126.55
146,1,555,319,7123,120.63
147,1,554,310,6617,112.06
148,1,552,303,5852,99.1
149,1,552,295,5428,91.92
150,1,552,292,5338,90.4
151,1,552,287,5501,93.16
152,1,550,283,5436,92.06
153,1,549,276,5101,86.38
154,1,550,270,4702,79.63
155,1,551,262,4405,74.6
156,1,552,254,4308,72.96
157,1,550,248,4382,74.21
158,1,549,243,4455,75.44
159,1,550,235,4522,76.58
160,1,550,226,4901,83.0
161,1,550,220,5237,88.69
162,1,549,214,5897,99.86
163,1,548,210,6919,117.17
164,1,548,206,7488,126.81
165,1,548,202,7922,134.16
166,1,547,197,8033,136.04
167,1,547,193,7670,129.89
168,1,547,189,6946,117.63
169,1,548,183,6119,103.62
170,1,548,175,5367,90.89
171,1,547,171,5104,86.44
172,1,547,168,5056,85.62
173,1,545,163,5408,91.58
174,1,544,160,5457,92.41
175,1,544,157,5116,86.64
176,1,545,154,4605,77.98
177,1,546,147,4548,77.02
178,1,546,142,4552,77.09
179,1,545,137,4394,74.41
180,1,544,131,4341,73.51
181,1,543,125,4305,72.9
182,1,543,120,4366,73.94
183,1,544,115,4916,83.25
184,1,544,111,5489,92.96
185,1,544,106,6073,102.85
186,1,543,102,6758,114.45
187,1,543,100,7141,120.93
188,1,542,98,7306,123.73
189,1,542,96,7308,123.76
190,1,542,92,7106,120.34
191,1,542,88,6657,112.73
192,1,542,82,6183,104.71
193,1,541,78,6104,103.37
194,1,540,76,6236,105.61
195,1,539,76,5889,99.73
196,1,538,75,5414,91.69
197,1,538,73,4910,83.15
198,1,539,70,4729,80.08
199,1,540,67,4597,77.85
200,1,540,65,4457,75.48
201,1,539,62,4160,70.45
202,1,538,60,4078,69.06
203,1,537,56,4129,69.92
204,1,536,53,4673,79.14
205,1,536,49,4896,82.91
206,1,536,45,5059,85.67
207,1,536,43,5198,88.03
208,1,535,42,5455,92.38
209,1,535,41,5617,95.12
210,1,534,40,5695,96.44
211,1,533,38,5661,95.87
212,1,532,37,5324,90.16
213,1,532,35,5158,87.35
214,1,532,32,5024,85.08
215,1,532,32,5052,85.55
216,1,531,32,4986,84.44
217,1,531,33,4701,79.61
218,1,533,34,4407,74.63
219,1,535,33,3919,66.37
220,1,536,33,3485,59.02
221,1,537,32,3111,52.68
222,1,537,32,2868,48.57
223,1,537,31,2745,46.49
224,1,536,30,2768,46.88
225,1,534,29,2873,48.65
226,1,533,27,2909,49.26
227,1,531,25,3089,52.31
228,1,531,24,3197,54.14
229,1,530,22,3153,53.4
230,1,528,21,3255,55.12
231,1,525,21,3288,55.68
232,1,521,21,3272,55.41
233,1,518,21,3128,52.97
234,1,516,20,3015,51.06
235,1,516,20,2930,49.62
236,1,517,21,3049,51.63
237,1,521,22,3232,54.73
238,1,524,24,3454,58.49
239,1,526,24,3390,57.41
240,1,528,24,3241,54.89
241,1,529,23,3018,51.11
242,1,530,24,2749,46.55
243,1,532,24,2489,42.15
244,1,532,25,2396,40.58
245,1,532,25,2458,41.63
246,1,532,25,2511,42.52
247,1,531,26,2673,45.27
248,1,529,25,2895,49.03
249,1,527,24,3018,51.11
250,1,525,23,3180,53.85
251,1,524,23,3293,55.77
252,1,522,23,3301,55.9
253,1,520,24,3472,58.8
254,1,518,24,3660,61.98
255,1,516,26,3753,63.56
256,1,515,28,4095,69.35
257,1,517,29,4392,74.38
258,1,518,30,4398,74.48
259,1,520,30,4459,75.51
260,1,521,31,4528,76.68
261,1,522,32,4492,76.07
262,1,522,33,4516,76.48
263,1,522,34,4415,74.77
264,1,522,35,4269,72.29
265,1,522,37,4252,72.01
266,1,522,37,4296,72.75
267,1,521,38,4439,75.17
268,1,521,40,4510,76.38
269,1,521,43,4635,78.49
270,1,520,45,4647,78.7
271,1,519,47,4568,77.36
272,1,519,49,4655,78.83
273,1,519,50,4752,80.47
274,1,518,52,4959,83.98
275,1,518,54,5230,88.57
276,1,518,58,5482,92.84
277,1,518,61,5700,96.53
278,1,518,64,5897,99.86
279,1,518,67,5960,100.93
280,1,518,68,6054,102.52
281,1,518,70,5934,100.49
282,1,518,73,6033,102.17
283,1,518,75,5958,100.9
284,1,518,79,5749,97.36
285,1,517,82,5621,95.19
286,1,517,86,5459,92.45
287,1,517,90,5363,90.82
288,1,517,93,5268,89.21
289,1,516,97,5307,89.87
290,1,516,100,5313,89.97
291,1,515,104,5070,85.86
292,1,515,108,4937,83.61
293,1,515,113,4766,80.71
294,1,514,118,4856,82.24
295,1,515,121,5078,85.99
296,1,514,126,5285,89.5
297,1,515,130,5466,92.57
298,1,515,134,5773,97.76
299,1,515,138,5849,99.05
300,1,514,142,6037,102.24
301,1,513,146,6165,104.4
302,1,513,150,6012,101.81
303,1,513,155,5925,100.34
304,1,512,160,5575,94.41
305,1,512,166,5393,91.33
306,1,512,172,5128,86.84
307,1,511,177,5217,88.35
308,1,511,182,5343,90.48
309,1,510,185,5442,92.16
310,1,510,190,5631,95.36
311,1,509,195,5565,94.24
312,1,508,201,5540,93.82
313,1,508,206,5323,90.14
314,1,508,211,5212,88.26
315,1,509,217,5071,85.88
316,1,510,223,5141,87.06
317,1,509,229,5194,87.96
318,1,509,234,5225,88.48
319,1,509,240,5378,91.08
320,1,509,246,5580,94.5
321,1,508,250,5724,96.93
322,1,507,256,5864,99.31
323,1,507,261,5926,100.36
324,1,507,268,5839,98.88
325,1,507,275,5577,94.45
326,1,507,283,5516,93.41
327,1,507,290,5435,92.04
328,1,506,295,5535,93.73
329,1,506,303,5505,93.23
330,1,505,309,5655,95.77
331,1,504,315,5908,100.05
332,1,504,322,6078,102.93
333,1,503,328,6047,102.4
334,1,503,334,5954,100.83
335,1,503,341,5782,97.92
336,1,503,348,5608,94.97
337,1,504,356,5586,94.6
338,1,503,363,5400,91.45
339,1,503,370,5302,89.79
340,1,502,378,5393,91.33
341,1,502,385,5540,93.82
342,1,501,393,5914,100.15
343,1,500,401,6295,106.6
344,1,499,410,6845,115.92
345,1,500,419,7003,118.59
346,1,501,427,6724,113.87
347,1,501,436,6650,112.62
348,1,500,440,6516,110.35
349,1,500,445,6793,115.04
350,1,500,449,6548,110.89
351,1,499,453,6963,117.92
352,1,500,453,6836,115.77
353,1,499,454,6466,109.5
354,1,498,454,6303,106.74
355,1,499,451,6588,111.57
356,1,498,450,6861,116.19
357,1,497,446,7417,125.61
358,1,497,443,7774,131.65
359,1,495,440,7833,132.65
360,1,494,435,7829,132.58
361,1,494,431,7754,131.31
362,1,494,425,7550,127.86
363,1,494,421,7338,124.27
364,1,494,414,7214,122.17
365,1,495,409,7208,122.07
366,1,495,405,7251,122.79
367,1,496,402,7418,125.62
368,1,496,399,7774,131.65
369,1,494,392,6758,114.45
370,1,492,384,6460,109.4
371,1,492,377,5859,99.22
372,1,491,371,5449,92.28
373,1,491,366,5099,86.35
374,1,491,363,5080,86.03
375,1,492,359,4989,84.49
376,1,492,356,4885,82.73
377,1,491,352,5033,85.23
378,1,490,348,5432,91.99
379,1,489,345,5544,93.89
380,1,489,341,5565,94.24
381,1,489,336,5662,95.88
382,1,488,331,5714,96.77
383,1,488,327,5743,97.26
384,1,488,324,5796,98.15
385,1,487,320,5886,99.68
386,1,487,316,5994,101.51
387,1,488,314,6053,102.51
388,1,488,313,6220,105.33
389,1,489,311,6322,107.06
390,1,489,309,6317,106.98
391,1,489,306,6110,103.47
392,1,488,302,5644,95.58
393,1,486,298,5473,92.68
394,1,485,293,5237,88.69
395,1,485,290,5247,88.86
396,1,485,288,4894,82.88
397,1,485,286,4867,82.42
398,1,485,284,4994,84.57
399,1,484,281,5195,87.98
400,1,484,279,5205,88.15
401,1,483,277,5222,88.43
402,1,483,276,5224,88.47
403,1,482,273,5258,89.04
404,1,482,270,5342,90.47
405,1,482,267,5425,91.87
406,1,482,264,5648,95.65
407,1,481,261,5748,97.34
408,1,481,260,5791,98.07
409,1,481,260,5939,100.58
410,1,481,260,6035,102.2
411,1,482,259,6190,104.83
412,1,482,258,5995,101.52
413,1,482,256,5715,96.78
414,1,481,253,5384,91.18
415,1,480,251,5217,88.35
416,1,479,249,4990,84.5
417,1,479,247,4946,83.76
418,1,478,246,4772,80.81
419,1,479,246,4623,78.29
420,1,478,246,4764,80.68
421,1,477,245,4829,81.78
422,1,477,245,4909,83.13
423,1,476,245,4952,83.86
424,1,476,244,4964,84.06
425,1,476,243,5051,85.54
426,1,476,241,5033,85.23
427,1,476,240,5306,89.86
428,1,475,239,5533,93.7
429,1,474,239,5615,95.09
430,1,474,239,5845,98.98
431,1,474,240,5914,100.15
432,1,474,242,6131,103.83
433,1,474,242,5980,101.27
434,1,475,243,5779,97.87
435,1,474,242,5491,92.99
436,1,474,241,5260,89.08
437,1,474,241,4963,84.05
438,1,472,240,4719,79.92
439,1,472,240,4678,79.22
440,1,472,241,4593,77.78
441,1,471,242,4570,77.39
442,1,471,244,4670,79.09
443,1,471,245,4805,81.37
444,1,470,246,4808,81.42
445,1,470,247,4854,82.2
446,1,470,247,4936,83.59
447,1,470,248,5090,86.2
448,1,469,248,5244,88.81
449,1,468,249,5390,91.28
450,1,468,249,5637,95.46
451,1,467,251,5822,98.59
452,1,467,253,5985,101.35
453,1,467,255,6158,104.28
454,1,467,258,6123,103.69
455,1,467,260,5905,100.0
456,1,467,262,5543,93.87
457,1,467,263,5365,90.86
458,1,467,264,5206,88.16
459,1,466,265,4955,83.91
460,1,465,267,4785,81.03
461,1,465,268,4660,78.92
462,1,464,271,4659,78.9
463,1,464,274,4649,78.73
464,1,463,277,4708,79.73
465,1,463,280,4717,79.88
466,1,463,282,4844,82.03
467,1,463,284,5058,85.66
468,1,463,286,5275,89.33
469,1,462,288,5434,92.02
470,1,462,290,5781,97.9
471,1,461,292,6020,101.95
472,1,461,295,6032,102.15
473,1,460,299,6289,106.5
474,1,459,303,6482,109.77
475,1,459,307,6415,108.64
476,1,459,310,6259,105.99
477,1,459,313,6019,101.93
478,1,460,316,5640,95.51
479,1,459,319,5478,92.77
480,1,459,321,5242,88.77
481,1,459,324,5047,85.47
482,1,458,328,4909,83.13
483,1,457,331,4876,82.57
484,1,457,336,4833,81.85
485,1,456,339,4980,84.34
486,1,455,344,5000,84.67
487,1,455,348,5164,87.45
488,1,455,352,5402,91.48
489,1,455,356,5542,93.85
490,1,454,359,5714,96.77
491,1,454,363,5947,100.71
492,1,454,367,6141,104.0
493,1,453,371,6301,106.71
494,1,452,377,6526,110.52
495,1,452,382,6545,110.84
496,1,451,388,6695,113.38
497,1,451,394,6838,115.8
498,1,451,400,6698,113.43
499,1,451,406,6568,111.23
500,1,452,411,6614,112.01
501,1,451,417,6384,108.11
502,1,451,421,6456,109.33
503,1,450,424,6138,103.95
504,1,450,431,6372,107.91
505,1,450,437,6323,107.08
506,1,449,440,6318,106.99
507,1,448,443,6581,111.45
508,1,448,445,6608,111.91
509,1,446,448,6705,113.55
510,1,446,449,6861,116.19
511,1,445,451,6695,113.38
512,1,445,452,6745,114.23
513,1,445,452,6985,118.29
514,1,446,450,7417,125.61
515,1,445,447,7575,128.28
516,1,445,444,8096,137.1
517,1,445,442,8291,140.41
518,1,444,438,8367,141.69
519,1,445,433,8158,138.15
520,1,445,431,8143,137.9
521,1,444,426,7790,131.92
522,1,444,422,7413,125.54
523,1,444,417,6845,115.92
524,1,443,412,6730,113.97
525,1,443,407,6614,112.01
526,1,443,402,6193,104.88
527,1,442,397,5681,96.21
528,1,442,392,5653,95.73
529,1,441,388,5447,92.24
530,1,441,383,5468,92.6
531,1,441,379,5502,93.18
532,1,440,376,5425,91.87
533,1,440,373,5537,93.77
534,1,440,369,5767,97.66
535,1,439,366,5942,100.63
536,1,440,363,6046,102.39
537,1,439,359,6338,107.33
538,1,439,356,6373,107.93
539,1,438,352,6371,107.89
540,1,438,350,6357,107.65
541,1,438,347,6341,107.38
542,1,437,344,6195,104.91
543,1,437,342,6027,102.07
544,1,437,339,5702,96.56
545,1,437,336,5472,92.67
546,1,437,333,5269,89.23
547,1,437,330,5226,88.5
548,1,437,328,5100,86.37
549,1,437,326,4999,84.66
550,1,436,323,4983,84.39
551,1,435,321,5120,86.71
552,1,435,319,5086,86.13
553,1,435,318,5274,89.31
554,1,434,315,5557,94.11
555,1,433,314,5700,96.53
556,1,433,312,5793,98.1
557,1,433,310,5872,99.44
558,1,433,309,6010,101.78
559,1,432,307,6115,103.56
560,1,431,305,6247,105.79
561,1,431,303,6173,104.54
562,1,431,302,5992,101.47
563,1,430,301,5825,98.65
564,1,430,301,5710,96.7
565,1,431,299,5537,93.77
566,1,431,298,5246,88.84
567,1,431,296,5120,86.71
568,1,431,295,4978,84.3
569,1,431,294,4965,84.08
570,1,430,293,4885,82.73
571,1,430,292,4945,83.74
572,1,429,291,4970,84.17
573,1,429,290,5008,84.81
574,1,428,290,5132,86.91
575,1,428,290,5296,89.69
576,1,427,290,5426,91.89
577,1,427,289,5678,96.16
578,1,427,289,5905,100.0
579,1,427,289,6073,102.85
580,1,426,289,6041,102.3
581,1,426,288,6242,105.71
