frame,drop_id,cx,cy,area_px,percentage
478,1,548,78,5629,100.0
479,1,547,101,6303,111.97
480,1,548,125,5991,106.43
481,1,547,149,5866,104.21
482,1,547,174,5903,104.87
483,1,547,197,5857,104.05
484,1,546,221,5850,103.93
485,1,546,246,6036,107.23
486,1,546,270,6050,107.48
487,1,546,294,6140,109.08
488,1,545,318,6197,110.09
489,1,545,343,6145,109.17
490,1,545,365,6245,110.94
491,1,545,392,6501,115.49
492,1,544,422,7672,136.29
493,1,544,446,7934,140.95
494,1,544,461,7916,140.63
495,1,545,480,9933,176.46
496,1,543,485,10059,178.7
497,1,544,486,10161,180.51
498,1,541,486,9668,171.75
499,1,542,483,11133,197.78
500,1,542,481,11247,199.8
501,1,541,480,11050,196.3
502,1,543,480,9721,172.69
503,1,544,475,10020,178.01
504,1,540,461,11505,204.39
505,1,538,451,12093,214.83
506,1,539,439,13161,233.81
507,1,538,426,14122,250.88
508,1,536,415,14799,262.91
509,1,536,403,15080,267.9
510,1,535,388,15196,269.96
511,1,536,377,15915,282.73
512,1,537,364,14445,256.62
513,1,538,353,15166,269.43
514,1,539,340,15654,278.1
515,1,537,332,16455,292.33
516,1,536,328,15651,278.04
517,1,533,366,11713,208.08
517,2,550,108,1543,27.41
518,1,533,367,11914,211.65
518,2,551,88,1071,19.03
519,1,533,343,10325,183.43
519,2,551,68,1078,19.15
520,1,533,322,8716,154.84
521,1,532,314,8645,153.58
522,1,529,307,8703,154.61
523,1,529,301,8658,153.81
524,1,529,294,8515,151.27
525,1,529,286,8132,144.47
526,1,529,278,7935,140.97
527,1,527,270,7583,134.71
528,1,525,263,6854,121.76
529,1,524,257,6249,111.01
530,1,522,251,6185,109.88
531,1,522,246,5913,105.05
532,1,522,240,5587,99.25
533,1,522,231,5131,91.15
534,1,522,222,5076,90.18
535,1,522,215,5002,88.86
536,1,522,209,4875,86.61
537,1,522,202,5159,91.65
538,1,521,194,5494,97.6
539,1,520,188,5877,104.41
540,1,520,183,6335,112.54
541,1,519,178,6724,119.45
542,1,518,172,7255,128.89
543,1,518,165,7519,133.58
544,1,518,161,7727,137.27
545,1,517,155,8287,147.22
546,1,516,149,8259,146.72
547,1,516,141,8036,142.76
548,1,516,134,7820,138.92
549,1,515,129,7744,137.57
550,1,516,125,7167,127.32
551,1,515,118,6720,119.38
552,1,515,112,6175,109.7
553,1,513,105,5960,105.88
554,1,512,99,5497,97.66
555,1,510,95,5199,92.36
556,1,509,89,5003,88.88
557,1,510,82,5148,91.45
558,1,511,78,5388,95.72
559,1,511,73,5443,96.7
560,1,511,69,5496,97.64
561,1,510,64,5850,103.93
562,1,508,59,6070,107.83
563,1,507,58,6311,112.12
564,1,506,56,6063,107.71
565,1,505,55,5784,102.75
566,1,504,52,5459,96.98
567,1,502,51,5398,95.9
568,1,500,49,5242,93.12
569,1,499,47,4814,85.52
570,1,498,45,4440,78.88
571,1,498,42,4421,78.54
572,1,495,38,4306,76.5
573,1,494,34,4067,72.25
574,1,494,29,3680,65.38
575,1,494,24,3308,58.77
576,1,496,19,2608,46.33
577,1,500,14,1887,33.52
578,1,507,12,1404,24.94
579,1,511,10,1109,19.7
580,1,512,8,950,16.88
581,1,514,6,819,14.55
582,1,514,5,706,12.54
583,1,510,3,624,11.09
584,1,507,4,618,10.98
585,1,502,5,740,13.15
586,1,496,5,723,12.84
587,1,491,5,721,12.81
588,1,487,5,710,12.61
589,1,485,5,703,12.49
590,1,483,5,668,11.87
591,1,480,4,612,10.87
592,1,477,3,543,9.65
593,1,474,2,450,7.99
594,1,472,2,371,6.59
595,1,473,1,322,5.72
596,1,472,1,264,4.69
