frame,drop_id,cx,cy,area_px,percentage
77,1,794,71,6989,100.0
78,1,795,96,7080,101.3
79,1,796,121,6939,99.28
80,1,796,146,7157,102.4
81,1,797,171,7173,102.63
82,1,798,196,6931,99.17
83,1,798,221,7121,101.89
84,1,799,246,7113,101.77
85,1,799,272,7114,101.79
86,1,800,297,7186,102.82
87,1,800,323,7188,102.85
88,1,801,348,7192,102.9
89,1,801,374,7219,103.29
90,1,802,400,7097,101.55
91,1,802,425,7219,103.29
92,1,803,440,5934,84.9
93,1,803,448,3608,51.62
94,1,805,460,4743,67.86
95,1,804,461,5395,77.19
96,1,804,459,5807,83.09
97,1,804,458,5790,82.84
98,1,804,456,6163,88.18
99,1,838,447,3720,53.23
100,1,804,443,7997,114.42
101,1,822,441,5719,81.83
102,1,799,455,13920,199.17
103,1,809,416,6490,92.86
104,1,802,420,8469,121.18
105,1,800,391,4549,65.09
106,1,800,389,5002,71.57
107,1,801,408,8420,120.48
108,1,800,404,8248,118.01
109,1,799,402,8224,117.67
110,1,799,401,8581,122.78
111,1,799,400,8789,125.75
112,1,798,396,8494,121.53
113,1,798,390,8081,115.62
114,1,798,384,7549,108.01
115,1,798,379,7307,104.55
116,1,798,375,7239,103.58
117,1,797,373,7095,101.52
118,1,797,371,6975,99.8
119,1,797,370,6901,98.74
120,1,796,367,7021,100.46
121,1,796,365,7198,102.99
122,1,796,361,7483,107.07
123,1,796,358,7685,109.96
124,1,795,355,7778,111.29
125,1,795,353,7813,111.79
126,1,795,351,7855,112.39
127,1,795,350,7917,113.28
128,1,794,348,8004,114.52
129,1,794,346,7817,111.85
130,1,794,344,7647,109.41
131,1,794,342,7551,108.04
132,1,793,339,7402,105.91
133,1,793,337,7249,103.72
134,1,793,336,7067,101.12
135,1,793,334,7077,101.26
136,1,792,333,7086,101.39
137,1,792,332,7178,102.7
138,1,792,331,7212,103.19
139,1,792,329,7380,105.59
140,1,791,327,7558,108.14
141,1,791,326,7731,110.62
142,1,791,325,7908,113.15
143,1,791,324,7932,113.49
144,1,791,323,7944,113.66
145,1,790,323,7873,112.65
146,1,790,322,7765,111.1
147,1,790,321,7633,109.21
148,1,790,320,7502,107.34
149,1,789,320,7362,105.34
150,1,789,319,7275,104.09
151,1,789,319,7220,103.31
152,1,789,318,7222,103.33
153,1,788,318,7156,102.39
154,1,788,318,7247,103.69
155,1,788,318,7389,105.72
156,1,787,318,7527,107.7
157,1,787,318,7676,109.83
158,1,787,318,7782,111.35
159,1,787,318,7917,113.28
160,1,787,318,7950,113.75
161,1,786,318,7889,112.88
162,1,786,319,7826,111.98
163,1,786,319,7730,110.6
164,1,786,320,7600,108.74
165,1,785,320,7499,107.3
166,1,785,321,7401,105.89
167,1,785,321,7347,105.12
168,1,785,322,7326,104.82
169,1,785,323,7330,104.88
170,1,784,324,7381,105.61
171,1,784,325,7483,107.07
172,1,784,326,7580,108.46
173,1,784,327,7688,110.0
174,1,783,328,7787,111.42
175,1,783,330,7866,112.55
176,1,783,331,7915,113.25
177,1,783,332,7906,113.12
178,1,782,334,7875,112.68
179,1,782,335,7786,111.4
180,1,782,337,7715,110.39
181,1,782,339,7609,108.87
182,1,781,341,7560,108.17
183,1,781,343,7520,107.6
184,1,781,344,7497,107.27
185,1,781,346,7496,107.25
186,1,781,348,7511,107.47
187,1,780,351,7558,108.14
188,1,780,353,7629,109.16
189,1,780,355,7692,110.06
190,1,780,357,7766,111.12
191,1,779,360,7809,111.73
192,1,779,362,7847,112.28
193,1,779,365,7856,112.41
194,1,779,367,7803,111.65
195,1,778,370,7772,111.2
196,1,778,373,7746,110.83
197,1,778,376,7693,110.07
198,1,778,379,7637,109.27
199,1,777,382,7597,108.7
200,1,777,385,7570,108.31
201,1,777,388,7572,108.34
202,1,777,391,7598,108.71
203,1,776,394,7617,108.99
204,1,776,398,7631,109.19
205,1,776,401,7673,109.79
206,1,776,405,7690,110.03
207,1,775,408,7717,110.42
208,1,775,412,7736,110.69
209,1,775,415,7741,110.76
210,1,775,419,7732,110.63
211,1,774,423,7660,109.6
212,1,774,426,7548,108.0
213,1,774,429,7395,105.81
214,1,774,431,7212,103.19
215,1,773,434,7068,101.13
216,1,773,436,6911,98.88
217,1,773,438,6679,95.56
218,1,772,439,6331,90.59
219,1,772,440,6312,90.31
220,1,772,439,6369,91.13
221,1,772,437,6506,93.09
222,1,771,436,6745,96.51
223,1,771,434,7073,101.2
224,1,771,431,7088,101.42
225,1,771,429,7270,104.02
226,1,770,428,7513,107.5
227,1,770,426,7684,109.94
228,1,770,424,7816,111.83
229,1,770,423,7777,111.27
230,1,770,423,8058,115.3
231,1,770,422,8092,115.78
232,1,770,421,7961,113.91
233,1,770,421,7933,113.51
234,1,770,422,7974,114.09
235,1,770,423,7781,111.33
236,1,770,425,7847,112.28
237,1,770,426,7562,108.2
238,1,770,428,7384,105.65
239,1,770,430,7193,102.92
240,1,771,431,6991,100.03
241,1,771,433,6829,97.71
242,1,771,435,6689,95.71
243,1,771,436,6704,95.92
244,1,771,437,6472,92.6
245,1,771,437,6560,93.86
246,1,771,437,6591,94.31
247,1,771,436,6704,95.92
248,1,771,435,6859,98.14
249,1,771,433,6920,99.01
250,1,771,431,7059,101.0
251,1,771,430,7240,103.59
252,1,772,428,7508,107.43
253,1,772,427,7549,108.01
254,1,772,425,7600,108.74
255,1,772,425,7820,111.89
256,1,772,424,7896,112.98
257,1,772,423,7731,110.62
258,1,772,423,7770,111.17
259,1,772,423,7747,110.85
260,1,772,425,7897,112.99
261,1,772,426,7844,112.23
262,1,772,426,7561,108.18
263,1,772,427,7373,105.49
264,1,772,429,7278,104.14
265,1,772,431,7298,104.42
266,1,772,432,7014,100.36
267,1,772,433,6913,98.91
268,1,772,434,6744,96.49
269,1,772,435,6803,97.34
270,1,772,435,6667,95.39
271,1,772,436,6792,97.18
272,1,772,435,6688,95.69
273,1,772,435,6923,99.06
274,1,772,434,6950,99.44
275,1,772,432,7111,101.75
276,1,772,431,7251,103.75
277,1,771,430,7289,104.29
278,1,772,428,7342,105.05
279,1,771,427,7449,106.58
280,1,771,426,7601,108.76
281,1,771,425,7598,108.71
282,1,771,425,7700,110.17
283,1,771,426,7917,113.28
284,1,771,425,7667,109.7
285,1,771,425,7607,108.84
286,1,771,425,7532,107.77
287,1,771,427,7481,107.04
288,1,771,427,7308,104.56
289,1,771,428,7239,103.58
290,1,771,430,7135,102.09
291,1,771,431,7013,100.34
292,1,771,432,6902,98.76
293,1,771,434,6987,99.97
294,1,771,434,6936,99.24
295,1,771,434,6867,98.25
296,1,771,435,6870,98.3
297,1,771,434,6870,98.3
298,1,771,434,6965,99.66
299,1,771,434,7098,101.56
300,1,771,433,7164,102.5
301,1,771,432,7280,104.16
302,1,771,431,7386,105.68
303,1,771,429,7308,104.56
304,1,771,428,7432,106.34
305,1,771,428,7657,109.56
306,1,771,428,7794,111.52
307,1,771,427,7659,109.59
308,1,771,426,7645,109.39
309,1,771,426,7605,108.81
310,1,771,426,7618,109.0
311,1,771,427,7571,108.33
312,1,771,427,7446,106.54
313,1,771,428,7383,105.64
314,1,771,429,7318,104.71
315,1,771,430,7164,102.5
316,1,771,431,7056,100.96
317,1,771,431,6988,99.99
318,1,771,432,6878,98.41
319,1,772,433,6971,99.74
320,1,772,434,6986,99.96
321,1,772,433,6930,99.16
322,1,772,434,6979,99.86
323,1,772,433,6857,98.11
324,1,772,432,6939,99.28
325,1,772,432,7007,100.26
326,1,772,431,7115,101.8
327,1,772,430,7167,102.55
328,1,772,429,7264,103.93
329,1,772,429,7276,104.11
330,1,772,428,7463,106.78
331,1,772,427,7384,105.65
332,1,772,427,7420,106.17
333,1,772,426,7380,105.59
334,1,772,426,7377,105.55
335,1,772,427,7585,108.53
336,1,772,428,7577,108.41
337,1,772,428,7392,105.77
338,1,771,428,7321,104.75
339,1,771,429,7356,105.25
340,1,772,430,7321,104.75
341,1,771,430,7068,101.13
342,1,771,431,7015,100.37
343,1,771,431,6912,98.9
344,1,771,432,6923,99.06
345,1,771,433,6933,99.2
346,1,771,433,7056,100.96
347,1,771,433,7017,100.4
348,1,771,433,7071,101.17
349,1,771,432,7047,100.83
350,1,771,432,7219,103.29
351,1,771,431,7217,103.26
352,1,770,430,7147,102.26
353,1,771,430,7331,104.89
354,1,771,430,7418,106.14
355,1,770,429,7317,104.69
356,1,771,429,7428,106.28
357,1,771,429,7571,108.33
358,1,770,428,7405,105.95
359,1,771,428,7555,108.1
360,1,771,429,7581,108.47
361,1,771,429,7549,108.01
362,1,771,429,7382,105.62
363,1,771,430,7545,107.96
364,1,771,430,7449,106.58
365,1,771,430,7261,103.89
366,1,771,431,7336,104.96
367,1,771,431,7142,102.19
368,1,771,432,7103,101.63
369,1,771,432,7071,101.17
370,1,771,432,7051,100.89
371,1,771,432,7059,101.0
372,1,771,432,7041,100.74
373,1,771,432,7173,102.63
374,1,772,432,7228,103.42
375,1,771,431,7038,100.7
376,1,772,431,7136,102.1
377,1,772,430,7130,102.02
378,1,772,430,7171,102.6
379,1,772,430,7253,103.78
380,1,772,429,7241,103.61
381,1,772,429,7369,105.44
