frame,drop_id,cx,cy,area_px,percentage
304,1,365,76,10264,100.0
305,1,364,99,10259,99.95
306,1,363,124,10298,100.33
307,1,362,148,10456,101.87
308,1,361,173,10567,102.95
309,1,360,199,10843,105.64
310,1,359,224,11003,107.2
311,1,358,248,11198,109.1
312,1,358,272,11595,112.97
313,1,358,296,11592,112.94
314,1,357,320,11610,113.11
315,1,356,345,11484,111.89
316,1,355,369,10978,106.96
317,1,354,394,10900,106.2
318,1,353,417,10169,99.07
319,1,352,437,9437,91.94
320,1,349,439,4897,47.71
321,1,345,445,2576,25.1
322,1,351,458,6022,58.67
323,1,348,459,7226,70.4
324,1,346,456,6483,63.16
325,1,346,456,7603,74.07
326,1,346,456,7867,76.65
327,1,346,457,8420,82.03
328,1,346,469,13824,134.68
329,1,348,467,15110,147.21
330,1,347,459,16163,157.47
331,1,345,451,16942,165.06
332,1,344,442,17161,167.2
333,1,343,431,17194,167.52
334,1,342,420,17340,168.94
335,1,341,381,12817,124.87
336,1,341,401,17385,169.38
337,1,341,393,17667,172.13
338,1,341,370,15905,154.96
339,1,342,359,16364,159.43
340,1,342,354,17206,167.63
341,1,343,346,17535,170.84
342,1,343,339,17607,171.54
343,1,342,335,17848,173.89
344,1,342,332,18119,176.53
345,1,343,328,18059,175.95
346,1,344,323,17942,174.81
347,1,345,358,12737,124.09
347,2,341,172,4000,38.97
348,1,344,353,12053,117.43
348,2,341,163,3913,38.12
349,1,345,354,12283,119.67
349,2,341,155,3889,37.89
350,1,345,354,12816,124.86
350,2,341,147,3886,37.86
351,1,346,352,13007,126.72
351,2,341,138,3973,38.71
352,1,347,352,13245,129.04
352,2,341,130,4053,39.49
353,1,347,350,12792,124.63
353,2,340,122,4069,39.64
354,1,346,348,12273,119.57
354,2,340,114,4121,40.15
355,1,346,343,11297,110.06
355,2,340,106,4089,39.84
356,1,346,340,10148,98.87
356,2,340,98,4164,40.57
357,1,347,337,9028,87.96
357,2,340,90,4128,40.22
358,1,349,334,8320,81.06
358,2,339,82,4013,39.1
359,1,350,333,8017,78.11
359,2,339,74,3928,38.27
360,1,352,329,7612,74.16
360,2,339,66,3910,38.09
361,1,352,328,7664,74.67
361,2,339,58,3895,37.95
362,1,351,326,7967,77.62
362,2,339,51,3920,38.19
363,1,339,44,3943,38.42
364,1,339,36,3962,38.6
365,1,339,30,3753,36.56
366,1,339,25,3430,33.42
367,1,338,21,3027,29.49
368,1,337,17,2537,24.72
369,1,337,14,2066,20.13
370,1,337,10,1490,14.52
371,1,337,8,1010,9.84
372,1,338,5,555,5.41
373,1,338,2,219,2.13
374,1,339,1,87,0.85
563,1,324,2,279,2.72
564,1,325,7,806,7.85
565,1,324,9,1105,10.77
566,1,324,12,1533,14.94
567,1,324,15,1999,19.48
568,1,324,18,2450,23.87
569,1,324,22,3089,30.1
570,1,324,26,3311,32.26
571,1,324,31,3822,37.24
572,1,324,38,3554,34.63
573,1,324,46,3923,38.22
574,1,324,53,3945,38.44
575,1,324,60,3974,38.72
576,1,324,68,3943,38.42
577,1,324,75,3869,37.69
578,1,324,83,3817,37.19
579,1,323,91,3805,37.07
580,1,324,99,3796,36.98
581,1,323,107,3805,37.07
582,1,323,115,3757,36.6
583,1,323,123,3708,36.13
584,1,323,131,3708,36.13
585,1,323,139,3719,36.23
586,1,323,147,3725,36.29
587,1,323,156,3730,36.34
588,1,323,164,3719,36.23
589,1,323,173,3705,36.1
590,1,323,181,3685,35.9
591,1,323,190,3707,36.12
592,1,323,198,3697,36.02
593,1,323,207,3733,36.37
594,1,323,216,3767,36.7
595,1,323,225,3751,36.55
596,1,323,234,3753,36.56
597,1,323,243,3672,35.78
598,1,323,252,3669,35.75
599,1,323,261,3632,35.39
600,1,323,270,3665,35.71
601,1,323,280,3653,35.59
602,1,323,289,3636,35.42
603,1,323,298,3572,34.8
604,1,323,308,3658,35.64
605,1,323,318,3649,35.55
606,1,323,327,3652,35.58
607,1,323,337,3637,35.43
608,1,323,347,3609,35.16
609,1,323,356,3589,34.97
610,1,323,366,3656,35.62
611,1,324,377,3701,36.06
612,1,323,386,3638,35.44
613,1,323,396,3670,35.76
614,1,322,404,3544,34.53
615,1,320,414,3255,31.71
616,1,320,427,3225,31.42
617,1,309,431,2150,20.95
618,1,304,436,1469,14.31
619,1,310,447,1251,12.19
622,1,326,435,870,8.48
623,1,335,430,1930,18.8
624,1,338,421,2296,22.37
625,1,346,419,3703,36.08
626,1,347,416,4041,39.37
627,1,350,413,4526,44.1
628,1,350,404,3895,37.95
629,1,355,406,5078,49.47
630,1,370,410,7948,77.44
631,1,377,412,9258,90.2
632,1,380,413,10082,98.23
633,1,381,413,10588,103.16
634,1,381,414,10781,105.04
635,1,380,414,10967,106.85
636,1,380,415,11021,107.38
637,1,380,417,11074,107.89
638,1,380,418,10745,104.69
639,1,381,419,10828,105.49
640,1,382,420,10966,106.84
641,1,384,420,10615,103.42
642,1,386,420,10198,99.36
643,1,387,421,10130,98.69
644,1,387,424,9797,95.45
645,1,388,425,9381,91.4
646,1,387,427,9223,89.86
647,1,387,429,9219,89.82
648,1,386,432,9360,91.19
649,1,387,434,9146,89.11
650,1,387,435,9300,90.61
651,1,388,433,9135,89.0
652,1,390,431,8862,86.34
653,1,391,431,9133,88.98
654,1,392,430,9498,92.54
655,1,392,429,9621,93.74
656,1,392,430,10061,98.02
657,1,392,429,10055,97.96
658,1,391,429,10482,102.12
659,1,390,427,10502,102.32
660,1,388,426,10520,102.49
661,1,387,425,10830,105.51
662,1,387,423,10926,106.45
663,1,387,422,10772,104.95
664,1,387,420,10369,101.02
665,1,387,420,10377,101.1
666,1,387,419,9958,97.02
667,1,386,420,9654,94.06
668,1,386,420,9510,92.65
669,1,385,420,9187,89.51
670,1,383,421,9266,90.28
671,1,381,422,9583,93.37
672,1,380,423,9847,95.94
673,1,380,423,9921,96.66
674,1,379,424,9945,96.89
675,1,379,426,10063,98.04
676,1,379,428,10016,97.58
677,1,378,429,9832,95.79
678,1,378,430,9654,94.06
679,1,378,431,9531,92.86
680,1,377,432,9508,92.63
681,1,377,432,9458,92.15
682,1,376,432,9226,89.89
683,1,375,432,9190,89.54
684,1,374,431,9160,89.24
685,1,373,431,9056,88.23
686,1,373,430,8946,87.16
687,1,373,430,8922,86.93
688,1,373,429,9083,88.49
689,1,373,429,9328,90.88
690,1,373,428,9438,91.95
691,1,373,426,9705,94.55
692,1,372,425,9851,95.98
693,1,371,423,9821,95.68
694,1,371,422,10095,98.35
695,1,371,422,10225,99.62
696,1,371,421,10270,100.06
697,1,372,421,10453,101.84
698,1,373,421,10412,101.44
699,1,374,421,10374,101.07
700,1,375,423,10390,101.23
701,1,375,422,10095,98.35
702,1,375,424,9941,96.85
703,1,376,425,9721,94.71
704,1,376,426,9531,92.86
705,1,376,428,9469,92.25
706,1,377,429,9091,88.57
707,1,377,430,8828,86.01
708,1,378,432,8994,87.63
709,1,379,433,8955,87.25
710,1,381,432,8674,84.51
711,1,382,433,9014,87.82
712,1,383,432,8829,86.02
713,1,383,432,9056,88.23
714,1,384,431,9163,89.27
715,1,384,431,9530,92.85
716,1,384,431,9643,93.95
717,1,384,430,9878,96.24
718,1,384,428,9985,97.28
719,1,384,428,10279,100.15
720,1,384,428,10530,102.59
721,1,385,424,10164,99.03
722,1,386,423,10051,97.92
723,1,386,423,10147,98.86
724,1,386,423,9988,97.31
725,1,385,424,10386,101.19
726,1,385,423,10018,97.6
727,1,385,423,9771,95.2
728,1,384,424,9698,94.49
729,1,384,424,9490,92.46
730,1,383,425,9563,93.17
731,1,383,427,9600,93.53
732,1,383,427,9477,92.33
733,1,382,428,9457,92.14
734,1,381,429,9320,90.8
735,1,380,430,9459,92.16
736,1,380,430,9248,90.1
737,1,378,433,9564,93.18
738,1,378,433,9506,92.61
739,1,377,432,9230,89.93
740,1,377,433,9374,91.33
741,1,376,432,9154,89.19
742,1,376,432,9321,90.81
743,1,375,431,9349,91.09
744,1,375,430,9233,89.96
745,1,375,430,9415,91.73
746,1,374,428,9326,90.86
747,1,373,428,9495,92.51
748,1,373,427,9361,91.2
749,1,372,427,9597,93.5
750,1,372,425,9499,92.55
751,1,372,425,9681,94.32
752,1,371,424,9636,93.88
753,1,371,424,9749,94.98
754,1,372,424,9910,96.55
755,1,372,423,9739,94.89
756,1,372,424,9930,96.75
757,1,373,425,9843,95.9
758,1,373,425,9628,93.8
759,1,374,427,9688,94.39
760,1,374,427,9525,92.8
761,1,374,428,9376,91.35
762,1,375,429,9226,89.89
763,1,375,431,9312,90.72
764,1,375,431,8985,87.54
765,1,376,431,8847,86.19
766,1,377,434,9106,88.72
767,1,377,433,8741,85.16
768,1,378,433,8752,85.27
769,1,379,433,8952,87.22
770,1,380,432,8709,84.85
771,1,381,431,8971,87.4
772,1,380,432,9344,91.04
773,1,381,430,9260,90.22
774,1,381,430,9487,92.43
775,1,382,429,9694,94.45
776,1,383,427,9632,93.84
777,1,383,427,9884,96.3
778,1,383,427,10199,99.37
779,1,383,425,9888,96.34
780,1,383,426,10186,99.24
781,1,383,425,9873,96.19
782,1,384,424,9687,94.38
783,1,383,425,9688,94.39
784,1,383,426,9784,95.32
785,1,383,426,9492,92.48
786,1,383,427,9388,91.47
787,1,382,428,9254,90.16
788,1,382,429,9210,89.73
789,1,382,429,9062,88.29
790,1,381,430,9094,88.6
791,1,381,432,8991,87.6
792,1,380,432,8763,85.38
793,1,379,432,8677,84.54
794,1,378,433,8818,85.91
795,1,378,432,8742,85.17
796,1,377,433,9087,88.53
797,1,377,431,8859,86.31
798,1,376,431,8975,87.44
799,1,376,430,9216,89.79
800,1,376,430,9336,90.96
801,1,375,430,9505,92.61
802,1,375,428,9470,92.26
803,1,374,427,9425,91.83
804,1,374,426,9227,89.9
805,1,373,426,9515,92.7
806,1,373,426,9586,93.39
807,1,373,427,9704,94.54
808,1,372,426,9547,93.01
809,1,372,426,9476,92.32
810,1,372,425,9387,91.46
811,1,372,426,9374,91.33
812,1,372,427,9275,90.36
813,1,372,427,9188,89.52
814,1,373,428,9134,88.99
815,1,373,429,9148,89.13
816,1,373,430,9279,90.4
817,1,374,431,9227,89.9
818,1,374,431,8920,86.91
819,1,374,432,8923,86.93
820,1,374,433,8911,86.82
821,1,375,432,8785,85.59
822,1,375,433,8882,86.54
823,1,376,432,8784,85.58
824,1,376,433,8941,87.11
825,1,377,432,8964,87.33
826,1,377,431,9125,88.9
827,1,378,431,9362,91.21
828,1,378,429,9138,89.03
829,1,379,428,9067,88.34
830,1,379,427,9109,88.75
831,1,379,427,9314,90.74
832,1,380,427,9455,92.12
833,1,380,428,9735,94.85
834,1,380,426,9406,91.64
835,1,381,426,9454,92.11
836,1,381,427,9614,93.67
837,1,381,428,9726,94.76
838,1,381,427,9463,92.2
839,1,380,428,9570,93.24
840,1,380,428,9256,90.18
841,1,380,428,9174,89.38
842,1,380,429,9160,89.24
843,1,379,431,9265,90.27
844,1,379,431,9082,88.48
845,1,379,432,8861,86.33
846,1,378,433,8915,86.86
847,1,378,434,8973,87.42
848,1,378,433,8745,85.2
849,1,378,432,8623,84.01
850,1,377,433,8918,86.89
851,1,376,433,9019,87.87
852,1,376,432,9021,87.89
853,1,375,433,9504,92.6
854,1,375,431,9282,90.43
855,1,374,429,9120,88.85
856,1,374,429,9293,90.54
857,1,373,428,9315,90.75
858,1,373,428,9393,91.51
859,1,373,428,9514,92.69
860,1,373,427,9392,91.5
861,1,373,427,9410,91.68
862,1,372,427,9317,90.77
863,1,372,427,9312,90.72
864,1,372,428,9433,91.9
865,1,372,428,9153,89.18
866,1,372,428,8982,87.51
867,1,372,430,9106,88.72
868,1,372,430,8876,86.48
869,1,372,430,8715,84.91
870,1,372,432,8818,85.91
871,1,372,433,8763,85.38
872,1,372,433,8740,85.15
873,1,373,433,8631,84.09
874,1,372,433,8675,84.52
875,1,373,433,8601,83.8
876,1,373,434,8997,87.66
877,1,373,434,9021,87.89
878,1,373,432,8908,86.79
879,1,374,432,9137,89.02
880,1,374,430,8898,86.69
881,1,374,430,9141,89.06
882,1,375,429,9149,89.14
883,1,375,429,9236,89.98
884,1,375,430,9653,94.05
885,1,376,429,9447,92.04
886,1,376,428,9340,91.0
887,1,376,428,9216,89.79
888,1,376,429,9485,92.41
889,1,376,429,9362,91.21
890,1,376,431,9609,93.62
891,1,376,430,9329,90.89
892,1,377,431,9303,90.64
893,1,376,432,9328,90.88
894,1,376,432,9189,89.53
895,1,376,432,9036,88.04
896,1,376,433,8942,87.12
897,1,376,433,8887,86.58
898,1,376,434,8778,85.52
899,1,375,435,9123,88.88
900,1,375,434,8860,86.32
901,1,375,433,8722,84.98
902,1,375,433,8719,84.95
903,1,374,433,8891,86.62
904,1,374,432,8783,85.57
905,1,374,432,9143,89.08
906,1,373,431,9151,89.16
907,1,373,430,9136,89.01
908,1,373,430,9152,89.17
909,1,372,431,9525,92.8
910,1,372,429,9184,89.48
911,1,371,430,9452,92.09
912,1,371,429,9315,90.75
913,1,371,430,9355,91.14
914,1,371,429,9314,90.74
915,1,371,430,9193,89.57
916,1,371,428,8811,85.84
917,1,370,431,9248,90.1
918,1,370,431,9130,88.95
919,1,370,432,9139,89.04
920,1,371,432,8946,87.16
921,1,371,433,8899,86.7
922,1,371,434,8927,86.97
923,1,371,434,8888,86.59
924,1,371,433,8619,83.97
925,1,372,434,8770,85.44
926,1,372,434,8787,85.61
927,1,372,433,8792,85.66
928,1,372,433,8787,85.61
929,1,372,433,9033,88.01
930,1,373,432,9081,88.47
931,1,373,431,9073,88.4
932,1,373,431,9219,89.82
933,1,373,429,9015,87.83
934,1,373,431,9423,91.81
935,1,373,430,9437,91.94
936,1,374,431,9613,93.66
937,1,374,429,9274,90.35
938,1,374,431,9583,93.37
939,1,374,432,9641,93.93
940,1,374,431,9470,92.26
941,1,374,431,9319,90.79
942,1,375,432,9326,90.86
943,1,374,432,9204,89.67
944,1,374,433,9292,90.53
945,1,374,434,9163,89.27
946,1,375,434,9095,88.61
947,1,374,435,9173,89.37
948,1,374,436,9219,89.82
949,1,374,436,9181,89.45
950,1,373,436,9242,90.04
951,1,373,435,9057,88.24
952,1,373,436,9312,90.72
953,1,373,434,9217,89.8
954,1,372,433,9095,88.61
955,1,372,433,9173,89.37
956,1,372,433,9506,92.61
957,1,372,433,9495,92.51
958,1,372,433,9596,93.49
959,1,371,433,9712,94.62
960,1,371,432,9579,93.33
961,1,371,432,9691,94.42
962,1,370,432,9604,93.57
963,1,371,432,9596,93.49
964,1,370,432,9510,92.65
965,1,370,432,9492,92.48
966,1,370,432,9357,91.16
967,1,370,433,9285,90.46
968,1,370,434,9337,90.97
969,1,370,434,9360,91.19
970,1,370,433,8829,86.02
971,1,370,434,8832,86.05
972,1,370,435,9017,87.85
973,1,370,434,8729,85.04
974,1,370,435,8968,87.37
975,1,370,434,8746,85.21
976,1,370,435,9123,88.88
977,1,370,433,8737,85.12
978,1,371,434,9019,87.87
979,1,371,434,9218,89.81
980,1,371,434,9503,92.59
981,1,371,432,9115,88.81
982,1,371,433,9426,91.84
983,1,372,432,9312,90.72
984,1,372,432,9442,91.99
985,1,371,432,9514,92.69
986,1,372,432,9524,92.79
987,1,372,433,9629,93.81
988,1,372,432,9430,91.87
989,1,372,433,9523,92.78
990,1,372,433,9517,92.72
991,1,372,433,9354,91.13
992,1,373,433,9145,89.1
993,1,373,435,9403,91.61
994,1,373,434,9107,88.73
995,1,372,435,9187,89.51
996,1,373,436,9247,90.09
997,1,373,435,9047,88.14
998,1,372,436,9163,89.27
999,1,372,436,9254,90.16
