frame,drop_id,cx,cy,area_px,percentage
8512,1,878,84,13110,100.0
8516,1,882,178,12830,97.86
8520,1,885,273,12681,96.73
8524,1,888,369,12995,99.12
8528,1,896,431,8229,62.77
8532,1,903,437,8823,67.3
8536,1,900,431,10266,78.31
8540,1,899,396,13476,102.79
8544,1,900,369,15706,119.8
8548,1,902,348,17674,134.81
8552,1,907,331,18060,137.76
8556,1,910,311,16859,128.6
8560,1,912,292,15909,121.35
8564,1,914,274,13770,105.03
8568,1,916,258,10444,79.66
8572,1,920,241,10409,79.4
8576,1,923,227,13050,99.54
8580,1,926,212,15275,116.51
8584,1,929,200,16231,123.81
8588,1,932,190,15384,117.35
8592,1,935,180,14209,108.38
8596,1,937,169,11446,87.31
8600,1,940,161,10389,79.24
8604,1,942,157,11921,90.93
8608,1,945,149,13607,103.79
8612,1,948,143,15165,115.68
8616,1,951,141,14876,113.47
8620,1,954,141,13693,104.45
8624,1,957,141,12064,92.02
8628,1,959,140,11453,87.36
8632,1,962,142,12790,97.56
8636,1,964,145,13701,104.51
8640,1,967,147,14415,109.95
8644,1,970,152,13970,106.56
8648,1,973,159,13122,100.09
8652,1,975,167,12803,97.66
8656,1,977,175,13143,100.25
8660,1,981,184,13363,101.93
8664,1,983,195,13641,104.05
8668,1,985,206,13646,104.09
8672,1,989,219,13122,100.09
8676,1,991,234,13158,100.37
8680,1,993,248,13551,103.36
8684,1,995,265,13969,106.55
8688,1,998,282,13219,100.83
8692,1,1001,300,12893,98.34
8696,1,1003,320,12928,98.61
8700,1,1006,342,12869,98.16
8704,1,1009,364,13413,102.31
8708,1,1010,385,13764,104.99
8712,1,1012,406,13116,100.05
8716,1,1016,420,11420,87.11
8720,1,1018,422,9828,74.97
8724,1,1021,417,11637,88.76
8728,1,1023,406,13372,102.0
8732,1,1023,398,14544,110.94
8736,1,1023,390,15050,114.8
8740,1,1022,382,13983,106.66
8744,1,1021,381,13365,101.95
8748,1,1020,382,13115,100.04
8752,1,1018,387,13027,99.37
8756,1,1015,391,13327,101.66
8760,1,1014,399,13412,102.3
8764,1,1011,407,12572,95.9
8768,1,1009,413,12186,92.95
8772,1,1008,414,11866,90.51
8776,1,1006,411,11867,90.52
8780,1,1005,406,12448,94.95
8784,1,1004,400,13244,101.02
8788,1,1003,396,13423,102.39
8792,1,1002,396,13519,103.12
8796,1,1002,398,13134,100.18
8800,1,1003,401,12579,95.95
8804,1,1004,406,12317,93.95
8808,1,1006,410,11922,90.94
8812,1,1008,412,11757,89.68
8816,1,1010,411,12045,91.88
8820,1,1011,408,12459,95.03
8824,1,1013,404,12876,98.22
8828,1,1014,402,12969,98.92
8832,1,1016,401,13021,99.32
8836,1,1017,402,12935,98.67
8840,1,1018,404,12732,97.12
8844,1,1019,408,12497,95.32
8848,1,1020,410,12226,93.26
8852,1,1020,410,11721,89.41
8856,1,1020,410,12174,92.86
8860,1,1019,406,12079,92.14
8864,1,1017,405,12706,96.92
8868,1,1016,404,12879,98.24
8872,1,1015,404,12842,97.96
8876,1,1014,405,12376,94.4
8880,1,1013,407,12065,92.03
8884,1,1012,409,11875,90.58
8888,1,1011,409,11856,90.43
8892,1,1010,408,12020,91.69
8896,1,1010,407,12570,95.88
8900,1,1010,405,12633,96.36
