frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
42,falling,1,759,81,10971,100.0,sam2,,,
43,falling,1,760,104,10843,98.83,sam2,23.022,68990.746,1051.288
44,falling,1,761,127,10958,99.88,sam2,23.022,68990.746,1051.288
45,falling,1,761,151,11010,100.36,sam2,24.0,71922.396,1095.96
46,falling,1,762,174,10929,99.62,sam2,23.022,68990.746,1051.288
47,falling,1,762,199,10975,100.04,sam2,25.0,74919.162,1141.625
48,falling,1,762,223,10902,99.37,sam2,24.0,71922.396,1095.96
49,falling,1,763,246,10913,99.47,sam2,23.022,68990.746,1051.288
50,falling,1,763,270,10906,99.41,sam2,24.0,71922.396,1095.96
51,falling,1,764,293,10940,99.72,sam2,23.022,68990.746,1051.288
52,falling,1,764,318,11027,100.51,sam2,25.0,74919.162,1141.625
53,spreading,1,765,342,10996,100.23,sam2,24.021,71984.801,1096.911
54,spreading,1,766,364,10780,98.26,sam2,22.023,65996.936,1005.668
55,spreading,1,765,376,8889,81.02,sam2,12.042,36085.847,549.88
56,spreading,1,764,384,6665,60.75,sam2,8.062,24160.704,368.163
57,spreading,1,763,393,8030,73.19,sam2,9.055,27136.875,413.514
58,spreading,1,762,396,8378,76.36,sam2,3.162,9476.608,144.405
59,spreading,1,762,390,6661,60.71,sam2,6.0,17980.599,273.99
60,spreading,1,762,393,9035,82.35,sam2,3.0,8990.299,136.995
61,spreading,1,762,391,9553,87.08,sam2,2.0,5993.533,91.33
62,spreading,1,761,390,9464,86.26,sam2,1.414,4238.068,64.58
63,spreading,1,759,388,9621,87.69,sam2,2.828,8476.136,129.16
64,spreading,1,759,404,15670,142.83,sam2,16.0,47948.264,730.64
65,spreading,1,760,383,11787,107.44,sam2,21.024,63003.407,960.052
66,spreading,1,765,373,13561,123.61,sam2,11.18,33504.868,510.55
67,spreading,1,765,381,18854,171.85,sam2,8.0,23974.132,365.32
68,spreading,1,764,345,14378,131.05,sam2,36.014,107925.207,1644.575
69,spreading,1,763,337,15766,143.71,sam2,8.062,24160.704,368.163
70,spreading,1,765,326,15985,145.7,sam2,11.18,33504.868,510.55
71,spreading,1,765,318,16431,149.77,sam2,8.0,23974.132,365.32
72,spreading,1,764,311,16996,154.92,sam2,7.071,21190.339,322.9
73,spreading,1,763,303,17548,159.95,sam2,8.062,24160.704,368.163
74,spreading,1,762,297,18164,165.56,sam2,6.083,18228.619,277.769
75,rebounding,1,761,292,18439,168.07,sam2,5.099,15280.571,232.847
76,rebounding,1,760,286,18655,170.04,sam2,6.083,18228.619,277.769
77,rebounding,1,765,306,15896,144.89,sam2,20.616,61779.924,941.408
77,rebounding,2,731,130,2508,22.86,sam2,,,
78,rebounding,1,766,302,15309,139.54,sam2,4.123,12355.985,188.282
78,rebounding,2,730,118,2205,20.1,sam2,12.042,36085.847,549.88
79,rebounding,1,766,299,15546,141.7,sam2,3.0,8990.299,136.995
79,rebounding,2,728,107,1945,17.73,sam2,11.18,33504.868,510.55
80,rebounding,1,765,297,15688,143.0,sam2,2.236,6700.974,102.11
80,rebounding,2,730,87,621,5.66,sam2,20.1,60234.261,917.855
81,rebounding,1,763,292,15517,141.44,sam2,5.385,16138.081,245.914
82,rebounding,1,763,286,14781,134.73,sam2,6.0,17980.599,273.99
83,rebounding,1,763,278,13618,124.13,sam2,8.0,23974.132,365.32
84,rebounding,1,763,270,12857,117.19,sam2,8.0,23974.132,365.32
85,rebounding,1,764,264,12035,109.7,sam2,6.083,18228.619,277.769
86,rebounding,1,763,259,11421,104.1,sam2,5.099,15280.571,232.847
87,rebounding,1,762,253,11054,100.76,sam2,6.083,18228.619,277.769
88,rebounding,1,761,248,10480,95.52,sam2,5.099,15280.571,232.847
89,rebounding,1,759,242,10139,92.42,sam2,6.325,18953.215,288.811
90,rebounding,1,758,236,9809,89.41,sam2,6.083,18228.619,277.769
91,rebounding,1,756,229,9500,86.59,sam2,7.28,21816.789,332.446
92,rebounding,1,755,226,9273,84.52,sam2,3.162,9476.608,144.405
93,rebounding,1,756,222,9158,83.47,sam2,4.123,12355.985,188.282
94,rebounding,1,757,218,9098,82.93,sam2,4.123,12355.985,188.282
95,rebounding,1,757,213,9736,88.74,sam2,5.0,14983.832,228.325
96,rebounding,1,756,208,10533,96.01,sam2,5.099,15280.571,232.847
97,rebounding,1,755,205,11079,100.98,sam2,3.162,9476.608,144.405
98,rebounding,1,755,200,11772,107.3,sam2,5.0,14983.832,228.325
99,rebounding,1,754,194,12851,117.14,sam2,6.083,18228.619,277.769
100,rebounding,1,752,189,13462,122.71,sam2,5.385,16138.081,245.914
101,rebounding,1,751,186,13346,121.65,sam2,3.162,9476.608,144.405
102,rebounding,1,750,183,13083,119.25,sam2,3.162,9476.608,144.405
103,rebounding,1,750,178,13018,118.66,sam2,5.0,14983.832,228.325
104,rebounding,1,750,174,13079,119.21,sam2,4.0,11987.066,182.66
105,rebounding,1,749,169,12963,118.16,sam2,5.099,15280.571,232.847
106,rebounding,1,749,165,13157,119.93,sam2,4.0,11987.066,182.66
107,rebounding,1,749,161,13406,122.19,sam2,4.0,11987.066,182.66
108,rebounding,1,748,157,13282,121.06,sam2,4.123,12355.985,188.282
109,rebounding,1,747,155,12910,117.67,sam2,2.236,6700.974,102.11
110,rebounding,1,746,153,12454,113.52,sam2,2.236,6700.974,102.11
111,rebounding,1,744,151,11925,108.7,sam2,2.828,8476.136,129.16
112,rebounding,1,743,149,11458,104.44,sam2,2.236,6700.974,102.11
113,rebounding,1,742,146,11050,100.72,sam2,3.162,9476.608,144.405
114,rebounding,1,742,141,10109,92.14,sam2,5.0,14983.832,228.325
115,rebounding,1,742,136,9399,85.67,sam2,5.0,14983.832,228.325
116,rebounding,1,742,133,9299,84.76,sam2,3.0,8990.299,136.995
117,rebounding,1,742,131,9303,84.8,sam2,2.0,5993.533,91.33
118,rebounding,1,742,128,9104,82.98,sam2,3.0,8990.299,136.995
119,rebounding,1,741,125,9032,82.33,sam2,3.162,9476.608,144.405
120,rebounding,1,739,123,9473,86.35,sam2,2.828,8476.136,129.16
121,rebounding,1,737,122,10018,91.31,sam2,2.236,6700.974,102.11
122,rebounding,1,736,119,10686,97.4,sam2,3.162,9476.608,144.405
123,rebounding,1,736,117,11151,101.64,sam2,2.0,5993.533,91.33
124,rebounding,1,736,114,11622,105.93,sam2,3.0,8990.299,136.995
125,rebounding,1,736,110,12171,110.94,sam2,4.0,11987.066,182.66
126,rebounding,1,735,106,12753,116.24,sam2,4.123,12355.985,188.282
127,rebounding,1,735,104,13639,124.32,sam2,2.0,5993.533,91.33
128,rebounding,1,734,101,13978,127.41,sam2,3.162,9476.608,144.405
129,rebounding,1,733,98,13734,125.18,sam2,3.162,9476.608,144.405
130,rebounding,1,733,97,13354,121.72,sam2,1.0,2996.766,45.665
131,rebounding,1,732,96,13066,119.1,sam2,1.414,4238.068,64.58
132,rebounding,1,731,96,12914,117.71,sam2,1.0,2996.766,45.665
133,rebounding,1,729,95,12282,111.95,sam2,2.236,6700.974,102.11
134,rebounding,1,727,93,11530,105.1,sam2,2.828,8476.136,129.16
135,rebounding,1,727,91,10807,98.51,sam2,2.0,5993.533,91.33
136,rebounding,1,727,89,10233,93.27,sam2,2.0,5993.533,91.33
137,rebounding,1,727,88,9644,87.9,sam2,1.0,2996.766,45.665
138,rebounding,1,728,86,9352,85.24,sam2,2.236,6700.974,102.11
139,rebounding,1,728,85,9475,86.36,sam2,1.0,2996.766,45.665
140,rebounding,1,727,85,9705,88.46,sam2,1.0,2996.766,45.665
141,rebounding,1,725,83,9472,86.34,sam2,2.828,8476.136,129.16
142,rebounding,1,724,80,9228,84.11,sam2,3.162,9476.608,144.405
143,rebounding,1,722,79,9378,85.48,sam2,2.236,6700.974,102.11
144,rebounding,1,722,79,9974,90.91,sam2,0.0,0.0,0.0
145,rebounding,1,721,79,10745,97.94,sam2,1.0,2996.766,45.665
146,rebounding,1,720,79,11480,104.64,sam2,1.0,2996.766,45.665
147,rebounding,1,719,77,12094,110.24,sam2,2.236,6700.974,102.11
148,rebounding,1,719,76,12455,113.53,sam2,1.0,2996.766,45.665
149,rebounding,1,718,75,12739,116.12,sam2,1.414,4238.068,64.58
150,rebounding,1,718,74,12841,117.04,sam2,1.0,2996.766,45.665
151,rebounding,1,718,74,12756,116.27,sam2,0.0,0.0,0.0
152,rebounding,1,716,74,12669,115.48,sam2,2.0,5993.533,91.33
153,rebounding,1,715,73,12374,112.79,sam2,1.414,4238.068,64.58
154,rebounding,1,714,73,12149,110.74,sam2,1.0,2996.766,45.665
155,rebounding,1,713,72,11953,108.95,sam2,1.414,4238.068,64.58
156,rebounding,1,714,72,11762,107.21,sam2,1.0,2996.766,45.665
157,rebounding,1,714,72,11428,104.17,sam2,0.0,0.0,0.0
158,rebounding,1,714,72,11181,101.91,sam2,0.0,0.0,0.0
159,rebounding,1,713,74,11023,100.47,sam2,2.236,6700.974,102.11
160,rebounding,1,711,74,10677,97.32,sam2,2.0,5993.533,91.33
161,rebounding,1,711,74,10266,93.57,sam2,0.0,0.0,0.0
162,rebounding,1,710,72,10048,91.59,sam2,2.236,6700.974,102.11
163,rebounding,1,709,72,9977,90.94,sam2,1.0,2996.766,45.665
164,rebounding,1,707,72,9867,89.94,sam2,2.0,5993.533,91.33
165,rebounding,1,707,73,9832,89.62,sam2,1.0,2996.766,45.665
166,rebounding,1,707,74,10126,92.3,sam2,1.0,2996.766,45.665
167,rebounding,1,706,76,10411,94.9,sam2,2.236,6700.974,102.11
168,rebounding,1,705,78,10886,99.23,sam2,2.236,6700.974,102.11
169,rebounding,1,704,78,11456,104.42,sam2,1.0,2996.766,45.665
170,rebounding,1,703,79,11928,108.72,sam2,1.414,4238.068,64.58
171,rebounding,1,703,80,12104,110.33,sam2,1.0,2996.766,45.665
172,rebounding,1,702,80,12160,110.84,sam2,1.0,2996.766,45.665
173,rebounding,1,700,81,12118,110.45,sam2,2.236,6700.974,102.11
174,rebounding,1,699,82,12009,109.46,sam2,1.414,4238.068,64.58
175,rebounding,1,699,83,11863,108.13,sam2,1.0,2996.766,45.665
176,rebounding,1,700,84,11725,106.87,sam2,1.414,4238.068,64.58
177,rebounding,1,700,85,11723,106.85,sam2,1.0,2996.766,45.665
178,rebounding,1,700,87,11934,108.78,sam2,2.0,5993.533,91.33
179,rebounding,1,699,89,12188,111.09,sam2,2.236,6700.974,102.11
180,rebounding,1,698,91,12074,110.05,sam2,2.236,6700.974,102.11
181,rebounding,1,696,94,11543,105.21,sam2,3.606,10804.995,164.648
182,rebounding,1,695,94,10981,100.09,sam2,1.0,2996.766,45.665
183,rebounding,1,694,94,10479,95.52,sam2,1.0,2996.766,45.665
184,rebounding,1,694,95,10324,94.1,sam2,1.0,2996.766,45.665
185,rebounding,1,693,97,10024,91.37,sam2,2.236,6700.974,102.11
186,rebounding,1,692,99,10098,92.04,sam2,2.236,6700.974,102.11
187,rebounding,1,692,103,10083,91.91,sam2,4.0,11987.066,182.66
188,rebounding,1,692,107,9957,90.76,sam2,4.0,11987.066,182.66
189,rebounding,1,691,110,9889,90.14,sam2,3.162,9476.608,144.405
190,rebounding,1,690,112,10264,93.56,sam2,2.236,6700.974,102.11
191,rebounding,1,689,114,10773,98.2,sam2,2.236,6700.974,102.11
192,rebounding,1,687,116,11373,103.66,sam2,2.828,8476.136,129.16
193,rebounding,1,686,118,11645,106.14,sam2,2.236,6700.974,102.11
194,rebounding,1,685,120,11699,106.64,sam2,2.236,6700.974,102.11
195,rebounding,1,685,122,11595,105.69,sam2,2.0,5993.533,91.33
196,rebounding,1,685,124,11620,105.92,sam2,2.0,5993.533,91.33
197,rebounding,1,685,128,11824,107.78,sam2,4.0,11987.066,182.66
198,rebounding,1,685,131,12078,110.09,sam2,3.0,8990.299,136.995
199,rebounding,1,684,134,12283,111.96,sam2,3.162,9476.608,144.405
200,rebounding,1,683,138,12291,112.03,sam2,4.123,12355.985,188.282
201,rebounding,1,682,141,12148,110.73,sam2,3.162,9476.608,144.405
202,rebounding,1,681,144,11874,108.23,sam2,3.162,9476.608,144.405
203,rebounding,1,680,147,11495,104.78,sam2,3.162,9476.608,144.405
204,rebounding,1,680,149,11085,101.04,sam2,2.0,5993.533,91.33
205,rebounding,1,679,152,10641,96.99,sam2,3.162,9476.608,144.405
206,rebounding,1,679,155,10192,92.9,sam2,3.0,8990.299,136.995
207,rebounding,1,679,159,9978,90.95,sam2,4.0,11987.066,182.66
208,rebounding,1,678,164,9909,90.32,sam2,5.099,15280.571,232.847
209,rebounding,1,677,169,9908,90.31,sam2,5.099,15280.571,232.847
210,rebounding,1,676,174,9817,89.48,sam2,5.099,15280.571,232.847
211,rebounding,1,675,177,9778,89.13,sam2,3.162,9476.608,144.405
212,rebounding,1,674,180,9998,91.13,sam2,3.162,9476.608,144.405
213,rebounding,1,673,183,10426,95.03,sam2,3.162,9476.608,144.405
214,rebounding,1,672,186,10746,97.95,sam2,3.162,9476.608,144.405
215,rebounding,1,671,190,11101,101.18,sam2,4.123,12355.985,188.282
216,rebounding,1,671,194,11434,104.22,sam2,4.0,11987.066,182.66
217,rebounding,1,671,199,11847,107.98,sam2,5.0,14983.832,228.325
218,rebounding,1,671,203,12113,110.41,sam2,4.0,11987.066,182.66
219,rebounding,1,669,208,12405,113.07,sam2,5.385,16138.081,245.914
220,rebounding,1,668,213,12536,114.26,sam2,5.099,15280.571,232.847
221,rebounding,1,667,217,12544,114.34,sam2,4.123,12355.985,188.282
222,rebounding,1,667,222,12322,112.31,sam2,5.0,14983.832,228.325
223,rebounding,1,666,226,11989,109.28,sam2,4.123,12355.985,188.282
224,rebounding,1,665,230,11626,105.97,sam2,4.123,12355.985,188.282
225,rebounding,1,665,235,11247,102.52,sam2,5.0,14983.832,228.325
226,rebounding,1,665,240,10794,98.39,sam2,5.0,14983.832,228.325
227,rebounding,1,664,245,10294,93.83,sam2,5.099,15280.571,232.847
228,rebounding,1,663,250,9941,90.61,sam2,5.099,15280.571,232.847
229,rebounding,1,663,257,9916,90.38,sam2,7.0,20977.365,319.655
230,rebounding,1,662,263,10009,91.23,sam2,6.083,18228.619,277.769
231,rebounding,1,661,268,9987,91.03,sam2,5.099,15280.571,232.847
232,rebounding,1,659,273,9794,89.27,sam2,5.385,16138.081,245.914
233,rebounding,1,659,277,9602,87.52,sam2,4.0,11987.066,182.66
234,rebounding,1,658,281,9851,89.79,sam2,4.123,12355.985,188.282
235,rebounding,1,658,287,10255,93.47,sam2,6.0,17980.599,273.99
236,rebounding,1,658,292,10759,98.07,sam2,5.0,14983.832,228.325
237,rebounding,1,657,298,11269,102.72,sam2,6.083,18228.619,277.769
238,rebounding,1,656,304,11679,106.45,sam2,6.083,18228.619,277.769
239,rebounding,1,655,310,12032,109.67,sam2,6.083,18228.619,277.769
240,rebounding,1,654,316,12320,112.3,sam2,6.083,18228.619,277.769
241,rebounding,1,653,322,12518,114.1,sam2,6.083,18228.619,277.769
242,rebounding,1,652,328,12476,113.72,sam2,6.083,18228.619,277.769
243,rebounding,1,652,334,12327,112.36,sam2,6.0,17980.599,273.99
244,rebounding,1,651,340,12044,109.78,sam2,6.083,18228.619,277.769
245,rebounding,1,651,346,11716,106.79,sam2,6.0,17980.599,273.99
246,rebounding,1,650,352,11402,103.93,sam2,6.083,18228.619,277.769
247,rebounding,1,650,358,10826,98.68,sam2,6.0,17980.599,273.99
248,rebounding,1,649,362,10050,91.61,sam2,4.123,12355.985,188.282
249,rebounding,1,649,365,9161,83.5,sam2,3.0,8990.299,136.995
250,rebounding,1,653,366,7700,70.19,sam2,4.123,12355.985,188.282
251,rebounding,1,657,367,6751,61.53,sam2,4.123,12355.985,188.282
252,rebounding,1,661,367,5890,53.69,sam2,4.0,11987.066,182.66
253,rebounding,1,663,368,5447,49.65,sam2,2.236,6700.974,102.11
254,rebounding,1,644,373,7474,68.13,sam2,19.647,58877.12,897.175
255,rebounding,1,669,372,4003,36.49,sam2,25.02,74979.074,1142.538
256,rebounding,1,669,372,4146,37.79,sam2,0.0,0.0,0.0
257,rebounding,1,665,373,4955,45.16,sam2,4.123,12355.985,188.282
258,rebounding,1,641,370,8124,74.05,sam2,24.187,72482.112,1104.489
259,rebounding,1,641,367,8047,73.35,sam2,3.0,8990.299,136.995
260,rebounding,1,642,364,8474,77.24,sam2,3.162,9476.608,144.405
261,rebounding,1,642,358,9026,82.27,sam2,6.0,17980.599,273.99
262,rebounding,1,640,354,9613,87.62,sam2,4.472,13401.947,204.22
263,rebounding,1,639,350,10371,94.53,sam2,4.123,12355.985,188.282
264,rebounding,1,639,349,11464,104.49,sam2,1.0,2996.766,45.665
265,rebounding,1,639,348,12382,112.86,sam2,1.0,2996.766,45.665
266,rebounding,1,639,347,13207,120.38,sam2,1.0,2996.766,45.665
267,rebounding,1,639,346,13643,124.36,sam2,1.0,2996.766,45.665
268,rebounding,1,638,343,14042,127.99,sam2,3.162,9476.608,144.405
269,rebounding,1,637,339,13818,125.95,sam2,4.123,12355.985,188.282
270,rebounding,1,636,334,12837,117.01,sam2,5.099,15280.571,232.847
271,rebounding,1,636,330,11820,107.74,sam2,4.0,11987.066,182.66
272,rebounding,1,636,327,10839,98.8,sam2,3.0,8990.299,136.995
273,rebounding,1,636,325,10020,91.33,sam2,2.0,5993.533,91.33
274,rebounding,1,636,323,9659,88.04,sam2,2.0,5993.533,91.33
275,rebounding,1,636,321,9258,84.39,sam2,2.0,5993.533,91.33
276,rebounding,1,637,319,9045,82.44,sam2,2.236,6700.974,102.11
277,rebounding,1,636,318,9000,82.03,sam2,1.414,4238.068,64.58
278,rebounding,1,635,316,9072,82.69,sam2,2.236,6700.974,102.11
279,rebounding,1,634,314,8919,81.3,sam2,2.236,6700.974,102.11
280,rebounding,1,634,313,8786,80.08,sam2,1.0,2996.766,45.665
281,rebounding,1,634,310,8804,80.25,sam2,3.0,8990.299,136.995
282,rebounding,1,633,307,9158,83.47,sam2,3.162,9476.608,144.405
283,rebounding,1,633,303,9766,89.02,sam2,4.0,11987.066,182.66
284,rebounding,1,633,300,10729,97.79,sam2,3.0,8990.299,136.995
285,rebounding,1,633,299,11609,105.82,sam2,1.0,2996.766,45.665
286,rebounding,1,632,299,12267,111.81,sam2,1.0,2996.766,45.665
287,rebounding,1,632,298,12850,117.13,sam2,1.0,2996.766,45.665
288,rebounding,1,631,298,13370,121.87,sam2,1.0,2996.766,45.665
289,rebounding,1,629,297,13686,124.75,sam2,2.236,6700.974,102.11
290,rebounding,1,629,295,13555,123.55,sam2,2.0,5993.533,91.33
291,rebounding,1,629,293,12941,117.96,sam2,2.0,5993.533,91.33
292,rebounding,1,629,291,11875,108.24,sam2,2.0,5993.533,91.33
293,rebounding,1,630,289,10738,97.88,sam2,2.236,6700.974,102.11
294,rebounding,1,629,287,9985,91.01,sam2,2.236,6700.974,102.11
295,rebounding,1,629,286,9465,86.27,sam2,1.0,2996.766,45.665
296,rebounding,1,628,287,9051,82.5,sam2,1.414,4238.068,64.58
297,rebounding,1,628,287,8759,79.84,sam2,0.0,0.0,0.0
298,rebounding,1,627,287,8645,78.8,sam2,1.0,2996.766,45.665
299,rebounding,1,626,287,8594,78.33,sam2,1.0,2996.766,45.665
300,rebounding,1,625,287,8516,77.62,sam2,1.0,2996.766,45.665
301,rebounding,1,625,287,8444,76.97,sam2,0.0,0.0,0.0
302,rebounding,1,625,286,8509,77.56,sam2,1.0,2996.766,45.665
303,rebounding,1,625,283,8922,81.32,sam2,3.0,8990.299,136.995
304,rebounding,1,626,282,9684,88.27,sam2,1.414,4238.068,64.58
305,rebounding,1,626,280,10649,97.06,sam2,2.0,5993.533,91.33
306,rebounding,1,626,280,11451,104.38,sam2,0.0,0.0,0.0
307,rebounding,1,625,281,12174,110.97,sam2,1.414,4238.068,64.58
308,rebounding,1,623,282,12809,116.75,sam2,2.236,6700.974,102.11
309,rebounding,1,622,283,13328,121.48,sam2,1.414,4238.068,64.58
310,rebounding,1,621,283,13565,123.64,sam2,1.0,2996.766,45.665
311,rebounding,1,621,284,13412,122.25,sam2,1.0,2996.766,45.665
312,rebounding,1,621,284,12737,116.1,sam2,0.0,0.0,0.0
313,rebounding,1,622,283,11784,107.41,sam2,1.414,4238.068,64.58
314,rebounding,1,623,283,10729,97.79,sam2,1.0,2996.766,45.665
