frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
42,falling,1,759,81,10929,100.0,sam2,,,
43,falling,1,760,104,10807,98.88,sam2,23.022,68990.746,1051.288
44,falling,1,761,127,10937,100.07,sam2,23.022,68990.746,1051.288
45,falling,1,761,151,10986,100.52,sam2,24.0,71922.396,1095.96
46,falling,1,761,174,10913,99.85,sam2,23.0,68925.629,1050.295
47,falling,1,762,199,10911,99.84,sam2,25.02,74979.074,1142.538
48,falling,1,762,223,10862,99.39,sam2,24.0,71922.396,1095.96
49,falling,1,763,246,10854,99.31,sam2,23.022,68990.746,1051.288
50,falling,1,763,270,10871,99.47,sam2,24.0,71922.396,1095.96
51,falling,1,764,293,10899,99.73,sam2,23.022,68990.746,1051.288
52,falling,1,764,318,11014,100.78,sam2,25.0,74919.162,1141.625
53,spreading,1,765,343,11371,104.04,sam2,25.02,74979.074,1142.538
54,spreading,1,765,365,10938,100.08,sam2,22.0,65928.863,1004.63
55,spreading,1,764,371,7790,71.28,sam2,6.083,18228.619,277.769
56,spreading,1,764,383,6555,59.98,sam2,12.0,35961.198,547.98
57,spreading,1,762,393,7967,72.9,sam2,10.198,30561.142,465.694
58,spreading,1,761,396,8269,75.66,sam2,3.162,9476.608,144.405
59,spreading,1,761,390,6755,61.81,sam2,6.0,17980.599,273.99
60,spreading,1,762,391,8373,76.61,sam2,1.414,4238.068,64.58
61,spreading,1,761,391,9411,86.11,sam2,1.0,2996.766,45.665
62,spreading,1,760,389,9173,83.93,sam2,2.236,6700.974,102.11
63,spreading,1,758,387,9522,87.13,sam2,2.828,8476.136,129.16
64,spreading,1,757,386,9566,87.53,sam2,1.414,4238.068,64.58
65,spreading,1,760,379,11014,100.78,sam2,7.616,22822.694,347.774
66,spreading,1,764,371,13126,120.1,sam2,8.944,26803.894,408.44
67,spreading,1,765,380,18755,171.61,sam2,9.055,27136.875,413.514
68,spreading,1,764,346,14576,133.37,sam2,34.015,101934.121,1553.282
69,spreading,1,763,336,15588,142.63,sam2,10.05,30117.13,458.928
70,spreading,1,765,326,16049,146.85,sam2,10.198,30561.142,465.694
71,spreading,1,765,318,16551,151.44,sam2,8.0,23974.132,365.32
72,spreading,1,764,311,16952,155.11,sam2,7.071,21190.339,322.9
73,spreading,1,763,303,17519,160.3,sam2,8.062,24160.704,368.163
74,spreading,1,762,297,18221,166.72,sam2,6.083,18228.619,277.769
75,rebounding,1,761,292,18439,168.72,sam2,5.099,15280.571,232.847
76,rebounding,1,761,286,18706,171.16,sam2,6.0,17980.599,273.99
77,rebounding,1,765,306,15873,145.24,sam2,20.396,61122.283,931.387
77,rebounding,2,731,130,2488,22.77,sam2,,,
78,rebounding,1,766,302,15322,140.2,sam2,4.123,12355.985,188.282
78,rebounding,2,730,118,2191,20.05,sam2,12.042,36085.847,549.88
79,rebounding,1,766,299,15549,142.27,sam2,3.0,8990.299,136.995
79,rebounding,2,728,107,1950,17.84,sam2,11.18,33504.868,510.55
80,rebounding,1,764,298,16205,148.28,sam2,2.236,6700.974,102.11
80,rebounding,2,725,98,2536,23.2,sam2,9.487,28429.823,433.216
81,rebounding,1,763,292,15526,142.06,sam2,6.083,18228.619,277.769
82,rebounding,1,763,286,14822,135.62,sam2,6.0,17980.599,273.99
83,rebounding,1,763,278,13660,124.99,sam2,8.0,23974.132,365.32
84,rebounding,1,763,270,12881,117.86,sam2,8.0,23974.132,365.32
85,rebounding,1,764,264,12052,110.28,sam2,6.083,18228.619,277.769
86,rebounding,1,763,259,11441,104.68,sam2,5.099,15280.571,232.847
87,rebounding,1,762,253,11008,100.72,sam2,6.083,18228.619,277.769
88,rebounding,1,761,248,10434,95.47,sam2,5.099,15280.571,232.847
