frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
253,falling,1,741,78,9614,100.0,sam2,,,
254,falling,1,742,102,9531,99.14,sam2,24.021,71984.801,1096.911
255,falling,1,742,124,9837,102.32,sam2,22.0,65928.863,1004.63
256,falling,1,742,148,9985,103.86,sam2,24.0,71922.396,1095.96
257,falling,1,742,171,9927,103.26,sam2,23.0,68925.629,1050.295
258,falling,1,742,196,9935,103.34,sam2,25.0,74919.162,1141.625
259,falling,1,742,221,10004,104.06,sam2,25.0,74919.162,1141.625
260,falling,1,742,244,9987,103.88,sam2,23.0,68925.629,1050.295
261,falling,1,742,268,10036,104.39,sam2,24.0,71922.396,1095.96
262,falling,1,742,292,10148,105.55,sam2,24.0,71922.396,1095.96
263,falling,1,742,317,10160,105.68,sam2,25.0,74919.162,1141.625
264,falling,1,742,342,10215,106.25,sam2,25.0,74919.162,1141.625
265,falling,1,742,365,10263,106.75,sam2,23.0,68925.629,1050.295
266,falling,1,742,390,10584,110.09,sam2,25.0,74919.162,1141.625
267,spreading,1,742,415,10541,109.64,sam2,25.0,74919.162,1141.625
268,spreading,1,742,433,9791,101.84,sam2,18.0,53941.797,821.97
269,spreading,1,742,463,13526,140.69,sam2,30.0,89902.995,1369.95
270,spreading,1,742,470,13633,141.8,sam2,7.0,20977.365,319.655
271,spreading,1,741,473,13137,136.64,sam2,3.162,9476.608,144.405
272,spreading,1,740,474,13789,143.43,sam2,1.414,4238.068,64.58
273,spreading,1,741,475,14446,150.26,sam2,1.414,4238.068,64.58
274,spreading,1,740,474,14670,152.59,sam2,1.414,4238.068,64.58
275,spreading,1,740,474,14587,151.73,sam2,0.0,0.0,0.0
276,spreading,1,738,473,14079,146.44,sam2,2.236,6700.974,102.11
277,spreading,1,738,471,13089,136.15,sam2,2.0,5993.533,91.33
278,spreading,1,740,465,13676,142.25,sam2,6.325,18953.215,288.811
279,spreading,1,740,456,14128,146.95,sam2,9.0,26970.898,410.985
280,spreading,1,740,445,15321,159.36,sam2,11.0,32964.431,502.315
281,spreading,1,740,433,16771,174.44,sam2,12.0,35961.198,547.98
282,spreading,1,739,422,18081,188.07,sam2,11.045,33100.368,504.387
283,spreading,1,739,411,19151,199.2,sam2,11.0,32964.431,502.315
284,spreading,1,738,400,20054,208.59,sam2,11.045,33100.368,504.387
285,spreading,1,738,392,19721,205.13,sam2,8.0,23974.132,365.32
286,spreading,1,738,382,19515,202.99,sam2,10.0,29967.665,456.65
287,spreading,1,739,371,20012,208.15,sam2,11.045,33100.368,504.387
288,spreading,1,739,362,20259,210.72,sam2,9.0,26970.898,410.985
289,spreading,1,738,352,21340,221.97,sam2,10.05,30117.13,458.928
290,spreading,1,741,389,18285,190.19,sam2,37.121,111244.235,1695.15
290,spreading,2,723,131,3387,35.23,sam2,,,
291,spreading,1,741,393,17559,182.64,sam2,4.0,11987.066,182.66
291,spreading,2,720,102,1827,19.0,sam2,29.155,87370.006,1331.352
292,spreading,1,742,386,18682,194.32,sam2,7.071,21190.339,322.9
292,spreading,2,719,81,2873,29.88,sam2,21.024,63003.407,960.052
293,spreading,1,742,383,19132,199.0,sam2,3.0,8990.299,136.995
293,spreading,2,718,60,2915,30.32,sam2,21.024,63003.407,960.052
294,spreading,1,742,381,19215,199.86,sam2,2.0,5993.533,91.33
294,spreading,2,717,39,2814,29.27,sam2,21.024,63003.407,960.052
295,spreading,1,742,423,14887,154.85,sam2,42.0,125864.193,1917.931
295,spreading,2,738,224,3360,34.95,sam2,186.188,557962.19,8502.281
295,spreading,3,716,21,2186,22.74,sam2,,,
296,spreading,1,743,423,15019,156.22,sam2,1.0,2996.766,45.665
296,spreading,2,738,215,2890,30.06,sam2,9.0,26970.898,410.985
296,spreading,3,712,7,690,7.18,sam2,14.56,43633.579,664.893
297,spreading,1,742,423,14746,153.38,sam2,1.0,2996.766,45.665
297,spreading,2,738,206,2456,25.55,sam2,9.0,26970.898,410.985
298,spreading,1,742,422,14018,145.81,sam2,1.0,2996.766,45.665
298,spreading,2,739,199,2233,23.23,sam2,7.071,21190.339,322.9
299,spreading,1,742,421,13401,139.39,sam2,1.0,2996.766,45.665
299,spreading,2,739,193,2211,23.0,sam2,6.0,17980.599,273.99
300,spreading,1,742,420,12803,133.17,sam2,1.0,2996.766,45.665
300,spreading,2,740,186,2535,26.37,sam2,7.071,21190.339,322.9
301,spreading,1,743,417,12162,126.5,sam2,3.162,9476.608,144.405
301,spreading,2,741,180,2625,27.3,sam2,6.083,18228.619,277.769
302,spreading,1,743,416,11617,120.83,sam2,1.0,2996.766,45.665
302,spreading,2,741,174,2734,28.44,sam2,6.0,17980.599,273.99
303,spreading,1,742,400,9133,95.0,sam2,16.031,48041.822,732.066
303,spreading,2,741,167,2636,27.42,sam2,7.0,20977.365,319.655
304,spreading,1,742,401,9090,94.55,sam2,1.0,2996.766,45.665
304,spreading,2,741,162,2479,25.79,sam2,5.0,14983.832,228.325
305,spreading,1,742,402,8885,92.42,sam2,1.0,2996.766,45.665
305,spreading,2,742,157,2174,22.61,sam2,5.099,15280.571,232.847
306,spreading,1,743,403,8843,91.98,sam2,1.414,4238.068,64.58
307,spreading,1,742,408,9221,95.91,sam2,5.099,15280.571,232.847
308,spreading,1,741,409,9094,94.59,sam2,1.414,4238.068,64.58
309,spreading,1,741,410,8980,93.41,sam2,1.0,2996.766,45.665
310,spreading,1,740,411,8878,92.34,sam2,1.414,4238.068,64.58
311,spreading,1,740,413,9279,96.52,sam2,2.0,5993.533,91.33
312,spreading,1,740,417,9603,99.89,sam2,4.0,11987.066,182.66
313,spreading,1,740,420,9923,103.21,sam2,3.0,8990.299,136.995
314,spreading,1,740,422,10097,105.02,sam2,2.0,5993.533,91.33
315,spreading,1,739,425,10089,104.94,sam2,3.162,9476.608,144.405
316,spreading,1,740,428,9844,102.39,sam2,3.162,9476.608,144.405
317,spreading,1,740,430,9374,97.5,sam2,2.0,5993.533,91.33
318,spreading,1,739,432,9241,96.12,sam2,2.236,6700.974,102.11
319,spreading,1,739,435,8726,90.76,sam2,3.0,8990.299,136.995
320,spreading,1,740,437,8519,88.61,sam2,2.236,6700.974,102.11
321,spreading,1,740,438,8305,86.38,sam2,1.0,2996.766,45.665
322,spreading,1,740,440,8030,83.52,sam2,2.0,5993.533,91.33
323,spreading,1,740,441,7830,81.44,sam2,1.0,2996.766,45.665
324,spreading,1,740,441,7766,80.78,sam2,0.0,0.0,0.0
325,spreading,1,739,441,7929,82.47,sam2,1.0,2996.766,45.665
326,spreading,1,739,440,8085,84.1,sam2,1.0,2996.766,45.665
327,spreading,1,739,438,8034,83.57,sam2,2.0,5993.533,91.33
328,spreading,1,740,436,8191,85.2,sam2,2.236,6700.974,102.11
329,spreading,1,740,434,8305,86.38,sam2,2.0,5993.533,91.33
330,spreading,1,740,433,8423,87.61,sam2,1.0,2996.766,45.665
331,spreading,1,739,431,8800,91.53,sam2,2.236,6700.974,102.11
332,spreading,1,739,430,9238,96.09,sam2,1.0,2996.766,45.665
333,spreading,1,739,428,9586,99.71,sam2,2.0,5993.533,91.33
334,spreading,1,739,426,9901,102.99,sam2,2.0,5993.533,91.33
335,spreading,1,738,424,10188,105.97,sam2,2.236,6700.974,102.11
336,spreading,1,738,422,10550,109.74,sam2,2.0,5993.533,91.33
337,spreading,1,738,421,10655,110.83,sam2,1.0,2996.766,45.665
338,spreading,1,739,419,10677,111.06,sam2,2.236,6700.974,102.11
339,spreading,1,738,419,10647,110.74,sam2,1.0,2996.766,45.665
340,spreading,1,739,420,10523,109.45,sam2,1.414,4238.068,64.58
341,spreading,1,739,420,10238,106.49,sam2,0.0,0.0,0.0
342,spreading,1,739,421,10044,104.47,sam2,1.0,2996.766,45.665
343,spreading,1,740,423,9916,103.14,sam2,2.236,6700.974,102.11
344,spreading,1,740,424,9644,100.31,sam2,1.0,2996.766,45.665
345,spreading,1,740,425,9420,97.98,sam2,1.0,2996.766,45.665
346,spreading,1,741,425,8975,93.35,sam2,1.0,2996.766,45.665
347,spreading,1,741,426,8916,92.74,sam2,1.0,2996.766,45.665
348,spreading,1,740,428,8959,93.19,sam2,2.236,6700.974,102.11
349,spreading,1,740,429,8910,92.68,sam2,1.0,2996.766,45.665
350,spreading,1,740,431,9054,94.18,sam2,2.0,5993.533,91.33
351,spreading,1,740,433,8940,92.99,sam2,2.0,5993.533,91.33
352,spreading,1,740,435,8835,91.9,sam2,2.0,5993.533,91.33
353,spreading,1,740,437,8858,92.14,sam2,2.0,5993.533,91.33
354,spreading,1,741,438,8878,92.34,sam2,1.414,4238.068,64.58
355,spreading,1,741,439,8706,90.56,sam2,1.0,2996.766,45.665
356,spreading,1,741,440,8633,89.8,sam2,1.0,2996.766,45.665
357,spreading,1,741,439,8599,89.44,sam2,1.0,2996.766,45.665
358,spreading,1,741,438,8744,90.95,sam2,1.0,2996.766,45.665
359,spreading,1,742,438,8824,91.78,sam2,1.0,2996.766,45.665
360,spreading,1,742,437,8672,90.2,sam2,1.0,2996.766,45.665
361,spreading,1,742,436,8677,90.25,sam2,1.0,2996.766,45.665
362,spreading,1,742,435,8723,90.73,sam2,1.0,2996.766,45.665
363,spreading,1,742,433,9015,93.77,sam2,2.0,5993.533,91.33
364,spreading,1,743,432,9095,94.6,sam2,1.414,4238.068,64.58
365,spreading,1,743,431,9029,93.92,sam2,1.0,2996.766,45.665
366,spreading,1,743,429,9037,94.0,sam2,2.0,5993.533,91.33
