frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
937,falling,1,797,83,12101,100.0,sam2,,,
938,falling,1,798,106,11942,98.69,sam2,23.022,68990.746,1051.288
939,falling,1,798,129,12189,100.73,sam2,23.0,68925.629,1050.295
940,falling,1,799,152,12111,100.08,sam2,23.022,68990.746,1051.288
941,falling,1,799,176,11432,94.47,sam2,24.0,71922.396,1095.96
942,falling,1,799,200,11956,98.8,sam2,24.0,71922.396,1095.96
943,falling,1,799,224,11920,98.5,sam2,24.0,71922.396,1095.96
944,falling,1,799,247,11880,98.17,sam2,23.0,68925.629,1050.295
945,falling,1,799,271,11831,97.77,sam2,24.0,71922.396,1095.96
946,falling,1,799,295,11906,98.39,sam2,24.0,71922.396,1095.96
947,falling,1,799,319,12018,99.31,sam2,24.0,71922.396,1095.96
948,falling,1,799,343,12073,99.77,sam2,24.0,71922.396,1095.96
949,falling,1,799,368,12260,101.31,sam2,25.0,74919.162,1141.625
950,falling,1,799,393,12713,105.06,sam2,25.0,74919.162,1141.625
951,falling,1,799,414,12180,100.65,sam2,21.0,62932.096,958.965
952,spreading,1,799,451,17284,142.83,sam2,37.0,110880.36,1689.605
953,spreading,1,799,461,17129,141.55,sam2,10.0,29967.665,456.65
954,spreading,1,799,466,16612,137.28,sam2,5.0,14983.832,228.325
955,spreading,1,799,469,15790,130.49,sam2,3.0,8990.299,136.995
956,spreading,1,799,469,14493,119.77,sam2,0.0,0.0,0.0
957,spreading,1,798,470,13635,112.68,sam2,1.414,4238.068,64.58
958,spreading,1,800,470,14270,117.92,sam2,2.0,5993.533,91.33
959,spreading,1,799,470,14756,121.94,sam2,1.0,2996.766,45.665
960,spreading,1,799,470,16052,132.65,sam2,0.0,0.0,0.0
961,spreading,1,799,471,16352,135.13,sam2,1.0,2996.766,45.665
962,spreading,1,799,471,16628,137.41,sam2,0.0,0.0,0.0
963,spreading,1,799,471,15665,129.45,sam2,0.0,0.0,0.0
964,spreading,1,799,471,15331,126.69,sam2,0.0,0.0,0.0
965,spreading,1,799,471,15108,124.85,sam2,0.0,0.0,0.0
966,spreading,1,798,471,14842,122.65,sam2,1.0,2996.766,45.665
967,spreading,1,798,471,14265,117.88,sam2,0.0,0.0,0.0
968,spreading,1,797,471,13792,113.97,sam2,1.0,2996.766,45.665
969,spreading,1,797,471,13160,108.75,sam2,0.0,0.0,0.0
970,spreading,1,796,471,12763,105.47,sam2,1.0,2996.766,45.665
971,spreading,1,794,471,12137,100.3,sam2,2.0,5993.533,91.33
972,spreading,1,794,471,11757,97.16,sam2,0.0,0.0,0.0
973,spreading,1,792,470,11451,94.63,sam2,2.236,6700.974,102.11
974,spreading,1,792,470,11149,92.13,sam2,0.0,0.0,0.0
975,spreading,1,791,470,10838,89.56,sam2,1.0,2996.766,45.665
976,spreading,1,791,470,10643,87.95,sam2,0.0,0.0,0.0
977,spreading,1,790,470,10541,87.11,sam2,1.0,2996.766,45.665
978,spreading,1,790,470,9994,82.59,sam2,0.0,0.0,0.0
979,spreading,1,791,470,9799,80.98,sam2,1.0,2996.766,45.665
980,spreading,1,791,470,9575,79.13,sam2,0.0,0.0,0.0
981,spreading,1,792,470,9195,75.99,sam2,1.0,2996.766,45.665
982,spreading,1,792,470,9110,75.28,sam2,0.0,0.0,0.0
983,spreading,1,792,471,8712,71.99,sam2,1.0,2996.766,45.665
984,spreading,1,792,471,8333,68.86,sam2,0.0,0.0,0.0
985,spreading,1,793,471,8171,67.52,sam2,1.0,2996.766,45.665
986,spreading,1,794,470,8141,67.28,sam2,1.414,4238.068,64.58
987,spreading,1,797,469,9799,80.98,sam2,3.162,9476.608,144.405
988,spreading,1,797,469,10144,83.83,sam2,0.0,0.0,0.0
989,spreading,1,797,469,10457,86.41,sam2,0.0,0.0,0.0
990,spreading,1,797,469,10513,86.88,sam2,0.0,0.0,0.0
991,spreading,1,798,469,10703,88.45,sam2,1.0,2996.766,45.665
992,spreading,1,799,469,10606,87.65,sam2,1.0,2996.766,45.665
993,spreading,1,800,469,10813,89.36,sam2,1.0,2996.766,45.665
994,spreading,1,801,469,10863,89.77,sam2,1.0,2996.766,45.665
995,spreading,1,802,469,11053,91.34,sam2,1.0,2996.766,45.665
996,spreading,1,803,469,11342,93.73,sam2,1.0,2996.766,45.665
997,spreading,1,803,469,11196,92.52,sam2,0.0,0.0,0.0
998,spreading,1,803,470,9862,81.5,sam2,1.0,2996.766,45.665
999,spreading,1,805,470,10086,83.35,sam2,2.0,5993.533,91.33
1000,spreading,1,804,470,9837,81.29,sam2,1.0,2996.766,45.665
1001,spreading,1,805,470,9592,79.27,sam2,1.0,2996.766,45.665
1002,spreading,1,805,470,9531,78.76,sam2,0.0,0.0,0.0
1003,spreading,1,804,470,9173,75.8,sam2,1.0,2996.766,45.665
1004,spreading,1,804,471,9096,75.17,sam2,1.0,2996.766,45.665
1005,spreading,1,803,471,9055,74.83,sam2,1.0,2996.766,45.665
1006,spreading,1,801,471,8800,72.72,sam2,2.0,5993.533,91.33
1007,spreading,1,800,471,8769,72.47,sam2,1.0,2996.766,45.665
1008,spreading,1,802,471,8453,69.85,sam2,2.0,5993.533,91.33
1009,spreading,1,804,471,8580,70.9,sam2,2.0,5993.533,91.33
1010,spreading,1,802,471,8454,69.86,sam2,2.0,5993.533,91.33
1011,spreading,1,803,471,8231,68.02,sam2,1.0,2996.766,45.665
1012,spreading,1,802,471,8151,67.36,sam2,1.0,2996.766,45.665
1013,spreading,1,802,470,8278,68.41,sam2,1.0,2996.766,45.665
1014,spreading,1,804,470,8103,66.96,sam2,2.0,5993.533,91.33
1015,spreading,1,803,471,7923,65.47,sam2,1.414,4238.068,64.58
1016,spreading,1,804,471,7852,64.89,sam2,1.0,2996.766,45.665
1017,spreading,1,803,471,7703,63.66,sam2,1.0,2996.766,45.665
1018,spreading,1,804,471,7532,62.24,sam2,1.0,2996.766,45.665
1019,spreading,1,803,470,7720,63.8,sam2,1.414,4238.068,64.58
1020,spreading,1,803,471,7483,61.84,sam2,1.0,2996.766,45.665
1021,spreading,1,804,471,7559,62.47,sam2,1.0,2996.766,45.665
1022,spreading,1,803,470,7550,62.39,sam2,1.414,4238.068,64.58
1023,spreading,1,803,471,7550,62.39,sam2,1.0,2996.766,45.665
1024,spreading,1,802,471,7360,60.82,sam2,1.0,2996.766,45.665
1025,spreading,1,804,471,7406,61.2,sam2,2.0,5993.533,91.33
1026,spreading,1,803,471,7489,61.89,sam2,1.0,2996.766,45.665
1027,spreading,1,803,471,7423,61.34,sam2,0.0,0.0,0.0
1028,spreading,1,803,471,7409,61.23,sam2,0.0,0.0,0.0
1029,spreading,1,803,471,7348,60.72,sam2,0.0,0.0,0.0
1030,spreading,1,803,471,7166,59.22,sam2,0.0,0.0,0.0
1031,spreading,1,803,471,7141,59.01,sam2,0.0,0.0,0.0
1032,spreading,1,803,471,7181,59.34,sam2,0.0,0.0,0.0
1033,spreading,1,802,471,7234,59.78,sam2,1.0,2996.766,45.665
1034,spreading,1,803,471,7186,59.38,sam2,1.0,2996.766,45.665
1035,spreading,1,803,471,7142,59.02,sam2,0.0,0.0,0.0
1036,spreading,1,804,471,7088,58.57,sam2,1.0,2996.766,45.665
1037,spreading,1,803,471,7031,58.1,sam2,1.0,2996.766,45.665
1038,spreading,1,802,471,7126,58.89,sam2,1.0,2996.766,45.665
1039,spreading,1,802,471,7090,58.59,sam2,0.0,0.0,0.0
1040,spreading,1,802,471,7039,58.17,sam2,0.0,0.0,0.0
1041,spreading,1,802,471,7105,58.71,sam2,0.0,0.0,0.0
1042,spreading,1,801,471,7075,58.47,sam2,1.0,2996.766,45.665
1043,spreading,1,800,471,7107,58.73,sam2,1.0,2996.766,45.665
1044,spreading,1,800,471,7102,58.69,sam2,0.0,0.0,0.0
1045,spreading,1,802,471,6982,57.7,sam2,2.0,5993.533,91.33
1046,spreading,1,801,471,7097,58.65,sam2,1.0,2996.766,45.665
1047,spreading,1,801,471,7074,58.46,sam2,0.0,0.0,0.0
1048,spreading,1,801,471,6932,57.28,sam2,0.0,0.0,0.0
1049,spreading,1,801,471,7023,58.04,sam2,0.0,0.0,0.0
1050,spreading,1,801,471,6912,57.12,sam2,0.0,0.0,0.0
1051,spreading,1,800,471,7015,57.97,sam2,1.0,2996.766,45.665
1052,spreading,1,801,471,7019,58.0,sam2,1.0,2996.766,45.665
1053,spreading,1,801,471,6956,57.48,sam2,0.0,0.0,0.0
1054,spreading,1,802,471,6977,57.66,sam2,1.0,2996.766,45.665
1055,spreading,1,801,471,7120,58.84,sam2,1.0,2996.766,45.665
1056,spreading,1,800,471,6967,57.57,sam2,1.0,2996.766,45.665
1057,spreading,1,799,471,7067,58.4,sam2,1.0,2996.766,45.665
1058,spreading,1,801,471,7101,58.68,sam2,2.0,5993.533,91.33
1059,spreading,1,801,471,7072,58.44,sam2,0.0,0.0,0.0
1060,spreading,1,801,471,6933,57.29,sam2,0.0,0.0,0.0
1061,spreading,1,800,471,7111,58.76,sam2,1.0,2996.766,45.665
1062,spreading,1,800,471,7026,58.06,sam2,0.0,0.0,0.0
1063,spreading,1,800,471,6961,57.52,sam2,0.0,0.0,0.0
1064,spreading,1,799,471,7044,58.21,sam2,1.0,2996.766,45.665
1065,spreading,1,800,471,7019,58.0,sam2,1.0,2996.766,45.665
1066,spreading,1,799,471,6990,57.76,sam2,1.0,2996.766,45.665
1067,spreading,1,799,471,7058,58.33,sam2,0.0,0.0,0.0
1068,spreading,1,799,471,7075,58.47,sam2,0.0,0.0,0.0
1069,spreading,1,799,470,7076,58.47,sam2,1.0,2996.766,45.665
1070,spreading,1,798,471,7063,58.37,sam2,1.414,4238.068,64.58
1071,spreading,1,798,471,7060,58.34,sam2,0.0,0.0,0.0
1072,spreading,1,799,471,7024,58.04,sam2,1.0,2996.766,45.665
1073,spreading,1,799,471,6984,57.71,sam2,0.0,0.0,0.0
1074,spreading,1,800,471,6870,56.77,sam2,1.0,2996.766,45.665
1075,spreading,1,799,471,7043,58.2,sam2,1.0,2996.766,45.665
1076,spreading,1,800,471,7077,58.48,sam2,1.0,2996.766,45.665
1077,spreading,1,800,471,7074,58.46,sam2,0.0,0.0,0.0
1078,spreading,1,799,471,6989,57.76,sam2,1.0,2996.766,45.665
1079,spreading,1,799,471,7040,58.18,sam2,0.0,0.0,0.0
1080,spreading,1,797,471,7032,58.11,sam2,2.0,5993.533,91.33
1081,spreading,1,798,471,7164,59.2,sam2,1.0,2996.766,45.665
