frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
135,falling,1,744,88,9809,100.0,sam2,,,
136,falling,1,745,112,9863,100.55,sam2,24.021,71984.801,1096.911
137,falling,1,745,135,9420,96.03,sam2,23.0,68925.629,1050.295
138,falling,1,746,158,9452,96.36,sam2,23.022,68990.746,1051.288
139,falling,1,746,182,9301,94.82,sam2,24.0,71922.396,1095.96
140,falling,1,746,206,9414,95.97,sam2,24.0,71922.396,1095.96
141,falling,1,746,230,9087,92.64,sam2,24.0,71922.396,1095.96
142,falling,1,746,255,8860,90.33,sam2,25.0,74919.162,1141.625
143,falling,1,745,279,8815,89.87,sam2,24.021,71984.801,1096.911
144,falling,1,746,303,8803,89.74,sam2,24.021,71984.801,1096.911
145,falling,1,746,327,8922,90.96,sam2,24.0,71922.396,1095.96
146,falling,1,746,352,8817,89.89,sam2,25.0,74919.162,1141.625
147,falling,1,746,376,8520,86.86,sam2,24.0,71922.396,1095.96
148,falling,1,745,400,8453,86.18,sam2,24.021,71984.801,1096.911
149,spreading,1,745,427,9113,92.9,sam2,27.0,80912.695,1232.955
150,spreading,1,746,441,8147,83.06,sam2,14.036,42061.622,640.939
151,spreading,1,747,452,8278,84.39,sam2,11.045,33100.368,504.387
152,spreading,1,747,458,6615,67.44,sam2,6.0,17980.599,273.99
153,spreading,1,747,461,6276,63.98,sam2,3.0,8990.299,136.995
154,spreading,1,748,462,6970,71.06,sam2,1.414,4238.068,64.58
155,spreading,1,748,461,7707,78.57,sam2,1.0,2996.766,45.665
156,spreading,1,747,460,8123,82.81,sam2,1.414,4238.068,64.58
157,spreading,1,745,459,8863,90.36,sam2,2.236,6700.974,102.11
158,spreading,1,746,458,8279,84.4,sam2,1.414,4238.068,64.58
159,spreading,1,747,455,9066,92.43,sam2,3.162,9476.608,144.405
160,spreading,1,747,449,9281,94.62,sam2,6.0,17980.599,273.99
161,spreading,1,746,440,10903,111.15,sam2,9.055,27136.875,413.514
162,spreading,1,746,434,10520,107.25,sam2,6.0,17980.599,273.99
163,spreading,1,745,423,12125,123.61,sam2,11.045,33100.368,504.387
164,spreading,1,744,411,13214,134.71,sam2,12.042,36085.847,549.88
165,spreading,1,743,398,13815,140.84,sam2,13.038,39073.055,595.399
166,spreading,1,742,389,14433,147.14,sam2,9.055,27136.875,413.514
167,spreading,1,743,383,15416,157.16,sam2,6.083,18228.619,277.769
168,spreading,1,743,378,15917,162.27,sam2,5.0,14983.832,228.325
169,spreading,1,743,370,16719,170.45,sam2,8.0,23974.132,365.32
170,spreading,1,743,364,17331,176.68,sam2,6.0,17980.599,273.99
171,spreading,1,744,352,17403,177.42,sam2,12.042,36085.847,549.88
172,spreading,1,744,346,17879,182.27,sam2,6.0,17980.599,273.99
173,spreading,1,743,339,16920,172.49,sam2,7.071,21190.339,322.9
174,spreading,1,743,337,18278,186.34,sam2,2.0,5993.533,91.33
175,spreading,1,743,331,17536,178.77,sam2,6.0,17980.599,273.99
176,spreading,1,744,326,18034,183.85,sam2,5.099,15280.571,232.847
177,spreading,1,744,319,17505,178.46,sam2,7.0,20977.365,319.655
178,spreading,1,744,305,16621,169.45,sam2,14.0,41954.731,639.31
179,spreading,1,744,296,17398,177.37,sam2,9.0,26970.898,410.985
180,spreading,1,748,336,10893,111.05,sam2,40.2,120468.522,1835.711
180,spreading,2,735,174,4249,43.32,sam2,,,
181,spreading,1,748,334,10097,102.94,sam2,2.0,5993.533,91.33
181,spreading,2,735,167,4082,41.61,sam2,7.0,20977.365,319.655
182,spreading,1,749,331,9054,92.3,sam2,3.162,9476.608,144.405
183,spreading,1,,,,,null,,,
184,spreading,1,,,,,null,,,
185,spreading,1,,,,,null,,,
186,spreading,1,,,,,null,,,
187,spreading,1,,,,,null,,,
188,spreading,1,,,,,null,,,
189,spreading,1,,,,,null,,,
190,spreading,1,,,,,null,,,
191,spreading,1,,,,,null,,,
192,spreading,1,,,,,null,,,
193,spreading,1,,,,,null,,,
194,spreading,1,,,,,null,,,
195,spreading,1,,,,,null,,,
196,spreading,1,,,,,null,,,
197,spreading,1,,,,,null,,,
198,spreading,1,,,,,null,,,
199,spreading,1,,,,,null,,,
200,spreading,1,,,,,null,,,
201,spreading,1,,,,,null,,,
202,spreading,1,,,,,null,,,
203,spreading,1,,,,,null,,,
204,spreading,1,,,,,null,,,
205,spreading,1,,,,,null,,,
206,spreading,1,,,,,null,,,
207,spreading,1,,,,,null,,,
208,spreading,1,,,,,null,,,
209,spreading,1,,,,,null,,,
210,spreading,1,,,,,null,,,
211,spreading,1,,,,,null,,,
212,spreading,1,,,,,null,,,
213,spreading,1,,,,,null,,,
214,spreading,1,,,,,null,,,
215,spreading,1,,,,,null,,,
216,spreading,1,,,,,null,,,
217,spreading,1,,,,,null,,,
218,spreading,1,,,,,null,,,
219,spreading,1,,,,,null,,,
220,spreading,1,,,,,null,,,
221,spreading,1,,,,,null,,,
222,spreading,1,,,,,null,,,
223,spreading,1,,,,,null,,,
224,spreading,1,,,,,null,,,
225,spreading,1,,,,,null,,,
226,spreading,1,,,,,null,,,
227,spreading,1,,,,,null,,,
228,spreading,1,,,,,null,,,
229,spreading,1,,,,,null,,,
230,spreading,1,,,,,null,,,
231,spreading,1,,,,,null,,,
232,spreading,1,,,,,null,,,
233,spreading,1,,,,,null,,,
234,spreading,1,,,,,null,,,
235,spreading,1,,,,,null,,,
236,spreading,1,,,,,null,,,
237,spreading,1,,,,,null,,,
238,spreading,1,,,,,null,,,
239,spreading,1,,,,,null,,,
240,spreading,1,,,,,null,,,
241,spreading,1,,,,,null,,,
242,spreading,1,,,,,null,,,
243,spreading,1,,,,,null,,,
244,spreading,1,,,,,null,,,
245,spreading,1,,,,,null,,,
246,spreading,1,,,,,null,,,
247,spreading,1,,,,,null,,,
248,spreading,1,,,,,null,,,
249,spreading,1,,,,,null,,,
250,spreading,1,,,,,null,,,
251,spreading,1,,,,,null,,,
252,spreading,1,,,,,null,,,
253,spreading,1,,,,,null,,,
254,spreading,1,,,,,null,,,
255,spreading,1,,,,,null,,,
256,spreading,1,,,,,null,,,
257,spreading,1,,,,,null,,,
258,spreading,1,,,,,null,,,
259,spreading,1,,,,,null,,,
260,spreading,1,,,,,null,,,
261,spreading,1,,,,,null,,,
262,spreading,1,,,,,null,,,
263,spreading,1,,,,,null,,,
264,spreading,1,,,,,null,,,
265,spreading,1,,,,,null,,,
266,spreading,1,,,,,null,,,
267,spreading,1,,,,,null,,,
268,spreading,1,,,,,null,,,
269,spreading,1,,,,,null,,,
270,spreading,1,,,,,null,,,
271,spreading,1,,,,,null,,,
272,spreading,1,,,,,null,,,
273,spreading,1,,,,,null,,,
274,spreading,1,,,,,null,,,
275,spreading,1,,,,,null,,,
276,spreading,1,,,,,null,,,
277,spreading,1,,,,,null,,,
278,spreading,1,,,,,null,,,
279,spreading,1,,,,,null,,,
280,spreading,1,,,,,null,,,
281,spreading,1,,,,,null,,,
282,spreading,1,,,,,null,,,
283,spreading,1,,,,,null,,,
284,spreading,1,,,,,null,,,
285,spreading,1,,,,,null,,,
286,spreading,1,,,,,null,,,
287,spreading,1,,,,,null,,,
288,spreading,1,,,,,null,,,
289,spreading,1,,,,,null,,,
290,spreading,1,,,,,null,,,
291,spreading,1,,,,,null,,,
292,spreading,1,,,,,null,,,
293,spreading,1,,,,,null,,,
294,spreading,1,,,,,null,,,
295,spreading,1,,,,,null,,,
296,spreading,1,,,,,null,,,
297,spreading,1,,,,,null,,,
298,spreading,1,,,,,null,,,
299,spreading,1,,,,,null,,,
300,spreading,1,,,,,null,,,
301,spreading,1,,,,,null,,,
302,spreading,1,,,,,null,,,
303,spreading,1,,,,,null,,,
304,spreading,1,,,,,null,,,
305,spreading,1,,,,,null,,,
306,spreading,1,,,,,null,,,
307,spreading,1,,,,,null,,,
308,spreading,1,,,,,null,,,
309,spreading,1,,,,,null,,,
310,spreading,1,,,,,null,,,
311,spreading,1,,,,,null,,,
312,spreading,1,,,,,null,,,
313,spreading,1,,,,,null,,,
314,spreading,1,,,,,null,,,
315,spreading,1,,,,,null,,,
316,spreading,1,,,,,null,,,
317,spreading,1,,,,,null,,,
318,spreading,1,,,,,null,,,
319,spreading,1,,,,,null,,,
320,spreading,1,,,,,null,,,
321,spreading,1,,,,,null,,,
322,spreading,1,,,,,null,,,
323,spreading,1,,,,,null,,,
324,spreading,1,,,,,null,,,
325,spreading,1,,,,,null,,,
326,spreading,1,,,,,null,,,
327,spreading,1,,,,,null,,,
328,spreading,1,,,,,null,,,
329,spreading,1,,,,,null,,,
330,spreading,1,,,,,null,,,
331,spreading,1,,,,,null,,,
332,spreading,1,,,,,null,,,
333,spreading,1,,,,,null,,,
334,spreading,1,,,,,null,,,
335,spreading,1,,,,,null,,,
336,spreading,1,,,,,null,,,
337,spreading,1,,,,,null,,,
338,spreading,1,,,,,null,,,
339,spreading,1,,,,,null,,,
340,spreading,1,,,,,null,,,
341,spreading,1,,,,,null,,,
342,spreading,1,,,,,null,,,
343,spreading,1,,,,,null,,,
344,spreading,1,,,,,null,,,
345,spreading,1,,,,,null,,,
346,spreading,1,,,,,null,,,
347,spreading,1,,,,,null,,,
348,spreading,1,,,,,null,,,
349,spreading,1,,,,,null,,,
350,spreading,1,,,,,null,,,
351,spreading,1,,,,,null,,,
352,spreading,1,,,,,null,,,
353,spreading,1,,,,,null,,,
354,spreading,1,,,,,null,,,
355,spreading,1,,,,,null,,,
356,spreading,1,,,,,null,,,
357,spreading,1,,,,,null,,,
358,spreading,1,,,,,null,,,
359,spreading,1,,,,,null,,,
360,spreading,1,,,,,null,,,
361,spreading,1,,,,,null,,,
362,spreading,1,,,,,null,,,
363,spreading,1,,,,,null,,,
364,spreading,1,,,,,null,,,
365,spreading,1,,,,,null,,,
366,spreading,1,,,,,null,,,
367,spreading,1,,,,,null,,,
368,spreading,1,,,,,null,,,
369,spreading,1,,,,,null,,,
370,spreading,1,,,,,null,,,
371,spreading,1,,,,,null,,,
372,spreading,1,,,,,null,,,
373,spreading,1,,,,,null,,,
374,spreading,1,,,,,null,,,
375,spreading,1,,,,,null,,,
376,spreading,1,,,,,null,,,
377,spreading,1,,,,,null,,,
378,spreading,1,,,,,null,,,
379,spreading,1,,,,,null,,,
380,spreading,1,,,,,null,,,
381,spreading,1,,,,,null,,,
382,spreading,1,,,,,null,,,
383,spreading,1,,,,,null,,,
384,spreading,1,,,,,null,,,
385,spreading,1,,,,,null,,,
386,spreading,1,,,,,null,,,
387,spreading,1,,,,,null,,,
388,spreading,1,,,,,null,,,
389,spreading,1,,,,,null,,,
390,spreading,1,,,,,null,,,
391,spreading,1,,,,,null,,,
392,spreading,1,,,,,null,,,
393,spreading,1,,,,,null,,,
394,spreading,1,,,,,null,,,
395,spreading,1,,,,,null,,,
396,spreading,1,,,,,null,,,
397,spreading,1,,,,,null,,,
398,spreading,1,,,,,null,,,
399,spreading,1,,,,,null,,,
400,spreading,1,,,,,null,,,
401,spreading,1,,,,,null,,,
402,spreading,1,,,,,null,,,
403,spreading,1,,,,,null,,,
404,spreading,1,,,,,null,,,
405,spreading,1,,,,,null,,,
406,spreading,1,,,,,null,,,
407,spreading,1,,,,,null,,,
408,spreading,1,,,,,null,,,
409,spreading,1,,,,,null,,,
410,spreading,1,,,,,null,,,
411,spreading,1,,,,,null,,,
412,spreading,1,,,,,null,,,
413,spreading,1,,,,,null,,,
414,spreading,1,,,,,null,,,
415,spreading,1,,,,,null,,,
416,spreading,1,,,,,null,,,
417,spreading,1,,,,,null,,,
418,spreading,1,,,,,null,,,
419,spreading,1,,,,,null,,,
420,spreading,1,,,,,null,,,
421,spreading,1,,,,,null,,,
422,spreading,1,,,,,null,,,
423,spreading,1,,,,,null,,,
424,spreading,1,,,,,null,,,
425,spreading,1,,,,,null,,,
426,spreading,1,,,,,null,,,
427,spreading,1,,,,,null,,,
428,spreading,1,,,,,null,,,
429,spreading,1,,,,,null,,,
430,spreading,1,,,,,null,,,
431,spreading,1,,,,,null,,,
432,spreading,1,,,,,null,,,
433,spreading,1,,,,,null,,,
434,spreading,1,,,,,null,,,
435,spreading,1,,,,,null,,,
436,spreading,1,,,,,null,,,
437,spreading,1,,,,,null,,,
438,spreading,1,,,,,null,,,
439,spreading,1,,,,,null,,,
440,spreading,1,,,,,null,,,
441,spreading,1,,,,,null,,,
442,spreading,1,,,,,null,,,
443,spreading,1,,,,,null,,,
444,spreading,1,,,,,null,,,
445,spreading,1,,,,,null,,,
446,spreading,1,,,,,null,,,
447,spreading,1,,,,,null,,,
448,spreading,1,,,,,null,,,
449,spreading,1,,,,,null,,,
450,rebounding,1,,,,,null,,,
451,rebounding,1,,,,,null,,,
452,rebounding,1,,,,,null,,,
453,rebounding,1,,,,,null,,,
454,rebounding,1,,,,,null,,,
455,rebounding,1,,,,,null,,,
456,rebounding,1,,,,,null,,,
457,rebounding,1,,,,,null,,,
458,rebounding,1,,,,,null,,,
459,rebounding,1,,,,,null,,,
460,rebounding,1,,,,,null,,,
461,rebounding,1,,,,,null,,,
462,rebounding,1,,,,,null,,,
463,rebounding,1,,,,,null,,,
464,rebounding,1,,,,,null,,,
465,rebounding,1,,,,,null,,,
466,rebounding,1,,,,,null,,,
467,rebounding,1,,,,,null,,,
468,rebounding,1,,,,,null,,,
469,rebounding,1,,,,,null,,,
470,rebounding,1,,,,,null,,,
471,rebounding,1,,,,,null,,,
472,rebounding,1,,,,,null,,,
473,rebounding,1,,,,,null,,,
474,rebounding,1,,,,,null,,,
475,rebounding,1,,,,,null,,,
476,rebounding,1,,,,,null,,,
477,rebounding,1,,,,,null,,,
478,rebounding,1,,,,,null,,,
479,rebounding,1,,,,,null,,,
480,rebounding,1,,,,,null,,,
481,rebounding,1,,,,,null,,,
482,rebounding,1,,,,,null,,,
483,rebounding,1,,,,,null,,,
484,rebounding,1,,,,,null,,,
485,rebounding,1,,,,,null,,,
486,rebounding,1,,,,,null,,,
487,rebounding,1,,,,,null,,,
488,rebounding,1,,,,,null,,,
489,rebounding,1,,,,,null,,,
490,rebounding,1,,,,,null,,,
491,rebounding,1,,,,,null,,,
492,rebounding,1,,,,,null,,,
493,rebounding,1,,,,,null,,,
494,rebounding,1,,,,,null,,,
495,rebounding,1,,,,,null,,,
496,rebounding,1,,,,,null,,,
497,rebounding,1,,,,,null,,,
498,rebounding,1,,,,,null,,,
499,rebounding,1,,,,,null,,,
500,rebounding,1,,,,,null,,,
501,rebounding,1,,,,,null,,,
502,rebounding,1,,,,,null,,,
503,rebounding,1,,,,,null,,,
504,rebounding,1,,,,,null,,,
505,rebounding,1,,,,,null,,,
506,rebounding,1,,,,,null,,,
507,rebounding,1,,,,,null,,,
508,rebounding,1,,,,,null,,,
509,rebounding,1,,,,,null,,,
510,rebounding,1,,,,,null,,,
511,rebounding,1,,,,,null,,,
512,rebounding,1,,,,,null,,,
513,rebounding,1,746,338,8171,83.3,hough,,,
514,rebounding,1,,,,,null,,,
