frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
71,falling,1,731,74,9402,100.0,sam2,,,
72,falling,1,731,97,9265,98.54,sam2,23.0,68925.629,1050.295
73,falling,1,731,120,9436,100.36,sam2,23.0,68925.629,1050.295
74,falling,1,731,143,8965,95.35,sam2,23.0,68925.629,1050.295
75,falling,1,731,166,9389,99.86,sam2,23.0,68925.629,1050.295
76,falling,1,731,190,9376,99.72,sam2,24.0,71922.396,1095.96
77,falling,1,732,214,9010,95.83,sam2,24.021,71984.801,1096.911
78,falling,1,732,237,9032,96.06,sam2,23.0,68925.629,1050.295
79,falling,1,732,261,9014,95.87,sam2,24.0,71922.396,1095.96
80,falling,1,732,285,9456,100.57,sam2,24.0,71922.396,1095.96
81,falling,1,732,308,9683,102.99,sam2,23.0,68925.629,1050.295
82,falling,1,733,333,9756,103.77,sam2,25.02,74979.074,1142.538
83,falling,1,732,357,9426,100.26,sam2,24.021,71984.801,1096.911
84,falling,1,732,381,9688,103.04,sam2,24.0,71922.396,1095.96
85,falling,1,732,404,9544,101.51,sam2,23.0,68925.629,1050.295
86,spreading,1,732,435,11004,117.04,sam2,31.0,92899.761,1415.615
87,spreading,1,733,449,10468,111.34,sam2,14.036,42061.622,640.939
88,spreading,1,733,457,9137,97.18,sam2,8.0,23974.132,365.32
89,spreading,1,733,462,8890,94.55,sam2,5.0,14983.832,228.325
90,spreading,1,734,464,8586,91.32,sam2,2.236,6700.974,102.11
91,spreading,1,734,464,9423,100.22,sam2,0.0,0.0,0.0
92,spreading,1,734,464,10185,108.33,sam2,0.0,0.0,0.0
93,spreading,1,734,463,10531,112.01,sam2,1.0,2996.766,45.665
94,spreading,1,735,462,10320,109.76,sam2,1.414,4238.068,64.58
95,spreading,1,735,460,9874,105.02,sam2,2.0,5993.533,91.33
96,spreading,1,734,453,10668,113.47,sam2,7.071,21190.339,322.9
97,spreading,1,734,441,12243,130.22,sam2,12.0,35961.198,547.98
98,spreading,1,733,428,13561,144.24,sam2,13.038,39073.055,595.399
99,spreading,1,733,417,14395,153.11,sam2,11.0,32964.431,502.315
100,spreading,1,732,405,14033,149.26,sam2,12.042,36085.847,549.88
101,spreading,1,731,396,15981,169.97,sam2,9.055,27136.875,413.514
102,spreading,1,731,384,17113,182.01,sam2,12.0,35961.198,547.98
103,spreading,1,731,375,18018,191.64,sam2,9.0,26970.898,410.985
104,spreading,1,731,369,18571,197.52,sam2,6.0,17980.599,273.99
105,spreading,1,731,362,17723,188.5,sam2,7.0,20977.365,319.655
106,spreading,1,731,353,18242,194.02,sam2,9.0,26970.898,410.985
107,spreading,1,731,343,18608,197.92,sam2,10.0,29967.665,456.65
108,spreading,1,729,363,15448,164.31,sam2,20.1,60234.261,917.855
108,spreading,2,738,169,2805,29.83,sam2,,,
109,spreading,1,729,362,15655,166.51,sam2,1.0,2996.766,45.665
109,spreading,2,738,153,2720,28.93,sam2,16.0,47948.264,730.64
110,spreading,1,728,351,14544,154.69,sam2,11.045,33100.368,504.387
