frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
438,falling,1,806,58,7238,100.98,hough,,,
439,falling,1,,,,,null,,,
440,falling,1,807,125,8191,114.27,sam2,,,
441,falling,1,,,,,null,,,
442,falling,1,,,,,null,,,
443,falling,1,,,,,null,,,
444,falling,1,809,220,8009,111.73,sam2,95.021,71188.975,1084.784
445,falling,1,,,,,null,,,
446,falling,1,,,,,null,,,
447,falling,1,,,,,null,,,
448,falling,1,810,313,7982,111.36,sam2,93.005,69678.849,1061.773
449,falling,1,,,,,null,,,
450,falling,1,,,,,null,,,
451,falling,1,,,,,null,,,
452,falling,1,812,409,8053,112.35,sam2,96.021,71938.002,1096.198
453,spreading,1,,,,,null,,,
454,spreading,1,,,,,null,,,
455,spreading,1,,,,,null,,,
456,spreading,1,813,459,6932,96.71,sam2,50.01,37467.072,570.927
457,spreading,1,,,,,null,,,
458,spreading,1,,,,,null,,,
459,spreading,1,,,,,null,,,
460,spreading,1,812,457,7031,98.09,sam2,2.236,1675.243,25.528
461,spreading,1,,,,,null,,,
462,spreading,1,,,,,null,,,
463,spreading,1,,,,,null,,,
464,spreading,1,813,431,8724,121.71,sam2,26.019,19493.384,297.042
465,spreading,1,,,,,null,,,
466,spreading,1,,,,,null,,,
467,spreading,1,,,,,null,,,
468,spreading,1,811,387,12336,172.1,sam2,44.045,32998.468,502.834
469,spreading,1,,,,,null,,,
470,spreading,1,,,,,null,,,
471,spreading,1,,,,,null,,,
472,spreading,1,811,352,14255,198.87,sam2,35.0,26221.707,399.569
473,spreading,1,,,,,null,,,
474,spreading,1,,,,,null,,,
475,spreading,1,,,,,null,,,
476,spreading,1,814,354,10041,140.08,sam2,3.606,2701.249,41.162
476,spreading,2,792,139,836,11.66,sam2,,,
477,spreading,1,,,,,null,,,
478,spreading,1,,,,,null,,,
479,spreading,1,,,,,null,,,
480,spreading,1,815,338,10754,150.03,sam2,16.031,12010.455,183.016
481,spreading,1,,,,,null,,,
482,spreading,1,,,,,null,,,
483,spreading,1,,,,,null,,,
484,spreading,1,814,305,8794,122.68,sam2,33.015,24734.672,376.909
485,spreading,1,,,,,null,,,
486,spreading,1,,,,,null,,,
487,spreading,1,,,,,null,,,
488,spreading,1,813,278,7274,101.48,sam2,27.019,20242.043,308.45
489,spreading,1,,,,,null,,,
490,spreading,1,,,,,null,,,
491,spreading,1,,,,,null,,,
492,spreading,1,814,254,5692,79.41,sam2,24.021,17996.2,274.228
493,spreading,1,,,,,null,,,
494,spreading,1,,,,,null,,,
495,spreading,1,,,,,null,,,
496,spreading,1,813,230,8052,112.33,sam2,24.021,17996.2,274.228
497,spreading,1,,,,,null,,,
498,spreading,1,,,,,null,,,
499,spreading,1,,,,,null,,,
500,spreading,1,813,214,8682,121.12,sam2,16.0,11987.066,182.66
501,spreading,1,,,,,null,,,
502,spreading,1,,,,,null,,,
503,spreading,1,,,,,null,,,
504,spreading,1,813,190,8249,115.08,sam2,24.0,17980.599,273.99
505,spreading,1,,,,,null,,,
506,spreading,1,,,,,null,,,
507,spreading,1,,,,,null,,,
508,spreading,1,813,175,8134,113.48,sam2,15.0,11237.874,171.244
509,spreading,1,,,,,null,,,
510,spreading,1,,,,,null,,,
511,spreading,1,,,,,null,,,
512,spreading,1,813,156,6530,91.1,sam2,19.0,14234.641,216.909
513,spreading,1,,,,,null,,,
514,spreading,1,,,,,null,,,
515,spreading,1,,,,,null,,,
516,spreading,1,812,142,7251,101.16,sam2,14.036,10515.406,160.235
517,spreading,1,,,,,null,,,
518,spreading,1,,,,,null,,,
519,spreading,1,,,,,null,,,
520,spreading,1,813,128,8263,115.28,sam2,14.036,10515.406,160.235
521,spreading,1,,,,,null,,,
522,spreading,1,,,,,null,,,
