frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
353,falling,1,632,78,6157,100.0,sam2,,,
354,falling,1,633,102,6657,108.12,sam2,24.021,71984.801,1096.911
355,falling,1,633,127,6522,105.93,sam2,25.0,74919.162,1141.625
356,falling,1,633,151,6136,99.66,sam2,24.0,71922.396,1095.96
357,falling,1,633,177,5919,96.13,sam2,26.0,77915.929,1187.29
358,falling,1,633,201,5965,96.88,sam2,24.0,71922.396,1095.96
359,falling,1,633,225,5868,95.31,sam2,24.0,71922.396,1095.96
360,falling,1,633,250,5800,94.2,sam2,25.0,74919.162,1141.625
361,falling,1,633,274,5771,93.73,sam2,24.0,71922.396,1095.96
362,falling,1,633,298,5775,93.8,sam2,24.0,71922.396,1095.96
363,falling,1,634,323,5625,91.36,sam2,25.02,74979.074,1142.538
364,falling,1,634,347,5716,92.84,sam2,24.0,71922.396,1095.96
365,falling,1,634,372,5856,95.11,sam2,25.0,74919.162,1141.625
366,falling,1,634,399,6273,101.88,sam2,27.0,80912.695,1232.955
367,spreading,1,634,424,6771,109.97,sam2,25.0,74919.162,1141.625
368,spreading,1,635,449,7469,121.31,sam2,25.02,74979.074,1142.538
369,spreading,1,638,463,7668,124.54,sam2,14.318,42907.166,653.823
370,spreading,1,635,481,10197,165.62,sam2,18.248,54685.857,833.308
371,spreading,1,636,485,10220,165.99,sam2,4.123,12355.985,188.282
372,spreading,1,639,485,10975,178.25,sam2,3.0,8990.299,136.995
373,spreading,1,638,483,11423,185.53,sam2,2.236,6700.974,102.11
374,spreading,1,638,482,11757,190.95,sam2,1.0,2996.766,45.665
375,spreading,1,637,481,11604,188.47,sam2,1.414,4238.068,64.58
376,spreading,1,636,480,11433,185.69,sam2,1.414,4238.068,64.58
377,spreading,1,635,480,11033,179.19,sam2,1.0,2996.766,45.665
378,spreading,1,638,477,10378,168.56,sam2,4.243,12714.203,193.74
379,spreading,1,639,471,11134,180.83,sam2,6.083,18228.619,277.769
380,spreading,1,639,469,10959,177.99,sam2,2.0,5993.533,91.33
381,spreading,1,636,451,13300,216.01,sam2,18.248,54685.857,833.308
382,spreading,1,635,441,13481,218.95,sam2,10.05,30117.13,458.928
383,spreading,1,633,430,13421,217.98,sam2,11.18,33504.868,510.55
384,spreading,1,630,421,13079,212.42,sam2,9.487,28429.823,433.216
385,spreading,1,628,408,12932,210.04,sam2,13.153,39416.309,600.629
386,spreading,1,629,397,12409,201.54,sam2,11.045,33100.368,504.387
387,spreading,1,628,388,12237,198.75,sam2,9.055,27136.875,413.514
388,spreading,1,628,380,11427,185.59,sam2,8.0,23974.132,365.32
389,spreading,1,629,371,11040,179.31,sam2,9.055,27136.875,413.514
390,spreading,1,630,366,11140,180.93,sam2,5.099,15280.571,232.847
391,spreading,1,630,365,11517,187.06,sam2,1.0,2996.766,45.665
392,spreading,1,629,368,12379,201.06,sam2,3.162,9476.608,144.405
393,spreading,1,629,367,12979,210.8,sam2,1.0,2996.766,45.665
394,spreading,1,628,366,13505,219.34,sam2,1.414,4238.068,64.58
395,spreading,1,628,345,11184,181.65,sam2,21.0,62932.096,958.965
396,spreading,1,628,334,10224,166.05,sam2,11.0,32964.431,502.315
397,spreading,1,627,330,9925,161.2,sam2,4.123,12355.985,188.282
398,spreading,1,627,322,9047,146.94,sam2,8.0,23974.132,365.32
399,spreading,1,626,316,8346,135.55,sam2,6.083,18228.619,277.769
400,spreading,1,626,314,8073,131.12,sam2,2.0,5993.533,91.33
401,spreading,1,626,310,7832,127.2,sam2,4.0,11987.066,182.66
402,spreading,1,627,310,8110,131.72,sam2,1.0,2996.766,45.665
403,spreading,1,627,309,8490,137.89,sam2,1.0,2996.766,45.665
404,spreading,1,627,310,8655,140.57,sam2,1.0,2996.766,45.665
405,spreading,1,627,305,8525,138.46,sam2,5.0,14983.832,228.325
406,spreading,1,626,299,8267,134.27,sam2,6.083,18228.619,277.769
407,spreading,1,627,293,7990,129.77,sam2,6.083,18228.619,277.769
408,spreading,1,627,290,7545,122.54,sam2,3.0,8990.299,136.995
409,spreading,1,627,285,6886,111.84,sam2,5.0,14983.832,228.325
410,spreading,1,626,282,6415,104.19,sam2,3.162,9476.608,144.405
411,spreading,1,626,281,6103,99.12,sam2,1.0,2996.766,45.665
412,spreading,1,625,277,5712,92.77,sam2,4.123,12355.985,188.282
413,spreading,1,626,273,5136,83.42,sam2,4.123,12355.985,188.282
414,spreading,1,625,272,4715,76.58,sam2,1.414,4238.068,64.58
415,spreading,1,627,270,4291,69.69,sam2,2.828,8476.136,129.16
416,spreading,1,626,267,4278,69.48,sam2,3.162,9476.608,144.405
417,spreading,1,626,266,4116,66.85,sam2,1.0,2996.766,45.665
418,spreading,1,625,262,4419,71.77,sam2,4.123,12355.985,188.282
419,spreading,1,625,261,4806,78.06,sam2,1.0,2996.766,45.665
420,spreading,1,625,259,5121,83.17,sam2,2.0,5993.533,91.33
421,spreading,1,624,256,5533,89.87,sam2,3.162,9476.608,144.405
422,spreading,1,623,253,6149,99.87,sam2,3.162,9476.608,144.405
423,spreading,1,623,252,6667,108.28,sam2,1.0,2996.766,45.665
424,spreading,1,623,252,6826,110.87,sam2,0.0,0.0,0.0
425,spreading,1,623,250,6868,111.55,sam2,2.0,5993.533,91.33
426,spreading,1,624,249,7017,113.97,sam2,1.414,4238.068,64.58
427,spreading,1,623,246,7291,118.42,sam2,3.162,9476.608,144.405
428,spreading,1,623,243,7393,120.07,sam2,3.0,8990.299,136.995
429,spreading,1,622,243,7150,116.13,sam2,1.0,2996.766,45.665
430,spreading,1,621,242,7032,114.21,sam2,1.414,4238.068,64.58
431,spreading,1,620,241,6838,111.06,sam2,1.414,4238.068,64.58
432,spreading,1,621,240,6492,105.44,sam2,1.414,4238.068,64.58
433,spreading,1,621,238,6326,102.74,sam2,2.0,5993.533,91.33
434,spreading,1,621,235,6140,99.72,sam2,3.0,8990.299,136.995
435,spreading,1,621,235,5870,95.34,sam2,0.0,0.0,0.0
436,spreading,1,621,234,5625,91.36,sam2,1.0,2996.766,45.665
437,spreading,1,621,233,5198,84.42,sam2,1.0,2996.766,45.665
438,spreading,1,621,233,4859,78.92,sam2,0.0,0.0,0.0
439,spreading,1,621,232,4491,72.94,sam2,1.0,2996.766,45.665
440,spreading,1,619,232,4270,69.35,sam2,2.0,5993.533,91.33
441,spreading,1,618,232,4150,67.4,sam2,1.0,2996.766,45.665
442,spreading,1,617,230,4359,70.8,sam2,2.236,6700.974,102.11
443,spreading,1,617,230,4623,75.09,sam2,0.0,0.0,0.0
444,spreading,1,617,229,4763,77.36,sam2,1.0,2996.766,45.665
445,spreading,1,618,229,5442,88.39,sam2,1.0,2996.766,45.665
446,spreading,1,618,229,6033,97.99,sam2,0.0,0.0,0.0
447,spreading,1,619,229,6484,105.31,sam2,1.0,2996.766,45.665
448,spreading,1,619,228,6509,105.72,sam2,1.0,2996.766,45.665
449,spreading,1,618,229,6728,109.27,sam2,1.414,4238.068,64.58
450,spreading,1,617,229,6680,108.49,sam2,1.0,2996.766,45.665
451,spreading,1,616,228,6509,105.72,sam2,1.414,4238.068,64.58
452,spreading,1,616,228,6413,104.16,sam2,0.0,0.0,0.0
453,spreading,1,615,229,6383,103.67,sam2,1.414,4238.068,64.58
454,spreading,1,615,229,6366,103.39,sam2,0.0,0.0,0.0
455,spreading,1,616,229,6295,102.24,sam2,1.0,2996.766,45.665
456,spreading,1,616,228,6407,104.06,sam2,1.0,2996.766,45.665
457,spreading,1,616,228,7210,117.1,sam2,0.0,0.0,0.0
458,spreading,1,615,230,6741,109.49,sam2,2.236,6700.974,102.11
459,spreading,1,616,231,6619,107.5,sam2,1.414,4238.068,64.58
460,spreading,1,615,233,6355,103.22,sam2,2.236,6700.974,102.11
461,spreading,1,615,234,5899,95.81,sam2,1.0,2996.766,45.665
462,spreading,1,615,235,5354,86.96,sam2,1.0,2996.766,45.665
463,spreading,1,615,236,4925,79.99,sam2,1.0,2996.766,45.665
464,spreading,1,615,237,4717,76.61,sam2,1.0,2996.766,45.665
465,spreading,1,615,238,4682,76.04,sam2,1.0,2996.766,45.665
466,spreading,1,615,239,4710,76.5,sam2,1.0,2996.766,45.665
467,spreading,1,615,240,4754,77.21,sam2,1.0,2996.766,45.665
468,spreading,1,615,241,4933,80.12,sam2,1.0,2996.766,45.665
469,spreading,1,615,242,5445,88.44,sam2,1.0,2996.766,45.665
470,spreading,1,614,244,5913,96.04,sam2,2.236,6700.974,102.11
471,spreading,1,613,246,6211,100.88,sam2,2.236,6700.974,102.11
472,spreading,1,612,248,6447,104.71,sam2,2.236,6700.974,102.11
473,spreading,1,611,250,6517,105.85,sam2,2.236,6700.974,102.11
474,spreading,1,611,252,6552,106.42,sam2,2.0,5993.533,91.33
475,spreading,1,611,253,6478,105.21,sam2,1.0,2996.766,45.665
476,spreading,1,611,254,6387,103.74,sam2,1.0,2996.766,45.665
477,spreading,1,611,255,6315,102.57,sam2,1.0,2996.766,45.665
478,spreading,1,611,257,6396,103.88,sam2,2.0,5993.533,91.33
479,spreading,1,610,258,6570,106.71,sam2,1.414,4238.068,64.58
480,spreading,1,609,261,6532,106.09,sam2,3.162,9476.608,144.405
481,spreading,1,609,265,6516,105.83,sam2,4.0,11987.066,182.66
482,spreading,1,609,267,6572,106.74,sam2,2.0,5993.533,91.33
483,spreading,1,610,270,6457,104.87,sam2,3.162,9476.608,144.405
484,spreading,1,610,273,6069,98.57,sam2,3.0,8990.299,136.995
485,spreading,1,611,276,5648,91.73,sam2,3.162,9476.608,144.405
486,spreading,1,610,279,5371,87.23,sam2,3.162,9476.608,144.405
487,spreading,1,610,282,5273,85.64,sam2,3.0,8990.299,136.995
488,spreading,1,610,285,5217,84.73,sam2,3.0,8990.299,136.995
489,spreading,1,610,288,5058,82.15,sam2,3.0,8990.299,136.995
490,spreading,1,610,291,5142,83.51,sam2,3.0,8990.299,136.995
491,spreading,1,609,293,5193,84.34,sam2,2.236,6700.974,102.11
492,spreading,1,608,296,5343,86.78,sam2,3.162,9476.608,144.405
493,spreading,1,608,300,5714,92.8,sam2,4.0,11987.066,182.66
494,spreading,1,607,303,5998,97.42,sam2,3.162,9476.608,144.405
