frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
478,falling,1,548,78,5629,100.0,sam2,,,
479,falling,1,547,101,6303,111.97,sam2,23.022,68990.746,1051.288
480,falling,1,548,125,5991,106.43,sam2,24.021,71984.801,1096.911
481,falling,1,547,149,5866,104.21,sam2,24.021,71984.801,1096.911
482,falling,1,547,174,5903,104.87,sam2,25.0,74919.162,1141.625
483,falling,1,547,197,5857,104.05,sam2,23.0,68925.629,1050.295
484,falling,1,546,221,5850,103.93,sam2,24.021,71984.801,1096.911
485,falling,1,546,246,6036,107.23,sam2,25.0,74919.162,1141.625
486,falling,1,546,270,6050,107.48,sam2,24.0,71922.396,1095.96
487,falling,1,546,294,6140,109.08,sam2,24.0,71922.396,1095.96
488,falling,1,545,318,6197,110.09,sam2,24.021,71984.801,1096.911
489,falling,1,545,343,6145,109.17,sam2,25.0,74919.162,1141.625
490,falling,1,545,365,6245,110.94,sam2,22.0,65928.863,1004.63
491,falling,1,545,392,6501,115.49,sam2,27.0,80912.695,1232.955
492,spreading,1,544,422,7672,136.29,sam2,30.017,89952.927,1370.711
493,spreading,1,544,446,7934,140.95,sam2,24.0,71922.396,1095.96
494,spreading,1,544,461,7916,140.63,sam2,15.0,44951.497,684.975
495,spreading,1,545,480,9933,176.46,sam2,19.026,57017.371,868.836
496,spreading,1,543,485,10059,178.7,sam2,5.385,16138.081,245.914
497,spreading,1,544,486,10161,180.51,sam2,1.414,4238.068,64.58
498,spreading,1,541,486,9668,171.75,sam2,3.0,8990.299,136.995
499,spreading,1,542,483,11133,197.78,sam2,3.162,9476.608,144.405
500,spreading,1,542,481,11247,199.8,sam2,2.0,5993.533,91.33
501,spreading,1,541,480,11050,196.3,sam2,1.414,4238.068,64.58
502,spreading,1,543,480,9721,172.69,sam2,2.0,5993.533,91.33
503,spreading,1,544,475,10020,178.01,sam2,5.099,15280.571,232.847
504,spreading,1,540,461,11505,204.39,sam2,14.56,43633.579,664.893
505,spreading,1,538,451,12093,214.83,sam2,10.198,30561.142,465.694
506,spreading,1,539,439,13161,233.81,sam2,12.042,36085.847,549.88
507,spreading,1,538,426,14122,250.88,sam2,13.038,39073.055,595.399
508,spreading,1,536,415,14799,262.91,sam2,11.18,33504.868,510.55
509,spreading,1,536,403,15080,267.9,sam2,12.0,35961.198,547.98
510,spreading,1,535,388,15196,269.96,sam2,15.033,45051.279,686.496
511,spreading,1,536,377,15915,282.73,sam2,11.045,33100.368,504.387
512,spreading,1,537,364,14445,256.62,sam2,13.038,39073.055,595.399
513,spreading,1,538,353,15166,269.43,sam2,11.045,33100.368,504.387
514,spreading,1,539,340,15654,278.1,sam2,13.038,39073.055,595.399
515,spreading,1,537,332,16455,292.33,sam2,8.246,24711.97,376.563
516,spreading,1,536,328,15651,278.04,sam2,4.123,12355.985,188.282
517,spreading,1,533,366,11713,208.08,sam2,38.118,114231.456,1740.67
517,spreading,2,550,108,1543,27.41,sam2,,,
518,spreading,1,533,367,11914,211.65,sam2,1.0,2996.766,45.665
518,spreading,2,551,88,1071,19.03,sam2,20.025,60010.202,914.441
519,spreading,1,533,343,10325,183.43,sam2,24.0,71922.396,1095.96
519,spreading,2,551,68,1078,19.15,sam2,20.0,59935.33,913.3
520,spreading,1,533,322,8716,154.84,sam2,21.0,62932.096,958.965
521,spreading,1,532,314,8645,153.58,sam2,8.062,24160.704,368.163
522,spreading,1,529,307,8703,154.61,sam2,7.616,22822.694,347.774
523,spreading,1,529,301,8658,153.81,sam2,6.0,17980.599,273.99
524,spreading,1,529,294,8515,151.27,sam2,7.0,20977.365,319.655
525,spreading,1,529,286,8132,144.47,sam2,8.0,23974.132,365.32
526,spreading,1,529,278,7935,140.97,sam2,8.0,23974.132,365.32
527,spreading,1,527,270,7583,134.71,sam2,8.246,24711.97,376.563
528,spreading,1,525,263,6854,121.76,sam2,7.28,21816.789,332.446
529,spreading,1,524,257,6249,111.01,sam2,6.083,18228.619,277.769
530,spreading,1,522,251,6185,109.88,sam2,6.325,18953.215,288.811
531,spreading,1,522,246,5913,105.05,sam2,5.0,14983.832,228.325
532,spreading,1,522,240,5587,99.25,sam2,6.0,17980.599,273.99
533,spreading,1,522,231,5131,91.15,sam2,9.0,26970.898,410.985
534,spreading,1,522,222,5076,90.18,sam2,9.0,26970.898,410.985
535,spreading,1,522,215,5002,88.86,sam2,7.0,20977.365,319.655
536,spreading,1,522,209,4875,86.61,sam2,6.0,17980.599,273.99
537,spreading,1,522,202,5159,91.65,sam2,7.0,20977.365,319.655
538,spreading,1,521,194,5494,97.6,sam2,8.062,24160.704,368.163
539,spreading,1,520,188,5877,104.41,sam2,6.083,18228.619,277.769
540,spreading,1,520,183,6335,112.54,sam2,5.0,14983.832,228.325
541,spreading,1,519,178,6724,119.45,sam2,5.099,15280.571,232.847
542,spreading,1,518,172,7255,128.89,sam2,6.083,18228.619,277.769
543,spreading,1,518,165,7519,133.58,sam2,7.0,20977.365,319.655
544,spreading,1,518,161,7727,137.27,sam2,4.0,11987.066,182.66
545,spreading,1,517,155,8287,147.22,sam2,6.083,18228.619,277.769
546,spreading,1,516,149,8259,146.72,sam2,6.083,18228.619,277.769
547,spreading,1,516,141,8036,142.76,sam2,8.0,23974.132,365.32
548,spreading,1,516,134,7820,138.92,sam2,7.0,20977.365,319.655
549,spreading,1,515,129,7744,137.57,sam2,5.099,15280.571,232.847
550,spreading,1,516,125,7167,127.32,sam2,4.123,12355.985,188.282
551,spreading,1,515,118,6720,119.38,sam2,7.071,21190.339,322.9
552,spreading,1,515,112,6175,109.7,sam2,6.0,17980.599,273.99
553,spreading,1,513,105,5960,105.88,sam2,7.28,21816.789,332.446
554,spreading,1,512,99,5497,97.66,sam2,6.083,18228.619,277.769
555,spreading,1,510,95,5199,92.36,sam2,4.472,13401.947,204.22
556,spreading,1,509,89,5003,88.88,sam2,6.083,18228.619,277.769
557,spreading,1,510,82,5148,91.45,sam2,7.071,21190.339,322.9
558,spreading,1,511,78,5388,95.72,sam2,4.123,12355.985,188.282
559,spreading,1,511,73,5443,96.7,sam2,5.0,14983.832,228.325
560,spreading,1,511,69,5496,97.64,sam2,4.0,11987.066,182.66
561,spreading,1,510,64,5850,103.93,sam2,5.099,15280.571,232.847
562,spreading,1,508,59,6070,107.83,sam2,5.385,16138.081,245.914
563,spreading,1,507,58,6311,112.12,sam2,1.414,4238.068,64.58
564,spreading,1,506,56,6063,107.71,sam2,2.236,6700.974,102.11
565,spreading,1,505,55,5784,102.75,sam2,1.414,4238.068,64.58
566,spreading,1,504,52,5459,96.98,sam2,3.162,9476.608,144.405
567,spreading,1,502,51,5398,95.9,sam2,2.236,6700.974,102.11
568,spreading,1,500,49,5242,93.12,sam2,2.828,8476.136,129.16
569,spreading,1,499,47,4814,85.52,sam2,2.236,6700.974,102.11
570,spreading,1,498,45,4440,78.88,sam2,2.236,6700.974,102.11
571,spreading,1,498,42,4421,78.54,sam2,3.0,8990.299,136.995
572,spreading,1,495,38,4306,76.5,sam2,5.0,14983.832,228.325
573,spreading,1,494,34,4067,72.25,sam2,4.123,12355.985,188.282
574,spreading,1,494,29,3680,65.38,sam2,5.0,14983.832,228.325
575,spreading,1,494,24,3308,58.77,sam2,5.0,14983.832,228.325
576,spreading,1,496,19,2608,46.33,sam2,5.385,16138.081,245.914
577,spreading,1,500,14,1887,33.52,sam2,6.403,19188.668,292.399
578,spreading,1,507,12,1404,24.94,sam2,7.28,21816.789,332.446
579,spreading,1,511,10,1109,19.7,sam2,4.472,13401.947,204.22
580,spreading,1,512,8,950,16.88,sam2,2.236,6700.974,102.11
581,spreading,1,514,6,819,14.55,sam2,2.828,8476.136,129.16
582,spreading,1,514,5,706,12.54,sam2,1.0,2996.766,45.665
583,spreading,1,510,3,624,11.09,sam2,4.472,13401.947,204.22
584,spreading,1,507,4,618,10.98,sam2,3.162,9476.608,144.405
585,spreading,1,502,5,740,13.15,sam2,5.099,15280.571,232.847
586,spreading,1,496,5,723,12.84,sam2,6.0,17980.599,273.99
587,spreading,1,491,5,721,12.81,sam2,5.0,14983.832,228.325
588,spreading,1,487,5,710,12.61,sam2,4.0,11987.066,182.66
589,spreading,1,485,5,703,12.49,sam2,2.0,5993.533,91.33
590,spreading,1,483,5,668,11.87,sam2,2.0,5993.533,91.33
591,spreading,1,480,4,612,10.87,sam2,3.162,9476.608,144.405
592,spreading,1,477,3,543,9.65,sam2,3.162,9476.608,144.405
593,spreading,1,474,2,450,7.99,sam2,3.162,9476.608,144.405
594,spreading,1,472,2,371,6.59,sam2,2.0,5993.533,91.33
595,spreading,1,473,1,322,5.72,sam2,1.414,4238.068,64.58
