frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
167,falling,1,782,67,3197,100.0,sam2,,,
168,falling,1,783,94,3708,115.98,sam2,27.019,80968.172,1233.801
169,falling,1,784,118,3365,105.25,sam2,24.021,71984.801,1096.911
170,falling,1,784,142,3315,103.69,sam2,24.0,71922.396,1095.96
171,falling,1,785,168,3149,98.5,sam2,26.019,77973.538,1188.168
172,falling,1,785,192,3184,99.59,sam2,24.0,71922.396,1095.96
173,falling,1,786,217,3000,93.84,sam2,25.02,74979.074,1142.538
174,falling,1,786,242,3029,94.75,sam2,25.0,74919.162,1141.625
175,falling,1,786,269,3084,96.47,sam2,27.0,80912.695,1232.955
176,falling,1,787,294,3168,99.09,sam2,25.02,74979.074,1142.538
177,falling,1,788,318,3213,100.5,sam2,24.021,71984.801,1096.911
178,falling,1,788,343,3126,97.78,sam2,25.0,74919.162,1141.625
179,falling,1,788,368,3138,98.15,sam2,25.0,74919.162,1141.625
180,falling,1,789,395,3196,99.97,sam2,27.019,80968.172,1233.801
181,spreading,1,790,421,3849,120.39,sam2,26.019,77973.538,1188.168
182,spreading,1,790,448,4237,132.53,sam2,27.0,80912.695,1232.955
183,spreading,1,795,466,4221,132.03,sam2,18.682,55984.218,853.093
184,spreading,1,803,479,4516,141.26,sam2,15.264,45743.655,697.046
185,spreading,1,800,482,4333,135.53,sam2,4.243,12714.203,193.74
186,spreading,1,798,479,4802,150.2,sam2,3.606,10804.995,164.648
187,spreading,1,797,476,4613,144.29,sam2,3.162,9476.608,144.405
188,spreading,1,795,476,4671,146.11,sam2,2.0,5993.533,91.33
189,spreading,1,795,472,4535,141.85,sam2,4.0,11987.066,182.66
190,spreading,1,793,459,5423,169.63,sam2,13.153,39416.309,600.629
191,spreading,1,792,448,6854,214.39,sam2,11.045,33100.368,504.387
192,spreading,1,792,428,8076,252.61,sam2,20.0,59935.33,913.3
193,spreading,1,791,412,8657,270.79,sam2,16.031,48041.822,732.066
194,spreading,1,790,393,10559,330.28,sam2,19.026,57017.371,868.836
195,spreading,1,790,372,10331,323.15,sam2,21.0,62932.096,958.965
196,spreading,1,790,329,15532,485.83,sam2,43.0,128860.959,1963.596
197,spreading,1,791,337,14594,456.49,sam2,8.062,24160.704,368.163
198,spreading,1,791,330,15314,479.01,sam2,7.0,20977.365,319.655
199,spreading,1,791,357,10065,314.83,sam2,27.0,80912.695,1232.955
200,spreading,1,791,370,11615,363.31,sam2,13.0,38957.964,593.645
201,spreading,1,791,363,11227,351.17,sam2,7.0,20977.365,319.655
202,spreading,1,792,328,8311,259.96,sam2,35.014,104929.629,1598.928
203,spreading,1,792,318,7733,241.88,sam2,10.0,29967.665,456.65
204,spreading,1,792,309,7280,227.71,sam2,9.0,26970.898,410.985
205,spreading,1,792,305,7083,221.55,sam2,4.0,11987.066,182.66
206,spreading,1,793,296,6454,201.88,sam2,9.055,27136.875,413.514
207,spreading,1,793,289,5938,185.74,sam2,7.0,20977.365,319.655
208,spreading,1,793,283,5048,157.9,sam2,6.0,17980.599,273.99
209,spreading,1,793,275,4722,147.7,sam2,8.0,23974.132,365.32
210,spreading,1,793,266,4215,131.84,sam2,9.0,26970.898,410.985
211,spreading,1,794,260,3858,120.68,sam2,6.083,18228.619,277.769
212,spreading,1,794,252,3909,122.27,sam2,8.0,23974.132,365.32
213,spreading,1,793,244,3463,108.32,sam2,8.062,24160.704,368.163
