frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
345,falling,1,491,81,6799,100.0,sam2,,,
346,falling,1,490,106,6866,100.99,sam2,25.02,74979.074,1142.538
347,falling,1,490,131,6584,96.84,sam2,25.0,74919.162,1141.625
348,falling,1,490,154,6497,95.56,sam2,23.0,68925.629,1050.295
349,falling,1,490,179,6472,95.19,sam2,25.0,74919.162,1141.625
350,falling,1,489,203,6600,97.07,sam2,24.021,71984.801,1096.911
351,falling,1,489,227,6752,99.31,sam2,24.0,71922.396,1095.96
352,falling,1,488,252,6974,102.57,sam2,25.02,74979.074,1142.538
353,falling,1,488,276,7016,103.19,sam2,24.0,71922.396,1095.96
354,falling,1,487,299,7220,106.19,sam2,23.022,68990.746,1051.288
355,falling,1,486,325,7372,108.43,sam2,26.019,77973.538,1188.168
356,falling,1,486,350,7307,107.47,sam2,25.0,74919.162,1141.625
357,falling,1,485,375,7750,113.99,sam2,25.02,74979.074,1142.538
358,falling,1,485,401,8306,122.17,sam2,26.0,77915.929,1187.29
359,spreading,1,485,422,7787,114.53,sam2,21.0,62932.096,958.965
360,spreading,1,486,441,7498,110.28,sam2,19.026,57017.371,868.836
361,spreading,1,482,471,11488,168.97,sam2,30.265,90698.612,1382.074
362,spreading,1,482,477,11977,176.16,sam2,6.0,17980.599,273.99
363,spreading,1,481,481,11345,166.86,sam2,4.123,12355.985,188.282
364,spreading,1,483,480,13287,195.43,sam2,2.236,6700.974,102.11
365,spreading,1,482,479,13593,199.93,sam2,1.414,4238.068,64.58
366,spreading,1,481,478,13446,197.76,sam2,1.414,4238.068,64.58
367,spreading,1,480,477,13014,191.41,sam2,1.414,4238.068,64.58
368,spreading,1,479,475,12420,182.67,sam2,2.236,6700.974,102.11
369,spreading,1,481,475,10979,161.48,sam2,2.0,5993.533,91.33
370,spreading,1,481,471,11012,161.96,sam2,4.0,11987.066,182.66
371,spreading,1,480,458,12064,177.44,sam2,13.038,39073.055,595.399
372,spreading,1,480,442,13289,195.46,sam2,16.0,47948.264,730.64
373,spreading,1,479,427,14449,212.52,sam2,15.033,45051.279,686.496
374,spreading,1,479,413,14774,217.3,sam2,14.0,41954.731,639.31
375,spreading,1,479,401,15372,226.09,sam2,12.0,35961.198,547.98
376,spreading,1,478,387,16049,236.05,sam2,14.036,42061.622,640.939
377,spreading,1,478,377,16776,246.74,sam2,10.0,29967.665,456.65
378,spreading,1,478,366,17756,261.16,sam2,11.0,32964.431,502.315
379,spreading,1,478,357,18539,272.67,sam2,9.0,26970.898,410.985
380,spreading,1,478,390,15112,222.27,sam2,33.0,98893.294,1506.945
381,spreading,1,477,386,14954,219.94,sam2,4.123,12355.985,188.282
382,spreading,1,476,382,14565,214.22,sam2,4.123,12355.985,188.282
383,spreading,1,476,370,13165,193.63,sam2,12.0,35961.198,547.98
384,spreading,1,476,360,13317,195.87,sam2,10.0,29967.665,456.65
385,spreading,1,476,321,9815,144.36,sam2,39.0,116873.893,1780.936
386,spreading,1,475,307,10568,155.43,sam2,14.036,42061.622,640.939
387,spreading,1,473,295,10946,160.99,sam2,12.166,36457.238,555.539
388,spreading,1,473,300,11329,166.63,sam2,5.0,14983.832,228.325
389,spreading,1,473,301,12424,182.73,sam2,1.0,2996.766,45.665
390,spreading,1,472,299,12892,189.62,sam2,2.236,6700.974,102.11
391,spreading,1,472,291,13178,193.82,sam2,8.0,23974.132,365.32
392,spreading,1,472,284,12207,179.54,sam2,7.0,20977.365,319.655
393,spreading,1,472,276,10343,152.13,sam2,8.0,23974.132,365.32
394,spreading,1,471,270,9704,142.73,sam2,6.083,18228.619,277.769
395,spreading,1,471,263,9098,133.81,sam2,7.0,20977.365,319.655
396,spreading,1,473,251,8757,128.8,sam2,12.166,36457.238,555.539
397,spreading,1,473,243,7986,117.46,sam2,8.0,23974.132,365.32
398,spreading,1,473,237,7466,109.81,sam2,6.0,17980.599,273.99
399,spreading,1,472,232,7476,109.96,sam2,5.099,15280.571,232.847
400,spreading,1,472,228,7355,108.18,sam2,4.0,11987.066,182.66
401,spreading,1,472,224,7347,108.06,sam2,4.0,11987.066,182.66
402,spreading,1,472,220,7328,107.78,sam2,4.0,11987.066,182.66
403,spreading,1,471,217,7447,109.53,sam2,3.162,9476.608,144.405
404,spreading,1,471,213,7711,113.41,sam2,4.0,11987.066,182.66
405,spreading,1,471,207,7002,102.99,sam2,6.0,17980.599,273.99
406,spreading,1,471,198,6225,91.56,sam2,9.0,26970.898,410.985
407,spreading,1,471,193,6112,89.9,sam2,5.0,14983.832,228.325
408,spreading,1,471,187,5942,87.4,sam2,6.0,17980.599,273.99
409,spreading,1,470,178,6621,97.38,sam2,9.055,27136.875,413.514
410,spreading,1,470,175,7220,106.19,sam2,3.0,8990.299,136.995
411,spreading,1,469,170,7765,114.21,sam2,5.099,15280.571,232.847
412,spreading,1,469,167,7615,112.0,sam2,3.0,8990.299,136.995
413,spreading,1,468,165,8001,117.68,sam2,2.236,6700.974,102.11
414,spreading,1,469,160,8289,121.91,sam2,5.099,15280.571,232.847
415,spreading,1,470,156,7789,114.56,sam2,4.123,12355.985,188.282
