frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
8512,falling,1,878,84,13110,100.0,sam2,,,
8513,falling,1,,,,,null,,,
8514,falling,1,,,,,null,,,
8515,falling,1,,,,,null,,,
8516,falling,1,882,178,12830,97.86,sam2,94.085,70487.745,1074.099
8517,falling,1,,,,,null,,,
8518,falling,1,,,,,null,,,
8519,falling,1,,,,,null,,,
8520,falling,1,885,273,12681,96.73,sam2,95.047,71208.683,1085.085
8521,falling,1,,,,,null,,,
8522,falling,1,,,,,null,,,
8523,falling,1,,,,,null,,,
8524,falling,1,888,369,12995,99.12,sam2,96.047,71957.506,1096.495
8525,falling,1,,,,,null,,,
8526,falling,1,,,,,null,,,
8527,falling,1,,,,,null,,,
8528,falling,1,896,431,8229,62.77,sam2,62.514,46834.964,713.676
8529,falling,1,,,,,null,,,
8530,falling,1,,,,,null,,,
8531,falling,1,,,,,null,,,
8532,falling,1,903,437,8823,67.3,sam2,9.22,6907.205,105.253
8533,falling,1,,,,,null,,,
8534,falling,1,,,,,null,,,
8535,falling,1,,,,,null,,,
8536,falling,1,900,431,10266,78.31,sam2,6.708,5025.73,76.583
8537,falling,1,,,,,null,,,
8538,falling,1,,,,,null,,,
8539,falling,1,,,,,null,,,
8540,falling,1,899,396,13476,102.79,sam2,35.014,26232.407,399.732
8541,falling,1,,,,,null,,,
8542,falling,1,,,,,null,,,
8543,falling,1,,,,,null,,,
8544,falling,1,900,369,15706,119.8,sam2,27.019,20242.043,308.45
8545,falling,1,,,,,null,,,
8546,falling,1,,,,,null,,,
8547,falling,1,,,,,null,,,
8548,falling,1,902,348,17674,134.81,sam2,21.095,15804.215,240.826
8549,falling,1,,,,,null,,,
8550,falling,1,,,,,null,,,
8551,falling,1,,,,,null,,,
8552,falling,1,907,331,18060,137.76,sam2,17.72,13275.709,202.297
8553,falling,1,,,,,null,,,
8554,falling,1,,,,,null,,,
8555,falling,1,,,,,null,,,
8556,falling,1,910,311,16859,128.6,sam2,20.224,15151.463,230.879
8557,falling,1,,,,,null,,,
8558,falling,1,,,,,null,,,
8559,falling,1,,,,,null,,,
8560,falling,1,912,292,15909,121.35,sam2,19.105,14313.286,218.107
8561,falling,1,,,,,null,,,
8562,falling,1,,,,,null,,,
8563,falling,1,,,,,null,,,
8564,falling,1,914,274,13770,105.03,sam2,18.111,13568.437,206.757
8565,falling,1,,,,,null,,,
8566,falling,1,,,,,null,,,
8567,falling,1,,,,,null,,,
8568,falling,1,916,258,10444,79.66,sam2,16.125,12080.352,184.082
8569,falling,1,,,,,null,,,
8570,falling,1,,,,,null,,,
8571,falling,1,,,,,null,,,
8572,falling,1,920,241,10409,79.4,sam2,17.464,13084.069,199.376
8573,falling,1,,,,,null,,,
8574,falling,1,,,,,null,,,
8575,falling,1,,,,,null,,,
8576,falling,1,923,227,13050,99.54,sam2,14.318,10726.792,163.456
8577,falling,1,,,,,null,,,
8578,falling,1,,,,,null,,,
8579,falling,1,,,,,null,,,
8580,falling,1,926,212,15275,116.51,sam2,15.297,11460.428,174.635
8581,falling,1,,,,,null,,,
8582,falling,1,,,,,null,,,
8583,falling,1,,,,,null,,,
8584,falling,1,929,200,16231,123.81,sam2,12.369,9266.989,141.211
8585,falling,1,,,,,null,,,
8586,falling,1,,,,,null,,,
8587,falling,1,,,,,null,,,
8588,falling,1,932,190,15384,117.35,sam2,10.44,7821.79,119.189
8589,falling,1,,,,,null,,,
8590,falling,1,,,,,null,,,
8591,falling,1,,,,,null,,,
8592,falling,1,935,180,14209,108.38,sam2,10.44,7821.79,119.189
8593,falling,1,,,,,null,,,
8594,falling,1,,,,,null,,,
8595,falling,1,,,,,null,,,
8596,falling,1,937,169,11446,87.31,sam2,11.18,8376.217,127.638
8597,falling,1,,,,,null,,,
8598,falling,1,,,,,null,,,
8599,falling,1,,,,,null,,,
8600,falling,1,940,161,10389,79.24,sam2,8.544,6401.096,97.541
8601,falling,1,,,,,null,,,
8602,falling,1,,,,,null,,,
8603,falling,1,,,,,null,,,
8604,falling,1,942,157,11921,90.93,sam2,4.472,3350.487,51.055
8605,falling,1,,,,,null,,,
8606,falling,1,,,,,null,,,
8607,falling,1,,,,,null,,,
8608,falling,1,945,149,13607,103.79,sam2,8.544,6401.096,97.541
8609,falling,1,,,,,null,,,
8610,falling,1,,,,,null,,,
8611,falling,1,,,,,null,,,
8612,falling,1,948,143,15165,115.68,sam2,6.708,5025.73,76.583
8613,falling,1,,,,,null,,,
8614,falling,1,,,,,null,,,
8615,falling,1,,,,,null,,,
