frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
111,1,falling,2330.0,85.895,3,121,1198.4,361.6,120.198,35.366,17.0,0.12,121.8,1174.0,416.0,17.0,35.366,3.399,0.205,0.71,0,65.199,0.9935,0.5015,0.0,119.4,,,65.625,
112,2,falling,2631.0,92.627,3,124,1210.9,298.7,135.892,36.634,7.7,0.086,144.0,1188.0,367.0,7.7,36.634,3.709,0.181,0.665,0,70.556,1.0751,0.5427,0.3337,182.3,64.13,192182.71,65.625,2928.5
113,3,falling,1994.5,89.652,3,121,1188.4,380.2,114.259,34.912,23.7,0.084,128.7,1205.0,318.0,23.7,34.912,3.273,0.195,0.632,0,63.159,0.9624,0.4858,0.6674,100.8,84.549,253373.02,65.625,3860.92
114,4,falling,1437.5,98.862,3,125,1212.7,174.7,109.834,25.977,176.4,0.057,120.4,1212.0,236.0,176.4,25.977,4.228,0.152,0.588,0,53.415,0.8139,0.4109,1.0011,306.3,206.932,620126.07,65.625,9449.54
115,5,falling,4250.5,91.571,3,124,1217.8,269.0,179.488,45.544,7.3,0.083,178.4,1188.0,354.0,7.3,45.544,3.941,0.168,0.683,0,90.413,1.3777,0.6955,1.3348,212.0,94.438,283008.06,65.625,4312.5
116,6,falling,2313.0,91.536,3,124,1212.7,298.7,128.845,32.285,10.8,0.104,129.9,1190.0,361.0,10.8,32.285,3.991,0.177,0.658,0,64.496,0.9828,0.4961,1.6685,182.3,30.135,90306.65,65.625,1376.1
117,7,falling,2690.5,89.033,3,121,1189.3,380.1,124.879,39.231,22.4,0.084,139.1,1155.0,443.0,22.4,39.231,3.183,0.22,0.666,0,69.994,1.0666,0.5384,2.0022,100.9,84.697,253816.04,65.625,3867.67
118,8,falling,2741.0,93.565,3,124,1219.4,239.9,139.779,36.762,3.3,0.111,144.2,1202.0,311.0,3.3,36.762,3.802,0.179,0.656,0,71.684,1.0923,0.5514,2.3359,241.1,143.395,429720.54,65.625,6548.12
119,9,falling,1620.5,85.38,3,116,1183.4,403.0,105.388,25.94,24.5,0.111,100.8,1194.0,354.0,24.5,25.94,4.063,0.186,0.751,0,52.286,0.7967,0.4022,2.6695,78.0,167.026,500537.25,65.625,7627.23
120,10,falling,1178.5,95.012,3,124,1213.0,283.1,89.582,21.759,8.3,0.081,96.2,1215.0,235.0,8.3,21.759,4.117,0.187,0.673,0,44.15,0.6728,0.3396,3.0032,197.9,123.5,370099.69,65.625,5639.61
123,11,falling,1782.0,97.666,3,126,1214.6,246.1,109.845,31.836,2.5,0.095,123.5,1202.0,304.0,2.5,31.836,3.45,0.188,0.672,0,59.135,0.9011,0.4549,4.0043,234.9,37.035,110983.98,65.625,1691.18
125,12,falling,1573.5,83.868,3,122,1208.2,321.1,91.706,30.136,11.8,0.104,97.7,1189.0,367.0,11.8,30.136,3.043,0.238,0.692,0,52.57,0.8011,0.4044,4.6717,159.9,75.273,225574.32,65.625,3437.32
126,13,falling,1914.5,79.824,3,112,1178.8,414.1,110.903,30.412,23.4,0.071,108.5,1150.0,459.0,23.4,30.412,3.647,0.198,0.679,0,58.075,0.885,0.4467,5.0054,66.9,97.536,292293.98,65.625,4454.0
130,14,falling,6010.5,11.93,3,72,1269.2,278.0,112.9,110.928,179.3,0.728,114.0,1270.0,335.0,179.3,110.928,1.018,0.6,0.989,0,111.91,1.7053,0.8608,6.3402,203.0,163.387,489633.22,65.625,7461.08
133,15,falling,2735.0,73.188,3,109,1173.9,428.5,123.298,37.774,32.8,0.122,112.7,1126.0,470.0,32.8,37.774,3.264,0.229,0.749,0,68.246,1.0399,0.525,7.3412,52.5,178.136,533831.2,65.625,8134.57
134,16,falling,7595.5,73.466,8,146,746.6,67.1,101.631,96.085,158.9,0.389,105.4,752.0,120.0,158.9,96.085,1.058,0.936,0.941,0,98.819,1.5058,0.7601,7.6749,413.9,559.638,1677105.9,65.625,25555.9
135,17,falling,8176.0,76.863,8,155,746.6,90.0,108.218,96.942,165.8,0.413,111.1,753.0,146.0,165.8,96.942,1.116,0.889,0.946,0,102.425,1.5608,0.7879,8.0086,391.0,22.9,68625.95,65.625,1045.73
