frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
268,1,falling,12968.5,14.082,3,88,1265.0,372.3,174.625,154.519,20.5,0.453,172.0,1268.0,460.0,20.5,154.519,1.13,0.541,0.971,0,164.265,2.5031,2.5865,0.0,112.7,,,65.625,
269,2,falling,3422.0,87.831,3,123,1201.5,354.2,153.367,39.769,14.9,0.078,152.2,1165.0,423.0,14.9,39.769,3.856,0.185,0.714,0,78.097,1.19,1.2297,0.3337,130.8,66.029,197874.2,65.625,3015.23
270,3,falling,2727.5,91.674,3,127,1221.5,237.5,157.416,32.694,3.8,0.108,134.0,1207.0,302.0,3.8,32.694,4.815,0.14,0.724,0,71.739,1.0932,1.1296,0.6674,247.5,118.401,354821.33,65.625,5406.8
273,4,falling,1059.0,91.513,3,124,1203.8,324.4,83.762,27.455,14.5,0.046,100.4,1184.0,372.0,14.5,27.455,3.051,0.192,0.55,0,47.955,0.7307,0.7551,1.6685,160.6,88.684,265766.05,65.625,4049.77
274,5,falling,11711.5,17.24,3,102,1266.7,336.2,173.761,142.613,14.2,0.328,172.0,1274.0,424.0,14.2,142.613,1.218,0.494,0.957,0,157.419,2.3988,2.4787,2.0022,148.8,63.997,191784.86,65.625,2922.44
275,6,falling,1140.0,98.005,3,124,1214.9,190.8,88.507,26.331,0.2,0.077,104.0,1212.0,243.0,0.2,26.331,3.361,0.185,0.595,0,48.275,0.7356,0.7601,2.3359,294.2,154.352,462555.54,65.625,7048.47
276,7,falling,859.0,93.063,7,122,1208.0,306.9,71.463,19.972,7.7,0.107,81.0,1197.0,347.0,7.7,19.972,3.578,0.214,0.681,0,37.779,0.5757,0.5949,2.6695,178.1,116.305,348538.5,65.625,5311.06
283,8,falling,2138.0,83.057,3,117,1172.5,425.3,121.123,30.567,28.6,0.099,119.5,1189.0,367.0,28.6,30.567,3.963,0.186,0.71,0,60.847,0.9272,0.9581,5.0054,59.7,123.607,370422.76,65.625,5644.54
285,9,falling,2309.5,86.136,3,118,1190.1,381.1,122.917,33.907,23.2,0.078,122.2,1205.0,324.0,23.2,33.907,3.625,0.195,0.693,0,64.559,0.9838,1.0165,5.6728,103.9,47.575,142571.78,65.625,2172.52
287,10,falling,2226.0,89.491,3,124,1197.1,363.0,126.129,32.547,16.1,0.071,132.2,1205.0,297.0,16.1,32.547,3.875,0.178,0.679,0,64.072,0.9763,1.0089,6.3402,122.0,19.406,58156.58,65.625,886.2
288,11,falling,3323.0,83.984,3,120,1169.8,412.5,123.115,65.565,29.6,0.068,150.4,1122.0,474.0,29.6,65.565,1.878,0.279,0.631,0,89.845,1.3691,1.4147,6.6739,72.5,56.529,169404.54,65.625,2581.4
292,12,falling,1024.0,100.746,3,127,1210.6,164.5,87.793,23.64,178.4,0.055,101.1,1206.0,216.0,178.4,23.64,3.714,0.169,0.576,0,45.557,0.6942,0.7173,8.0086,320.5,251.334,753188.48,65.625,11477.16
293,13,falling,1876.5,100.358,3,151,1200.0,77.1,109.329,30.282,166.2,0.111,109.9,1203.0,134.0,166.2,30.282,3.61,0.2,0.669,0,57.539,0.8768,0.906,8.3423,407.9,88.04,263836.66,65.625,4020.37
294,14,falling,2112.0,92.084,3,125,1210.7,306.8,120.244,30.142,11.4,0.149,119.9,1212.0,244.0,11.4,30.142,3.989,0.186,0.753,0,60.203,0.9174,0.9479,8.676,178.2,229.949,689103.7,65.625,10500.63
295,15,falling,1274.0,102.041,3,138,1216.8,208.1,97.613,22.349,176.6,0.076,102.4,1216.0,258.0,176.6,22.349,4.368,0.17,0.636,0,46.708,0.7117,0.7355,9.0097,276.9,98.888,296345.21,65.625,4515.74
297,16,falling,1327.5,104.917,3,155,1214.3,228.3,102.073,26.67,179.5,0.093,111.0,1210.0,284.0,179.5,26.67,3.827,0.162,0.589,0,52.176,0.7951,0.8216,9.6771,256.7,20.354,60996.53,65.625,929.47
298,17,falling,2395.5,86.267,3,125,1196.9,364.4,138.349,32.007,17.7,0.103,125.3,1166.0,418.0,17.7,32.007,4.322,0.159,0.746,0,66.545,1.014,1.0478,10.0108,120.6,137.208,411179.62,65.625,6265.59
299,18,falling,2563.5,92.67,3,147,1206.3,334.9,137.247,32.256,13.4,0.085,130.5,1212.0,267.0,13.4,32.256,4.255,0.173,0.738,0,66.536,1.0139,1.0477,10.3445,150.1,30.961,92784.17,65.625,1413.85
300,19,falling,8631.5,10.723,3,75,1277.0,325.9,146.793,144.755,7.0,0.681,148.0,1278.0,400.0,7.0,144.755,1.014,0.51,0.991,0,145.771,2.2213,2.2953,10.6782,159.1,71.271,213581.17,65.625,3254.57
301,20,falling,2113.0,97.946,3,141,1214.5,155.5,135.267,27.673,175.9,0.087,123.4,1210.0,217.0,175.9,27.673,4.888,0.147,0.716,0,61.182,0.9323,0.9634,11.0119,329.5,181.5,543914.44,65.625,8288.22
302,21,falling,2459.5,92.172,3,129,1209.5,108.5,131.67,30.633,168.6,0.104,124.3,1213.0,174.0,168.6,30.633,4.298,0.181,0.756,0,63.509,0.9678,1.0,11.3456,376.5,47.265,141642.8,65.625,2158.37
304,22,falling,1730.0,103.726,3,162,1183.8,394.9,116.355,26.553,26.1,0.057,115.8,1150.0,446.0,26.1,26.553,4.382,0.163,0.657,0,55.584,0.847,0.8752,12.0129,90.1,287.551,861722.54,65.625,13131.01
306,23,falling,3246.5,101.993,3,156,1191.8,383.8,151.942,40.091,17.3,0.101,157.8,1155.0,452.0,17.3,40.091,3.79,0.179,0.69,0,78.049,1.1893,1.2289,12.6803,101.2,13.682,41003.17,65.625,624.81
308,1,spreading,,,,,,485,,,,,,,,,,,0.0,,67,,,1.055,13.3477,0,,,65.625,
309,2,spreading,,,,,,485,,,,,,,,,,,0.0,,91,,,1.4329,13.6814,0,,,65.625,
310,3,spreading,,,,,,485,,,,,,,,,,,0.0,,128,,,2.0155,14.0151,0,,,65.625,
311,4,spreading,,,,,,485,,,,,,,,,,,0.0,,135,,,2.1257,14.3488,0,,,65.625,
312,5,spreading,,,,,,485,,,,,,,,,,,0.0,,136,,,2.1414,14.6825,0,,,65.625,
313,6,spreading,,,,,,485,,,,,,,,,,,0.0,,126,,,1.984,15.0162,0,,,65.625,
314,7,spreading,,,,,,485,,,,,,,,,,,0.0,,107,,,1.6848,15.3499,0,,,65.625,
315,8,spreading,,,,,,485,,,,,,,,,,,0.0,,94,,,1.4801,15.6836,0,,,65.625,
316,9,spreading,,,,,,485,,,,,,,,,,,0.0,,84,,,1.3226,16.0173,0,,,65.625,
317,10,spreading,,,,,,485,,,,,,,,,,,0.0,,76,,,1.1967,16.351,0,,,65.625,
318,11,spreading,,,,,,485,,,,,,,,,,,0.0,,69,,,1.0865,16.6846,0,,,65.625,
319,12,spreading,,,,,,485,,,,,,,,,,,0.0,,64,,,1.0077,17.0183,0,,,65.625,
320,13,spreading,,,,,,485,,,,,,,,,,,0.0,,59,,,0.929,17.352,0,,,65.625,
321,14,spreading,,,,,,485,,,,,,,,,,,0.0,,53,,,0.8345,17.6857,0,,,65.625,
322,15,spreading,,,,,,485,,,,,,,,,,,0.0,,50,,,0.7873,18.0194,0,,,65.625,
323,16,spreading,,,,,,485,,,,,,,,,,,0.0,,41,,,0.6456,18.3531,0,,,65.625,
324,17,spreading,,,,,,485,,,,,,,,,,,0.0,,31,,,0.4881,18.6868,0,,,65.625,
325,18,spreading,,,,,,485,,,,,,,,,,,0.0,,24,,,0.3779,19.0205,0,,,65.625,
326,19,spreading,,,,,,485,,,,,,,,,,,0.0,,19,,,0.2992,19.3542,0,,,65.625,
327,20,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,65.625,
328,21,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,65.625,
329,22,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,65.625,
330,23,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,20.689,0,,,65.625,
331,24,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,65.625,
332,25,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,65.625,
333,26,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,21.69,0,,,65.625,
334,27,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,65.625,
335,28,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,65.625,
336,29,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,65.625,
337,30,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,65.625,
338,31,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,65.625,
339,32,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,65.625,
340,33,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,65.625,
341,34,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,65.625,
342,35,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,65.625,
343,36,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,25.027,0,,,65.625,
344,37,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,65.625,
345,38,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,65.625,
346,39,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,65.625,
347,40,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,65.625,
348,41,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,65.625,
349,42,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,65.625,
350,43,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,65.625,
351,44,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,65.625,
352,45,spreading,,,,,,485,,,,,,,,,,,0.0,,7,,,0.1102,28.0302,0,,,65.625,
353,46,spreading,,,,,,485,,,,,,,,,,,0.0,,10,,,0.1575,28.3639,0,,,65.625,
354,47,spreading,,,,,,485,,,,,,,,,,,0.0,,19,,,0.2992,28.6976,0,,,65.625,
355,48,spreading,,,,,,485,,,,,,,,,,,0.0,,23,,,0.3622,29.0313,0,,,65.625,
356,49,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,29.365,0,,,65.625,
357,50,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,65.625,
358,51,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,65.625,
359,52,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,30.3661,0,,,65.625,
360,53,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,30.6998,0,,,65.625,
361,54,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,31.0334,0,,,65.625,
362,55,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,31.3671,0,,,65.625,
363,56,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,31.7008,0,,,65.625,
364,57,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,32.0345,0,,,65.625,
365,58,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,32.3682,0,,,65.625,
366,59,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,32.7019,0,,,65.625,
367,60,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,33.0356,0,,,65.625,
368,61,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,33.3693,0,,,65.625,
369,62,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,33.703,0,,,65.625,
370,63,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,34.0367,0,,,65.625,
371,64,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,34.3704,0,,,65.625,
372,65,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,34.7041,0,,,65.625,
373,66,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,35.0378,0,,,65.625,
374,67,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,35.3715,0,,,65.625,
375,68,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,35.7052,0,,,65.625,
376,69,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,36.0388,0,,,65.625,
377,70,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,36.3725,0,,,65.625,
378,71,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,36.7062,0,,,65.625,
379,72,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,37.0399,0,,,65.625,
380,73,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,37.3736,0,,,65.625,
381,74,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,37.7073,0,,,65.625,
382,75,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,38.041,0,,,65.625,
383,76,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,38.3747,0,,,65.625,
384,77,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,38.7084,0,,,65.625,
385,78,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,39.0421,0,,,65.625,
386,79,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,39.3758,0,,,65.625,
387,80,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,39.7095,0,,,65.625,
388,81,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,40.0432,0,,,65.625,
389,82,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,40.3769,0,,,65.625,
390,83,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,40.7105,0,,,65.625,
391,84,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,41.0442,0,,,65.625,
392,85,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,41.3779,0,,,65.625,
393,86,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,41.7116,0,,,65.625,
394,87,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,42.0453,0,,,65.625,
395,88,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,42.379,0,,,65.625,
396,89,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,42.7127,0,,,65.625,
397,90,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,43.0464,0,,,65.625,
398,91,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,43.3801,0,,,65.625,
399,92,spreading,,,,,,485,,,,,,,,,,,0.0,,0,,,,43.7138,0,,,65.625,
