frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
205,1,falling,2468.5,86.34,3,124,1208.2,374.2,128.677,31.311,15.0,0.147,125.2,1185.0,425.0,15.0,31.311,4.11,0.19,0.772,0,63.474,0.9672,0.9044,0.0,95.8,,,65.625,
206,2,falling,3008.5,94.83,3,125,1226.1,216.5,180.8,31.024,0.7,0.089,160.0,1209.0,296.0,0.7,31.024,5.828,0.117,0.696,0,74.895,1.1413,1.0671,0.3337,253.5,158.713,475624.7,65.625,7247.61
207,3,falling,1008.5,90.392,3,120,1204.7,363.4,80.561,22.039,16.5,0.08,88.5,1190.0,403.0,16.5,22.039,3.655,0.198,0.616,0,42.136,0.6421,0.6003,0.6674,106.6,148.451,444871.68,65.625,6779.0
209,4,falling,2951.0,95.065,3,126,1227.3,201.2,163.582,29.949,177.8,0.133,144.1,1218.0,277.0,177.8,29.949,5.462,0.14,0.766,0,69.994,1.0666,0.9973,1.3348,268.8,163.767,490771.18,65.625,7478.42
212,5,falling,2749.0,92.543,3,124,1228.2,229.2,163.563,29.999,179.2,0.2,134.0,1215.0,297.0,179.2,29.999,5.452,0.131,0.83,0,70.048,1.0674,0.998,2.3359,240.8,28.014,83952.8,65.625,1279.28
213,6,falling,3165.0,92.967,3,126,1220.8,268.3,136.555,45.749,6.5,0.094,156.7,1216.0,188.0,6.5,45.749,2.985,0.216,0.668,0,79.039,1.2044,1.1261,2.6695,201.7,39.794,119253.61,65.625,1817.2
214,7,falling,2753.5,93.79,3,125,1225.7,194.7,148.016,32.162,177.5,0.084,146.1,1215.0,271.0,177.5,32.162,4.602,0.16,0.728,0,68.996,1.0514,0.983,3.0032,275.3,73.763,221050.28,65.625,3368.39
216,8,falling,2864.0,93.049,3,125,1227.5,204.9,154.292,31.753,179.2,0.147,138.1,1219.0,273.0,179.2,31.753,4.859,0.153,0.751,0,69.994,1.0666,0.9973,3.6706,265.1,10.358,31039.33,65.625,472.98
217,9,falling,1803.5,94.481,3,124,1215.4,312.3,120.937,28.72,8.5,0.087,129.0,1200.0,371.0,8.5,28.72,4.211,0.157,0.631,0,58.935,0.8981,0.8397,4.0043,157.7,108.079,323888.91,65.625,4935.45
218,10,falling,2506.5,91.777,3,125,1210.8,346.7,161.691,30.393,14.3,0.079,153.3,1176.0,416.0,14.3,30.393,5.32,0.122,0.663,0,70.102,1.0682,0.9988,4.338,123.3,34.706,104006.36,65.625,1584.86
220,11,falling,2974.5,92.077,3,128,1223.0,260.1,127.586,42.198,4.3,0.099,142.6,1203.0,326.0,4.3,42.198,3.023,0.233,0.711,0,73.375,1.1181,1.0454,5.0054,209.9,87.455,262082.61,65.625,3993.64
221,12,falling,3100.5,94.704,3,127,1228.1,219.8,187.165,29.573,179.6,0.153,150.0,1217.0,294.0,179.6,29.573,6.329,0.113,0.803,0,74.398,1.1337,1.06,5.3391,250.2,40.621,121732.92,65.625,1854.98
224,13,falling,3344.5,90.359,3,130,1223.5,149.2,158.105,38.932,173.5,0.112,148.6,1219.0,222.0,173.5,38.932,4.061,0.17,0.709,0,78.456,1.1955,1.1178,6.3402,320.8,70.75,212020.33,65.625,3230.79
225,14,falling,2883.0,94.535,3,125,1227.1,235.7,170.126,30.104,1.1,0.151,147.1,1210.0,308.0,1.1,30.104,5.651,0.127,0.787,0,71.565,1.0905,1.0196,6.6739,234.3,86.575,259444.7,65.625,3953.44
226,15,falling,2969.0,93.508,3,126,1221.2,264.9,130.896,45.162,6.6,0.077,152.1,1200.0,340.0,6.6,45.162,2.898,0.221,0.684,0,76.886,1.1716,1.0954,7.0076,205.1,29.79,89273.97,65.625,1360.37
227,16,falling,3666.5,91.874,3,127,1222.7,146.2,171.178,38.629,173.7,0.12,160.1,1218.0,232.0,173.7,38.629,4.431,0.159,0.746,0,81.317,1.2391,1.1586,7.3412,323.8,118.709,355744.58,65.625,5420.87
228,17,falling,3468.5,92.572,3,128,1229.2,233.0,201.763,32.097,0.7,0.129,152.0,1214.0,308.0,0.7,32.097,6.286,0.108,0.811,0,80.473,1.2263,1.1466,7.6749,237.0,87.043,260847.65,65.625,3974.82
231,18,falling,2816.5,91.882,3,127,1221.8,282.8,162.832,32.183,5.7,0.089,141.6,1201.0,349.0,5.7,32.183,5.06,0.135,0.737,0,72.39,1.1031,1.0314,8.676,187.2,50.347,150877.6,65.625,2299.09
232,19,falling,2955.5,93.931,3,128,1222.6,176.9,136.041,39.047,173.0,0.138,143.3,1220.0,248.0,173.0,39.047,3.484,0.203,0.705,0,72.883,1.1106,1.0384,9.0097,293.1,105.903,317366.63,65.625,4836.06
233,20,falling,4120.0,91.324,3,128,1221.7,305.3,191.685,38.835,6.7,0.169,163.1,1216.0,212.0,6.7,38.835,4.936,0.143,0.786,0,86.279,1.3147,1.2293,9.3434,164.7,128.403,384794.27,65.625,5863.53
234,21,falling,2981.5,94.385,3,126,1220.3,276.4,151.05,35.86,5.6,0.06,158.3,1196.0,353.0,5.6,35.86,4.212,0.166,0.668,0,73.598,1.1215,1.0486,9.6771,193.6,28.934,86708.11,65.625,1321.27
235,22,falling,1371.0,96.218,3,130,1215.2,288.2,95.688,30.473,9.5,0.075,116.9,1198.0,344.0,9.5,30.473,3.14,0.191,0.595,0,53.999,0.8228,0.7694,10.0108,181.8,12.855,38523.31,65.625,587.02
236,23,falling,3227.5,89.59,3,127,1224.1,284.9,175.314,35.274,6.3,0.138,142.1,1198.0,346.0,6.3,35.274,4.97,0.134,0.758,0,78.639,1.1983,1.1204,10.3445,185.1,9.492,28445.61,65.625,433.46
237,24,falling,2760.5,94.097,3,127,1225.3,203.2,142.499,32.576,179.5,0.128,133.0,1216.0,271.0,179.5,32.576,4.374,0.173,0.75,0,68.132,1.0382,0.9707,10.6782,266.8,81.709,244862.23,65.625,3731.23
238,25,falling,1916.0,91.424,3,125,1210.9,95.7,114.125,28.463,165.5,0.106,116.2,1217.0,154.0,165.5,28.463,4.01,0.187,0.714,0,56.994,0.8685,0.812,11.0119,374.3,108.46,325029.82,65.625,4952.84
239,26,falling,2822.0,92.012,3,125,1223.9,242.8,144.927,36.393,1.8,0.126,135.1,1214.0,172.0,1.8,36.393,3.982,0.171,0.713,0,72.624,1.1067,1.0347,11.3456,227.2,147.673,442542.46,65.625,6743.5
240,27,falling,3141.5,93.711,3,125,1222.7,190.4,143.801,38.325,176.3,0.098,147.3,1215.0,268.0,176.3,38.325,3.752,0.193,0.709,0,74.237,1.1312,1.0577,11.6793,279.6,52.414,157071.74,65.625,2393.47
241,28,falling,2002.5,95.945,3,124,1223.7,236.3,131.316,27.08,0.3,0.142,124.1,1214.0,296.0,0.3,27.08,4.849,0.148,0.717,0,59.632,0.9087,0.8496,12.0129,233.7,45.911,137584.22,65.625,2096.52
242,29,falling,2893.5,91.801,3,126,1224.5,187.3,138.38,35.599,179.0,0.098,134.1,1210.0,261.0,179.0,35.599,3.887,0.192,0.682,0,70.187,1.0695,1.0,12.3466,282.7,49.007,146861.13,65.625,2237.88
244,1,spreading,,,,,,470,,,,,,,,,,,0.0,,87,,,1.2395,13.014,0,,,65.625,
245,2,spreading,,,,,,470,,,,,,,,,,,0.0,,107,,,1.5245,13.3477,0,,,65.625,
246,3,spreading,,,,,,470,,,,,,,,,,,0.0,,129,,,1.8379,13.6814,0,,,65.625,
247,4,spreading,,,,,,470,,,,,,,,,,,0.0,,172,,,2.4506,14.0151,0,,,65.625,
248,5,spreading,,,,,,470,,,,,,,,,,,0.0,,199,,,2.8353,14.3488,0,,,65.625,
249,6,spreading,,,,,,470,,,,,,,,,,,0.0,,216,,,3.0775,14.6825,0,,,65.625,
250,7,spreading,,,,,,470,,,,,,,,,,,0.0,,224,,,3.1915,15.0162,0,,,65.625,
251,8,spreading,,,,,,470,,,,,,,,,,,0.0,,225,,,3.2057,15.3499,0,,,65.625,
252,9,spreading,,,,,,470,,,,,,,,,,,0.0,,219,,,3.1202,15.6836,0,,,65.625,
253,10,spreading,,,,,,470,,,,,,,,,,,0.0,,209,,,2.9778,16.0173,0,,,65.625,
254,11,spreading,,,,,,470,,,,,,,,,,,0.0,,196,,,2.7925,16.351,0,,,65.625,
255,12,spreading,,,,,,470,,,,,,,,,,,0.0,,182,,,2.5931,16.6846,0,,,65.625,
256,13,spreading,,,,,,470,,,,,,,,,,,0.0,,167,,,2.3794,17.0183,0,,,65.625,
257,14,spreading,,,,,,470,,,,,,,,,,,0.0,,153,,,2.1799,17.352,0,,,65.625,
258,15,spreading,,,,,,470,,,,,,,,,,,0.0,,143,,,2.0374,17.6857,0,,,65.625,
259,16,spreading,,,,,,470,,,,,,,,,,,0.0,,130,,,1.8522,18.0194,0,,,65.625,
260,17,spreading,,,,,,470,,,,,,,,,,,0.0,,118,,,1.6812,18.3531,0,,,65.625,
261,18,spreading,,,,,,470,,,,,,,,,,,0.0,,108,,,1.5387,18.6868,0,,,65.625,
262,19,spreading,,,,,,470,,,,,,,,,,,0.0,,94,,,1.3393,19.0205,0,,,65.625,
263,20,spreading,,,,,,470,,,,,,,,,,,0.0,,86,,,1.2253,19.3542,0,,,65.625,
264,21,spreading,,,,,,470,,,,,,,,,,,0.0,,75,,,1.0686,19.6879,0,,,65.625,
265,22,spreading,,,,,,470,,,,,,,,,,,0.0,,68,,,0.9688,20.0216,0,,,65.625,
266,23,spreading,,,,,,470,,,,,,,,,,,0.0,,65,,,0.9261,20.3553,0,,,65.625,
267,24,spreading,,,,,,470,,,,,,,,,,,0.0,,59,,,0.8406,20.689,0,,,65.625,
268,25,spreading,,,,,,470,,,,,,,,,,,0.0,,64,,,0.9118,21.0227,0,,,65.625,
269,26,spreading,,,,,,470,,,,,,,,,,,0.0,,70,,,0.9973,21.3564,0,,,65.625,
270,27,spreading,,,,,,470,,,,,,,,,,,0.0,,76,,,1.0828,21.69,0,,,65.625,
271,28,spreading,,,,,,470,,,,,,,,,,,0.0,,72,,,1.0258,22.0237,0,,,65.625,
272,29,spreading,,,,,,470,,,,,,,,,,,0.0,,58,,,0.8264,22.3574,0,,,65.625,
273,30,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,65.625,
274,31,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,65.625,
275,32,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,65.625,
276,33,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,65.625,
277,34,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,65.625,
278,35,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,65.625,
279,1,rebounding,2241.0,56.559,2,123,537.6,56.7,56.224,50.983,4.2,0.566,58.5,542.0,28.0,4.2,50.983,1.103,0.903,0.945,0,53.539,0.8158,0.7628,0.3337,413.3,,,65.625,
280,2,rebounding,1996.5,63.113,6,144,537.7,45.4,51.686,50.054,176.2,0.658,53.4,552.0,24.0,176.2,50.054,1.033,0.952,0.945,0,50.863,0.7751,0.7247,0.6674,424.6,11.3,33864.79,65.625,516.03
281,3,rebounding,1821.0,49.651,3,119,537.5,32.5,49.961,46.988,105.2,0.594,51.9,562.0,39.0,105.2,46.988,1.063,0.929,0.932,0,48.452,0.7383,0.6903,1.0011,437.5,12.902,38662.93,65.625,589.15
282,4,rebounding,1814.0,45.49,2,115,536.7,16.8,55.955,48.436,164.2,0.583,56.4,558.0,34.0,164.2,48.436,1.155,0.738,0.949,0,52.06,0.7933,0.7417,1.3348,453.2,15.72,47110.27,65.625,717.87
