frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
65,1,falling,2306.5,92.695,3,126,1223.3,184.8,133.906,30.698,176.0,0.114,129.3,1216.0,249.0,176.0,30.698,4.362,0.164,0.734,0,64.114,0.977,0.9611,0.0,286.2,,,65.625,
66,2,falling,2820.0,90.422,3,127,1209.2,78.9,154.19,31.856,166.2,0.083,141.4,1215.0,153.0,166.2,31.856,4.84,0.151,0.747,0,70.084,1.0679,1.0506,0.3337,392.1,106.835,320158.18,65.625,4878.6
67,3,falling,2948.0,92.467,3,126,1223.7,172.3,146.965,35.571,174.5,0.096,144.6,1217.0,250.0,174.5,35.571,4.132,0.174,0.693,0,72.303,1.1018,1.0839,0.6674,298.7,94.519,283250.87,65.625,4316.2
68,4,falling,3151.5,93.682,3,125,1222.2,168.0,142.555,40.317,173.2,0.084,158.5,1214.0,252.0,173.2,40.317,3.536,0.197,0.661,0,75.811,1.1552,1.1364,1.0011,303.0,4.554,13647.63,65.625,207.96
69,5,falling,2496.0,93.807,3,127,1220.8,270.3,122.895,39.187,5.6,0.098,137.9,1200.0,336.0,5.6,39.187,3.136,0.21,0.667,0,69.396,1.0575,1.0403,1.3348,200.7,102.31,306597.92,65.625,4671.97
70,6,falling,318.0,98.839,10,125,1213.8,143.2,56.778,12.206,174.8,0.056,66.4,1214.0,179.0,174.8,12.206,4.651,0.126,0.466,0,26.326,0.4012,0.3946,1.6685,327.8,127.293,381466.24,65.625,5812.82
71,7,falling,7408.5,15.374,3,87,1275.0,317.9,136.486,128.646,2.5,0.472,138.0,1278.0,387.0,2.5,128.646,1.061,0.506,0.979,0,132.508,2.0192,1.9864,2.0022,153.1,185.11,554729.97,65.625,8453.03
72,8,falling,2654.5,89.935,3,128,1227.4,253.0,160.277,31.352,3.1,0.145,126.3,1219.0,188.0,3.1,31.352,5.112,0.132,0.772,0,70.887,1.0802,1.0626,2.3359,218.0,80.485,241193.54,65.625,3675.33
73,9,falling,3299.0,92.396,3,127,1226.8,258.9,171.239,33.498,2.6,0.124,148.0,1214.0,328.0,2.6,33.498,5.112,0.143,0.772,0,75.737,1.1541,1.1353,2.6695,212.1,5.93,17772.11,65.625,270.81
74,10,falling,1193.0,86.972,4,117,1196.3,385.4,87.091,26.336,18.9,0.08,98.2,1170.0,429.0,18.9,26.336,3.307,0.2,0.604,0,47.892,0.7298,0.7179,3.0032,85.6,130.125,389954.06,65.625,5942.16
75,11,falling,1465.0,91.704,3,123,1218.5,148.0,93.295,29.865,171.0,0.101,100.4,1220.0,197.0,171.0,29.865,3.124,0.214,0.662,0,52.785,0.8043,0.7913,3.3369,323.0,238.436,714536.22,65.625,10888.17
76,12,falling,956.5,98.762,3,127,1220.5,242.0,92.141,18.005,4.8,0.096,99.0,1207.0,296.0,4.8,18.005,5.118,0.143,0.671,0,40.73,0.6206,0.6106,3.6706,229.0,94.021,281759.8,65.625,4293.48
77,13,falling,1396.0,94.877,3,124,1217.4,150.7,93.788,25.862,172.8,0.096,109.9,1216.0,206.0,172.8,25.862,3.626,0.202,0.66,0,49.25,0.7505,0.7383,4.0043,320.3,91.353,273762.45,65.625,4171.62
80,14,falling,3036.5,89.049,3,125,1212.7,333.0,134.923,42.907,9.2,0.074,150.0,1185.0,400.0,9.2,42.907,3.145,0.212,0.677,0,76.086,1.1594,1.1406,5.0054,138.0,182.361,546492.07,65.625,8327.5
82,15,falling,1145.5,93.83,3,126,1218.3,158.1,92.709,23.701,170.6,0.07,93.9,1218.0,205.0,170.6,23.701,3.912,0.17,0.634,0,46.876,0.7143,0.7027,5.6728,312.9,174.99,524403.05,65.625,7990.9
84,16,falling,5970.5,14.507,3,79,1270.6,286.0,114.808,111.24,2.9,0.653,116.0,1272.0,344.0,2.9,111.24,1.032,0.577,0.985,0,113.01,1.7221,1.6941,6.3402,185.0,138.18,414093.06,65.625,6309.99
85,17,falling,2468.0,93.196,3,125,1227.2,230.3,149.205,27.215,0.5,0.175,127.0,1215.0,292.0,0.5,27.215,5.482,0.141,0.861,0,63.723,0.971,0.9552,6.6739,240.7,70.612,211607.58,65.625,3224.5
86,18,falling,3193.0,92.659,3,127,1221.7,159.1,153.292,36.286,173.2,0.078,150.1,1219.0,237.0,173.2,36.286,4.225,0.173,0.71,0,74.581,1.1365,1.118,7.0076,311.9,71.412,214005.43,65.625,3261.04
87,19,falling,1491.0,97.016,3,125,1223.2,208.9,117.497,22.108,178.7,0.099,111.0,1215.0,267.0,178.7,22.108,5.315,0.138,0.7,0,50.967,0.7766,0.764,7.3412,262.1,49.823,149306.65,65.625,2275.15
88,20,falling,2403.0,94.38,3,127,1223.9,191.5,136.226,31.268,177.8,0.081,138.1,1215.0,261.0,177.8,31.268,4.357,0.165,0.684,0,65.265,0.9945,0.9784,7.6749,279.5,17.414,52185.92,65.625,795.21
90,21,falling,2700.5,91.687,3,125,1219.1,298.3,142.103,34.878,9.6,0.081,146.2,1191.0,369.0,9.6,34.878,4.074,0.17,0.683,0,70.401,1.0728,1.0553,8.3423,172.7,106.908,320377.74,65.625,4881.95
91,22,falling,3547.0,93.428,3,130,1221.9,242.0,148.006,45.406,2.3,0.089,162.4,1212.0,159.0,2.3,45.406,3.26,0.206,0.682,0,81.978,1.2492,1.2289,8.676,229.0,56.37,168926.48,65.625,2574.12
92,23,falling,3065.0,92.429,3,127,1225.0,246.8,152.665,34.204,3.4,0.135,137.1,1211.0,312.0,3.4,34.204,4.463,0.167,0.733,0,72.262,1.1011,1.0832,9.0097,224.2,5.714,17123.58,65.625,260.93
94,24,falling,2544.5,85.324,3,121,1204.7,369.3,135.338,32.753,12.2,0.089,124.7,1179.0,419.0,12.2,32.753,4.132,0.177,0.751,0,66.579,1.0145,0.9981,9.6771,101.7,124.171,372110.32,65.625,5670.25
96,25,falling,1814.0,92.307,3,123,1202.0,73.8,117.57,26.615,167.1,0.094,115.9,1208.0,135.0,167.1,26.615,4.417,0.167,0.748,0,55.939,0.8524,0.8386,10.3445,397.2,295.512,885581.46,65.625,13494.57
97,26,falling,3320.5,90.598,3,125,1224.4,176.5,161.963,36.282,174.5,0.146,137.2,1220.0,248.0,174.5,36.282,4.464,0.161,0.784,0,76.658,1.1681,1.1491,10.6782,294.5,105.114,315003.5,65.625,4800.05
98,27,falling,2628.5,96.028,3,125,1223.3,195.0,141.556,31.825,176.1,0.149,138.2,1214.0,269.0,176.1,31.825,4.448,0.167,0.723,0,67.119,1.0228,1.0061,11.0119,276.0,18.533,55538.1,65.625,846.29
99,28,falling,3170.5,88.033,3,125,1222.3,155.0,172.78,36.191,172.9,0.141,135.2,1215.0,230.0,172.9,36.191,4.774,0.135,0.772,0,79.077,1.205,1.1854,11.3456,316.0,40.012,119908.11,65.625,1827.17
100,29,falling,2506.5,95.086,3,127,1223.0,242.9,140.901,31.583,2.0,0.131,136.1,1207.0,309.0,2.0,31.583,4.461,0.161,0.714,0,66.709,1.0165,1.0,11.6793,228.1,87.903,263424.13,65.625,4014.08
101,30,falling,1892.0,88.591,3,122,1207.3,90.8,104.12,29.288,165.6,0.147,105.8,1211.0,146.0,165.6,29.288,3.555,0.222,0.709,0,55.222,0.8415,0.8278,12.0129,380.2,152.908,458230.0,65.625,6982.55
102,31,falling,1350.5,93.359,3,125,1216.3,303.3,96.284,23.39,9.6,0.083,101.3,1201.0,354.0,9.6,23.39,4.116,0.185,0.697,0,47.456,0.7231,0.7114,12.3466,167.7,212.691,637383.77,65.625,9712.51
103,1,spreading,,,,,,471,,,,,,,,,,,0.0,,97,,,1.4541,12.6803,0,,,65.625,
104,2,spreading,,,,,,471,,,,,,,,,,,0.0,,109,,,1.634,13.014,0,,,65.625,
105,3,spreading,,,,,,471,,,,,,,,,,,0.0,,153,,,2.2935,13.3477,0,,,65.625,
106,4,spreading,,,,,,471,,,,,,,,,,,0.0,,394,,,5.9062,13.6814,0,,,65.625,
107,5,spreading,,,,,,471,,,,,,,,,,,0.0,,402,,,6.0262,14.0151,0,,,65.625,
108,6,spreading,,,,,,471,,,,,,,,,,,0.0,,424,,,6.356,14.3488,0,,,65.625,
109,7,spreading,,,,,,471,,,,,,,,,,,0.0,,424,,,6.356,14.6825,0,,,65.625,
110,8,spreading,,,,,,471,,,,,,,,,,,0.0,,415,,,6.221,15.0162,0,,,65.625,
111,9,spreading,,,,,,471,,,,,,,,,,,0.0,,404,,,6.0562,15.3499,0,,,65.625,
112,10,spreading,,,,,,471,,,,,,,,,,,0.0,,393,,,5.8913,15.6836,0,,,65.625,
113,11,spreading,,,,,,471,,,,,,,,,,,0.0,,382,,,5.7264,16.0173,0,,,65.625,
114,12,spreading,,,,,,471,,,,,,,,,,,0.0,,372,,,5.5765,16.351,0,,,65.625,
115,1,rebounding,4666.0,138.385,88,173,600.0,392.0,77.223,77.223,0.0,0.88,78.0,615.0,356.0,0.0,77.223,1.0,0.996,0.984,0,77.223,1.1767,1.1576,0.3337,79.0,,,65.625,
116,2,rebounding,5366.0,17.803,3,80,1232.4,388.2,83.375,81.828,22.0,0.736,84.0,1232.0,430.0,22.0,81.828,1.019,0.983,0.981,0,82.598,1.2586,1.2382,0.6674,82.8,632.411,1895189.34,65.625,28879.08
117,3,rebounding,4742.0,14.626,3,84,1261.7,176.0,91.239,89.584,178.5,0.759,92.0,1262.0,222.0,178.5,89.584,1.018,0.725,0.987,0,90.407,1.3776,1.3552,1.0011,295.0,214.213,641947.18,65.625,9782.05
