frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
141,1,falling,1624.0,92.561,3,127,1221.4,276.3,106.508,26.125,5.6,0.114,101.8,1205.0,323.0,5.6,26.125,4.077,0.182,0.724,0,52.749,0.8038,0.672,0.0,194.7,,,65.625,
144,2,falling,1706.5,96.309,3,125,1222.1,263.4,132.738,22.062,2.2,0.124,121.1,1210.0,322.0,2.2,22.062,6.017,0.123,0.788,0,54.115,0.8246,0.6894,1.0011,207.6,12.919,38715.16,65.625,589.95
146,3,falling,2165.5,92.719,3,125,1227.0,228.7,136.809,26.02,0.7,0.167,115.1,1215.0,287.0,0.7,26.02,5.258,0.147,0.843,0,59.664,0.9092,0.7601,1.6685,242.3,35.044,105019.46,65.625,1600.3
147,4,falling,1746.0,95.051,3,128,1216.3,129.2,115.413,26.017,170.9,0.068,125.9,1218.0,195.0,170.9,26.017,4.436,0.167,0.655,0,54.797,0.835,0.6981,2.0022,341.8,100.074,299897.43,65.625,4569.87
148,5,falling,3606.5,91.104,3,125,1223.7,288.5,171.011,37.012,5.1,0.115,154.5,1217.0,206.0,5.1,37.012,4.62,0.157,0.75,0,79.558,1.2123,1.0136,2.3359,182.5,159.472,477899.7,65.625,7282.28
149,6,falling,1741.5,91.904,3,126,1215.9,311.7,109.822,28.324,10.9,0.075,116.4,1196.0,368.0,10.9,28.324,3.877,0.184,0.668,0,55.773,0.8499,0.7105,2.6695,159.3,24.476,73349.19,65.625,1117.7
150,7,falling,2425.5,94.008,3,126,1226.1,188.4,152.516,27.649,178.6,0.173,133.0,1215.0,256.0,178.6,27.649,5.516,0.133,0.768,0,64.937,0.9895,0.8273,3.0032,282.6,123.721,370763.48,65.625,5649.73
151,8,falling,4130.0,91.093,3,128,1229.1,232.7,210.223,37.457,0.8,0.139,160.1,1210.0,310.0,0.8,37.457,5.612,0.119,0.768,0,88.737,1.3522,1.1305,3.3369,238.3,44.401,133060.82,65.625,2027.59
152,9,falling,3006.5,90.51,3,126,1225.3,181.2,158.632,35.732,176.8,0.146,142.2,1211.0,254.0,176.8,35.732,4.439,0.152,0.693,0,75.288,1.1472,0.9592,3.6706,289.8,51.64,154753.03,65.625,2358.14
153,10,falling,3076.0,93.494,3,127,1228.2,241.3,161.789,30.88,0.1,0.215,143.0,1215.0,312.0,0.1,30.88,5.239,0.15,0.866,0,70.683,1.0771,0.9005,4.0043,229.7,60.17,180315.22,65.625,2747.66
154,11,falling,2776.0,92.282,3,127,1227.2,217.8,152.55,31.223,178.6,0.216,131.0,1216.0,285.0,178.6,31.223,4.886,0.152,0.834,0,69.015,1.0517,0.8792,4.338,253.2,23.521,70487.74,65.625,1074.1
155,12,falling,3189.5,92.996,3,127,1223.0,276.9,148.615,36.851,5.2,0.127,151.6,1204.0,349.0,5.2,36.851,4.033,0.184,0.747,0,74.005,1.1277,0.9428,4.6717,194.1,59.249,177555.57,65.625,2705.61
156,13,falling,2986.5,92.87,3,125,1224.6,185.5,148.984,35.662,176.3,0.13,142.0,1215.0,261.0,176.3,35.662,4.178,0.171,0.745,0,72.89,1.1107,0.9286,5.0054,285.5,91.414,273946.42,65.625,4174.42
157,14,falling,3734.5,85.795,3,126,1220.3,117.6,200.182,37.834,169.6,0.097,147.7,1217.0,205.0,169.6,37.834,5.291,0.119,0.769,0,87.027,1.3261,1.1087,5.3391,353.4,68.036,203888.06,65.625,3106.87
158,15,falling,2952.5,92.126,3,125,1224.1,281.3,149.299,34.6,5.2,0.136,145.8,1217.0,207.0,5.2,34.6,4.315,0.169,0.733,0,71.873,1.0952,0.9156,5.6728,189.7,163.744,490702.83,65.625,7477.38
