frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
13,falling,1201.2,222.3,36.6,,hough,1.0,1.1145,0.9326,,0.0,,65.625,True,,,,
14,falling,1201.2,222.3,36.6,,last_known,0.3,1.1145,0.9326,0.0,0.3337,0.0,65.625,False,,,,
15,falling,1201.2,222.3,36.6,,last_known,0.3,1.1145,0.9326,0.0,0.6674,0.0,65.625,False,,,,
16,falling,1201.2,222.3,36.6,,last_known,0.3,1.1145,0.9326,0.0,1.0011,0.0,65.625,False,,,,
17,falling,1206.4,194.5,39.5,,hough,1.0,1.2032,1.0069,1291.5,1.3348,28.282,65.625,False,,,,
18,falling,1197.3,295.1,32.6,,hough,1.0,0.9927,0.8308,4612.66,1.6685,101.011,65.625,False,,,,
19,falling,1258.3,202.1,77.3,,hough,1.0,2.356,1.9717,5078.89,2.0022,111.221,65.625,False,,,,
20,falling,1204.2,239.9,38.0,,hough,1.0,1.158,0.9691,3013.77,2.3359,65.997,65.625,False,,,,
21,falling,1196.4,293.0,42.4,,hough,1.0,1.2918,1.0811,2450.83,2.6695,53.67,65.625,False,,,,
22,falling,1264.6,231.6,83.8,,hough,1.0,2.5549,2.1381,4190.55,3.0032,91.767,65.625,False,,,,
23,falling,1260.5,213.8,78.3,,hough,1.0,2.3858,1.9966,834.12,3.3369,18.266,65.625,False,,,,
24,falling,1202.9,281.5,39.2,,hough,1.0,1.1934,0.9987,4059.06,3.6706,88.888,65.625,False,,,,
25,falling,1202.9,281.5,39.2,,last_known,0.3,1.1934,0.9987,0.0,4.0043,0.0,65.625,False,,,,
26,falling,1188.1,308.6,42.9,,hough,1.0,1.3084,1.0949,1410.04,4.338,30.878,65.625,False,,,,
27,falling,1262.6,257.5,80.6,,hough,1.0,2.4574,2.0565,4125.41,4.6717,90.341,65.625,False,,,,
28,falling,1262.6,257.5,80.6,,last_known,0.3,2.4574,2.0565,0.0,5.0054,0.0,65.625,False,,,,
29,falling,1188.7,94.8,39.3,,hough,1.0,1.1988,1.0033,8160.19,5.3391,178.697,65.625,False,,,,
30,falling,1186.7,328.7,41.2,,hough,1.0,1.2553,1.0505,10681.44,5.6728,233.909,65.625,False,,,,
31,falling,1197.7,181.8,27.7,,hough,1.0,0.8443,0.7065,6726.97,6.0065,147.311,65.625,False,,,,
32,falling,1197.7,181.8,27.7,,last_known,0.3,0.8443,0.7065,0.0,6.3402,0.0,65.625,False,,,,
33,falling,1198.8,205.3,25.0,,hough,1.0,0.7617,0.6374,1074.3,6.6739,23.526,65.625,False,,,,
34,falling,1197.3,303.1,27.7,,hough,1.0,0.8444,0.7066,4466.56,7.0076,97.812,65.625,False,,,,
35,falling,1199.3,136.5,32.6,,hough,1.0,0.9943,0.8321,7608.34,7.3412,166.612,65.625,False,,,,
36,falling,1204.4,181.1,40.4,,hough,1.0,1.2322,1.0312,2049.93,7.6749,44.891,65.625,False,,,,
37,falling,1204.4,181.1,40.4,,last_known,0.3,1.2322,1.0312,0.0,8.0086,0.0,65.625,False,,,,
38,falling,1204.4,181.1,40.4,,last_known,0.3,1.2322,1.0312,0.0,8.3423,0.0,65.625,False,,,,
39,falling,554.0,85.0,39.2,,template,0.3114,1.1949,1.0,30022.98,8.676,657.461,65.625,False,,,,
40,falling,1266.0,275.2,84.4,,hough,1.0,2.5728,2.1531,33653.6,9.0097,736.967,65.625,False,,,,
41,falling,1195.3,279.5,36.1,,hough,1.0,1.1012,0.9215,3234.48,9.3434,70.831,65.625,False,,,,
42,falling,546.0,83.0,39.2,,template,0.3787,1.1949,1.0,30978.34,9.6771,678.382,65.625,False,,,,
43,falling,732.0,84.0,39.2,,template,0.4052,1.1949,1.0,8493.82,10.0108,186.003,65.625,False,,,,
44,falling,1264.9,239.2,86.0,,hough,1.0,2.6195,2.1921,25345.91,10.3445,555.04,65.625,False,,,,
45,falling,1191.1,292.3,46.0,,hough,1.0,1.4034,1.1744,4151.76,10.6782,90.918,65.625,False,,,,
46,falling,1199.3,271.3,41.0,,hough,1.0,1.251,1.0469,1029.48,11.0119,22.544,65.625,False,,,,
47,falling,1270.0,214.4,87.6,,hough,1.0,2.6689,2.2335,4144.24,11.3456,90.753,65.625,False,,,,
48,falling,1198.0,158.4,35.6,,hough,1.0,1.085,0.908,4165.29,11.6793,91.214,65.625,False,,,,
49,falling,1203.4,216.9,42.7,,hough,1.0,1.3008,1.0886,2682.76,12.0129,58.749,65.625,False,,,,
50,falling,1202.3,191.2,39.2,,hough,1.0,1.1949,1.0,1174.67,12.3466,25.724,65.625,False,,,,
51,falling,1198.8,223.7,33.6,,hough,1.0,1.0241,0.857,1492.69,12.6803,32.688,65.625,False,,,,
52,spreading,,,,74,contact_width,1.0,,0.9437,,13.014,,65.625,True,1235.8,,,
53,spreading,,,,107,contact_width,1.0,,1.3645,,13.3477,,65.625,False,1252.3,,,
54,spreading,,,,118,contact_width,1.0,,1.5048,,13.6814,,65.625,False,1257.8,,,
55,spreading,,,,170,contact_width,1.0,,2.1679,,14.0151,,65.625,False,1283.8,,,
56,spreading,,,,201,contact_width,1.0,,2.5632,,14.3488,,65.625,False,1299.3,,,
57,spreading,,,,223,contact_width,1.0,,2.8437,,14.6825,,65.625,False,1310.3,,,
