frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
16,falling,1259.3,176.4,77.3,,hough,1.0,2.3551,1.9263,,0.0,,65.625,True
17,falling,389.0,94.0,40.1,,template,0.3036,1.2226,1.0,39919.99,0.3337,874.192,65.625,False
18,falling,1202.9,268.9,38.5,,hough,1.0,1.1742,0.9604,38015.22,0.6674,832.48,65.625,False
19,falling,1260.4,190.0,77.9,,hough,1.0,2.3742,1.9419,4458.24,1.0011,97.629,65.625,False
20,falling,1195.3,300.0,37.1,,hough,1.0,1.1312,0.9252,5836.91,1.3348,127.82,65.625,False
21,falling,1200.7,169.2,32.7,,hough,1.0,0.9979,0.8162,5978.07,1.6685,130.911,65.625,False
22,falling,1196.1,314.3,30.7,,hough,1.0,0.9356,0.7652,6629.32,2.0022,145.173,65.625,False
23,falling,1196.1,314.3,30.7,,last_known,0.3,0.9356,0.7652,0.0,2.3359,0.0,65.625,False
24,falling,1196.1,257.6,25.0,,hough,1.0,0.7625,0.6237,2589.21,2.6695,56.7,65.625,False
25,falling,1196.2,289.5,32.1,,hough,1.0,0.9792,0.8009,1456.72,3.0032,31.9,65.625,False
26,falling,1199.8,280.1,31.5,,hough,1.0,0.9609,0.7859,459.65,3.3369,10.066,65.625,False
27,falling,1201.5,141.2,40.4,,hough,1.0,1.2316,1.0073,6343.35,3.6706,138.91,65.625,False
28,falling,1261.2,226.2,81.3,,hough,1.0,2.4763,2.0254,4743.25,4.0043,103.871,65.625,False
29,falling,1203.6,225.2,34.7,,hough,1.0,1.0566,0.8642,2630.7,4.338,57.609,65.625,False
30,falling,1198.6,264.7,29.6,,hough,1.0,0.9027,0.7383,1818.16,4.6717,39.815,65.625,False
31,falling,1198.6,264.7,29.6,,last_known,0.3,0.9027,0.7383,0.0,5.0054,0.0,65.625,False
32,falling,1202.1,157.2,39.1,,hough,1.0,1.1922,0.9751,4911.59,5.3391,107.557,65.625,False
33,falling,1257.9,156.8,77.4,,hough,1.0,2.3599,1.9302,2548.17,5.6728,55.801,65.625,False
34,falling,1263.3,291.9,70.8,,hough,1.0,2.158,1.7651,6174.27,6.0065,135.208,65.625,False
35,falling,1262.5,136.4,75.8,,hough,1.0,2.3113,1.8904,7101.0,6.3402,155.502,65.625,False
36,falling,1203.2,199.3,35.8,,hough,1.0,1.09,0.8916,3947.55,6.6739,86.446,65.625,False
37,falling,1203.2,199.3,35.8,,last_known,0.3,1.09,0.8916,0.0,7.0076,0.0,65.625,False
38,falling,1271.1,255.2,88.5,,hough,1.0,2.6956,2.2048,4016.24,7.3412,87.95,65.625,False
39,falling,1262.8,255.5,81.7,,hough,1.0,2.4909,2.0374,379.27,7.6749,8.305,65.625,False
40,falling,549.0,90.0,40.1,,template,0.3387,1.2226,1.0,33460.36,8.0086,732.735,65.625,False
41,falling,1194.4,264.9,39.0,,hough,1.0,1.1884,0.9721,30535.22,8.3423,668.679,65.625,False
42,falling,545.0,85.0,40.1,,template,0.3782,1.2226,1.0,30771.73,8.676,673.858,65.625,False
43,falling,732.0,85.0,40.1,,template,0.3941,1.2226,1.0,8539.36,9.0097,187.0,65.625,False
44,falling,731.0,115.0,40.1,,template,0.4065,1.2226,1.0,1370.71,9.3434,30.017,65.625,False
45,falling,1201.6,187.3,39.7,,hough,1.0,1.2105,0.9901,21742.09,9.6771,476.121,65.625,False
46,falling,1186.5,89.6,40.1,,hough,1.0,1.2226,1.0,4514.44,10.0108,98.86,65.625,False
47,falling,735.0,181.0,40.1,,template,0.4282,1.2226,1.0,21035.97,10.3445,460.658,65.625,False
