frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
912,falling,1202.5,105.1,38.4,,hough,1.0,1.1694,1.0863,,0.0,,65.625,True,,,,
913,falling,1202.5,105.1,38.4,,last_known,0.3,1.1694,1.0863,0.0,0.3337,0.0,65.625,False,,,,
914,falling,1201.6,271.5,22.0,,hough,1.0,0.6717,0.624,7598.77,0.6674,166.402,65.625,False,,,,
915,falling,1208.3,248.7,29.4,,hough,1.0,0.8958,0.8321,1085.19,1.0011,23.764,65.625,False,,,,
916,falling,1192.4,332.4,32.3,,hough,1.0,0.9848,0.9148,3890.51,1.3348,85.197,65.625,False,,,,
917,falling,1192.4,332.4,32.3,,last_known,0.3,0.9848,0.9148,0.0,1.6685,0.0,65.625,False,,,,
918,falling,1201.4,130.6,30.7,,hough,1.0,0.9362,0.8696,9224.36,2.0022,202.001,65.625,False,,,,
919,falling,1201.4,130.6,30.7,,last_known,0.3,0.9362,0.8696,0.0,2.3359,0.0,65.625,False,,,,
920,falling,1200.2,322.4,33.2,,hough,1.0,1.0116,0.9397,8758.72,2.6695,191.804,65.625,False,,,,
921,falling,1203.2,170.8,20.7,,hough,1.0,0.6313,0.5864,6924.17,3.0032,151.63,65.625,False,,,,
922,falling,1196.5,96.2,40.3,,hough,1.0,1.2294,1.142,3420.32,3.3369,74.9,65.625,False,,,,
923,falling,1204.3,292.5,31.2,,hough,1.0,0.9509,0.8834,8971.12,3.6706,196.455,65.625,False,,,,
924,falling,1255.5,277.7,66.1,,hough,1.0,2.0146,1.8714,2433.77,4.0043,53.296,65.625,False,,,,
925,falling,402.0,348.0,35.3,,template,0.3023,1.0765,1.0,39107.07,4.338,856.39,65.625,False,,,,
926,falling,1208.1,191.7,37.0,,hough,1.0,1.1279,1.0478,37496.15,4.6717,821.113,65.625,False,,,,
927,falling,1202.6,213.7,22.0,,hough,1.0,0.6708,0.6231,1035.55,5.0054,22.677,65.625,False,,,,
928,falling,1204.6,188.6,17.6,,hough,1.0,0.5372,0.499,1149.82,5.3391,25.18,65.625,False,,,,
929,falling,1203.2,308.4,37.8,,hough,1.0,1.1526,1.0707,5471.04,5.6728,119.808,65.625,False,,,,
930,falling,1203.2,308.4,37.8,,last_known,0.3,1.1526,1.0707,0.0,6.0065,0.0,65.625,False,,,,
931,falling,1205.0,150.3,31.8,,hough,1.0,0.97,0.9011,7220.11,6.3402,158.11,65.625,False,,,,
932,falling,1198.5,108.5,28.9,,hough,1.0,0.882,0.8193,1931.74,6.6739,42.302,65.625,False,,,,
933,falling,1189.2,70.4,36.6,,hough,1.0,1.1146,1.0354,1790.92,7.0076,39.219,65.625,False,,,,
934,falling,1189.2,70.4,36.6,,last_known,0.3,1.1146,1.0354,0.0,7.3412,0.0,65.625,False,,,,
935,falling,1188.5,312.8,48.7,,hough,1.0,1.4836,1.3782,11069.25,7.6749,242.401,65.625,False,,,,
936,falling,1198.9,297.6,39.7,,hough,1.0,1.2091,1.1232,841.03,8.0086,18.417,65.625,False,,,,
937,falling,1196.3,307.5,23.0,,hough,1.0,0.7005,0.6507,467.41,8.3423,10.236,65.625,False,,,,
938,falling,767.0,83.0,35.3,,template,0.4563,1.0765,1.0,22122.74,8.676,484.457,65.625,False,,,,
939,falling,764.0,118.0,35.3,,template,0.4786,1.0765,1.0,1604.14,9.0097,35.128,65.625,False,,,,
940,falling,767.0,131.0,35.3,,template,0.4796,1.0765,1.0,609.25,9.3434,13.342,65.625,False,,,,
941,falling,1203.2,283.7,35.0,,hough,1.0,1.0674,0.9915,21104.34,9.6771,462.156,65.625,False,,,,
