frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
134,falling,746.6,67.1,49.4,,hough,1.0,1.5058,0.9975,,0.0,,65.625,True,,,,
135,falling,746.6,90.0,51.2,,hough,1.0,1.5608,1.0339,1045.73,0.3337,22.9,65.625,False,,,,
136,falling,749.5,110.1,48.5,,hough,1.0,1.4794,0.98,927.37,0.6674,20.308,65.625,False,,,,
137,falling,746.0,136.0,49.5,,template,0.6673,1.5096,1.0,1193.47,1.0011,26.135,65.625,False,,,,
138,falling,749.2,159.2,50.0,,hough,1.0,1.5246,1.0099,1069.46,1.3348,23.42,65.625,False,,,,
139,falling,748.5,182.7,49.5,,hough,1.0,1.5096,1.0,1073.6,1.6685,23.51,65.625,False,,,,
140,falling,746.1,204.5,48.3,,hough,1.0,1.4729,0.9757,1001.51,2.0022,21.932,65.625,False,,,,
141,falling,747.0,229.0,49.5,,template,0.638,1.5096,1.0,1119.55,2.3359,24.517,65.625,False,,,,
142,falling,746.0,254.0,49.5,,template,0.6811,1.5096,1.0,1142.54,2.6695,25.02,65.625,False,,,,
143,falling,747.0,279.0,49.5,,template,0.6414,1.5096,1.0,1142.54,3.0032,25.02,65.625,False,,,,
144,falling,747.0,302.0,49.5,,template,0.6669,1.5096,1.0,1050.3,3.3369,23.0,65.625,False,,,,
145,falling,748.0,327.0,49.5,,template,0.6806,1.5096,1.0,1142.54,3.6706,25.02,65.625,False,,,,
146,falling,748.0,351.4,50.5,,hough,1.0,1.5398,1.02,1114.23,4.0043,24.4,65.625,False,,,,
147,falling,748.7,375.7,48.7,,hough,1.0,1.4844,0.9833,1110.12,4.338,24.31,65.625,False,,,,
148,spreading,,,,84,contact_width,1.0,,0.8479,,4.6717,,65.625,True,790.7,,,
149,spreading,,,,114,contact_width,1.0,,1.1507,,5.0054,,65.625,False,805.7,,,
150,spreading,,,,153,contact_width,1.0,,1.5444,,5.3391,,65.625,False,825.2,,,
151,spreading,,,,187,contact_width,1.0,,1.8876,,5.6728,,65.625,False,842.2,,,
152,spreading,,,,211,contact_width,1.0,,2.1299,,6.0065,,65.625,False,854.2,,,
153,spreading,,,,222,contact_width,1.0,,2.2409,,6.3402,,65.625,False,859.7,,,
154,spreading,,,,227,contact_width,1.0,,2.2914,,6.6739,,65.625,False,862.2,,278.4182,
155,spreading,,,,226,contact_width,1.0,,2.2813,,7.0076,,65.625,False,861.7,,,
156,spreading,,,,220,contact_width,1.0,,2.2207,,7.3412,,65.625,False,858.7,,,
157,spreading,,,,210,contact_width,1.0,,2.1198,,7.6749,,65.625,False,853.7,,,
158,spreading,,,,197,contact_width,1.0,,1.9885,,8.0086,,65.625,False,847.2,,,
159,spreading,,,,183,contact_width,1.0,,1.8472,,8.3423,,65.625,False,840.2,,,
160,spreading,,,,171,contact_width,1.0,,1.7261,,8.676,,65.625,False,834.2,,,
161,spreading,,,,157,contact_width,1.0,,1.5848,,9.0097,,65.625,False,827.2,,,
162,spreading,,,,148,contact_width,1.0,,1.4939,,9.3434,,65.625,False,822.7,,,
163,spreading,,,,132,contact_width,1.0,,1.3324,,9.6771,,65.625,False,814.7,,,
164,spreading,,,,120,contact_width,1.0,,1.2113,,10.0108,,65.625,False,808.7,,,
165,spreading,,,,109,contact_width,1.0,,1.1003,,10.3445,,65.625,False,803.2,,,
166,spreading,,,,106,contact_width,1.0,,1.07,,10.6782,,65.625,False,801.7,,,
167,spreading,,,,102,contact_width,1.0,,1.0296,,11.0119,,65.625,False,799.7,,,
168,spreading,,,,102,contact_width,1.0,,1.0296,,11.3456,,65.625,False,799.7,,,
169,spreading,,,,96,contact_width,1.0,,0.969,,11.6793,,65.625,False,796.7,,,
170,spreading,,,,86,contact_width,1.0,,0.8681,,12.0129,,65.625,False,791.7,,,
171,spreading,,,,79,contact_width,1.0,,0.7974,,12.3466,,65.625,False,788.2,,,
172,spreading,,,,77,contact_width,1.0,,0.7772,,12.6803,,65.625,False,787.2,,,
173,spreading,,,,74,contact_width,1.0,,0.747,,13.014,,65.625,False,785.7,,,
174,spreading,,,,63,contact_width,1.0,,0.6359,,13.3477,,65.625,False,780.2,,,
175,spreading,,,,52,contact_width,1.0,,0.5249,,13.6814,,65.625,False,774.7,,,
176,spreading,,,,48,contact_width,1.0,,0.4845,,14.0151,,65.625,False,772.7,,,
177,spreading,,,,45,contact_width,1.0,,0.4542,,14.3488,,65.625,False,771.2,,,
178,spreading,,,,17,contact_width,1.0,,0.1716,,14.6825,,65.625,False,757.2,,,
179,spreading,,,,0,contact_width,1.0,,,,15.0162,,65.625,False,748.7,,,
180,spreading,,,,0,contact_width,1.0,,,,15.3499,,65.625,False,748.7,,,
181,spreading,,,,0,contact_width,1.0,,,,15.6836,,65.625,False,748.7,,,
182,spreading,,,,0,contact_width,1.0,,,,16.0173,,65.625,False,748.7,,,
183,spreading,,,,0,contact_width,1.0,,,,16.351,,65.625,False,748.7,,,
184,spreading,,,,0,contact_width,1.0,,,,16.6846,,65.625,False,748.7,,,
185,spreading,,,,0,contact_width,1.0,,,,17.0183,,65.625,False,748.7,,,
186,spreading,,,,0,contact_width,1.0,,,,17.352,,65.625,False,748.7,,,
187,spreading,,,,0,contact_width,1.0,,,,17.6857,,65.625,False,748.7,,,
188,spreading,,,,0,contact_width,1.0,,,,18.0194,,65.625,False,748.7,,,
189,spreading,,,,0,contact_width,1.0,,,,18.3531,,65.625,False,748.7,,,
190,spreading,,,,0,contact_width,1.0,,,,18.6868,,65.625,False,748.7,,,
191,spreading,,,,0,contact_width,1.0,,,,19.0205,,65.625,False,748.7,,,
192,spreading,,,,0,contact_width,1.0,,,,19.3542,,65.625,False,748.7,,,
193,spreading,,,,0,contact_width,1.0,,,,19.6879,,65.625,False,748.7,,,
194,spreading,,,,0,contact_width,1.0,,,,20.0216,,65.625,False,748.7,,,
195,spreading,,,,0,contact_width,1.0,,,,20.3553,,65.625,False,748.7,,,
196,spreading,,,,0,contact_width,1.0,,,,20.689,,65.625,False,748.7,,,
197,spreading,,,,0,contact_width,1.0,,,,21.0227,,65.625,False,748.7,,,
