frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
46,falling,1216.4,160.0,29.5,,hough,1.0,0.8977,0.9202,,0.0,,65.625,True,,,,
47,falling,397.0,399.0,32.0,,template,0.4307,0.9756,1.0,38977.1,0.3337,853.544,65.625,False,,,,
48,falling,397.0,399.0,32.0,,template,0.4108,0.9756,1.0,0.0,0.6674,0.0,65.625,False,,,,
49,falling,402.0,397.0,32.0,,template,0.4154,0.9756,1.0,245.91,1.0011,5.385,65.625,False,,,,
50,falling,403.0,401.0,32.0,,template,0.4331,0.9756,1.0,188.28,1.3348,4.123,65.625,False,,,,
51,falling,1215.6,246.7,30.4,,hough,1.0,0.9269,0.9501,37770.44,1.6685,827.12,65.625,False,,,,
52,falling,402.0,401.0,32.0,,template,0.4244,0.9756,1.0,37815.3,2.0022,828.102,65.625,False,,,,
53,falling,1212.3,120.4,23.8,,hough,1.0,0.725,0.7431,39158.18,2.3359,857.509,65.625,False,,,,
54,falling,405.0,400.0,32.0,,template,0.4417,0.9756,1.0,39013.78,2.6695,854.347,65.625,False,,,,
55,falling,398.0,398.0,32.0,,template,0.4302,0.9756,1.0,332.45,3.0032,7.28,65.625,False,,,,
56,falling,1271.1,82.0,63.0,,hough,1.0,1.9189,1.9668,42401.13,3.3369,928.526,65.625,False,,,,
57,falling,397.0,401.0,32.0,,template,0.4198,0.9756,1.0,42490.84,3.6706,930.49,65.625,False,,,,
58,falling,397.0,399.0,32.0,,template,0.4214,0.9756,1.0,91.33,4.0043,2.0,65.625,False,,,,
59,falling,401.0,403.0,32.0,,template,0.4328,0.9756,1.0,258.32,4.338,5.657,65.625,False,,,,
60,falling,1214.9,220.4,28.3,,hough,1.0,0.8634,0.885,38090.64,4.6717,834.132,65.625,False,,,,
61,falling,1191.3,376.4,21.7,,hough,1.0,0.6609,0.6774,7204.8,5.0054,157.775,65.625,False,,,,
62,falling,401.0,399.0,32.0,,template,0.4362,0.9756,1.0,36103.81,5.3391,790.623,65.625,False,,,,
63,falling,401.0,400.0,32.0,,template,0.4273,0.9756,1.0,45.67,5.6728,1.0,65.625,False,,,,
64,falling,401.0,401.0,32.0,,template,0.4323,0.9756,1.0,45.67,6.0065,1.0,65.625,False,,,,
65,falling,401.0,402.0,32.0,,template,0.4251,0.9756,1.0,45.67,6.3402,1.0,65.625,False,,,,
66,falling,403.0,404.0,32.0,,template,0.4031,0.9756,1.0,129.16,6.6739,2.828,65.625,False,,,,
67,falling,1211.9,121.0,32.9,,hough,1.0,1.0041,1.0292,39133.83,7.0076,856.976,65.625,False,,,,
68,falling,401.0,399.0,32.0,,template,0.4198,0.9756,1.0,39145.41,7.3412,857.23,65.625,False,,,,
69,falling,401.0,399.0,32.0,,template,0.4176,0.9756,1.0,0.0,7.6749,0.0,65.625,False,,,,
