frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
268,falling,1265.0,372.3,82.1,,hough,1.0,2.5031,2.5865,,0.0,,65.625,True
269,falling,1201.5,354.2,39.0,,hough,1.0,1.19,1.2297,3015.23,0.3337,66.029,65.625,False
270,falling,1221.5,237.5,35.9,,hough,1.0,1.0932,1.1296,5406.8,0.6674,118.401,65.625,False
271,falling,401.0,407.0,31.8,,template,0.4102,0.9678,1.0,38259.28,1.0011,837.825,65.625,False
272,falling,397.0,408.0,31.8,,template,0.4058,0.9678,1.0,188.28,1.3348,4.123,65.625,False
273,falling,1203.8,324.4,24.0,,hough,1.0,0.7307,0.7551,37039.79,1.6685,811.12,65.625,False
274,falling,1266.7,336.2,78.7,,hough,1.0,2.3988,2.4787,2922.44,2.0022,63.997,65.625,False
275,falling,1214.9,190.8,24.1,,hough,1.0,0.7356,0.7601,7048.47,2.3359,154.352,65.625,False
276,falling,1208.0,306.9,18.9,,hough,1.0,0.5757,0.5949,5311.06,2.6695,116.305,65.625,False
277,falling,401.0,405.0,31.8,,template,0.4329,0.9678,1.0,37122.95,3.0032,812.941,65.625,False
278,falling,397.0,406.0,31.8,,template,0.4208,0.9678,1.0,188.28,3.3369,4.123,65.625,False
279,falling,400.0,406.0,31.8,,template,0.4135,0.9678,1.0,137.0,3.6706,3.0,65.625,False
280,falling,400.0,404.0,31.8,,template,0.399,0.9678,1.0,91.33,4.0043,2.0,65.625,False
281,falling,397.0,403.0,31.8,,template,0.4009,0.9678,1.0,144.41,4.338,3.162,65.625,False
282,falling,397.0,406.0,31.8,,template,0.4044,0.9678,1.0,137.0,4.6717,3.0,65.625,False
283,falling,1172.5,425.3,30.4,,hough,1.0,0.9272,0.9581,35424.18,5.0054,775.74,65.625,False
284,falling,400.0,406.0,31.8,,template,0.4299,0.9678,1.0,35287.23,5.3391,772.741,65.625,False
285,falling,1190.1,381.1,32.3,,hough,1.0,0.9838,1.0165,36097.84,5.6728,790.492,65.625,False
286,falling,397.0,407.0,31.8,,template,0.4242,0.9678,1.0,36236.23,6.0065,793.523,65.625,False
287,falling,1197.1,363.0,32.0,,hough,1.0,0.9763,1.0089,36591.78,6.3402,801.309,65.625,False
288,falling,1169.8,412.5,44.9,,hough,1.0,1.3691,1.4147,2581.4,6.6739,56.529,65.625,False
289,falling,401.0,403.0,31.8,,template,0.4043,0.9678,1.0,35109.94,7.0076,768.859,65.625,False
290,falling,401.0,405.0,31.8,,template,0.4047,0.9678,1.0,91.33,7.3412,2.0,65.625,False
