frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
205,falling,1208.2,374.2,31.7,,hough,1.0,0.9672,0.9044,,0.0,,65.625,True,,,,
206,falling,1226.1,216.5,37.4,,hough,1.0,1.1413,1.0671,7247.61,0.3337,158.713,65.625,False,,,,
207,falling,1204.7,363.4,21.1,,hough,1.0,0.6421,0.6003,6779.0,0.6674,148.451,65.625,False,,,,
208,falling,1052.0,150.0,35.1,,template,0.3164,1.0695,1.0,11982.77,1.0011,262.406,65.625,False,,,,
209,falling,1227.3,201.2,35.0,,hough,1.0,1.0666,0.9973,8339.53,1.3348,182.624,65.625,False,,,,
210,falling,1052.0,105.0,35.1,,template,0.3291,1.0695,1.0,9131.24,1.6685,199.961,65.625,False,,,,
211,falling,1052.0,106.0,35.1,,template,0.3038,1.0695,1.0,45.67,2.0022,1.0,65.625,False,,,,
212,falling,1228.2,229.2,35.0,,hough,1.0,1.0674,0.998,9817.94,2.3359,214.999,65.625,False,,,,
213,falling,1220.8,268.3,39.5,,hough,1.0,1.2044,1.1261,1817.2,2.6695,39.794,65.625,False,,,,
214,falling,1225.7,194.7,34.5,,hough,1.0,1.0514,0.983,3368.39,3.0032,73.763,65.625,False,,,,
215,falling,1050.0,108.0,35.1,,template,0.3116,1.0695,1.0,8947.01,3.3369,195.927,65.625,False,,,,
216,falling,1227.5,204.9,35.0,,hough,1.0,1.0666,0.9973,9234.71,3.6706,202.227,65.625,False,,,,
217,falling,1215.4,312.3,29.5,,hough,1.0,0.8981,0.8397,4935.45,4.0043,108.079,65.625,False,,,,
218,falling,1210.8,346.7,35.1,,hough,1.0,1.0682,0.9988,1584.86,4.338,34.706,65.625,False,,,,
219,falling,1052.0,104.0,35.1,,template,0.306,1.0695,1.0,13244.49,4.6717,290.036,65.625,False,,,,
220,falling,1223.0,260.1,36.7,,hough,1.0,1.1181,1.0454,10573.02,5.0054,231.534,65.625,False,,,,
221,falling,1228.1,219.8,37.2,,hough,1.0,1.1337,1.06,1854.98,5.3391,40.621,65.625,False,,,,
222,falling,1228.1,219.8,37.2,,last_known,0.3,1.1337,1.06,0.0,5.6728,0.0,65.625,False,,,,
223,falling,1050.0,293.0,35.1,,template,0.3004,1.0695,1.0,8793.08,6.0065,192.556,65.625,False,,,,
224,falling,1223.5,149.2,39.2,,hough,1.0,1.1955,1.1178,10290.41,6.3402,225.346,65.625,False,,,,
225,falling,1227.1,235.7,35.8,,hough,1.0,1.0905,1.0196,3953.44,6.6739,86.575,65.625,False,,,,
226,falling,1221.2,264.9,38.4,,hough,1.0,1.1716,1.0954,1360.37,7.0076,29.79,65.625,False,,,,
227,falling,1222.7,146.2,40.7,,hough,1.0,1.2391,1.1586,5420.87,7.3412,118.709,65.625,False,,,,
228,falling,1229.2,233.0,40.2,,hough,1.0,1.2263,1.1466,3974.82,7.6749,87.043,65.625,False,,,,
229,falling,384.0,96.0,35.1,,template,0.3763,1.0695,1.0,39099.81,8.0086,856.231,65.625,False,,,,
230,falling,382.0,94.0,35.1,,template,0.3999,1.0695,1.0,129.16,8.3423,2.828,65.625,False,,,,
231,falling,1221.8,282.8,36.2,,hough,1.0,1.1031,1.0314,39306.66,8.676,860.761,65.625,False,,,,
232,falling,1222.6,176.9,36.4,,hough,1.0,1.1106,1.0384,4836.06,9.0097,105.903,65.625,False,,,,
233,falling,1221.7,305.3,43.1,,hough,1.0,1.3147,1.2293,5863.53,9.3434,128.403,65.625,False,,,,
234,falling,1220.3,276.4,36.8,,hough,1.0,1.1215,1.0486,1321.27,9.6771,28.934,65.625,False,,,,
235,falling,1215.2,288.2,27.0,,hough,1.0,0.8228,0.7694,587.02,10.0108,12.855,65.625,False,,,,
