frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
65,falling,1223.3,184.8,32.1,,hough,1.0,0.977,0.9611,,0.0,,65.625,True,,,,
66,falling,1209.2,78.9,35.0,,hough,1.0,1.0679,1.0506,4878.6,0.3337,106.835,65.625,False,,,,
67,falling,1223.7,172.3,36.2,,hough,1.0,1.1018,1.0839,4316.2,0.6674,94.519,65.625,False,,,,
68,falling,1222.2,168.0,37.9,,hough,1.0,1.1552,1.1364,207.96,1.0011,4.554,65.625,False,,,,
69,falling,1220.8,270.3,34.7,,hough,1.0,1.0575,1.0403,4671.97,1.3348,102.31,65.625,False,,,,
70,falling,1213.8,143.2,13.2,,hough,1.0,0.4012,0.3946,5812.82,1.6685,127.293,65.625,False,,,,
71,falling,1275.0,317.9,66.3,,hough,1.0,2.0192,1.9864,8453.03,2.0022,185.11,65.625,False,,,,
72,falling,1227.4,253.0,35.4,,hough,1.0,1.0802,1.0626,3675.33,2.3359,80.485,65.625,False,,,,
73,falling,1226.8,258.9,37.9,,hough,1.0,1.1541,1.1353,270.81,2.6695,5.93,65.625,False,,,,
74,falling,1196.3,385.4,23.9,,hough,1.0,0.7298,0.7179,5942.16,3.0032,130.125,65.625,False,,,,
75,falling,1218.5,148.0,26.4,,hough,1.0,0.8043,0.7913,10888.17,3.3369,238.436,65.625,False,,,,
76,falling,1220.5,242.0,20.4,,hough,1.0,0.6206,0.6106,4293.48,3.6706,94.021,65.625,False,,,,
77,falling,1217.4,150.7,24.6,,hough,1.0,0.7505,0.7383,4171.62,4.0043,91.353,65.625,False,,,,
78,falling,1217.4,150.7,24.6,,last_known,0.3,0.7505,0.7383,0.0,4.338,0.0,65.625,False,,,,
79,falling,1217.4,150.7,24.6,,last_known,0.3,0.7505,0.7383,0.0,4.6717,0.0,65.625,False,,,,
80,falling,1212.7,333.0,38.0,,hough,1.0,1.1594,1.1406,8327.5,5.0054,182.361,65.625,False,,,,
81,falling,1048.0,284.0,33.4,,template,0.3005,1.0165,1.0,7846.82,5.3391,171.834,65.625,False,,,,
82,falling,1218.3,158.1,23.4,,hough,1.0,0.7143,0.7027,9671.17,5.6728,211.785,65.625,False,,,,
83,falling,1052.0,152.0,33.4,,template,0.3075,1.0165,1.0,7599.2,6.0065,166.412,65.625,False,,,,
84,falling,1270.6,286.0,56.5,,hough,1.0,1.7221,1.6941,11708.6,6.3402,256.402,65.625,False,,,,
85,falling,1227.2,230.3,31.9,,hough,1.0,0.971,0.9552,3224.5,6.6739,70.612,65.625,False,,,,
86,falling,1221.7,159.1,37.3,,hough,1.0,1.1365,1.118,3261.04,7.0076,71.412,65.625,False,,,,
87,falling,1223.2,208.9,25.5,,hough,1.0,0.7766,0.764,2275.15,7.3412,49.823,65.625,False,,,,
88,falling,1223.9,191.5,32.6,,hough,1.0,0.9945,0.9784,795.21,7.6749,17.414,65.625,False,,,,
89,falling,384.0,80.0,33.4,,template,0.3468,1.0165,1.0,38690.54,8.0086,847.269,65.625,False,,,,
90,falling,1219.1,298.3,35.2,,hough,1.0,1.0728,1.0553,39416.26,8.3423,863.161,65.625,False,,,,
91,falling,1221.9,242.0,41.0,,hough,1.0,1.2492,1.2289,2574.12,8.676,56.37,65.625,False,,,,
92,falling,1225.0,246.8,36.1,,hough,1.0,1.1011,1.0832,260.93,9.0097,5.714,65.625,False,,,,
93,falling,807.0,75.0,33.4,,template,0.8297,1.0165,1.0,20637.31,9.3434,451.928,65.625,False,,,,
94,falling,1204.7,369.3,33.3,,hough,1.0,1.0145,0.9981,22592.78,9.6771,494.75,65.625,False,,,,
