frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
454,falling,1217.8,155.9,32.0,,hough,1.0,0.9748,0.8655,,0.0,,65.625,True
455,falling,1217.8,155.9,32.0,,last_known,0.3,0.9748,0.8655,0.0,0.3337,0.0,65.625,False
456,falling,1201.8,378.7,36.8,,hough,1.0,1.1215,0.9958,10200.37,0.6674,223.374,65.625,False
457,falling,1217.1,305.3,26.8,,hough,1.0,0.8154,0.724,3423.86,1.0011,74.978,65.625,False
458,falling,1223.0,257.2,38.4,,hough,1.0,1.1699,1.0387,2212.95,1.3348,48.46,65.625,False
459,falling,1214.5,306.4,30.8,,hough,1.0,0.9384,0.8332,2280.0,1.6685,49.929,65.625,False
460,falling,1226.8,248.6,36.9,,hough,1.0,1.1249,0.9988,2698.54,2.0022,59.094,65.625,False
461,falling,576.0,78.0,37.0,,template,0.3245,1.1263,1.0,30722.92,2.3359,672.789,65.625,False
462,falling,1227.4,242.3,34.1,,hough,1.0,1.0391,0.9226,30677.8,2.6695,671.801,65.625,False
463,falling,1223.1,253.8,36.3,,hough,1.0,1.1062,0.9822,560.66,3.0032,12.278,65.625,False
464,falling,1226.5,251.1,39.7,,hough,1.0,1.2111,1.0753,198.26,3.3369,4.342,65.625,False
465,falling,1050.0,297.0,37.0,,template,0.3261,1.1263,1.0,8327.96,3.6706,182.371,65.625,False
466,falling,1048.0,291.0,37.0,,template,0.3195,1.1263,1.0,288.81,4.0043,6.325,65.625,False
467,falling,1052.0,103.0,37.0,,template,0.3021,1.1263,1.0,8586.97,4.338,188.043,65.625,False
468,falling,1193.4,393.0,41.8,,hough,1.0,1.2736,1.1308,14733.18,4.6717,322.636,65.625,False
469,falling,1052.0,151.0,37.0,,template,0.3155,1.1263,1.0,12799.08,5.0054,280.282,65.625,False
470,falling,1225.1,261.3,31.4,,hough,1.0,0.9557,0.8485,9372.98,5.3391,205.255,65.625,False
