frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
204,falling,1219.3,107.8,43.6,,hough,1.0,1.3275,0.792,,0.0,,65.625,True
205,falling,988.0,221.0,55.0,,template,0.6809,1.6762,1.0,11759.42,0.3337,257.515,65.625,False
206,falling,992.0,248.0,55.0,,template,0.6983,1.6762,1.0,1246.41,0.6674,27.295,65.625,False
207,falling,1224.7,250.0,36.4,,hough,1.0,1.1082,0.6611,10626.64,1.0011,232.709,65.625,False
208,falling,993.0,297.0,55.0,,template,0.6804,1.6762,1.0,10796.07,1.3348,236.419,65.625,False
209,falling,1227.6,219.6,38.8,,hough,1.0,1.1831,0.7058,11281.01,1.6685,247.038,65.625,False
210,falling,996.0,344.0,55.0,,template,0.6735,1.6762,1.0,12005.12,2.0022,262.895,65.625,False
211,falling,1221.7,254.8,35.1,,hough,1.0,1.0684,0.6374,11082.32,2.3359,242.687,65.625,False
212,falling,1211.4,326.6,25.7,,hough,1.0,0.7823,0.4667,3312.31,2.6695,72.535,65.625,False
213,falling,1226.1,210.4,34.8,,hough,1.0,1.0612,0.6331,5348.57,3.0032,117.126,65.625,False
214,falling,1206.3,80.0,38.7,,hough,1.0,1.1793,0.7035,6022.97,3.3369,131.895,65.625,False
215,falling,1227.7,235.0,35.4,,hough,1.0,1.0795,0.644,7145.22,3.6706,156.47,65.625,False
216,falling,393.0,115.0,55.0,,template,0.338,1.6762,1.0,38508.47,4.0043,843.282,65.625,False
217,falling,1224.3,238.8,36.1,,hough,1.0,1.1015,0.6572,38379.97,4.338,840.468,65.625,False
218,falling,1222.3,159.0,36.6,,hough,1.0,1.1165,0.6661,3645.21,4.6717,79.825,65.625,False
219,falling,1205.8,91.2,23.7,,hough,1.0,0.7238,0.4318,3186.45,5.0054,69.779,65.625,False
220,falling,1205.8,91.2,23.7,,last_known,0.3,0.7238,0.4318,0.0,5.3391,0.0,65.625,False
221,falling,1225.6,261.8,33.7,,hough,1.0,1.0269,0.6127,7842.74,5.6728,171.745,65.625,False
222,falling,1225.6,261.8,33.7,,last_known,0.3,1.0269,0.6127,0.0,6.0065,0.0,65.625,False
223,falling,1010.0,407.0,55.0,,template,0.5847,1.6762,1.0,11869.95,6.3402,259.935,65.625,False
224,falling,1217.4,142.9,29.1,,hough,1.0,0.8878,0.5296,15334.44,6.6739,335.803,65.625,False
225,falling,1220.3,168.7,31.9,,hough,1.0,0.9715,0.5796,1185.58,7.0076,25.962,65.625,False
226,falling,1222.0,271.2,36.3,,hough,1.0,1.1074,0.6607,4681.31,7.3412,102.514,65.625,False
227,falling,1224.9,262.6,32.2,,hough,1.0,0.9813,0.5854,414.45,7.6749,9.076,65.625,False
228,falling,1221.9,275.1,40.3,,hough,1.0,1.2276,0.7324,587.02,8.0086,12.855,65.625,False
229,falling,1014.0,364.0,55.0,,template,0.6182,1.6762,1.0,10325.3,8.3423,226.11,65.625,False
230,falling,1208.1,86.4,32.9,,hough,1.0,1.004,0.599,15468.01,8.676,338.728,65.625,False
231,falling,1223.5,186.2,40.5,,hough,1.0,1.2329,0.7355,4611.31,9.0097,100.981,65.625,False
232,falling,571.0,131.0,55.0,,template,0.7907,1.6762,1.0,29902.85,9.3434,654.831,65.625,False
233,falling,1221.2,291.0,36.1,,hough,1.0,1.1005,0.6565,30577.15,9.6771,669.597,65.625,False
234,falling,1211.6,128.5,27.5,,hough,1.0,0.8379,0.4999,7433.5,10.0108,162.783,65.625,False
235,falling,1224.1,266.7,37.3,,hough,1.0,1.136,0.6777,6336.67,10.3445,138.764,65.625,False
236,falling,570.0,228.0,55.0,,template,0.7794,1.6762,1.0,29921.72,10.6782,655.244,65.625,False
237,falling,1221.9,144.0,39.2,,hough,1.0,1.1953,0.7131,30015.14,11.0119,657.29,65.625,False
238,falling,1216.8,158.6,28.6,,hough,1.0,0.8716,0.52,706.22,11.3456,15.465,65.625,False
239,falling,1201.7,92.4,26.7,,hough,1.0,0.8144,0.4859,3100.67,11.6793,67.9,65.625,False
240,falling,1225.2,233.9,38.7,,hough,1.0,1.1797,0.7038,6550.1,12.0129,143.438,65.625,False
241,falling,1211.8,147.9,24.0,,hough,1.0,0.7319,0.4366,3974.58,12.3466,87.038,65.625,False
242,falling,569.0,376.0,55.0,,template,0.7803,1.6762,1.0,31146.8,12.6803,682.071,65.625,False
243,spreading,,,,79,contact_width,1.0,,0.7182,,13.014,,65.625,True
244,spreading,,,,96,contact_width,1.0,,0.8727,,13.3477,,65.625,False
245,spreading,,,,116,contact_width,1.0,,1.0545,,13.6814,,65.625,False
246,spreading,,,,154,contact_width,1.0,,1.4,,14.0151,,65.625,False
247,spreading,,,,177,contact_width,1.0,,1.6091,,14.3488,,65.625,False
248,spreading,,,,189,contact_width,1.0,,1.7182,,14.6825,,65.625,False
249,spreading,,,,194,contact_width,1.0,,1.7636,,15.0162,,65.625,False
250,spreading,,,,192,contact_width,1.0,,1.7455,,15.3499,,65.625,False
251,spreading,,,,185,contact_width,1.0,,1.6818,,15.6836,,65.625,False
252,spreading,,,,171,contact_width,1.0,,1.5545,,16.0173,,65.625,False
253,spreading,,,,157,contact_width,1.0,,1.4273,,16.351,,65.625,False
254,spreading,,,,141,contact_width,1.0,,1.2818,,16.6846,,65.625,False
255,spreading,,,,129,contact_width,1.0,,1.1727,,17.0183,,65.625,False
256,spreading,,,,118,contact_width,1.0,,1.0727,,17.352,,65.625,False
257,spreading,,,,108,contact_width,1.0,,0.9818,,17.6857,,65.625,False
258,spreading,,,,99,contact_width,1.0,,0.9,,18.0194,,65.625,False
259,spreading,,,,90,contact_width,1.0,,0.8182,,18.3531,,65.625,False
260,spreading,,,,81,contact_width,1.0,,0.7364,,18.6868,,65.625,False
261,spreading,,,,73,contact_width,1.0,,0.6636,,19.0205,,65.625,False
262,spreading,,,,66,contact_width,1.0,,0.6,,19.3542,,65.625,False
263,spreading,,,,61,contact_width,1.0,,0.5545,,19.6879,,65.625,False
264,spreading,,,,60,contact_width,1.0,,0.5455,,20.0216,,65.625,False
