frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
141,falling,1221.4,276.3,26.4,,hough,1.0,0.8038,0.672,,0.0,,65.625,True,,,,
142,falling,1049.0,221.0,39.2,,template,0.3585,1.1961,1.0,8267.74,0.3337,181.052,65.625,False,,,,
143,falling,394.0,89.0,39.2,,template,0.3112,1.1961,1.0,30511.92,0.6674,668.168,65.625,False,,,,
144,falling,1222.1,263.4,27.1,,hough,1.0,0.8246,0.6894,38644.72,1.0011,846.265,65.625,False,,,,
145,falling,1056.0,109.0,39.2,,template,0.3105,1.1961,1.0,10355.85,1.3348,226.779,65.625,False,,,,
146,falling,1227.0,228.7,29.8,,hough,1.0,0.9092,0.7601,9531.75,1.6685,208.732,65.625,False,,,,
147,falling,1216.3,129.2,27.4,,hough,1.0,0.835,0.6981,4569.87,2.0022,100.074,65.625,False,,,,
148,falling,1223.7,288.5,39.8,,hough,1.0,1.2123,1.0136,7282.28,2.3359,159.472,65.625,False,,,,
149,falling,1215.9,311.7,27.9,,hough,1.0,0.8499,0.7105,1117.7,2.6695,24.476,65.625,False,,,,
150,falling,1226.1,188.4,32.5,,hough,1.0,0.9895,0.8273,5649.73,3.0032,123.721,65.625,False,,,,
151,falling,1229.1,232.7,44.4,,hough,1.0,1.3522,1.1305,2027.59,3.3369,44.401,65.625,False,,,,
152,falling,1225.3,181.2,37.6,,hough,1.0,1.1472,0.9592,2358.14,3.6706,51.64,65.625,False,,,,
153,falling,1228.2,241.3,35.3,,hough,1.0,1.0771,0.9005,2747.66,4.0043,60.17,65.625,False,,,,
154,falling,1227.2,217.8,34.5,,hough,1.0,1.0517,0.8792,1074.1,4.338,23.521,65.625,False,,,,
155,falling,1223.0,276.9,37.0,,hough,1.0,1.1277,0.9428,2705.61,4.6717,59.249,65.625,False,,,,
156,falling,1224.6,185.5,36.4,,hough,1.0,1.1107,0.9286,4174.42,5.0054,91.414,65.625,False,,,,
157,falling,1220.3,117.6,43.5,,hough,1.0,1.3261,1.1087,3106.87,5.3391,68.036,65.625,False,,,,
158,falling,1224.1,281.3,35.9,,hough,1.0,1.0952,0.9156,7477.38,5.6728,163.744,65.625,False,,,,
159,falling,1052.0,289.0,39.2,,template,0.3178,1.1961,1.0,7866.81,6.0065,172.272,65.625,False,,,,
160,falling,1220.7,312.5,38.9,,hough,1.0,1.1854,0.9911,7778.07,6.3402,170.329,65.625,False,,,,
161,falling,1209.7,332.6,32.5,,hough,1.0,0.9896,0.8273,1046.33,6.6739,22.913,65.625,False,,,,
162,falling,569.0,83.0,39.2,,template,0.3154,1.1961,1.0,31399.36,7.0076,687.602,65.625,False,,,,
163,falling,563.0,83.0,39.2,,template,0.3216,1.1961,1.0,273.99,7.3412,6.0,65.625,False,,,,
164,falling,1209.2,97.1,30.3,,hough,1.0,0.9245,0.7729,29515.76,7.6749,646.354,65.625,False,,,,
165,falling,1223.4,257.4,35.3,,hough,1.0,1.0773,0.9007,7348.77,8.0086,160.928,65.625,False,,,,
166,falling,550.0,83.0,39.2,,template,0.3989,1.1961,1.0,31765.36,8.3423,695.617,65.625,False,,,,
167,falling,784.0,83.0,39.2,,template,0.6008,1.1961,1.0,10685.61,8.676,234.0,65.625,False,,,,
168,falling,1222.8,259.4,38.7,,hough,1.0,1.1792,0.9859,21596.34,9.0097,472.93,65.625,False,,,,
169,falling,785.0,122.0,39.2,,template,0.7158,1.1961,1.0,20953.6,9.3434,458.855,65.625,False,,,,
170,falling,1224.0,220.5,36.1,,hough,1.0,1.1008,0.9204,20545.36,9.6771,449.915,65.625,False,,,,
171,falling,787.0,172.0,39.2,,template,0.7066,1.1961,1.0,20078.14,10.0108,439.683,65.625,False,,,,
172,falling,1219.4,198.7,41.2,,hough,1.0,1.256,1.0501,19783.16,10.3445,433.224,65.625,False,,,,
173,falling,1223.0,245.7,37.4,,hough,1.0,1.1392,0.9524,2152.54,10.6782,47.138,65.625,False,,,,
174,falling,1221.6,293.9,39.2,,hough,1.0,1.1961,1.0,2201.98,11.0119,48.22,65.625,False,,,,
175,falling,1216.9,261.5,21.9,,hough,1.0,0.6667,0.5574,1495.03,11.3456,32.739,65.625,False,,,,
176,falling,1223.3,302.0,41.9,,hough,1.0,1.2779,1.0684,1872.38,11.6793,41.003,65.625,False,,,,
177,falling,789.0,320.0,39.2,,template,0.7356,1.1961,1.0,19849.34,12.0129,434.673,65.625,False,,,,
178,falling,790.0,343.0,39.2,,template,0.725,1.1961,1.0,1051.29,12.3466,23.022,65.625,False,,,,
179,falling,1220.6,137.6,39.6,,hough,1.0,1.2076,1.0096,21785.87,12.6803,477.08,65.625,False,,,,
180,falling,791.0,395.0,39.2,,template,0.7146,1.1961,1.0,22869.51,13.014,500.81,65.625,False,,,,
181,spreading,,,,82,contact_width,1.0,,1.0447,,13.3477,,65.625,True,832.0,,,
182,spreading,,,,79,contact_width,1.0,,1.0064,,13.6814,,65.625,False,830.5,,,
183,spreading,,,,103,contact_width,1.0,,1.3122,,14.0151,,65.625,False,842.5,,,
184,spreading,,,,125,contact_width,1.0,,1.5925,,14.3488,,65.625,False,853.5,,,
185,spreading,,,,141,contact_width,1.0,,1.7963,,14.6825,,65.625,False,861.5,,,
186,spreading,,,,154,contact_width,1.0,,1.9619,,15.0162,,65.625,False,868.0,,209.7823,
187,spreading,,,,145,contact_width,1.0,,1.8473,,15.3499,,65.625,False,863.5,,,
188,spreading,,,,137,contact_width,1.0,,1.7454,,15.6836,,65.625,False,859.5,,,
189,spreading,,,,122,contact_width,1.0,,1.5543,,16.0173,,65.625,False,852.0,,,
190,spreading,,,,106,contact_width,1.0,,1.3504,,16.351,,65.625,False,844.0,,,
191,spreading,,,,101,contact_width,1.0,,1.2867,,16.6846,,65.625,False,841.5,,,
192,spreading,,,,89,contact_width,1.0,,1.1338,,17.0183,,65.625,False,835.5,,,
193,spreading,,,,84,contact_width,1.0,,1.0701,,17.352,,65.625,False,833.0,,,
194,spreading,,,,75,contact_width,1.0,,0.9555,,17.6857,,65.625,False,828.5,,,
195,spreading,,,,68,contact_width,1.0,,0.8663,,18.0194,,65.625,False,825.0,,,
196,spreading,,,,65,contact_width,1.0,,0.8281,,18.3531,,65.625,False,823.5,,,
197,spreading,,,,58,contact_width,1.0,,0.7389,,18.6868,,65.625,False,820.0,,,
198,spreading,,,,55,contact_width,1.0,,0.7007,,19.0205,,65.625,False,818.5,,,
199,spreading,,,,52,contact_width,1.0,,0.6625,,19.3542,,65.625,False,817.0,,,
200,spreading,,,,51,contact_width,1.0,,0.6497,,19.6879,,65.625,False,816.5,,,
201,spreading,,,,45,contact_width,1.0,,0.5733,,20.0216,,65.625,False,813.5,,,
202,spreading,,,,44,contact_width,1.0,,0.5606,,20.3553,,65.625,False,813.0,,,
203,spreading,,,,0,contact_width,1.0,,,,20.689,,65.625,False,791.0,,,
204,spreading,,,,0,contact_width,1.0,,,,21.0227,,65.625,False,791.0,,,
205,spreading,,,,0,contact_width,1.0,,,,21.3564,,65.625,False,791.0,,,
206,spreading,,,,0,contact_width,1.0,,,,21.69,,65.625,False,791.0,,,
207,spreading,,,,0,contact_width,1.0,,,,22.0237,,65.625,False,791.0,,,
208,spreading,,,,0,contact_width,1.0,,,,22.3574,,65.625,False,791.0,,,
209,spreading,,,,0,contact_width,1.0,,,,22.6911,,65.625,False,791.0,,,
210,spreading,,,,0,contact_width,1.0,,,,23.0248,,65.625,False,791.0,,,
211,spreading,,,,0,contact_width,1.0,,,,23.3585,,65.625,False,791.0,,,
212,spreading,,,,0,contact_width,1.0,,,,23.6922,,65.625,False,791.0,,,
213,spreading,,,,0,contact_width,1.0,,,,24.0259,,65.625,False,791.0,,,
214,spreading,,,,0,contact_width,1.0,,,,24.3596,,65.625,False,791.0,,,
215,spreading,,,,0,contact_width,1.0,,,,24.6933,,65.625,False,791.0,,,
216,spreading,,,,0,contact_width,1.0,,,,25.027,,65.625,False,791.0,,,
217,spreading,,,,0,contact_width,1.0,,,,25.3607,,65.625,False,791.0,,,
218,spreading,,,,0,contact_width,1.0,,,,25.6944,,65.625,False,791.0,,,
219,spreading,,,,0,contact_width,1.0,,,,26.0281,,65.625,False,791.0,,,
220,spreading,,,,0,contact_width,1.0,,,,26.3617,,65.625,False,791.0,,,
221,spreading,,,,0,contact_width,1.0,,,,26.6954,,65.625,False,791.0,,,
222,spreading,,,,0,contact_width,1.0,,,,27.0291,,65.625,False,791.0,,,
223,spreading,,,,0,contact_width,1.0,,,,27.3628,,65.625,False,791.0,,,
224,spreading,,,,0,contact_width,1.0,,,,27.6965,,65.625,False,791.0,,,
225,spreading,,,,0,contact_width,1.0,,,,28.0302,,65.625,False,791.0,,,
226,spreading,,,,0,contact_width,1.0,,,,28.3639,,65.625,False,791.0,,,
227,spreading,,,,0,contact_width,1.0,,,,28.6976,,65.625,False,791.0,,,
228,spreading,,,,0,contact_width,1.0,,,,29.0313,,65.625,False,791.0,,,
229,spreading,,,,0,contact_width,1.0,,,,29.365,,65.625,False,791.0,,,
230,spreading,,,,0,contact_width,1.0,,,,29.6987,,65.625,False,791.0,,,
231,spreading,,,,0,contact_width,1.0,,,,30.0324,,65.625,False,791.0,,,
232,spreading,,,,0,contact_width,1.0,,,,30.3661,,65.625,False,791.0,,,
233,spreading,,,,0,contact_width,1.0,,,,30.6998,,65.625,False,791.0,,,
234,spreading,,,,0,contact_width,1.0,,,,31.0334,,65.625,False,791.0,,,
235,spreading,,,,0,contact_width,1.0,,,,31.3671,,65.625,False,791.0,,,
236,spreading,,,,0,contact_width,1.0,,,,31.7008,,65.625,False,791.0,,,
237,spreading,,,,0,contact_width,1.0,,,,32.0345,,65.625,False,791.0,,,
238,spreading,,,,0,contact_width,1.0,,,,32.3682,,65.625,False,791.0,,,
239,spreading,,,,0,contact_width,1.0,,,,32.7019,,65.625,False,791.0,,,
