frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
281,falling,1190.7,335.8,30.5,,hough,1.0,0.9295,0.9602,,0.0,,65.625,True,,,,
282,falling,1204.1,210.4,26.2,,hough,1.0,0.7995,0.8259,5758.99,0.3337,126.114,65.625,False,,,,
283,falling,1198.3,102.7,26.7,,hough,1.0,0.8142,0.8411,4925.25,0.6674,107.856,65.625,False,,,,
284,falling,1264.8,108.1,74.5,,hough,1.0,2.2691,2.3441,3046.72,1.0011,66.719,65.625,False,,,,
285,falling,1173.2,399.8,31.1,,hough,1.0,0.9484,0.9797,13961.81,1.3348,305.744,65.625,False,,,,
286,falling,1199.0,294.0,23.2,,hough,1.0,0.707,0.7303,4972.93,1.6685,108.9,65.625,False,,,,
287,falling,1258.9,321.3,76.9,,hough,1.0,2.345,2.4226,3006.03,2.0022,65.828,65.625,False,,,,
288,falling,1203.9,130.2,33.7,,hough,1.0,1.0286,1.0626,9080.82,2.3359,198.857,65.625,False,,,,
289,falling,1207.9,217.4,29.3,,hough,1.0,0.894,0.9236,3986.18,2.6695,87.292,65.625,False,,,,
290,falling,1207.9,217.4,29.3,,last_known,0.3,0.894,0.9236,0.0,3.0032,0.0,65.625,False,,,,
291,falling,1204.9,192.5,33.2,,hough,1.0,1.0111,1.0445,1145.28,3.3369,25.08,65.625,False,,,,
292,falling,1163.3,417.7,37.3,,hough,1.0,1.1366,1.1742,10457.75,3.6706,229.01,65.625,False,,,,
293,falling,1203.7,254.5,26.2,,hough,1.0,0.7975,0.8239,7677.48,4.0043,168.126,65.625,False,,,,
294,falling,1264.1,265.2,78.1,,hough,1.0,2.3806,2.4593,2801.11,4.338,61.34,65.625,False,,,,
295,falling,1198.7,294.8,24.1,,hough,1.0,0.7347,0.759,3278.14,4.6717,71.787,65.625,False,,,,
296,falling,1198.7,294.8,24.1,,last_known,0.3,0.7347,0.759,0.0,5.0054,0.0,65.625,False,,,,
297,falling,1273.3,263.8,75.5,,hough,1.0,2.3016,2.3777,3689.03,5.3391,80.785,65.625,False,,,,
298,falling,1193.9,95.7,37.1,,hough,1.0,1.1305,1.1678,8489.51,5.6728,185.908,65.625,False,,,,
299,falling,1155.7,429.6,50.4,,hough,1.0,1.5369,1.5877,15347.01,6.0065,336.078,65.625,False,,,,
300,falling,383.0,105.0,31.8,,template,0.3148,0.968,1.0,38272.36,6.3402,838.111,65.625,False,,,,
301,falling,1201.2,262.5,28.0,,hough,1.0,0.8527,0.8809,38049.05,6.6739,833.221,65.625,False,,,,
302,falling,1201.2,262.5,28.0,,last_known,0.3,0.8527,0.8809,0.0,7.0076,0.0,65.625,False,,,,
303,falling,1272.7,162.1,69.5,,hough,1.0,2.1183,2.1884,5628.56,7.3412,123.257,65.625,False,,,,
304,falling,1207.8,241.0,33.8,,hough,1.0,1.0306,1.0647,4665.26,7.6749,102.163,65.625,False,,,,
305,falling,1205.3,288.8,41.3,,hough,1.0,1.2585,1.3001,2185.77,8.0086,47.865,65.625,False,,,,
306,falling,1205.8,279.3,41.9,,hough,1.0,1.2777,1.32,434.42,8.3423,9.513,65.625,False,,,,
307,falling,1182.9,377.5,41.5,,hough,1.0,1.2638,1.3056,4604.62,8.676,100.835,65.625,False,,,,
308,falling,1195.4,97.5,28.4,,hough,1.0,0.8651,0.8937,12798.94,9.0097,280.279,65.625,False,,,,
309,falling,1203.9,176.5,30.8,,hough,1.0,0.9389,0.9699,3628.36,9.3434,79.456,65.625,False,,,,
310,falling,1187.2,81.8,30.9,,hough,1.0,0.9409,0.972,4391.2,9.6771,96.161,65.625,False,,,,
311,falling,1201.1,319.9,42.2,,hough,1.0,1.2847,1.3272,10891.35,10.0108,238.505,65.625,False,,,,
312,falling,1196.7,104.0,28.2,,hough,1.0,0.8595,0.888,9861.12,10.3445,215.945,65.625,False,,,,
313,falling,344.0,264.0,31.8,,template,0.4,0.968,1.0,39618.11,10.6782,867.581,65.625,False,,,,
314,falling,344.0,288.0,31.8,,template,0.4008,0.968,1.0,1095.96,11.0119,24.0,65.625,False,,,,
315,falling,1206.1,209.3,36.0,,hough,1.0,1.0972,1.1335,39531.51,11.3456,865.685,65.625,False,,,,
316,falling,1203.9,144.7,31.8,,hough,1.0,0.968,1.0,2951.67,11.6793,64.637,65.625,False,,,,
317,falling,339.0,369.0,31.8,,template,0.3943,0.968,1.0,40802.21,12.0129,893.511,65.625,False,,,,
318,spreading,,,,87,contact_width,1.0,,1.3696,,12.3466,,65.625,True,382.5,,,
319,spreading,,,,138,contact_width,1.0,,2.1724,,12.6803,,65.625,False,408.0,,,
320,spreading,,,,179,contact_width,1.0,,2.8178,,13.014,,65.625,False,428.5,,,
321,spreading,,,,205,contact_width,1.0,,3.2271,,13.3477,,65.625,False,441.5,,,
322,spreading,,,,220,contact_width,1.0,,3.4633,,13.6814,,65.625,False,449.0,,,
323,spreading,,,,227,contact_width,1.0,,3.5735,,14.0151,,65.625,False,452.5,,,
324,spreading,,,,229,contact_width,1.0,,3.6049,,14.3488,,65.625,False,453.5,,290.8426,
325,spreading,,,,225,contact_width,1.0,,3.542,,14.6825,,65.625,False,451.5,,,
326,spreading,,,,215,contact_width,1.0,,3.3845,,15.0162,,65.625,False,446.5,,,
327,spreading,,,,206,contact_width,1.0,,3.2429,,15.3499,,65.625,False,442.0,,,
328,spreading,,,,195,contact_width,1.0,,3.0697,,15.6836,,65.625,False,436.5,,,
329,spreading,,,,178,contact_width,1.0,,2.8021,,16.0173,,65.625,False,428.0,,,
330,spreading,,,,163,contact_width,1.0,,2.566,,16.351,,65.625,False,420.5,,,
331,spreading,,,,152,contact_width,1.0,,2.3928,,16.6846,,65.625,False,415.0,,,
332,spreading,,,,138,contact_width,1.0,,2.1724,,17.0183,,65.625,False,408.0,,,
333,rebounding,343.0,331.0,31.8,,template,0.6067,0.968,1.0,,17.352,,65.625,True,,299.2,,1023.5605
334,rebounding,330.2,443.9,42.0,,hough,1.0,1.28,1.3223,5188.61,17.6857,113.623,65.625,False,,401.9,,
335,rebounding,334.4,432.1,39.0,,hough,1.0,1.1886,1.2279,571.96,18.0194,12.525,65.625,False,,393.1,,
336,rebounding,343.0,278.0,31.8,,template,0.6635,0.968,1.0,7047.93,18.3531,154.34,65.625,False,,246.2,,
337,rebounding,344.0,264.0,31.8,,template,0.6882,0.968,1.0,640.94,18.6868,14.036,65.625,False,,232.2,,
338,rebounding,343.0,252.0,31.8,,template,0.694,0.968,1.0,549.88,19.0205,12.042,65.625,False,,220.2,,
339,rebounding,343.0,241.0,31.8,,template,0.6904,0.968,1.0,502.32,19.3542,11.0,65.625,False,,209.2,,
340,rebounding,342.0,230.0,31.8,,template,0.68,0.968,1.0,504.39,19.6879,11.045,65.625,False,,198.2,,
341,rebounding,342.0,219.0,31.8,,template,0.6683,0.968,1.0,502.32,20.0216,11.0,65.625,False,,187.2,,
342,rebounding,342.0,209.0,31.8,,template,0.6726,0.968,1.0,456.65,20.3553,10.0,65.625,False,,177.2,,
343,rebounding,341.0,200.0,31.8,,template,0.6785,0.968,1.0,413.51,20.689,9.055,65.625,False,,168.2,,
344,rebounding,340.0,192.0,31.8,,template,0.6753,0.968,1.0,368.16,21.0227,8.062,65.625,False,,160.2,,
345,rebounding,340.0,184.0,31.8,,template,0.6683,0.968,1.0,365.32,21.3564,8.0,65.625,False,,152.2,,
346,rebounding,342.0,187.0,31.8,,template,0.6703,0.968,1.0,164.65,21.69,3.606,65.625,False,,155.2,,
347,rebounding,339.0,177.0,31.8,,template,0.6758,0.968,1.0,476.76,22.0237,10.44,65.625,False,,145.2,,
348,rebounding,336.0,166.0,31.8,,template,0.69,0.968,1.0,520.66,22.3574,11.402,65.625,False,,134.2,,
