frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
16338,falling,1205.3,139.1,34.3,,hough,1.0,1.0444,1.0611,,0.0,,65.625,True
16339,falling,972.0,425.0,32.3,,template,0.4074,0.9843,1.0,16850.8,0.3337,369.009,65.625,False
16340,falling,972.0,424.0,32.3,,template,0.4067,0.9843,1.0,45.67,0.6674,1.0,65.625,False
16341,falling,1204.8,288.0,39.6,,hough,1.0,1.2064,1.2257,12311.94,1.0011,269.614,65.625,False
16342,falling,972.0,424.0,32.3,,template,0.4044,0.9843,1.0,12311.94,1.3348,269.614,65.625,False
16343,falling,1258.9,139.5,77.4,,hough,1.0,2.3584,2.3961,18450.69,1.6685,404.044,65.625,False
16344,falling,1035.6,411.1,39.5,,hough,1.0,1.2049,1.2242,16056.27,2.0022,351.61,65.625,False
16345,falling,1181.6,387.9,46.5,,hough,1.0,1.418,1.4407,6750.74,2.3359,147.832,65.625,False
16346,falling,972.0,423.0,32.3,,template,0.4051,0.9843,1.0,9704.67,2.6695,212.519,65.625,False
16347,falling,972.0,425.0,32.3,,template,0.4077,0.9843,1.0,91.33,3.0032,2.0,65.625,False
16348,falling,1201.5,123.7,32.3,,hough,1.0,0.9843,1.0,17295.65,3.3369,378.75,65.625,False
16349,falling,972.0,425.0,32.3,,template,0.3995,0.9843,1.0,17295.65,3.6706,378.75,65.625,False
16350,falling,972.0,425.0,32.3,,template,0.4056,0.9843,1.0,0.0,4.0043,0.0,65.625,False
16351,falling,972.0,424.0,32.3,,template,0.4002,0.9843,1.0,45.67,4.338,1.0,65.625,False
16352,falling,1204.0,263.7,28.5,,hough,1.0,0.8699,0.8838,12877.22,4.6717,281.993,65.625,False
16353,falling,972.0,424.0,32.3,,template,0.3981,0.9843,1.0,12877.22,5.0054,281.993,65.625,False
16354,falling,1206.1,215.9,40.0,,hough,1.0,1.2192,1.2387,14303.32,5.3391,313.223,65.625,False
16355,falling,972.0,425.0,32.3,,template,0.4068,0.9843,1.0,14333.7,5.6728,313.888,65.625,False
16356,falling,972.0,424.0,32.3,,template,0.4042,0.9843,1.0,45.67,6.0065,1.0,65.625,False
16357,falling,972.0,424.0,32.3,,template,0.4015,0.9843,1.0,0.0,6.3402,0.0,65.625,False
16358,falling,972.0,424.0,32.3,,template,0.403,0.9843,1.0,0.0,6.6739,0.0,65.625,False
16359,falling,972.0,425.0,32.3,,template,0.4046,0.9843,1.0,45.67,7.0076,1.0,65.625,False
16360,falling,972.0,424.0,32.3,,template,0.4005,0.9843,1.0,45.67,7.3412,1.0,65.625,False
16361,falling,972.0,424.0,32.3,,template,0.4026,0.9843,1.0,0.0,7.6749,0.0,65.625,False
16362,falling,1206.9,243.7,33.8,,hough,1.0,1.0296,1.0461,13522.25,8.0086,296.118,65.625,False
16363,falling,972.0,426.0,32.3,,template,0.4056,0.9843,1.0,13578.05,8.3423,297.34,65.625,False
16364,falling,972.0,425.0,32.3,,template,0.4046,0.9843,1.0,45.67,8.676,1.0,65.625,False
16365,falling,972.0,424.0,32.3,,template,0.4053,0.9843,1.0,45.67,9.0097,1.0,65.625,False
16366,falling,972.0,424.0,32.3,,template,0.4044,0.9843,1.0,0.0,9.3434,0.0,65.625,False
16367,falling,1198.9,118.4,32.2,,hough,1.0,0.9803,0.996,17381.22,9.6771,380.624,65.625,False
16368,falling,972.0,425.0,32.3,,template,0.4022,0.9843,1.0,17417.91,10.0108,381.428,65.625,False
16369,falling,972.0,425.0,32.3,,template,0.4059,0.9843,1.0,0.0,10.3445,0.0,65.625,False
16370,falling,972.0,425.0,32.3,,template,0.4067,0.9843,1.0,0.0,10.6782,0.0,65.625,False
16371,falling,972.0,425.0,32.3,,template,0.4087,0.9843,1.0,0.0,11.0119,0.0,65.625,False
16372,falling,972.0,426.0,32.3,,template,0.4045,0.9843,1.0,45.67,11.3456,1.0,65.625,False
16373,falling,972.0,425.0,32.3,,template,0.406,0.9843,1.0,45.67,11.6793,1.0,65.625,False
16374,falling,972.0,424.0,32.3,,template,0.403,0.9843,1.0,45.67,12.0129,1.0,65.625,False
16375,falling,401.0,404.0,32.3,,template,0.419,0.9843,1.0,26090.71,12.3466,571.35,65.625,False
16376,falling,972.0,425.0,32.3,,template,0.404,0.9843,1.0,26092.35,12.6803,571.386,65.625,False
