frame,drop_id,cx,cy,area_px,percentage
815,1,840,80,9579,100.0
816,1,840,106,9851,102.84
817,1,839,131,9900,103.35
818,1,839,157,9277,96.85
819,1,839,182,9745,101.73
820,1,839,208,9817,102.48
821,1,838,234,9960,103.98
822,1,838,260,9948,103.85
823,1,837,286,9540,99.59
824,1,837,311,10036,104.77
825,1,837,339,9738,101.66
826,1,837,365,10119,105.64
827,1,837,390,10064,105.06
828,1,834,412,9505,99.23
829,1,834,428,9676,101.01
830,1,835,436,8225,85.86
831,1,836,442,8448,88.19
832,1,833,447,10868,113.46
833,1,833,447,12107,126.39
834,1,834,447,12719,132.78
835,1,832,446,12976,135.46
836,1,832,444,12689,132.47
837,1,831,442,12408,129.53
838,1,830,438,11268,117.63
839,1,829,438,12295,128.35
840,1,829,432,13108,136.84
841,1,830,423,12515,130.65
842,1,830,418,13768,143.73
843,1,829,412,14176,147.99
844,1,829,403,13415,140.05
845,1,829,398,14949,156.06
846,1,830,386,14915,155.71
847,1,829,380,15156,158.22
848,1,830,367,13194,137.74
849,1,831,363,13356,139.43
850,1,830,358,13246,138.28
851,1,829,352,13464,140.56
852,1,827,352,14485,151.22
853,1,827,348,15673,163.62
854,1,827,344,15938,166.38
855,1,827,340,16002,167.05
856,1,827,334,16658,173.9
857,1,825,363,15286,159.58
857,2,826,178,2330,24.32
858,1,825,366,14288,149.16
858,2,826,165,1505,15.71
859,1,826,360,13044,136.17
859,2,826,160,1829,19.09
860,1,826,359,12473,130.21
860,2,826,153,1747,18.24
861,1,826,356,11649,121.61
861,2,826,147,2004,20.92
862,1,827,359,10935,114.16
863,1,827,361,10831,113.07
864,1,826,361,10812,112.87
865,1,826,360,10443,109.02
866,1,825,358,10097,105.41
867,1,826,355,9627,100.5
868,1,827,365,10475,109.35
869,1,827,366,10194,106.42
870,1,826,364,9911,103.47
871,1,826,366,9890,103.25
872,1,827,366,9719,101.46
873,1,827,368,9765,101.94
874,1,827,372,10077,105.2
875,1,823,351,7494,78.23
876,1,823,352,7250,75.69
877,1,823,355,7103,74.15
878,1,823,356,6807,71.06
879,1,823,358,6598,68.88
880,1,823,360,7424,77.5
881,1,823,362,7464,77.92
882,1,824,364,7605,79.39
883,1,823,365,7653,79.89
884,1,823,366,7636,79.72
885,1,823,367,7560,78.92
886,1,822,369,7604,79.38
887,1,822,370,7586,79.19
888,1,822,373,7704,80.43
889,1,823,375,7530,78.61
890,1,822,378,7508,78.38
891,1,822,381,7379,77.03
892,1,822,383,7145,74.59
893,1,822,386,7054,73.64
894,1,823,390,7032,73.41
895,1,823,395,7103,74.15
896,1,822,396,6985,72.92
897,1,822,399,6927,72.31
898,1,822,405,7463,77.91
899,1,820,410,7767,81.08
900,1,818,415,7822,81.66
901,1,818,418,7982,83.33
902,1,819,422,7992,83.43
903,1,819,427,8287,86.51
904,1,818,430,8634,90.13
905,1,818,434,9165,95.68
906,1,818,436,8489,88.62
907,1,818,439,9114,95.15
908,1,817,441,8585,89.62
909,1,816,445,8760,91.45
910,1,816,448,8867,92.57
911,1,816,449,8707,90.9
912,1,817,451,8266,86.29
913,1,818,460,9706,101.33
914,1,820,462,9838,102.7
915,1,819,464,9398,98.11
916,1,819,466,9174,95.77
917,1,819,469,8846,92.35
918,1,819,471,8410,87.8
919,1,820,473,8042,83.95
920,1,821,480,6636,69.28
921,1,822,482,6150,64.2
922,1,824,484,5988,62.51
923,1,823,484,5777,60.31
924,1,824,484,5541,57.85
925,1,826,485,5431,56.7
926,1,828,486,4977,51.96
927,1,828,485,4875,50.89
928,1,825,485,4513,47.11
929,1,827,485,4420,46.14
930,1,827,484,4329,45.19
931,1,830,484,4311,45.0
932,1,832,483,4070,42.49
933,1,834,481,3479,36.32
934,1,835,480,3259,34.02
935,1,836,480,3291,34.36
936,1,837,478,3153,32.92
937,1,838,478,3023,31.56
938,1,837,479,3185,33.25
939,1,840,473,2185,22.81
940,1,839,476,2842,29.67
941,1,837,477,2833,29.58
942,1,837,477,2918,30.46
943,1,837,476,2878,30.04
944,1,838,473,2175,22.71
945,1,839,473,2150,22.44
946,1,839,472,2211,23.08
947,1,839,472,1970,20.57
948,1,839,473,2502,26.12
949,1,839,474,2440,25.47
950,1,840,473,2378,24.83
951,1,840,474,2356,24.6
952,1,840,474,2407,25.13
953,1,839,474,2448,25.56
954,1,839,474,2531,26.42
955,1,840,475,2461,25.69
956,1,840,475,2456,25.64
957,1,839,474,2553,26.65
958,1,841,473,2430,25.37
959,1,840,473,2433,25.4
960,1,840,473,2518,26.29
961,1,839,474,2539,26.51
962,1,839,474,2576,26.89
963,1,839,475,2738,28.58
964,1,839,475,2648,27.64
965,1,840,474,2557,26.69
966,1,840,474,2498,26.08
967,1,838,474,2480,25.89
968,1,839,474,2493,26.03
969,1,840,474,2537,26.49
970,1,839,474,2486,25.95
971,1,839,474,2619,27.34
972,1,840,473,2476,25.85
973,1,839,473,2559,26.71
974,1,841,473,2440,25.47
975,1,840,473,2449,25.57
976,1,840,474,2531,26.42
977,1,838,475,2528,26.39
978,1,839,475,2532,26.43
979,1,838,475,2586,27.0
980,1,839,475,2637,27.53
981,1,840,474,2588,27.02
982,1,840,475,2570,26.83
983,1,841,474,2429,25.36
984,1,840,474,2534,26.45
985,1,840,474,2520,26.31
986,1,840,475,2652,27.69
987,1,840,474,2175,22.71
988,1,839,475,2695,28.13
989,1,840,475,2645,27.61
990,1,840,475,2648,27.64
991,1,841,475,2548,26.6
992,1,839,475,2682,28.0
993,1,840,474,2486,25.95
994,1,841,475,2154,22.49
995,1,839,474,2557,26.69
996,1,840,474,2447,25.55
997,1,841,474,2432,25.39
998,1,840,474,2440,25.47
999,1,841,475,2452,25.6
1000,1,840,475,2508,26.18
1001,1,841,474,2490,25.99
1002,1,839,475,2632,27.48
1003,1,839,474,2585,26.99
1004,1,840,475,2567,26.8
1005,1,840,474,2529,26.4
1006,1,840,474,2470,25.79
1007,1,839,473,2471,25.8
1008,1,840,473,2439,25.46
1009,1,839,474,2578,26.91
1010,1,839,474,2644,27.6
1011,1,841,474,2531,26.42
1012,1,839,474,2584,26.98
1013,1,840,475,2641,27.57
1014,1,839,474,2209,23.06
1015,1,839,474,2590,27.04
1016,1,838,473,2627,27.42
1017,1,839,473,2494,26.04
1018,1,839,473,2640,27.56
1019,1,839,474,2379,24.84
1020,1,839,473,2460,25.68
1021,1,839,474,2125,22.18
1022,1,839,473,2406,25.12
1023,1,839,474,2466,25.74
1024,1,838,474,2528,26.39
1025,1,838,474,2468,25.76
1026,1,838,474,2476,25.85
1027,1,839,475,2061,21.52
1028,1,837,474,2408,25.14
1029,1,838,474,2459,25.67
1030,1,839,473,1994,20.82
1031,1,839,474,2466,25.74
1032,1,839,474,2036,21.25
1033,1,838,474,2342,24.45
1034,1,838,473,2362,24.66
1035,1,838,473,2338,24.41
1036,1,838,474,2461,25.69
1037,1,838,473,2466,25.74
1038,1,838,475,2438,25.45
1039,1,838,474,2414,25.2
1040,1,837,474,2505,26.15
1041,1,838,473,2277,23.77
1042,1,838,474,2384,24.89
1043,1,839,475,2674,27.92
1044,1,839,474,2559,26.71
1045,1,840,474,2574,26.87
1046,1,839,474,2604,27.18
1047,1,839,474,2566,26.79
1048,1,839,475,2162,22.57
1049,1,839,475,2535,26.46
1050,1,838,474,2522,26.33
1051,1,840,474,2026,21.15
1052,1,839,474,2391,24.96
1053,1,839,475,2543,26.55
1054,1,840,474,2043,21.33
1055,1,839,474,2312,24.14
1056,1,840,474,2273,23.73
1057,1,838,475,2383,24.88
1058,1,838,473,2512,26.22
1059,1,837,473,2617,27.32
1060,1,837,472,2486,25.95
1061,1,835,471,2645,27.61
1062,1,834,471,2823,29.47
1063,1,837,472,2541,26.53
1064,1,839,474,2303,24.04
1065,1,840,474,2192,22.88
1066,1,840,475,2151,22.46
1067,1,841,474,2086,21.78
1068,1,839,474,2166,22.61
1069,1,837,474,2030,21.19
1070,1,839,474,2267,23.67
1071,1,838,475,2234,23.32
1072,1,839,476,2450,25.58
1073,1,837,476,2514,26.24
1074,1,838,476,2547,26.59
1075,1,840,476,2485,25.94
1076,1,839,475,2497,26.07
1077,1,839,475,2552,26.64
1078,1,839,474,2440,25.47
1079,1,840,475,2036,21.25
1080,1,839,475,2109,22.02
1081,1,839,475,2488,25.97
1082,1,840,475,2102,21.94
1083,1,840,475,2424,25.31
1084,1,838,475,2369,24.73
1085,1,839,475,2345,24.48
1086,1,839,475,2348,24.51
1087,1,839,475,2435,25.42
1088,1,840,475,2449,25.57
1089,1,839,475,2502,26.12
1090,1,839,474,2345,24.48
