frame,drop_id,cx,cy,area_px,percentage
684,1,1103,111,20338,100.0
685,1,1105,135,20292,99.77
686,1,1106,158,20666,101.61
687,1,1108,182,20609,101.33
688,1,1109,207,20562,101.1
689,1,1110,231,20497,100.78
690,1,1111,255,20336,99.99
691,1,1112,279,19885,97.77
692,1,1114,303,20326,99.94
693,1,1115,328,20246,99.55
694,1,1116,352,20172,99.18
695,1,1115,374,18797,92.42
696,1,1114,388,16673,81.98
697,1,1111,400,14555,71.57
698,1,1109,412,13398,65.88
699,1,1105,421,12023,59.12
700,1,1091,425,9858,48.47
701,1,1080,428,8512,41.85
702,1,1084,427,8597,42.27
703,1,1081,426,8188,40.26
704,1,1090,423,8960,44.06
705,1,1094,421,9307,45.76
706,1,1119,417,12772,62.8
707,1,1121,412,13138,64.6
708,1,1128,409,15163,74.56
709,1,1131,404,15530,76.36
710,1,1133,399,15951,78.43
711,1,1135,396,16368,80.48
712,1,1136,395,17683,86.95
713,1,1134,392,17798,87.51
714,1,1133,389,17884,87.93
715,1,1134,388,18219,89.58
716,1,1135,387,18798,92.43
717,1,1136,387,19311,94.95
718,1,1136,387,19507,95.91
719,1,1137,387,19949,98.09
720,1,1136,386,19667,96.7
721,1,1137,387,20001,98.34
722,1,1137,387,19951,98.1
723,1,1136,387,19397,95.37
724,1,1137,388,19176,94.29
725,1,1137,390,19281,94.8
726,1,1137,392,19109,93.96
727,1,1136,393,18340,90.18
728,1,1136,394,17918,88.1
729,1,1137,396,18042,88.71
730,1,1134,396,16956,83.37
731,1,1135,397,16958,83.38
732,1,1135,399,16981,83.49
733,1,1133,400,16326,80.27
734,1,1131,399,15727,77.33
735,1,1128,399,15076,74.13
736,1,1131,402,15793,77.65
737,1,1130,403,15807,77.72
738,1,1130,402,15515,76.29
739,1,1129,402,15505,76.24
740,1,1128,402,15634,76.87
741,1,1126,401,15228,74.87
742,1,1126,400,15301,75.23
743,1,1125,400,15545,76.43
744,1,1126,400,15781,77.59
745,1,1125,399,15885,78.11
746,1,1125,399,16074,79.03
747,1,1124,398,15964,78.49
748,1,1124,398,16337,80.33
749,1,1124,397,16485,81.06
750,1,1122,396,16317,80.23
751,1,1122,397,16755,82.38
752,1,1121,396,16556,81.4
753,1,1120,396,16580,81.52
754,1,1120,396,16586,81.55
755,1,1119,396,16553,81.39
756,1,1119,396,16619,81.71
757,1,1119,396,16438,80.82
758,1,1116,395,15764,77.51
759,1,1119,397,16813,82.67
760,1,1117,396,16042,78.88
761,1,1116,397,16045,78.89
762,1,1116,396,15807,77.72
763,1,1117,397,16027,78.8
764,1,1117,398,16050,78.92
765,1,1118,398,16215,79.73
766,1,1118,397,16080,79.06
767,1,1115,396,15222,74.85
768,1,1118,398,16067,79.0
769,1,1116,396,15187,74.67
770,1,1117,397,15425,75.84
771,1,1118,397,15562,76.52
