frame,drop_id,cx,cy,area_px,percentage
1698,1,728,77,6324,100.0
1699,1,730,104,6341,100.27
1700,1,733,130,6162,97.44
1701,1,735,157,5985,94.64
1702,1,738,183,5970,94.4
1703,1,740,210,6000,94.88
1704,1,742,237,6016,95.13
1705,1,745,264,6064,95.89
1706,1,747,291,5999,94.86
1707,1,749,317,6065,95.9
1708,1,752,344,6072,96.02
1709,1,754,371,6026,95.29
1710,1,757,398,6015,95.11
1711,1,759,419,5243,82.91
1712,1,761,431,3343,52.86
1713,1,762,445,3465,54.79
1714,1,767,447,3539,55.96
1715,1,769,447,4115,65.07
1716,1,771,446,4489,70.98
1717,1,773,444,4438,70.18
1718,1,774,441,4379,69.24
1719,1,776,433,5714,90.35
1720,1,779,421,6667,105.42
1721,1,779,411,7663,121.17
1722,1,779,398,8315,131.48
1723,1,780,388,8770,138.68
1724,1,782,379,9199,145.46
1725,1,783,369,9631,152.29
1726,1,784,360,10010,158.29
1727,1,785,354,10192,161.16
1728,1,786,378,8739,138.19
1728,2,782,211,1395,22.06
1729,1,788,376,9056,143.2
1729,2,782,194,1438,22.74
1730,1,789,376,9263,146.47
1730,2,783,176,1668,26.38
1731,1,790,376,9325,147.45
1731,2,784,159,1764,27.89
1732,1,791,374,8903,140.78
1732,2,784,142,1732,27.39
1733,1,792,372,8289,131.07
1733,2,785,125,1582,25.02
1734,1,794,371,7854,124.19
1734,2,786,107,1357,21.46
1735,1,795,372,7766,122.8
1735,2,785,86,753,11.91
1736,1,796,372,7746,122.49
1737,1,797,370,7575,119.78
1738,1,798,365,7236,114.42
1739,1,799,360,6728,106.39
1740,1,800,358,6414,101.42
1741,1,801,354,6082,96.17
1742,1,802,350,5728,90.58
1743,1,803,349,5326,84.22
1744,1,803,349,5460,86.34
1745,1,804,349,5580,88.24
1746,1,806,348,5871,92.84
1747,1,807,346,6175,97.64
1748,1,808,343,6451,102.01
1749,1,809,340,6780,107.21
1750,1,810,339,6974,110.28
1751,1,811,338,7084,112.02
1752,1,812,338,7178,113.5
1753,1,813,339,7323,115.8
1754,1,814,338,7147,113.01
1755,1,815,338,6823,107.89
1756,1,816,337,6369,100.71
1757,1,818,336,5940,93.93
1758,1,819,334,5600,88.55
1759,1,819,334,5540,87.6
1760,1,820,334,5523,87.33
1761,1,821,334,5598,88.52
1762,1,823,334,5753,90.97
1763,1,824,334,6030,95.35
1764,1,825,334,6300,99.62
1765,1,826,333,6556,103.67
1766,1,827,333,6792,107.4
1767,1,827,333,6877,108.74
1768,1,828,333,7039,111.31
1769,1,829,333,7003,110.74
1770,1,830,334,6827,107.95
1771,1,832,335,6543,103.46
1772,1,833,335,6197,97.99
1773,1,834,336,5843,92.39
1774,1,835,336,5590,88.39
1775,1,835,337,5586,88.33
1776,1,836,338,5738,90.73
1777,1,838,339,5829,92.17
1778,1,839,340,5775,91.32
1779,1,840,340,5958,94.21
1780,1,842,341,6136,97.03
1781,1,842,343,6388,101.01
1782,1,843,344,6581,104.06
1783,1,844,345,6715,106.18
1784,1,845,346,6802,107.56
1785,1,846,348,6793,107.42
1786,1,847,349,6639,104.98
1787,1,848,351,6395,101.12
1788,1,850,353,6130,96.93
1789,1,851,354,5910,93.45
1790,1,852,355,5846,92.44
1791,1,852,357,5919,93.6
1792,1,853,360,6065,95.9
1793,1,854,363,6133,96.98
1794,1,855,365,6022,95.22
1795,1,857,366,6144,97.15
1796,1,858,368,6183,97.77
1797,1,859,370,6172,97.6
1798,1,860,373,6396,101.14
1799,1,860,375,6363,100.62
1800,1,861,378,6540,103.42
1801,1,862,381,6380,100.89
1802,1,864,383,6379,100.87
1803,1,865,386,6184,97.79
1804,1,866,389,6008,95.0
1805,1,867,391,5892,93.17
1806,1,868,394,5991,94.73
1807,1,869,397,6171,97.58
1808,1,870,400,6403,101.25
1809,1,871,404,6483,102.51
1810,1,872,407,6451,102.01
1811,1,873,410,6230,98.51
1812,1,874,412,6051,95.68
1813,1,875,414,5844,92.41
1814,1,876,415,5485,86.73
1815,1,877,418,5410,85.55
1816,1,877,420,5200,82.23
1817,1,878,423,5223,82.59
1818,1,879,425,4808,76.03
1819,1,880,427,4581,72.44
1820,1,881,427,4636,73.31
1821,1,883,426,4828,76.34
1822,1,884,424,4982,78.78
1823,1,885,423,5071,80.19
1824,1,886,423,5333,84.33
1825,1,887,421,5305,83.89
1826,1,887,418,5463,86.39
1827,1,888,416,5702,90.16
1828,1,889,413,5868,92.79
1829,1,890,411,5977,94.51
1830,1,891,409,6035,95.43
1831,1,892,408,6331,100.11
1832,1,893,406,6191,97.9
1833,1,893,405,6281,99.32
1834,1,893,404,6485,102.55
1835,1,894,404,6574,103.95
1836,1,895,404,6704,106.01
1837,1,895,403,6518,103.07
1838,1,896,404,6630,104.84
1839,1,896,405,6545,103.49
1840,1,895,406,6271,99.16
1841,1,895,407,6137,97.04
1842,1,895,408,6043,95.56
1843,1,895,409,5956,94.18
1844,1,896,411,6129,96.92
1845,1,896,412,5775,91.32
1846,1,895,414,5754,90.99
1847,1,895,416,5638,89.15
1848,1,894,418,5584,88.3
1849,1,894,419,5490,86.81
1850,1,894,422,5588,88.36
1851,1,893,423,5344,84.5
1852,1,893,424,5194,82.13
1853,1,892,425,5058,79.98
1854,1,893,425,5077,80.28
1855,1,892,424,5131,81.14
1856,1,892,423,5276,83.43
1857,1,892,422,5258,83.14
1858,1,891,421,5320,84.12
1859,1,891,419,5288,83.62
1860,1,891,418,5318,84.09
1861,1,891,417,5349,84.58
1862,1,891,415,5501,86.99
1863,1,891,414,5865,92.74
1864,1,890,413,6030,95.35
1865,1,890,412,6201,98.06
1866,1,889,411,6125,96.85
1867,1,889,411,6369,100.71
1868,1,889,412,6421,101.53
1869,1,889,412,6374,100.79
1870,1,889,412,6091,96.32
1871,1,889,413,5939,93.91
1872,1,889,414,5940,93.93
1873,1,888,415,5664,89.56
1874,1,888,416,5513,87.18
1875,1,888,418,5412,85.58
1876,1,889,419,5264,83.24
1877,1,889,420,5299,83.79
1878,1,889,422,5221,82.56
1879,1,889,423,5109,80.79
1880,1,889,423,5066,80.11
1881,1,889,423,5093,80.53
1882,1,889,423,5153,81.48
1883,1,889,423,5237,82.81
1884,1,889,422,5524,87.35
1885,1,889,421,5394,85.29
1886,1,889,420,5435,85.94
1887,1,889,419,5515,87.21
1888,1,889,418,5734,90.67
1889,1,889,416,5614,88.77
1890,1,889,415,5678,89.78
1891,1,889,413,5628,88.99
1892,1,889,413,5722,90.48
1893,1,890,413,6009,95.02
1894,1,890,412,5875,92.9
1895,1,890,413,6146,97.19
1896,1,890,412,5954,94.15
1897,1,890,412,5879,92.96
1898,1,890,414,6052,95.7
1899,1,890,414,5793,91.6
1900,1,890,416,5671,89.67
1901,1,890,418,5823,92.08
1902,1,890,418,5491,86.83
1903,1,890,420,5364,84.82
1904,1,890,422,5528,87.41
1905,1,890,422,5177,81.86
1906,1,890,423,5080,80.33
1907,1,890,423,5036,79.63
1908,1,890,423,5018,79.35
1909,1,890,423,5067,80.12
1910,1,890,423,5137,81.23
1911,1,890,422,5192,82.1
1912,1,890,421,5298,83.78
1913,1,890,419,5430,85.86
1914,1,891,418,5685,89.9
1915,1,890,417,5645,89.26
1916,1,890,416,5737,90.72
1917,1,890,415,6004,94.94
1918,1,890,414,5842,92.38
1919,1,890,413,5794,91.62
1920,1,890,412,5828,92.16
1921,1,890,413,6035,95.43
1922,1,890,413,5811,91.89
1923,1,890,414,5953,94.13
1924,1,890,415,5948,94.05
1925,1,890,414,5632,89.06
1926,1,890,415,5608,88.68
1927,1,890,417,5586,88.33
1928,1,890,418,5515,87.21
1929,1,890,420,5658,89.47
1930,1,890,421,5596,88.49
1931,1,890,423,5593,88.44
1932,1,889,423,5292,83.68
1933,1,889,423,5262,83.21
1934,1,889,424,5430,85.86
1935,1,889,423,5222,82.57
1936,1,889,423,5236,82.8
1937,1,889,423,5428,85.83
1938,1,889,422,5458,86.31
1939,1,889,420,5321,84.14
1940,1,889,419,5446,86.12
1941,1,889,418,5487,86.76
1942,1,889,416,5561,87.93
1943,1,889,415,5687,89.93
1944,1,889,414,5752,90.96
1945,1,889,415,6050,95.67
1946,1,889,414,5946,94.02
1947,1,889,413,6054,95.73
1948,1,889,414,6048,95.64
1949,1,889,414,6067,95.94
1950,1,889,414,5773,91.29
1951,1,889,414,5668,89.63
1952,1,889,415,5599,88.54
1953,1,889,417,5567,88.03
1954,1,889,418,5401,85.4
1955,1,889,419,5323,84.17
1956,1,889,420,5257,83.13
1957,1,889,421,5187,82.02
1958,1,889,422,5190,82.07
1959,1,889,423,5169,81.74
1960,1,890,424,5395,85.31
1961,1,890,423,5129,81.1
1962,1,890,423,5209,82.37
1963,1,890,422,5262,83.21
1964,1,890,421,5311,83.98
1965,1,890,421,5634,89.09
1966,1,890,419,5526,87.38
1967,1,890,418,5459,86.32
1968,1,890,416,5510,87.13
1969,1,890,415,5567,88.03
1970,1,890,415,5683,89.86
1971,1,890,415,5931,93.79
1972,1,890,414,5726,90.54
1973,1,890,413,5730,90.61
1974,1,890,414,5995,94.8
1975,1,890,414,5768,91.21
1976,1,890,414,5735,90.69
1977,1,890,415,5732,90.64
1978,1,890,416,5679,89.8
1979,1,890,417,5594,88.46
1980,1,890,418,5509,87.11
1981,1,890,419,5433,85.91
1982,1,890,420,5342,84.47
1983,1,890,422,5462,86.37
1984,1,890,422,5178,81.88
1985,1,890,422,5120,80.96
1986,1,890,423,5088,80.46
1987,1,890,423,5099,80.63
1988,1,890,422,5122,80.99
1989,1,890,422,5184,81.97
1990,1,889,421,5238,82.83
1991,1,889,421,5510,87.13
1992,1,889,419,5342,84.47
1993,1,889,419,5705,90.21
1994,1,889,418,5808,91.84
1995,1,889,417,5874,92.88
1996,1,889,415,5763,91.13
1997,1,889,415,6008,95.0
1998,1,889,414,5795,91.64
1999,1,889,414,5782,91.43
2000,1,889,415,5999,94.86
2001,1,889,414,5746,90.86
2002,1,889,416,5915,93.53
2003,1,889,415,5652,89.37
2004,1,889,416,5597,88.5
2005,1,889,417,5541,87.62
2006,1,889,418,5520,87.29
2007,1,889,419,5416,85.64
2008,1,889,420,5336,84.38
2009,1,889,421,5322,84.16
2010,1,889,421,5246,82.95
2011,1,889,422,5226,82.64
2012,1,889,422,5159,81.58
2013,1,889,423,5197,82.18
2014,1,889,423,5414,85.61
2015,1,889,422,5212,82.42
2016,1,889,421,5279,83.48
2017,1,889,421,5459,86.32
2018,1,889,419,5367,84.87
2019,1,889,418,5450,86.18
2020,1,889,417,5484,86.72
2021,1,889,416,5587,88.35
2022,1,889,415,5594,88.46
2023,1,890,414,5657,89.45
2024,1,890,414,5702,90.16
2025,1,890,414,5718,90.42
2026,1,890,414,5935,93.85
2027,1,890,414,5745,90.84
2028,1,890,414,5716,90.39
2029,1,890,415,5619,88.85
2030,1,890,416,5564,87.98
2031,1,890,416,5435,85.94
2032,1,890,417,5393,85.28
2033,1,890,419,5345,84.52
2034,1,890,420,5498,86.94
2035,1,890,421,5279,83.48
2036,1,890,421,5206,82.32
2037,1,890,422,5158,81.56
2038,1,890,422,5189,82.05
2039,1,890,422,5102,80.68
2040,1,890,422,5159,81.58
2041,1,890,422,5230,82.7
2042,1,890,421,5235,82.78
2043,1,890,420,5362,84.79
2044,1,890,419,5400,85.39
2045,1,890,418,5478,86.62
2046,1,890,417,5475,86.57
2047,1,890,416,5512,87.16
2048,1,890,415,5507,87.08
2049,1,890,415,5581,88.25
2050,1,890,415,5798,91.68
2051,1,890,414,5609,88.69
2052,1,890,415,5838,92.31
2053,1,890,414,5649,89.33
2054,1,889,415,5650,89.34
2055,1,889,415,5635,89.1
2056,1,889,416,5572,88.11
2057,1,889,417,5561,87.93
2058,1,889,418,5508,87.1
2059,1,889,418,5387,85.18
2060,1,889,420,5504,87.03
2061,1,889,420,5237,82.81
2062,1,889,421,5238,82.83
2063,1,889,421,5164,81.66
2064,1,889,422,5125,81.04
2065,1,889,422,5128,81.09
2066,1,889,422,5152,81.47
2067,1,889,422,5167,81.7
2068,1,889,421,5203,82.27
2069,1,889,420,5262,83.21
2070,1,889,419,5324,84.19
2071,1,889,418,5391,85.25
2072,1,889,418,5734,90.67
2073,1,889,416,5585,88.31
2074,1,889,416,5639,89.17
2075,1,889,415,5678,89.78
2076,1,889,415,5686,89.91
2077,1,889,415,5892,93.17
2078,1,889,414,5726,90.54
2079,1,889,415,5912,93.49
2080,1,889,415,5649,89.33
2081,1,889,415,5596,88.49
2082,1,889,416,5515,87.21
2083,1,889,417,5496,86.91
2084,1,889,417,5416,85.64
2085,1,889,419,5460,86.34
2086,1,889,420,5373,84.96
2087,1,889,421,5534,87.51
2088,1,889,421,5256,83.11
2089,1,889,422,5254,83.08
2090,1,889,422,5223,82.59
2091,1,890,422,5207,82.34
2092,1,890,422,5167,81.7
2093,1,890,422,5399,85.37
2094,1,890,421,5258,83.14
2095,1,890,421,5496,86.91
2096,1,890,420,5382,85.1
2097,1,890,418,5371,84.93
2098,1,890,418,5462,86.37
2099,1,890,418,5766,91.18
2100,1,890,416,5609,88.69
2101,1,890,415,5629,89.01
2102,1,890,414,5584,88.3
2103,1,890,415,5895,93.22
2104,1,890,415,5718,90.42
2105,1,890,415,5731,90.62
2106,1,890,415,5625,88.95
2107,1,890,415,5587,88.35
2108,1,890,416,5622,88.9
2109,1,890,417,5555,87.84
2110,1,890,417,5471,86.51
2111,1,890,418,5354,84.66
