frame,drop_id,cx,cy,area_px,percentage
406,1,1053,80,10193,100.0
407,1,1055,106,10124,99.32
408,1,1057,133,10128,99.36
409,1,1059,160,10072,98.81
410,1,1060,187,10062,98.71
411,1,1062,214,9952,97.64
412,1,1064,241,10218,100.25
413,1,1065,268,9643,94.6
414,1,1067,295,9745,95.6
415,1,1068,322,9143,89.7
416,1,1070,350,8870,87.02
417,1,1071,377,8735,85.7
418,1,1072,403,8377,82.18
419,1,1075,421,7042,69.09
420,1,1076,432,4792,47.01
421,1,1068,441,3950,38.75
422,1,1060,446,2833,27.79
423,1,1056,446,3048,29.9
424,1,1066,445,3560,34.93
425,1,1072,443,4155,40.76
426,1,1075,442,4416,43.32
427,1,1077,441,4457,43.73
428,1,1085,439,4936,48.43
429,1,1092,437,5931,58.19
430,1,1095,426,8069,79.16
431,1,1093,416,8732,85.67
432,1,1092,406,9168,89.94
433,1,1093,397,9672,94.89
434,1,1095,387,10838,106.33
435,1,1096,380,11702,114.8
436,1,1097,373,12527,122.9
437,1,1098,363,13127,128.78
438,1,1099,357,13761,135.0
439,1,1100,352,14050,137.84
440,1,1100,347,13605,133.47
441,1,1101,340,14422,141.49
442,1,1102,365,11818,115.94
442,2,1101,180,1885,18.49
443,1,1103,364,12044,118.16
443,2,1102,166,1931,18.94
444,1,1104,362,12047,118.19
444,2,1103,153,1986,19.48
445,1,1104,361,12410,121.75
445,2,1105,140,2127,20.87
446,1,1104,362,12503,122.66
446,2,1105,128,2091,20.51
447,1,1105,362,12603,123.64
447,2,1107,115,2072,20.33
448,1,1105,362,12633,123.94
448,2,1108,102,2031,19.93
449,1,1106,362,12645,124.06
449,2,1109,89,2048,20.09
450,1,1106,363,12654,124.14
450,2,1109,77,2131,20.91
451,1,1106,364,12603,123.64
451,2,1110,64,2200,21.58
452,1,1107,365,12504,122.67
452,2,1111,52,2200,21.58
453,1,1107,366,12294,120.61
453,2,1111,40,2108,20.68
454,1,1107,368,11975,117.48
454,2,1113,28,1988,19.5
455,1,1107,369,11699,114.77
455,2,1114,20,1522,14.93
456,1,1107,370,11405,111.89
456,2,1114,14,1022,10.03
457,1,1107,373,11084,108.74
458,1,1107,376,10665,104.63
459,1,1107,378,10348,101.52
460,1,1107,381,10182,99.89
461,1,1108,384,10274,100.79
462,1,1108,386,9889,97.02
463,1,1108,388,9884,96.97
464,1,1108,390,9394,92.16
465,1,1108,393,9078,89.06
466,1,1108,396,9110,89.38
467,1,1109,400,9079,89.07
468,1,1108,403,8760,85.94
469,1,1109,407,8840,86.73
470,1,1109,411,8446,82.86
471,1,1108,413,7746,75.99
472,1,1109,417,7493,73.51
473,1,1108,419,7127,69.92
474,1,1109,422,7106,69.71
475,1,1109,423,6988,68.56
476,1,1110,424,7199,70.63
477,1,1109,425,6601,64.76
478,1,1108,426,6129,60.13
479,1,1108,426,6054,59.39
480,1,1109,426,6139,60.23
481,1,1109,426,6174,60.57
482,1,1110,425,6577,64.52
483,1,1109,422,6856,67.26
484,1,1110,418,6986,68.54
485,1,1111,416,7598,74.54
486,1,1111,413,7955,78.04
487,1,1110,411,8068,79.15
488,1,1110,409,8450,82.9
489,1,1111,407,8701,85.36
490,1,1110,405,8499,83.38
491,1,1110,405,8583,84.2
492,1,1110,405,8547,83.85
493,1,1110,405,8810,86.43
494,1,1110,405,8915,87.46
495,1,1110,404,9066,88.94
496,1,1110,404,9112,89.39
497,1,1109,403,8632,84.69
498,1,1109,405,8738,85.73
499,1,1108,407,8243,80.87
500,1,1108,409,8027,78.75
501,1,1109,412,8036,78.84
502,1,1109,414,7883,77.34
503,1,1108,417,7615,74.71
504,1,1107,419,7143,70.08
505,1,1107,422,6792,66.63
506,1,1107,424,6581,64.56
507,1,1106,426,6366,62.45
508,1,1105,427,6339,62.19
509,1,1106,427,6695,65.68
510,1,1106,427,6491,63.68
511,1,1105,426,6485,63.62
512,1,1106,426,6876,67.46
513,1,1106,424,6951,68.19
514,1,1106,422,7455,73.14
515,1,1106,420,7427,72.86
516,1,1105,417,7574,74.31
517,1,1106,415,8027,78.75
518,1,1105,412,7941,77.91
519,1,1105,411,8137,79.83
520,1,1105,409,8440,82.8
521,1,1105,408,8584,84.21
522,1,1105,407,8515,83.54
523,1,1106,407,8601,84.38
524,1,1105,407,8502,83.41
525,1,1106,407,8487,83.26
526,1,1105,408,8173,80.18
527,1,1105,409,8124,79.7
528,1,1105,411,8086,79.33
529,1,1105,412,7815,76.67
530,1,1105,413,7643,74.98
531,1,1105,416,7767,76.2
532,1,1106,418,7644,74.99
533,1,1105,420,7219,70.82
534,1,1105,421,7005,68.72
535,1,1105,423,6814,66.85
536,1,1105,424,6653,65.27
537,1,1105,425,6518,63.95
538,1,1106,427,6443,63.21
539,1,1105,426,6269,61.5
540,1,1105,426,6274,61.55
541,1,1105,424,6416,62.95
542,1,1106,423,6758,66.3
543,1,1107,421,7160,70.24
544,1,1107,419,7379,72.39
545,1,1107,416,7310,71.72
546,1,1108,415,7800,76.52
547,1,1108,413,7792,76.44
548,1,1107,411,7841,76.93
549,1,1108,410,8214,80.58
550,1,1108,410,8319,81.61
551,1,1108,409,8129,79.75
552,1,1108,408,8128,79.74
553,1,1108,408,8412,82.53
554,1,1108,408,8458,82.98
555,1,1108,409,8509,83.48
556,1,1109,410,8521,83.6
557,1,1108,410,8068,79.15
558,1,1109,412,8178,80.23
559,1,1108,414,7799,76.51
560,1,1108,416,7595,74.51
561,1,1108,418,7528,73.85
562,1,1108,420,7347,72.08
563,1,1108,422,7088,69.54
564,1,1107,424,6585,64.6
565,1,1106,425,6445,63.23
566,1,1106,426,6414,62.93
567,1,1106,426,6424,63.02
568,1,1106,425,6365,62.44
569,1,1106,425,6409,62.88
570,1,1106,424,6518,63.95
571,1,1106,423,6662,65.36
572,1,1106,421,6864,67.34
573,1,1107,420,7411,72.71
574,1,1106,417,7553,74.1
575,1,1106,415,7565,74.22
576,1,1106,414,8033,78.81
577,1,1106,412,8227,80.71
578,1,1105,410,8105,79.52
579,1,1106,410,8496,83.35
580,1,1106,409,8537,83.75
581,1,1105,408,8238,80.82
582,1,1105,409,8283,81.26
583,1,1105,409,8151,79.97
584,1,1106,410,8265,81.09
585,1,1105,411,7936,77.86
586,1,1105,412,7954,78.03
587,1,1105,414,7579,74.35
588,1,1106,415,7627,74.83
589,1,1106,417,7556,74.13
590,1,1107,420,7663,75.18
591,1,1106,421,7190,70.54
592,1,1105,422,6963,68.31
593,1,1105,423,6714,65.87
594,1,1105,425,6632,65.06
595,1,1106,425,6771,66.43
596,1,1105,426,6541,64.17
597,1,1105,426,6510,63.87
598,1,1106,425,6640,65.14
599,1,1106,424,6888,67.58
600,1,1106,422,7233,70.96
601,1,1106,421,7363,72.24
602,1,1106,418,7320,71.81
603,1,1108,417,7768,76.21
604,1,1107,415,7702,75.56
605,1,1107,413,7708,75.62
606,1,1107,412,8045,78.93
