frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
258,falling,1,501,76,9148,100.0,sam2,,,
259,falling,1,501,101,9553,104.43,sam2,25.0,74919.162,1135.139
260,falling,1,501,124,9487,103.71,sam2,23.0,68925.629,1044.328
261,falling,1,501,148,9087,99.33,sam2,24.0,71922.396,1089.733
262,falling,1,501,172,9343,102.13,sam2,24.0,71922.396,1089.733
263,falling,1,501,196,9001,98.39,sam2,24.0,71922.396,1089.733
264,falling,1,501,221,9378,102.51,sam2,25.0,74919.162,1135.139
265,falling,1,501,245,8986,98.23,sam2,24.0,71922.396,1089.733
266,falling,1,501,269,9497,103.82,sam2,24.0,71922.396,1089.733
267,falling,1,501,293,9063,99.07,sam2,24.0,71922.396,1089.733
268,falling,1,500,318,9496,103.8,sam2,25.02,74979.074,1136.047
269,falling,1,500,342,9519,104.06,sam2,24.0,71922.396,1089.733
270,falling,1,500,367,9482,103.65,sam2,25.0,74919.162,1135.139
271,falling,1,500,389,8664,94.71,sam2,22.0,65928.863,998.922
272,spreading,1,501,410,8296,90.69,sam2,21.024,63003.407,954.597
273,spreading,1,500,430,8787,96.05,sam2,20.025,60010.202,909.245
274,spreading,1,500,440,8795,96.14,sam2,10.0,29967.665,454.056
275,spreading,1,500,444,8176,89.37,sam2,4.0,11987.066,181.622
276,spreading,1,500,447,8674,94.82,sam2,3.0,8990.299,136.217
277,spreading,1,501,446,8314,90.88,sam2,1.414,4238.068,64.213
278,spreading,1,500,445,8529,93.23,sam2,1.414,4238.068,64.213
279,spreading,1,499,444,8517,93.1,sam2,1.414,4238.068,64.213
280,spreading,1,500,443,8213,89.78,sam2,1.414,4238.068,64.213
281,spreading,1,501,440,7534,82.36,sam2,3.162,9476.608,143.585
282,spreading,1,499,439,7557,82.61,sam2,2.236,6700.974,101.53
283,rebounding,1,499,434,8666,94.73,sam2,5.0,14983.832,227.028
284,rebounding,1,499,422,10167,111.14,sam2,12.0,35961.198,544.867
285,rebounding,1,499,408,11688,127.77,sam2,14.0,41954.731,635.678
286,rebounding,1,499,396,12624,138.0,sam2,12.0,35961.198,544.867
287,rebounding,1,499,381,13572,148.36,sam2,15.0,44951.497,681.083
288,rebounding,1,499,370,14447,157.93,sam2,11.0,32964.431,499.461
289,rebounding,1,498,360,15141,165.51,sam2,10.05,30117.13,456.32
290,rebounding,1,499,352,16276,177.92,sam2,8.062,24160.704,366.071
291,rebounding,1,499,335,15771,172.4,sam2,17.0,50945.03,771.894
292,rebounding,1,498,330,17103,186.96,sam2,5.099,15280.571,231.524
293,rebounding,1,498,321,17888,195.54,sam2,9.0,26970.898,408.65
294,rebounding,1,498,310,18606,203.39,sam2,11.0,32964.431,499.461
295,rebounding,1,496,346,15243,166.63,sam2,36.056,108049.952,1637.12
295,rebounding,2,508,86,2271,24.83,sam2,,,
296,rebounding,1,496,338,15105,165.12,sam2,8.0,23974.132,363.244
296,rebounding,2,508,63,2258,24.68,sam2,23.0,68925.629,1044.328
297,rebounding,1,496,333,15558,170.07,sam2,5.0,14983.832,227.028
297,rebounding,2,508,40,2300,25.14,sam2,23.0,68925.629,1044.328
298,rebounding,1,496,328,15841,173.16,sam2,5.0,14983.832,227.028
298,rebounding,2,508,21,1928,21.08,sam2,19.0,56938.563,862.706
299,rebounding,1,496,322,15971,174.58,sam2,6.0,17980.599,272.433
299,rebounding,2,509,9,914,9.99,sam2,12.042,36085.847,546.755
300,rebounding,1,494,361,12227,133.66,sam2,39.051,117027.472,1773.144
300,rebounding,2,501,164,2952,32.27,sam2,155.206,465117.082,7047.229
301,rebounding,1,493,359,11890,129.97,sam2,2.236,6700.974,101.53
301,rebounding,2,501,154,2522,27.57,sam2,10.0,29967.665,454.056
302,rebounding,1,493,358,11338,123.94,sam2,1.0,2996.766,45.406
