frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
584,falling,1,680,65,8571,100.0,sam2,,,
585,falling,1,681,90,9032,105.38,sam2,25.02,74979.074,1136.047
586,falling,1,680,115,8883,103.64,sam2,25.02,74979.074,1136.047
587,falling,1,680,140,8844,103.19,sam2,25.0,74919.162,1135.139
588,falling,1,680,167,8743,102.01,sam2,27.0,80912.695,1225.95
589,falling,1,680,194,8850,103.26,sam2,27.0,80912.695,1225.95
590,falling,1,680,220,8748,102.07,sam2,26.0,77915.929,1180.544
591,falling,1,680,246,8871,103.5,sam2,26.0,77915.929,1180.544
592,falling,1,680,272,8822,102.93,sam2,26.0,77915.929,1180.544
593,falling,1,680,301,8622,100.6,sam2,29.0,86906.228,1316.761
594,falling,1,680,327,8588,100.2,sam2,26.0,77915.929,1180.544
595,falling,1,680,356,8740,101.97,sam2,29.0,86906.228,1316.761
596,falling,1,679,381,9334,108.9,sam2,25.02,74979.074,1136.047
597,falling,1,679,403,8962,104.56,sam2,22.0,65928.863,998.922
598,spreading,1,679,420,7613,88.82,sam2,17.0,50945.03,771.894
599,spreading,1,678,431,6969,81.31,sam2,11.045,33100.368,501.521
600,spreading,1,680,440,5636,65.76,sam2,9.22,27628.822,418.619
601,spreading,1,680,443,5689,66.37,sam2,3.0,8990.299,136.217
602,spreading,1,679,443,6220,72.57,sam2,1.0,2996.766,45.406
603,spreading,1,679,441,6169,71.98,sam2,2.0,5993.533,90.811
604,spreading,1,680,440,6200,72.34,sam2,1.414,4238.068,64.213
605,spreading,1,678,438,6600,77.0,sam2,2.828,8476.136,128.426
606,spreading,1,677,436,6684,77.98,sam2,2.236,6700.974,101.53
607,spreading,1,677,432,6627,77.32,sam2,4.0,11987.066,181.622
608,spreading,1,678,430,7510,87.62,sam2,2.236,6700.974,101.53
609,spreading,1,677,419,8637,100.77,sam2,11.045,33100.368,501.521
610,spreading,1,679,403,10090,117.72,sam2,16.125,48321.408,732.143
611,spreading,1,680,390,10947,127.72,sam2,13.038,39073.055,592.016
612,spreading,1,681,377,11766,137.28,sam2,13.038,39073.055,592.016
613,spreading,1,681,363,13186,153.84,sam2,14.0,41954.731,635.678
614,spreading,1,681,351,14513,169.33,sam2,12.0,35961.198,544.867
615,spreading,1,681,341,15918,185.72,sam2,10.0,29967.665,454.056
616,spreading,1,682,328,16497,192.47,sam2,13.038,39073.055,592.016
617,spreading,1,683,317,16345,190.7,sam2,11.045,33100.368,501.521
618,spreading,1,683,303,17728,206.84,sam2,14.0,41954.731,635.678
619,spreading,1,679,336,15275,178.22,sam2,33.242,99617.134,1509.351
620,spreading,1,679,335,15207,177.42,sam2,1.0,2996.766,45.406
621,spreading,1,679,329,15268,178.14,sam2,6.0,17980.599,272.433
622,spreading,1,678,324,15568,181.64,sam2,5.099,15280.571,231.524
