frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
467,falling,1,517,70,9294,100.0,sam2,,,
468,falling,1,515,96,9195,98.93,sam2,26.077,78146.109,1184.032
469,falling,1,514,121,8899,95.75,sam2,25.02,74979.074,1136.047
470,falling,1,514,146,8899,95.75,sam2,25.0,74919.162,1135.139
471,falling,1,513,172,8783,94.5,sam2,26.019,77973.538,1181.417
472,falling,1,513,198,9351,100.61,sam2,26.0,77915.929,1180.544
473,falling,1,512,224,8966,96.47,sam2,26.019,77973.538,1181.417
474,falling,1,511,250,8886,95.61,sam2,26.019,77973.538,1181.417
475,falling,1,510,276,8940,96.19,sam2,26.019,77973.538,1181.417
476,falling,1,510,302,8993,96.76,sam2,26.0,77915.929,1180.544
477,falling,1,509,328,8969,96.5,sam2,26.019,77973.538,1181.417
478,falling,1,508,354,9030,97.16,sam2,26.019,77973.538,1181.417
479,falling,1,507,381,9172,98.69,sam2,27.019,80968.172,1226.79
480,falling,1,506,411,10066,108.31,sam2,30.017,89952.927,1362.923
481,spreading,1,506,434,10589,113.93,sam2,23.0,68925.629,1044.328
482,spreading,1,506,449,11618,125.01,sam2,15.0,44951.497,681.083
483,spreading,1,502,454,10457,112.51,sam2,6.403,19188.668,290.737
484,spreading,1,504,458,10310,110.93,sam2,4.472,13401.947,203.06
485,spreading,1,502,455,9672,104.07,sam2,3.606,10804.995,163.712
486,spreading,1,501,455,10754,115.71,sam2,1.0,2996.766,45.406
487,spreading,1,502,453,10340,111.25,sam2,2.236,6700.974,101.53
488,spreading,1,502,451,10488,112.85,sam2,2.0,5993.533,90.811
489,spreading,1,503,450,10312,110.95,sam2,1.414,4238.068,64.213
490,spreading,1,500,447,10249,110.28,sam2,4.243,12714.203,192.639
491,spreading,1,498,444,10742,115.58,sam2,3.606,10804.995,163.712
492,spreading,1,498,437,12529,134.81,sam2,7.0,20977.365,317.839
493,spreading,1,497,428,13789,148.36,sam2,9.055,27136.875,411.165
494,spreading,1,496,420,14902,160.34,sam2,8.062,24160.704,366.071
495,spreading,1,496,410,15353,165.19,sam2,10.0,29967.665,454.056
496,spreading,1,497,403,15865,170.7,sam2,7.071,21190.339,321.066
497,spreading,1,496,393,15817,170.19,sam2,10.05,30117.13,456.32
498,spreading,1,496,383,15311,164.74,sam2,10.0,29967.665,454.056
499,spreading,1,494,374,15200,163.55,sam2,9.22,27628.822,418.619
500,spreading,1,494,366,16897,181.81,sam2,8.0,23974.132,363.244
501,spreading,1,493,354,15192,163.46,sam2,12.042,36085.847,546.755
502,spreading,1,492,345,15686,168.78,sam2,9.055,27136.875,411.165
503,spreading,1,491,340,17829,191.83,sam2,5.099,15280.571,231.524
504,spreading,1,490,359,16194,174.24,sam2,19.026,57017.371,863.9
504,spreading,2,489,120,1808,19.45,sam2,,,
505,spreading,1,490,359,16545,178.02,sam2,0.0,0.0,0.0
505,spreading,2,488,102,1576,16.96,sam2,18.028,54024.976,818.56
506,spreading,1,489,352,16734,180.05,sam2,7.071,21190.339,321.066
506,spreading,2,487,85,1645,17.7,sam2,17.029,51033.094,773.229
507,spreading,1,489,349,16804,180.8,sam2,3.0,8990.299,136.217
507,spreading,2,486,69,1498,16.12,sam2,16.031,48041.822,727.906
508,spreading,1,488,343,16964,182.53,sam2,6.083,18228.619,276.191
508,spreading,2,486,53,1578,16.98,sam2,16.0,47948.264,726.489
509,spreading,1,487,340,17021,183.14,sam2,3.162,9476.608,143.585
509,spreading,2,484,38,1486,15.99,sam2,15.133,45349.306,687.111
510,spreading,1,487,336,16910,181.95,sam2,4.0,11987.066,181.622
510,spreading,2,483,23,1380,14.85,sam2,15.033,45051.279,682.595
511,spreading,1,486,370,12173,130.98,sam2,34.015,101934.121,1544.456
511,spreading,2,487,192,2913,31.34,sam2,169.047,506595.376,7675.688
511,spreading,3,482,11,906,9.75,sam2,,,
512,spreading,1,485,368,11699,125.88,sam2,2.236,6700.974,101.53
512,spreading,2,487,183,2372,25.52,sam2,9.0,26970.898,408.65
512,spreading,3,476,3,57,0.61,sam2,10.0,29967.665,454.056
513,spreading,1,485,367,11012,118.49,sam2,1.0,2996.766,45.406
513,spreading,2,487,176,2047,22.02,sam2,7.0,20977.365,317.839
514,spreading,1,485,365,10492,112.89,sam2,2.0,5993.533,90.811
514,spreading,2,486,172,1892,20.36,sam2,4.123,12355.985,187.212
515,spreading,1,483,356,9904,106.56,sam2,9.22,27628.822,418.619
515,spreading,2,485,171,1955,21.04,sam2,1.414,4238.068,64.213
516,spreading,1,482,350,8913,95.9,sam2,6.083,18228.619,276.191
516,spreading,2,485,166,1996,21.48,sam2,5.0,14983.832,227.028
517,spreading,1,482,346,8418,90.57,sam2,4.0,11987.066,181.622
517,spreading,2,484,160,2198,23.65,sam2,6.083,18228.619,276.191
518,spreading,1,482,343,8035,86.45,sam2,3.0,8990.299,136.217
518,spreading,2,485,157,2180,23.46,sam2,3.162,9476.608,143.585
519,spreading,1,481,341,7708,82.94,sam2,2.236,6700.974,101.53
519,spreading,2,484,155,2297,24.71,sam2,2.236,6700.974,101.53
520,spreading,1,480,338,7079,76.17,sam2,3.162,9476.608,143.585
520,spreading,2,483,152,1865,20.07,sam2,3.162,9476.608,143.585
521,spreading,1,480,336,6945,74.73,sam2,2.0,5993.533,90.811
522,spreading,1,478,333,6675,71.82,sam2,3.606,10804.995,163.712
523,spreading,1,478,331,6706,72.15,sam2,2.0,5993.533,90.811
524,spreading,1,477,330,6831,73.5,sam2,1.414,4238.068,64.213
525,spreading,1,477,329,6996,75.27,sam2,1.0,2996.766,45.406
526,spreading,1,477,329,7711,82.97,sam2,0.0,0.0,0.0
527,spreading,1,476,327,8130,87.48,sam2,2.236,6700.974,101.53
528,spreading,1,476,324,8538,91.87,sam2,3.0,8990.299,136.217
529,spreading,1,475,322,8825,94.95,sam2,2.236,6700.974,101.53
530,spreading,1,475,321,9195,98.93,sam2,1.0,2996.766,45.406
531,spreading,1,473,320,9188,98.86,sam2,2.236,6700.974,101.53
532,spreading,1,474,316,9964,107.21,sam2,4.123,12355.985,187.212
533,spreading,1,473,316,8924,96.02,sam2,1.0,2996.766,45.406
534,spreading,1,477,314,10822,116.44,sam2,4.472,13401.947,203.06
535,spreading,1,477,317,10989,118.24,sam2,3.0,8990.299,136.217
536,spreading,1,471,313,9447,101.65,sam2,7.211,21609.99,327.424
537,spreading,1,470,312,9712,104.5,sam2,1.414,4238.068,64.213
538,spreading,1,469,312,9587,103.15,sam2,1.0,2996.766,45.406
539,spreading,1,469,312,9059,97.47,sam2,0.0,0.0,0.0
540,spreading,1,468,312,8736,94.0,sam2,1.0,2996.766,45.406
541,spreading,1,468,313,8488,91.33,sam2,1.0,2996.766,45.406
542,spreading,1,467,313,8426,90.66,sam2,1.0,2996.766,45.406
543,spreading,1,467,313,8272,89.0,sam2,0.0,0.0,0.0
544,spreading,1,466,310,7722,83.09,sam2,3.162,9476.608,143.585
545,spreading,1,465,309,7502,80.72,sam2,1.414,4238.068,64.213
546,spreading,1,464,308,7442,80.07,sam2,1.414,4238.068,64.213
547,spreading,1,464,309,7589,81.65,sam2,1.0,2996.766,45.406
548,spreading,1,463,308,7472,80.4,sam2,1.414,4238.068,64.213
549,spreading,1,463,307,7520,80.91,sam2,1.0,2996.766,45.406
550,spreading,1,463,308,7530,81.02,sam2,1.0,2996.766,45.406
551,spreading,1,462,309,7564,81.39,sam2,1.414,4238.068,64.213
552,spreading,1,462,310,7832,84.27,sam2,1.0,2996.766,45.406
553,spreading,1,462,310,7961,85.66,sam2,0.0,0.0,0.0
554,spreading,1,461,311,8197,88.2,sam2,1.414,4238.068,64.213
555,spreading,1,459,311,8310,89.41,sam2,2.0,5993.533,90.811
556,spreading,1,459,312,8478,91.22,sam2,1.0,2996.766,45.406
557,spreading,1,458,312,8577,92.29,sam2,1.0,2996.766,45.406
558,spreading,1,457,312,8540,91.89,sam2,1.0,2996.766,45.406
559,spreading,1,457,313,8576,92.27,sam2,1.0,2996.766,45.406
560,spreading,1,456,313,8666,93.24,sam2,1.0,2996.766,45.406
561,spreading,1,456,314,8531,91.79,sam2,1.0,2996.766,45.406
562,spreading,1,455,315,8487,91.32,sam2,1.414,4238.068,64.213
563,spreading,1,454,317,8444,90.85,sam2,2.236,6700.974,101.53
564,spreading,1,454,318,8224,88.49,sam2,1.0,2996.766,45.406
565,spreading,1,454,320,7872,84.7,sam2,2.0,5993.533,90.811
566,spreading,1,453,322,7788,83.8,sam2,2.236,6700.974,101.53
567,spreading,1,452,322,7722,83.09,sam2,1.0,2996.766,45.406
568,spreading,1,452,324,7444,80.09,sam2,2.0,5993.533,90.811
569,spreading,1,450,325,7293,78.47,sam2,2.236,6700.974,101.53
570,spreading,1,450,326,7087,76.25,sam2,1.0,2996.766,45.406
571,spreading,1,449,327,6942,74.69,sam2,1.414,4238.068,64.213
572,spreading,1,448,329,7021,75.54,sam2,2.236,6700.974,101.53
573,spreading,1,448,331,7049,75.84,sam2,2.0,5993.533,90.811
574,spreading,1,448,332,6954,74.82,sam2,1.0,2996.766,45.406
575,spreading,1,447,334,6929,74.55,sam2,2.236,6700.974,101.53
576,spreading,1,447,337,7245,77.95,sam2,3.0,8990.299,136.217
577,spreading,1,446,339,7430,79.94,sam2,2.236,6700.974,101.53
578,spreading,1,446,341,7592,81.69,sam2,2.0,5993.533,90.811
579,spreading,1,445,344,7794,83.86,sam2,3.162,9476.608,143.585
580,spreading,1,445,346,8036,86.46,sam2,2.0,5993.533,90.811
581,spreading,1,444,349,8025,86.35,sam2,3.162,9476.608,143.585
582,spreading,1,443,351,8086,87.0,sam2,2.236,6700.974,101.53
583,spreading,1,442,353,8223,88.48,sam2,2.236,6700.974,101.53
584,spreading,1,441,355,8321,89.53,sam2,2.236,6700.974,101.53
585,spreading,1,440,358,8286,89.15,sam2,3.162,9476.608,143.585
586,spreading,1,439,360,8239,88.65,sam2,2.236,6700.974,101.53
587,spreading,1,438,363,8192,88.14,sam2,3.162,9476.608,143.585
588,spreading,1,438,366,8097,87.12,sam2,3.0,8990.299,136.217
589,spreading,1,438,369,7976,85.82,sam2,3.0,8990.299,136.217
590,spreading,1,437,372,7946,85.5,sam2,3.162,9476.608,143.585
591,spreading,1,436,377,7792,83.84,sam2,5.099,15280.571,231.524
592,spreading,1,436,380,7692,82.76,sam2,3.0,8990.299,136.217
593,spreading,1,436,383,7685,82.69,sam2,3.0,8990.299,136.217
594,spreading,1,435,386,7400,79.62,sam2,3.162,9476.608,143.585
595,spreading,1,434,389,7251,78.02,sam2,3.162,9476.608,143.585
596,spreading,1,434,392,7244,77.94,sam2,3.0,8990.299,136.217
597,spreading,1,433,396,7106,76.46,sam2,4.123,12355.985,187.212
598,spreading,1,433,403,7428,79.92,sam2,7.0,20977.365,317.839
599,spreading,1,433,407,7729,83.16,sam2,4.0,11987.066,181.622
600,spreading,1,432,412,8227,88.52,sam2,5.099,15280.571,231.524
601,spreading,1,430,415,8123,87.4,sam2,3.606,10804.995,163.712
602,spreading,1,430,422,8479,91.23,sam2,7.0,20977.365,317.839
603,spreading,1,429,425,8520,91.67,sam2,3.162,9476.608,143.585
604,spreading,1,429,427,8209,88.33,sam2,2.0,5993.533,90.811
605,spreading,1,428,428,8273,89.01,sam2,1.414,4238.068,64.213
606,spreading,1,428,428,8221,88.45,sam2,0.0,0.0,0.0
607,spreading,1,427,428,7962,85.67,sam2,1.0,2996.766,45.406
608,spreading,1,427,429,7780,83.71,sam2,1.0,2996.766,45.406
609,spreading,1,426,430,7812,84.05,sam2,1.414,4238.068,64.213
610,spreading,1,426,431,7552,81.26,sam2,1.0,2996.766,45.406
611,spreading,1,426,431,7606,81.84,sam2,0.0,0.0,0.0
612,spreading,1,426,432,7888,84.87,sam2,1.0,2996.766,45.406
613,spreading,1,426,430,8154,87.73,sam2,2.0,5993.533,90.811
614,spreading,1,426,429,8243,88.69,sam2,1.0,2996.766,45.406
615,spreading,1,425,428,8262,88.9,sam2,1.414,4238.068,64.213
616,spreading,1,426,428,8457,90.99,sam2,1.0,2996.766,45.406
617,spreading,1,430,426,8064,86.77,sam2,4.472,13401.947,203.06
618,spreading,1,427,424,8726,93.89,sam2,3.606,10804.995,163.712
619,spreading,1,425,422,9162,98.58,sam2,2.828,8476.136,128.426
620,spreading,1,424,421,9348,100.58,sam2,1.414,4238.068,64.213
621,spreading,1,424,420,9453,101.71,sam2,1.0,2996.766,45.406
622,spreading,1,421,420,10140,109.1,sam2,3.0,8990.299,136.217
623,spreading,1,412,424,12334,132.71,sam2,9.849,29514.727,447.193
624,spreading,1,424,421,10129,108.98,sam2,12.369,37067.954,561.636
625,spreading,1,411,423,13146,141.45,sam2,13.153,39416.309,597.217
626,spreading,1,423,421,10867,116.92,sam2,12.166,36457.238,552.382
627,spreading,1,424,419,10522,113.21,sam2,2.236,6700.974,101.53
628,spreading,1,428,412,9229,99.3,sam2,8.062,24160.704,366.071
629,spreading,1,427,409,8840,95.12,sam2,3.162,9476.608,143.585
630,spreading,1,426,408,9166,98.62,sam2,1.414,4238.068,64.213
631,spreading,1,420,406,10678,114.89,sam2,6.325,18953.215,287.17
632,spreading,1,420,405,10645,114.54,sam2,1.0,2996.766,45.406
633,spreading,1,427,409,9681,104.16,sam2,8.062,24160.704,366.071
634,spreading,1,427,409,9676,104.11,sam2,0.0,0.0,0.0
635,spreading,1,428,409,9677,104.12,sam2,1.0,2996.766,45.406
636,spreading,1,427,410,9847,105.95,sam2,1.414,4238.068,64.213
637,spreading,1,428,411,9604,103.34,sam2,1.414,4238.068,64.213
638,spreading,1,428,411,9571,102.98,sam2,0.0,0.0,0.0
639,spreading,1,429,411,9553,102.79,sam2,1.0,2996.766,45.406
640,spreading,1,429,413,9396,101.1,sam2,2.0,5993.533,90.811
641,spreading,1,429,414,9004,96.88,sam2,1.0,2996.766,45.406
642,spreading,1,430,417,8974,96.56,sam2,3.162,9476.608,143.585
643,spreading,1,430,419,8791,94.59,sam2,2.0,5993.533,90.811
644,spreading,1,431,420,8614,92.68,sam2,1.414,4238.068,64.213
645,spreading,1,432,422,8381,90.18,sam2,2.236,6700.974,101.53
646,spreading,1,432,423,8395,90.33,sam2,1.0,2996.766,45.406
647,spreading,1,432,425,8311,89.42,sam2,2.0,5993.533,90.811
648,spreading,1,433,427,8206,88.29,sam2,2.236,6700.974,101.53
649,spreading,1,433,428,8188,88.1,sam2,1.0,2996.766,45.406
650,spreading,1,435,429,8203,88.26,sam2,2.236,6700.974,101.53
651,spreading,1,436,429,8271,88.99,sam2,1.0,2996.766,45.406
652,spreading,1,437,430,8283,89.12,sam2,1.414,4238.068,64.213
653,spreading,1,440,430,8529,91.77,sam2,3.0,8990.299,136.217
654,spreading,1,440,430,8351,89.85,sam2,0.0,0.0,0.0
655,spreading,1,440,429,8244,88.7,sam2,1.0,2996.766,45.406
656,spreading,1,440,430,8133,87.51,sam2,1.0,2996.766,45.406
657,spreading,1,442,430,8673,93.32,sam2,2.0,5993.533,90.811
658,spreading,1,443,429,9262,99.66,sam2,1.414,4238.068,64.213
659,spreading,1,443,425,9908,106.61,sam2,4.0,11987.066,181.622
660,spreading,1,443,422,10536,113.36,sam2,3.0,8990.299,136.217
661,spreading,1,443,421,10509,113.07,sam2,1.0,2996.766,45.406
662,spreading,1,444,420,10411,112.02,sam2,1.414,4238.068,64.213
663,spreading,1,443,416,10036,107.98,sam2,4.123,12355.985,187.212
664,spreading,1,443,415,10383,111.72,sam2,1.0,2996.766,45.406
665,spreading,1,444,416,10646,114.55,sam2,1.414,4238.068,64.213
666,spreading,1,444,417,11108,119.52,sam2,1.0,2996.766,45.406
667,spreading,1,445,416,10854,116.79,sam2,1.414,4238.068,64.213
668,spreading,1,446,418,10717,115.31,sam2,2.236,6700.974,101.53
669,spreading,1,447,417,10790,116.1,sam2,1.414,4238.068,64.213
670,spreading,1,447,417,10746,115.62,sam2,0.0,0.0,0.0
671,spreading,1,446,418,11072,119.13,sam2,1.414,4238.068,64.213
672,spreading,1,445,419,11188,120.38,sam2,1.414,4238.068,64.213
673,spreading,1,448,419,11099,119.42,sam2,3.0,8990.299,136.217
674,spreading,1,451,421,11878,127.8,sam2,3.606,10804.995,163.712
675,spreading,1,454,423,12326,132.62,sam2,3.606,10804.995,163.712
676,spreading,1,448,421,11087,119.29,sam2,6.325,18953.215,287.17
677,spreading,1,446,422,10505,113.03,sam2,2.236,6700.974,101.53
678,spreading,1,448,423,10730,115.45,sam2,2.236,6700.974,101.53
679,spreading,1,449,422,10648,114.57,sam2,1.414,4238.068,64.213
680,spreading,1,452,424,11193,120.43,sam2,3.606,10804.995,163.712
681,spreading,1,450,425,10714,115.28,sam2,2.236,6700.974,101.53
682,spreading,1,455,427,11417,122.84,sam2,5.385,16138.081,244.516
683,spreading,1,452,428,10574,113.77,sam2,3.162,9476.608,143.585
684,spreading,1,451,428,10378,111.66,sam2,1.0,2996.766,45.406
685,spreading,1,454,429,10918,117.47,sam2,3.162,9476.608,143.585
686,spreading,1,454,430,11157,120.05,sam2,1.0,2996.766,45.406
687,spreading,1,455,432,11369,122.33,sam2,2.236,6700.974,101.53
688,spreading,1,456,432,11554,124.32,sam2,1.0,2996.766,45.406
689,spreading,1,456,432,11901,128.05,sam2,0.0,0.0,0.0
690,spreading,1,456,431,11894,127.98,sam2,1.0,2996.766,45.406
691,spreading,1,457,432,12216,131.44,sam2,1.414,4238.068,64.213
692,spreading,1,456,430,12040,129.55,sam2,2.236,6700.974,101.53
693,spreading,1,456,430,12183,131.08,sam2,0.0,0.0,0.0
694,spreading,1,456,430,12267,131.99,sam2,0.0,0.0,0.0
695,spreading,1,455,431,11979,128.89,sam2,1.414,4238.068,64.213
696,spreading,1,454,431,12304,132.39,sam2,1.0,2996.766,45.406
697,spreading,1,454,430,12276,132.09,sam2,1.0,2996.766,45.406
698,spreading,1,453,430,12602,135.59,sam2,1.0,2996.766,45.406
699,spreading,1,454,428,12423,133.67,sam2,2.236,6700.974,101.53
700,spreading,1,455,429,12820,137.94,sam2,1.414,4238.068,64.213
701,spreading,1,455,427,12539,134.91,sam2,2.0,5993.533,90.811
702,spreading,1,456,428,12868,138.45,sam2,1.414,4238.068,64.213
703,spreading,1,456,428,12726,136.93,sam2,0.0,0.0,0.0
704,spreading,1,455,426,12471,134.18,sam2,2.236,6700.974,101.53
705,spreading,1,455,426,12180,131.05,sam2,0.0,0.0,0.0
706,spreading,1,454,427,11991,129.02,sam2,1.414,4238.068,64.213
707,spreading,1,454,427,11867,127.68,sam2,0.0,0.0,0.0
708,spreading,1,454,428,12276,132.09,sam2,1.0,2996.766,45.406
709,spreading,1,454,428,12344,132.82,sam2,0.0,0.0,0.0
710,spreading,1,454,427,12138,130.6,sam2,1.0,2996.766,45.406
711,spreading,1,456,428,12241,131.71,sam2,2.236,6700.974,101.53
712,spreading,1,455,428,12363,133.02,sam2,1.0,2996.766,45.406
713,spreading,1,455,429,12443,133.88,sam2,1.0,2996.766,45.406
714,spreading,1,456,430,12426,133.7,sam2,1.414,4238.068,64.213
715,spreading,1,455,430,12318,132.54,sam2,1.0,2996.766,45.406
716,spreading,1,454,430,12413,133.56,sam2,1.0,2996.766,45.406
717,spreading,1,455,430,12268,132.0,sam2,1.0,2996.766,45.406
718,spreading,1,454,431,11878,127.8,sam2,1.414,4238.068,64.213
719,spreading,1,454,431,11648,125.33,sam2,0.0,0.0,0.0
720,spreading,1,455,431,11688,125.76,sam2,1.0,2996.766,45.406
721,spreading,1,455,432,11732,126.23,sam2,1.0,2996.766,45.406
722,spreading,1,455,432,11560,124.38,sam2,0.0,0.0,0.0
723,spreading,1,455,432,11584,124.64,sam2,0.0,0.0,0.0
724,spreading,1,456,432,11526,124.02,sam2,1.0,2996.766,45.406
725,spreading,1,455,431,11558,124.36,sam2,1.414,4238.068,64.213
726,spreading,1,456,433,11994,129.05,sam2,2.236,6700.974,101.53
727,spreading,1,456,431,11672,125.59,sam2,2.0,5993.533,90.811
728,spreading,1,456,431,11688,125.76,sam2,0.0,0.0,0.0
729,spreading,1,456,431,11875,127.77,sam2,0.0,0.0,0.0
730,spreading,1,456,430,11730,126.21,sam2,1.0,2996.766,45.406
731,spreading,1,456,430,11617,124.99,sam2,0.0,0.0,0.0
732,spreading,1,457,430,11846,127.46,sam2,1.0,2996.766,45.406
733,spreading,1,457,430,11892,127.95,sam2,0.0,0.0,0.0
734,spreading,1,457,429,12135,130.57,sam2,1.0,2996.766,45.406
735,spreading,1,458,428,12102,130.21,sam2,1.414,4238.068,64.213
736,spreading,1,457,427,12116,130.36,sam2,1.414,4238.068,64.213
737,spreading,1,457,427,12273,132.05,sam2,0.0,0.0,0.0
738,spreading,1,457,426,12239,131.69,sam2,1.0,2996.766,45.406
739,spreading,1,457,426,12197,131.24,sam2,0.0,0.0,0.0
740,spreading,1,457,426,12377,133.17,sam2,0.0,0.0,0.0
741,spreading,1,456,426,12347,132.85,sam2,1.0,2996.766,45.406
742,spreading,1,457,426,12243,131.73,sam2,1.0,2996.766,45.406
743,spreading,1,456,426,12260,131.91,sam2,1.0,2996.766,45.406
744,spreading,1,457,427,12333,132.7,sam2,1.414,4238.068,64.213
745,spreading,1,457,427,12383,133.24,sam2,0.0,0.0,0.0
746,spreading,1,456,427,12323,132.59,sam2,1.0,2996.766,45.406
747,spreading,1,457,428,12453,133.99,sam2,1.414,4238.068,64.213
748,spreading,1,457,428,12049,129.64,sam2,0.0,0.0,0.0
749,spreading,1,457,429,12091,130.09,sam2,1.0,2996.766,45.406
750,spreading,1,457,430,11936,128.43,sam2,1.0,2996.766,45.406
751,spreading,1,457,430,11720,126.1,sam2,0.0,0.0,0.0
752,spreading,1,457,431,11558,124.36,sam2,1.0,2996.766,45.406
753,spreading,1,458,431,11587,124.67,sam2,1.0,2996.766,45.406
754,spreading,1,458,431,11362,122.25,sam2,0.0,0.0,0.0
755,spreading,1,458,432,11374,122.38,sam2,1.0,2996.766,45.406
756,spreading,1,457,432,11490,123.63,sam2,1.0,2996.766,45.406
757,spreading,1,458,432,11446,123.15,sam2,1.0,2996.766,45.406
758,spreading,1,458,433,11687,125.75,sam2,1.0,2996.766,45.406
759,spreading,1,458,432,11450,123.2,sam2,1.0,2996.766,45.406
760,spreading,1,458,433,11761,126.54,sam2,1.0,2996.766,45.406
761,spreading,1,457,432,11485,123.57,sam2,1.414,4238.068,64.213
762,spreading,1,456,432,11719,126.09,sam2,1.0,2996.766,45.406
763,spreading,1,456,431,11661,125.47,sam2,1.0,2996.766,45.406
764,spreading,1,456,431,11792,126.88,sam2,0.0,0.0,0.0
765,spreading,1,456,430,11710,126.0,sam2,1.0,2996.766,45.406
766,spreading,1,456,429,11827,127.25,sam2,1.0,2996.766,45.406
767,spreading,1,456,429,12256,131.87,sam2,0.0,0.0,0.0
768,spreading,1,455,428,12300,132.34,sam2,1.414,4238.068,64.213
769,spreading,1,455,428,12256,131.87,sam2,0.0,0.0,0.0
770,spreading,1,455,428,12417,133.6,sam2,0.0,0.0,0.0
771,spreading,1,454,427,12286,132.19,sam2,1.414,4238.068,64.213
772,spreading,1,455,427,12333,132.7,sam2,1.0,2996.766,45.406
773,spreading,1,454,427,12305,132.4,sam2,1.0,2996.766,45.406
774,spreading,1,454,427,12269,132.01,sam2,0.0,0.0,0.0
775,spreading,1,455,427,12216,131.44,sam2,1.0,2996.766,45.406
776,spreading,1,454,427,12107,130.27,sam2,1.0,2996.766,45.406
777,spreading,1,454,428,12191,131.17,sam2,1.0,2996.766,45.406
778,spreading,1,454,427,11995,129.06,sam2,1.0,2996.766,45.406
779,spreading,1,454,427,11694,125.82,sam2,0.0,0.0,0.0
780,spreading,1,455,428,11819,127.17,sam2,1.414,4238.068,64.213
781,spreading,1,455,429,11922,128.28,sam2,1.0,2996.766,45.406
782,rebounding,1,455,429,11635,125.19,sam2,0.0,0.0,0.0
783,rebounding,1,455,430,11791,126.87,sam2,1.0,2996.766,45.406
784,rebounding,1,455,430,11431,122.99,sam2,0.0,0.0,0.0
785,rebounding,1,455,430,11365,122.28,sam2,0.0,0.0,0.0
786,rebounding,1,455,430,11305,121.64,sam2,0.0,0.0,0.0
787,rebounding,1,455,431,11227,120.8,sam2,1.0,2996.766,45.406
788,rebounding,1,455,431,11120,119.65,sam2,0.0,0.0,0.0
789,rebounding,1,455,431,11175,120.24,sam2,0.0,0.0,0.0
790,rebounding,1,456,430,11043,118.82,sam2,1.414,4238.068,64.213
791,rebounding,1,456,431,11398,122.64,sam2,1.0,2996.766,45.406
792,rebounding,1,457,434,12511,134.61,sam2,3.162,9476.608,143.585
793,rebounding,1,455,431,11129,119.74,sam2,3.606,10804.995,163.712
794,rebounding,1,455,430,11074,119.15,sam2,1.0,2996.766,45.406
795,rebounding,1,455,430,11529,124.05,sam2,0.0,0.0,0.0
796,rebounding,1,455,431,11491,123.64,sam2,1.0,2996.766,45.406
797,rebounding,1,455,430,11596,124.77,sam2,1.0,2996.766,45.406
798,rebounding,1,456,430,11685,125.73,sam2,1.0,2996.766,45.406
799,rebounding,1,455,429,11480,123.52,sam2,1.414,4238.068,64.213
800,rebounding,1,455,429,11737,126.29,sam2,0.0,0.0,0.0
801,rebounding,1,455,429,11885,127.88,sam2,0.0,0.0,0.0
802,rebounding,1,455,427,11809,127.06,sam2,2.0,5993.533,90.811
803,rebounding,1,456,427,11989,129.0,sam2,1.0,2996.766,45.406
804,rebounding,1,455,426,11796,126.92,sam2,1.414,4238.068,64.213
805,rebounding,1,455,425,11785,126.8,sam2,1.0,2996.766,45.406
806,rebounding,1,456,426,12035,129.49,sam2,1.414,4238.068,64.213
807,rebounding,1,455,427,12109,130.29,sam2,1.414,4238.068,64.213
808,rebounding,1,456,427,12060,129.76,sam2,1.0,2996.766,45.406
809,rebounding,1,456,426,11870,127.72,sam2,1.0,2996.766,45.406
810,rebounding,1,451,424,11001,118.37,sam2,5.385,16138.081,244.516
811,rebounding,1,456,426,11893,127.96,sam2,5.385,16138.081,244.516
812,rebounding,1,444,425,9998,107.57,sam2,12.042,36085.847,546.755
813,rebounding,1,446,425,10281,110.62,sam2,2.0,5993.533,90.811
814,rebounding,1,455,428,11709,125.98,sam2,9.487,28429.823,430.755
815,rebounding,1,450,427,10868,116.94,sam2,5.099,15280.571,231.524
816,rebounding,1,445,427,10099,108.66,sam2,5.0,14983.832,227.028
817,rebounding,1,450,429,11059,118.99,sam2,5.385,16138.081,244.516
