frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
485,falling,1,551,43,1939,100.0,sam2,,,
486,falling,1,551,71,1954,100.77,sam2,28.0,83909.462,1271.355
487,falling,1,552,100,2012,103.76,sam2,29.017,86957.881,1317.544
488,falling,1,552,128,1945,100.31,sam2,28.0,83909.462,1271.355
489,falling,1,551,157,1895,97.73,sam2,29.017,86957.881,1317.544
490,falling,1,551,186,1898,97.89,sam2,29.0,86906.228,1316.761
491,falling,1,551,214,1920,99.02,sam2,28.0,83909.462,1271.355
492,falling,1,551,244,1965,101.34,sam2,30.0,89902.995,1362.167
493,falling,1,551,272,1874,96.65,sam2,28.0,83909.462,1271.355
494,falling,1,551,301,1843,95.05,sam2,29.0,86906.228,1316.761
495,falling,1,551,330,1830,94.38,sam2,29.0,86906.228,1316.761
496,falling,1,551,359,1807,93.19,sam2,29.0,86906.228,1316.761
497,falling,1,551,389,2000,103.15,sam2,30.0,89902.995,1362.167
498,falling,1,551,417,1824,94.07,sam2,28.0,83909.462,1271.355
499,falling,1,552,450,2646,136.46,sam2,33.015,98938.689,1499.071
500,falling,1,551,454,2026,104.49,sam2,4.123,12355.985,187.212
501,falling,1,551,454,2229,114.96,sam2,0.0,0.0,0.0
502,falling,1,551,449,2610,134.61,sam2,5.0,14983.832,227.028
503,spreading,1,551,442,2814,145.13,sam2,7.0,20977.365,317.839
504,spreading,1,551,437,2955,152.4,sam2,5.0,14983.832,227.028
505,spreading,1,551,434,3050,157.3,sam2,3.0,8990.299,136.217
506,spreading,1,551,433,3046,157.09,sam2,1.0,2996.766,45.406
507,spreading,1,551,433,3044,156.99,sam2,0.0,0.0,0.0
508,spreading,1,551,430,3281,169.21,sam2,3.0,8990.299,136.217
509,spreading,1,551,454,1713,88.34,sam2,24.0,71922.396,1089.733
509,spreading,2,550,367,447,23.05,sam2,,,
510,spreading,1,551,454,1925,99.28,sam2,0.0,0.0,0.0
510,spreading,2,550,363,450,23.21,sam2,4.0,11987.066,181.622
511,spreading,1,551,450,2168,111.81,sam2,4.0,11987.066,181.622
511,spreading,2,550,360,422,21.76,sam2,3.0,8990.299,136.217
512,spreading,1,551,448,2254,116.25,sam2,2.0,5993.533,90.811
512,spreading,2,550,356,411,21.2,sam2,4.0,11987.066,181.622
513,spreading,1,551,449,2159,111.35,sam2,1.0,2996.766,45.406
513,spreading,2,549,353,403,20.78,sam2,3.162,9476.608,143.585
514,rebounding,1,551,453,2082,107.37,sam2,4.0,11987.066,181.622
514,rebounding,2,549,350,394,20.32,sam2,3.0,8990.299,136.217
515,rebounding,1,551,454,1819,93.81,sam2,1.0,2996.766,45.406
