frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
684,falling,1,1103,111,20338,100.0,sam2,,,
685,falling,1,1105,135,20292,99.77,sam2,24.083,72171.694,1093.511
686,falling,1,1106,158,20666,101.61,sam2,23.022,68990.746,1045.314
687,falling,1,1108,182,20609,101.33,sam2,24.083,72171.694,1093.511
688,falling,1,1109,207,20562,101.1,sam2,25.02,74979.074,1136.047
689,falling,1,1110,231,20497,100.78,sam2,24.021,71984.801,1090.679
690,falling,1,1111,255,20336,99.99,sam2,24.021,71984.801,1090.679
691,falling,1,1112,279,19885,97.77,sam2,24.021,71984.801,1090.679
692,falling,1,1114,303,20326,99.94,sam2,24.083,72171.694,1093.511
693,falling,1,1115,328,20246,99.55,sam2,25.02,74979.074,1136.047
694,falling,1,1116,352,20172,99.18,sam2,24.021,71984.801,1090.679
695,falling,1,1115,374,18797,92.42,sam2,22.023,65996.936,999.954
696,falling,1,1114,388,16673,81.98,sam2,14.036,42061.622,637.297
697,falling,1,1111,400,14555,71.57,sam2,12.369,37067.954,561.636
698,falling,1,1109,412,13398,65.88,sam2,12.166,36457.238,552.382
699,spreading,1,1105,421,12023,59.12,sam2,9.849,29514.727,447.193
700,spreading,1,1091,425,9858,48.47,sam2,14.56,43633.579,661.115
701,spreading,1,1080,428,8512,41.85,sam2,11.402,34168.395,517.703
702,spreading,1,1084,427,8597,42.27,sam2,4.123,12355.985,187.212
703,spreading,1,1081,426,8188,40.26,sam2,3.162,9476.608,143.585
704,spreading,1,1090,423,8960,44.06,sam2,9.487,28429.823,430.755
705,spreading,1,1094,421,9307,45.76,sam2,4.472,13401.947,203.06
706,spreading,1,1119,417,12772,62.8,sam2,25.318,75872.067,1149.577
707,spreading,1,1121,412,13138,64.6,sam2,5.385,16138.081,244.516
708,spreading,1,1128,409,15163,74.56,sam2,7.616,22822.694,345.798
709,spreading,1,1131,404,15530,76.36,sam2,5.831,17474.001,264.758
710,spreading,1,1133,399,15951,78.43,sam2,5.385,16138.081,244.516
711,spreading,1,1135,396,16368,80.48,sam2,3.606,10804.995,163.712
712,spreading,1,1136,395,17683,86.95,sam2,1.414,4238.068,64.213
713,spreading,1,1134,392,17798,87.51,sam2,3.606,10804.995,163.712
714,spreading,1,1133,389,17884,87.93,sam2,3.162,9476.608,143.585
715,spreading,1,1134,388,18219,89.58,sam2,1.414,4238.068,64.213
716,spreading,1,1135,387,18798,92.43,sam2,1.414,4238.068,64.213
717,spreading,1,1136,387,19311,94.95,sam2,1.0,2996.766,45.406
718,spreading,1,1136,387,19507,95.91,sam2,0.0,0.0,0.0
719,spreading,1,1137,387,19949,98.09,sam2,1.0,2996.766,45.406
720,spreading,1,1136,386,19667,96.7,sam2,1.414,4238.068,64.213
721,spreading,1,1137,387,20001,98.34,sam2,1.414,4238.068,64.213
722,spreading,1,1137,387,19951,98.1,sam2,0.0,0.0,0.0
