frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
1148,falling,1,339,32,1085,100.0,sam2,,,
1149,falling,1,338,56,1580,145.62,sam2,24.021,71984.801,1090.679
1150,falling,1,338,82,1612,148.57,sam2,26.0,77915.929,1180.544
1151,falling,1,337,107,1682,155.02,sam2,25.02,74979.074,1136.047
1152,falling,1,337,132,1580,145.62,sam2,25.0,74919.162,1135.139
1153,falling,1,336,157,1762,162.4,sam2,25.02,74979.074,1136.047
1154,falling,1,336,183,1667,153.64,sam2,26.0,77915.929,1180.544
1155,falling,1,336,208,1708,157.42,sam2,25.0,74919.162,1135.139
1156,falling,1,335,233,1757,161.94,sam2,25.02,74979.074,1136.047
1157,falling,1,335,258,1702,156.87,sam2,25.0,74919.162,1135.139
1158,falling,1,335,283,1794,165.35,sam2,25.0,74919.162,1135.139
1159,falling,1,335,309,1674,154.29,sam2,26.0,77915.929,1180.544
1160,falling,1,335,335,1736,160.0,sam2,26.0,77915.929,1180.544
1161,falling,1,335,361,1760,162.21,sam2,26.0,77915.929,1180.544
1162,falling,1,334,386,1781,164.15,sam2,25.02,74979.074,1136.047
1163,spreading,1,335,409,1924,177.33,sam2,23.022,68990.746,1045.314
1164,spreading,1,334,431,1462,134.75,sam2,22.023,65996.936,999.954
1165,spreading,1,333,449,897,82.67,sam2,18.028,54024.976,818.56
1166,spreading,1,331,451,975,89.86,sam2,2.828,8476.136,128.426
1167,spreading,1,331,449,1018,93.82,sam2,2.0,5993.533,90.811
1168,spreading,1,332,434,1746,160.92,sam2,15.033,45051.279,682.595
1169,spreading,1,333,422,2202,202.95,sam2,12.042,36085.847,546.755
1170,spreading,1,332,418,2289,210.97,sam2,4.123,12355.985,187.212
1171,spreading,1,332,413,2239,206.36,sam2,5.0,14983.832,227.028
1172,spreading,1,332,409,2284,210.51,sam2,4.0,11987.066,181.622
1173,spreading,1,330,401,2093,192.9,sam2,8.246,24711.97,374.424
1174,spreading,1,330,394,1767,162.86,sam2,7.0,20977.365,317.839
1175,spreading,1,328,384,1408,129.77,sam2,10.198,30561.142,463.048
1176,spreading,1,328,378,1518,139.91,sam2,6.0,17980.599,272.433
1177,spreading,1,327,370,1702,156.87,sam2,8.062,24160.704,366.071
1178,spreading,1,326,363,1875,172.81,sam2,7.071,21190.339,321.066
1179,spreading,1,325,357,1911,176.13,sam2,6.083,18228.619,276.191
1180,spreading,1,324,350,1703,156.96,sam2,7.071,21190.339,321.066
1181,spreading,1,323,342,1485,136.87,sam2,8.062,24160.704,366.071
1182,spreading,1,322,336,1547,142.58,sam2,6.083,18228.619,276.191
1183,spreading,1,321,329,1601,147.56,sam2,7.071,21190.339,321.066
1184,spreading,1,320,322,1777,163.78,sam2,7.071,21190.339,321.066
1185,spreading,1,319,315,1767,162.86,sam2,7.071,21190.339,321.066
1186,spreading,1,319,308,1496,137.88,sam2,7.0,20977.365,317.839
1187,spreading,1,318,302,1307,120.46,sam2,6.083,18228.619,276.191
1188,spreading,1,317,296,1271,117.14,sam2,6.083,18228.619,276.191
1189,spreading,1,316,289,1406,129.59,sam2,7.071,21190.339,321.066
1190,spreading,1,316,283,1608,148.2,sam2,6.0,17980.599,272.433
1191,spreading,1,314,277,1626,149.86,sam2,6.325,18953.215,287.17
1192,spreading,1,313,271,1464,134.93,sam2,6.083,18228.619,276.191
1193,spreading,1,313,265,1258,115.94,sam2,6.0,17980.599,272.433
1194,spreading,1,312,260,1168,107.65,sam2,5.099,15280.571,231.524
1195,spreading,1,311,254,1266,116.68,sam2,6.083,18228.619,276.191
1196,spreading,1,310,249,1435,132.26,sam2,5.099,15280.571,231.524
1197,spreading,1,308,241,1526,140.65,sam2,8.246,24711.97,374.424
1198,spreading,1,308,236,1498,138.06,sam2,5.0,14983.832,227.028
1199,spreading,1,307,231,1259,116.04,sam2,5.099,15280.571,231.524
1200,spreading,1,307,226,1293,119.17,sam2,5.0,14983.832,227.028
1201,spreading,1,306,220,1349,124.33,sam2,6.083,18228.619,276.191
1202,spreading,1,305,214,1543,142.21,sam2,6.083,18228.619,276.191
1203,spreading,1,304,209,1589,146.45,sam2,5.099,15280.571,231.524
1204,spreading,1,304,204,1492,137.51,sam2,5.0,14983.832,227.028
1205,spreading,1,303,199,1295,119.35,sam2,5.099,15280.571,231.524
1206,spreading,1,302,194,1205,111.06,sam2,5.099,15280.571,231.524
1207,spreading,1,302,189,1295,119.35,sam2,5.0,14983.832,227.028
1208,spreading,1,301,184,1410,129.95,sam2,5.099,15280.571,231.524
1209,spreading,1,300,178,1461,134.65,sam2,6.083,18228.619,276.191
1210,spreading,1,300,173,1454,134.01,sam2,5.0,14983.832,227.028
1211,spreading,1,299,169,1249,115.12,sam2,4.123,12355.985,187.212
1212,spreading,1,298,165,1222,112.63,sam2,4.123,12355.985,187.212
1213,spreading,1,298,160,1361,125.44,sam2,5.0,14983.832,227.028
1214,spreading,1,297,155,1501,138.34,sam2,5.099,15280.571,231.524
1215,spreading,1,296,151,1535,141.47,sam2,4.123,12355.985,187.212
1216,spreading,1,296,147,1461,134.65,sam2,4.0,11987.066,181.622
1217,spreading,1,295,142,1294,119.26,sam2,5.099,15280.571,231.524
1218,spreading,1,294,139,1234,113.73,sam2,3.162,9476.608,143.585
1219,spreading,1,294,135,1274,117.42,sam2,4.0,11987.066,181.622
1220,spreading,1,293,130,1402,129.22,sam2,5.099,15280.571,231.524
1221,spreading,1,292,126,1491,137.42,sam2,4.123,12355.985,187.212
1222,spreading,1,291,122,1420,130.88,sam2,4.123,12355.985,187.212
1223,spreading,1,290,118,1341,123.59,sam2,4.123,12355.985,187.212
1224,spreading,1,290,115,1351,124.52,sam2,3.0,8990.299,136.217
1225,spreading,1,289,111,1433,132.07,sam2,4.123,12355.985,187.212
1226,spreading,1,288,108,1608,148.2,sam2,3.162,9476.608,143.585
1227,spreading,1,288,105,1678,154.65,sam2,3.0,8990.299,136.217
1228,spreading,1,287,101,1634,150.6,sam2,4.123,12355.985,187.212
1229,spreading,1,286,98,1606,148.02,sam2,3.162,9476.608,143.585
1230,spreading,1,286,94,1496,137.88,sam2,4.0,11987.066,181.622
1231,spreading,1,285,91,1603,147.74,sam2,3.162,9476.608,143.585
1232,spreading,1,284,88,1730,159.45,sam2,3.162,9476.608,143.585
1233,spreading,1,283,85,1670,153.92,sam2,3.162,9476.608,143.585
1234,spreading,1,282,82,1585,146.08,sam2,3.162,9476.608,143.585
1235,spreading,1,282,79,1523,140.37,sam2,3.0,8990.299,136.217
1236,spreading,1,282,76,1491,137.42,sam2,3.0,8990.299,136.217
1237,spreading,1,281,73,1604,147.83,sam2,3.162,9476.608,143.585
1238,spreading,1,280,70,1640,151.15,sam2,3.162,9476.608,143.585
1239,spreading,1,280,67,1605,147.93,sam2,3.0,8990.299,136.217
1240,spreading,1,279,65,1583,145.9,sam2,2.236,6700.974,101.53
1241,spreading,1,278,62,1503,138.53,sam2,3.162,9476.608,143.585
1242,spreading,1,278,60,1467,135.21,sam2,2.0,5993.533,90.811
1243,spreading,1,277,58,1471,135.58,sam2,2.236,6700.974,101.53
1244,spreading,1,276,56,1559,143.69,sam2,2.236,6700.974,101.53
1245,spreading,1,275,53,1502,138.43,sam2,3.162,9476.608,143.585
1246,spreading,1,274,52,1424,131.24,sam2,1.414,4238.068,64.213
1247,spreading,1,273,50,1328,122.4,sam2,2.236,6700.974,101.53
1248,spreading,1,273,47,1403,129.31,sam2,3.0,8990.299,136.217
1249,spreading,1,272,46,1431,131.89,sam2,1.414,4238.068,64.213
1250,spreading,1,271,44,1573,144.98,sam2,2.236,6700.974,101.53
1251,spreading,1,271,42,1486,136.96,sam2,2.0,5993.533,90.811
1252,spreading,1,269,40,1420,130.88,sam2,2.828,8476.136,128.426
1253,spreading,1,269,39,1421,130.97,sam2,1.0,2996.766,45.406
1254,spreading,1,268,38,1379,127.1,sam2,1.414,4238.068,64.213
1255,spreading,1,267,37,1389,128.02,sam2,1.414,4238.068,64.213
1256,spreading,1,267,35,1414,130.32,sam2,2.0,5993.533,90.811
1257,spreading,1,266,33,1406,129.59,sam2,2.236,6700.974,101.53
1258,spreading,1,265,32,1323,121.94,sam2,1.414,4238.068,64.213
1259,spreading,1,264,32,1303,120.09,sam2,1.0,2996.766,45.406
1260,spreading,1,264,31,1323,121.94,sam2,1.0,2996.766,45.406
1261,spreading,1,263,30,1360,125.35,sam2,1.414,4238.068,64.213
1262,spreading,1,263,28,1442,132.9,sam2,2.0,5993.533,90.811
1263,spreading,1,262,27,1348,124.24,sam2,1.414,4238.068,64.213
1264,spreading,1,261,27,1337,123.23,sam2,1.0,2996.766,45.406
1265,spreading,1,260,26,1227,113.09,sam2,1.414,4238.068,64.213
1266,spreading,1,260,25,1231,113.46,sam2,1.0,2996.766,45.406
1267,spreading,1,259,25,1318,121.47,sam2,1.0,2996.766,45.406
1268,spreading,1,259,24,1300,119.82,sam2,1.0,2996.766,45.406
1269,spreading,1,258,24,1269,116.96,sam2,1.0,2996.766,45.406
1270,spreading,1,257,23,1296,119.45,sam2,1.414,4238.068,64.213
1271,spreading,1,256,23,1281,118.06,sam2,1.0,2996.766,45.406
1272,spreading,1,256,23,1350,124.42,sam2,0.0,0.0,0.0
1273,spreading,1,256,23,1365,125.81,sam2,0.0,0.0,0.0
1274,spreading,1,254,23,1417,130.6,sam2,2.0,5993.533,90.811
1275,spreading,1,254,23,1421,130.97,sam2,0.0,0.0,0.0
1276,spreading,1,253,23,1397,128.76,sam2,1.0,2996.766,45.406
1277,spreading,1,253,22,1370,126.27,sam2,1.0,2996.766,45.406
1278,spreading,1,252,23,1400,129.03,sam2,1.414,4238.068,64.213
1279,spreading,1,251,23,1417,130.6,sam2,1.0,2996.766,45.406
1280,spreading,1,250,24,1397,128.76,sam2,1.414,4238.068,64.213
1281,spreading,1,250,24,1429,131.71,sam2,0.0,0.0,0.0
1282,spreading,1,249,24,1412,130.14,sam2,1.0,2996.766,45.406
