frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
1698,falling,1,728,77,6324,100.0,sam2,,,
1699,falling,1,730,104,6341,100.27,sam2,27.074,81134.374,1229.309
1700,falling,1,733,130,6162,97.44,sam2,26.173,78432.885,1188.377
1701,falling,1,735,157,5985,94.64,sam2,27.074,81134.374,1229.309
1702,falling,1,738,183,5970,94.4,sam2,26.173,78432.885,1188.377
1703,falling,1,740,210,6000,94.88,sam2,27.074,81134.374,1229.309
1704,falling,1,742,237,6016,95.13,sam2,27.074,81134.374,1229.309
1705,falling,1,745,264,6064,95.89,sam2,27.166,81410.624,1233.494
1706,falling,1,747,291,5999,94.86,sam2,27.074,81134.374,1229.309
1707,falling,1,749,317,6065,95.9,sam2,26.077,78146.109,1184.032
1708,falling,1,752,344,6072,96.02,sam2,27.166,81410.624,1233.494
1709,falling,1,754,371,6026,95.29,sam2,27.074,81134.374,1229.309
1710,falling,1,757,398,6015,95.11,sam2,27.166,81410.624,1233.494
1711,spreading,1,759,419,5243,82.91,sam2,21.095,63216.858,957.831
1712,spreading,1,761,431,3343,52.86,sam2,12.166,36457.238,552.382
1713,spreading,1,762,445,3465,54.79,sam2,14.036,42061.622,637.297
1714,spreading,1,767,447,3539,55.96,sam2,5.385,16138.081,244.516
1715,spreading,1,769,447,4115,65.07,sam2,2.0,5993.533,90.811
1716,spreading,1,771,446,4489,70.98,sam2,2.236,6700.974,101.53
1717,spreading,1,773,444,4438,70.18,sam2,2.828,8476.136,128.426
1718,spreading,1,774,441,4379,69.24,sam2,3.162,9476.608,143.585
1719,spreading,1,776,433,5714,90.35,sam2,8.246,24711.97,374.424
1720,spreading,1,779,421,6667,105.42,sam2,12.369,37067.954,561.636
1721,spreading,1,779,411,7663,121.17,sam2,10.0,29967.665,454.056
1722,spreading,1,779,398,8315,131.48,sam2,13.0,38957.964,590.272
1723,spreading,1,780,388,8770,138.68,sam2,10.05,30117.13,456.32
1724,rebounding,1,782,379,9199,145.46,sam2,9.22,27628.822,418.619
1725,rebounding,1,783,369,9631,152.29,sam2,10.05,30117.13,456.32
1726,rebounding,1,784,360,10010,158.29,sam2,9.055,27136.875,411.165
1727,rebounding,1,785,354,10192,161.16,sam2,6.083,18228.619,276.191
1728,rebounding,1,786,378,8739,138.19,sam2,24.021,71984.801,1090.679
1728,rebounding,2,782,211,1395,22.06,sam2,,,
1729,rebounding,1,788,376,9056,143.2,sam2,2.828,8476.136,128.426
1729,rebounding,2,782,194,1438,22.74,sam2,17.0,50945.03,771.894
1730,rebounding,1,789,376,9263,146.47,sam2,1.0,2996.766,45.406
1730,rebounding,2,783,176,1668,26.38,sam2,18.028,54024.976,818.56
1731,rebounding,1,790,376,9325,147.45,sam2,1.0,2996.766,45.406
1731,rebounding,2,784,159,1764,27.89,sam2,17.029,51033.094,773.229
1732,rebounding,1,791,374,8903,140.78,sam2,2.236,6700.974,101.53
1732,rebounding,2,784,142,1732,27.39,sam2,17.0,50945.03,771.894
1733,rebounding,1,792,372,8289,131.07,sam2,2.236,6700.974,101.53
1733,rebounding,2,785,125,1582,25.02,sam2,17.029,51033.094,773.229
1734,rebounding,1,794,371,7854,124.19,sam2,2.236,6700.974,101.53
1734,rebounding,2,786,107,1357,21.46,sam2,18.028,54024.976,818.56
1735,rebounding,1,795,372,7766,122.8,sam2,1.414,4238.068,64.213
1735,rebounding,2,785,86,753,11.91,sam2,21.024,63003.407,954.597
1736,rebounding,1,796,372,7746,122.49,sam2,1.0,2996.766,45.406
1737,rebounding,1,797,370,7575,119.78,sam2,2.236,6700.974,101.53
1738,rebounding,1,798,365,7236,114.42,sam2,5.099,15280.571,231.524
1739,rebounding,1,799,360,6728,106.39,sam2,5.099,15280.571,231.524
1740,rebounding,1,800,358,6414,101.42,sam2,2.236,6700.974,101.53
1741,rebounding,1,801,354,6082,96.17,sam2,4.123,12355.985,187.212
1742,rebounding,1,802,350,5728,90.58,sam2,4.123,12355.985,187.212
