frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
406,falling,1,1053,80,10193,100.0,sam2,,,
407,falling,1,1055,106,10124,99.32,sam2,26.077,78146.109,1184.032
408,falling,1,1057,133,10128,99.36,sam2,27.074,81134.374,1229.309
409,falling,1,1059,160,10072,98.81,sam2,27.074,81134.374,1229.309
410,falling,1,1060,187,10062,98.71,sam2,27.019,80968.172,1226.79
411,falling,1,1062,214,9952,97.64,sam2,27.074,81134.374,1229.309
412,falling,1,1064,241,10218,100.25,sam2,27.074,81134.374,1229.309
413,falling,1,1065,268,9643,94.6,sam2,27.019,80968.172,1226.79
414,falling,1,1067,295,9745,95.6,sam2,27.074,81134.374,1229.309
415,falling,1,1068,322,9143,89.7,sam2,27.019,80968.172,1226.79
416,falling,1,1070,350,8870,87.02,sam2,28.071,84123.244,1274.595
417,falling,1,1071,377,8735,85.7,sam2,27.019,80968.172,1226.79
418,spreading,1,1072,403,8377,82.18,sam2,26.019,77973.538,1181.417
419,spreading,1,1075,421,7042,69.09,sam2,18.248,54685.857,828.574
420,spreading,1,1076,432,4792,47.01,sam2,11.045,33100.368,501.521
421,spreading,1,1068,441,3950,38.75,sam2,12.042,36085.847,546.755
422,spreading,1,1060,446,2833,27.79,sam2,9.434,28271.439,428.355
423,spreading,1,1056,446,3048,29.9,sam2,4.0,11987.066,181.622
424,spreading,1,1066,445,3560,34.93,sam2,10.05,30117.13,456.32
425,spreading,1,1072,443,4155,40.76,sam2,6.325,18953.215,287.17
426,spreading,1,1075,442,4416,43.32,sam2,3.162,9476.608,143.585
427,spreading,1,1077,441,4457,43.73,sam2,2.236,6700.974,101.53
428,spreading,1,1085,439,4936,48.43,sam2,8.246,24711.97,374.424
429,rebounding,1,1092,437,5931,58.19,sam2,7.28,21816.789,330.557
430,rebounding,1,1095,426,8069,79.16,sam2,11.402,34168.395,517.703
431,rebounding,1,1093,416,8732,85.67,sam2,10.198,30561.142,463.048
432,rebounding,1,1092,406,9168,89.94,sam2,10.05,30117.13,456.32
433,rebounding,1,1093,397,9672,94.89,sam2,9.055,27136.875,411.165
434,rebounding,1,1095,387,10838,106.33,sam2,10.198,30561.142,463.048
435,rebounding,1,1096,380,11702,114.8,sam2,7.071,21190.339,321.066
436,rebounding,1,1097,373,12527,122.9,sam2,7.071,21190.339,321.066
437,rebounding,1,1098,363,13127,128.78,sam2,10.05,30117.13,456.32
438,rebounding,1,1099,357,13761,135.0,sam2,6.083,18228.619,276.191
439,rebounding,1,1100,352,14050,137.84,sam2,5.099,15280.571,231.524
440,rebounding,1,1100,347,13605,133.47,sam2,5.0,14983.832,227.028
441,rebounding,1,1101,340,14422,141.49,sam2,7.071,21190.339,321.066
442,rebounding,1,1102,365,11818,115.94,sam2,25.02,74979.074,1136.047
442,rebounding,2,1101,180,1885,18.49,sam2,,,
443,rebounding,1,1103,364,12044,118.16,sam2,1.414,4238.068,64.213
443,rebounding,2,1102,166,1931,18.94,sam2,14.036,42061.622,637.297
444,rebounding,1,1104,362,12047,118.19,sam2,2.236,6700.974,101.53
444,rebounding,2,1103,153,1986,19.48,sam2,13.038,39073.055,592.016
445,rebounding,1,1104,361,12410,121.75,sam2,1.0,2996.766,45.406
445,rebounding,2,1105,140,2127,20.87,sam2,13.153,39416.309,597.217
446,rebounding,1,1104,362,12503,122.66,sam2,1.0,2996.766,45.406
446,rebounding,2,1105,128,2091,20.51,sam2,12.0,35961.198,544.867
447,rebounding,1,1105,362,12603,123.64,sam2,1.0,2996.766,45.406
447,rebounding,2,1107,115,2072,20.33,sam2,13.153,39416.309,597.217
448,rebounding,1,1105,362,12633,123.94,sam2,0.0,0.0,0.0
448,rebounding,2,1108,102,2031,19.93,sam2,13.038,39073.055,592.016
449,rebounding,1,1106,362,12645,124.06,sam2,1.0,2996.766,45.406
449,rebounding,2,1109,89,2048,20.09,sam2,13.038,39073.055,592.016
450,rebounding,1,1106,363,12654,124.14,sam2,1.0,2996.766,45.406
450,rebounding,2,1109,77,2131,20.91,sam2,12.0,35961.198,544.867
451,rebounding,1,1106,364,12603,123.64,sam2,1.0,2996.766,45.406
451,rebounding,2,1110,64,2200,21.58,sam2,13.038,39073.055,592.016
452,rebounding,1,1107,365,12504,122.67,sam2,1.414,4238.068,64.213
452,rebounding,2,1111,52,2200,21.58,sam2,12.042,36085.847,546.755
453,rebounding,1,1107,366,12294,120.61,sam2,1.0,2996.766,45.406
453,rebounding,2,1111,40,2108,20.68,sam2,12.0,35961.198,544.867
