frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
312,falling,1,780,73,9451,100.0,sam2,,,
313,falling,1,,,,,null,,,
314,falling,1,,,,,null,,,
315,falling,1,,,,,null,,,
316,falling,1,781,169,8647,91.49,sam2,96.005,71926.298,1089.792
317,falling,1,,,,,null,,,
318,falling,1,,,,,null,,,
319,falling,1,,,,,null,,,
320,falling,1,781,268,8294,87.76,sam2,99.0,74169.971,1123.787
321,falling,1,,,,,null,,,
322,falling,1,,,,,null,,,
323,falling,1,,,,,null,,,
324,falling,1,781,368,8324,88.08,sam2,100.0,74919.162,1135.139
325,falling,1,,,,,null,,,
326,spreading,1,,,,,null,,,
327,spreading,1,,,,,null,,,
328,spreading,1,782,437,6365,67.35,sam2,69.007,51699.651,783.328
329,spreading,1,,,,,null,,,
330,spreading,1,,,,,null,,,
331,spreading,1,,,,,null,,,
332,spreading,1,783,439,4953,52.41,sam2,2.236,1675.243,25.382
333,spreading,1,,,,,null,,,
334,spreading,1,,,,,null,,,
335,spreading,1,,,,,null,,,
336,spreading,1,781,421,8575,90.73,sam2,18.111,13568.437,205.582
337,spreading,1,,,,,null,,,
338,spreading,1,,,,,null,,,
339,spreading,1,,,,,null,,,
340,spreading,1,781,376,11755,124.38,sam2,45.0,33713.623,510.812
341,spreading,1,,,,,null,,,
342,spreading,1,,,,,null,,,
343,spreading,1,,,,,null,,,
344,spreading,1,779,337,13340,141.15,sam2,39.051,29256.868,443.286
345,spreading,1,,,,,null,,,
346,spreading,1,,,,,null,,,
347,spreading,1,,,,,null,,,
348,spreading,1,778,304,15114,159.92,sam2,33.015,24734.672,374.768
349,spreading,1,,,,,null,,,
350,spreading,1,,,,,null,,,
351,spreading,1,,,,,null,,,
352,spreading,1,777,312,10700,113.22,sam2,8.062,6040.176,91.518
352,spreading,2,779,118,2434,25.75,sam2,,,
353,spreading,1,,,,,null,,,
354,spreading,1,,,,,null,,,
355,spreading,1,,,,,null,,,
356,spreading,1,775,279,8327,88.11,sam2,33.061,24768.687,375.283
356,spreading,2,778,72,2957,31.29,sam2,46.011,34470.957,522.287
357,spreading,1,,,,,null,,,
358,spreading,1,,,,,null,,,
359,spreading,1,,,,,null,,,
360,spreading,1,773,254,6467,68.43,sam2,25.08,18789.63,284.691
360,spreading,2,777,27,2604,27.55,sam2,45.011,33721.946,510.939
361,spreading,1,,,,,null,,,
362,spreading,1,,,,,null,,,
363,spreading,1,,,,,null,,,
364,spreading,1,772,225,8378,88.65,sam2,29.017,21739.47,329.386
364,spreading,2,778,3,330,3.49,sam2,24.021,17996.2,272.67
365,spreading,1,,,,,null,,,
366,spreading,1,,,,,null,,,
367,spreading,1,,,,,null,,,
368,spreading,1,772,204,10362,109.64,sam2,21.0,15733.024,238.379
369,spreading,1,,,,,null,,,
370,spreading,1,,,,,null,,,
371,spreading,1,,,,,null,,,
372,spreading,1,770,176,10411,110.16,sam2,28.071,21030.811,318.649
373,spreading,1,,,,,null,,,
374,spreading,1,,,,,null,,,
375,spreading,1,,,,,null,,,
376,spreading,1,768,151,10074,106.59,sam2,25.08,18789.63,284.691
377,spreading,1,,,,,null,,,
378,spreading,1,,,,,null,,,
379,spreading,1,,,,,null,,,
380,spreading,1,769,131,7542,79.8,sam2,20.025,15002.551,227.311
381,spreading,1,,,,,null,,,
382,spreading,1,,,,,null,,,
383,spreading,1,,,,,null,,,
384,spreading,1,767,108,7680,81.26,sam2,23.087,17296.432,262.067
385,spreading,1,,,,,null,,,
386,spreading,1,,,,,null,,,
387,spreading,1,,,,,null,,,
388,spreading,1,764,91,9258,97.96,sam2,17.263,12933.053,195.955
389,spreading,1,,,,,null,,,
390,spreading,1,,,,,null,,,
391,spreading,1,,,,,null,,,
392,spreading,1,764,72,9791,103.6,sam2,19.0,14234.641,215.676
393,spreading,1,,,,,null,,,
394,spreading,1,,,,,null,,,
395,spreading,1,,,,,null,,,
396,spreading,1,761,59,9714,102.78,sam2,13.342,9995.463,151.446
397,spreading,1,,,,,null,,,
398,spreading,1,,,,,null,,,
399,spreading,1,,,,,null,,,
400,spreading,1,762,37,7209,76.28,sam2,22.023,16499.234,249.988
401,spreading,1,,,,,null,,,
402,spreading,1,,,,,null,,,
403,spreading,1,,,,,null,,,
404,spreading,1,760,27,5980,63.27,sam2,10.198,7640.285,115.762
405,spreading,1,,,,,null,,,
406,spreading,1,,,,,null,,,
407,spreading,1,,,,,null,,,
408,spreading,1,757,31,5071,53.66,sam2,5.0,3745.958,56.757
409,spreading,1,,,,,null,,,
410,spreading,1,,,,,null,,,
411,spreading,1,,,,,null,,,
412,spreading,1,753,30,5186,54.87,sam2,4.123,3088.996,46.803
413,spreading,1,,,,,null,,,
414,spreading,1,,,,,null,,,
415,spreading,1,,,,,null,,,
416,spreading,1,753,18,3122,33.03,sam2,12.0,8990.299,136.217
417,spreading,1,,,,,null,,,
418,spreading,1,,,,,null,,,
419,spreading,1,,,,,null,,,
420,spreading,1,761,5,933,9.87,sam2,15.264,11435.914,173.271
421,spreading,1,,,,,null,,,
422,spreading,1,,,,,null,,,
423,spreading,1,,,,,null,,,
424,spreading,1,760,1,246,2.6,sam2,4.123,3088.996,46.803
425,spreading,1,,,,,null,,,
426,spreading,1,,,,,null,,,
427,spreading,1,,,,,null,,,
428,spreading,1,750,5,658,6.96,sam2,10.77,8069.041,122.258
429,spreading,1,,,,,null,,,
430,spreading,1,,,,,null,,,
431,spreading,1,,,,,null,,,
432,spreading,1,747,5,733,7.76,sam2,3.0,2247.575,34.054
433,spreading,1,,,,,null,,,
434,spreading,1,,,,,null,,,
435,spreading,1,,,,,null,,,
436,spreading,1,,,,,null,,,
437,spreading,1,,,,,null,,,
438,spreading,1,,,,,null,,,
439,spreading,1,,,,,null,,,
440,spreading,1,,,,,null,,,
441,spreading,1,,,,,null,,,
442,spreading,1,,,,,null,,,
443,spreading,1,,,,,null,,,
444,spreading,1,,,,,null,,,
445,spreading,1,,,,,null,,,
446,spreading,1,,,,,null,,,
447,spreading,1,,,,,null,,,
448,spreading,1,,,,,null,,,
449,spreading,1,,,,,null,,,
450,spreading,1,,,,,null,,,
451,spreading,1,,,,,null,,,
452,spreading,1,,,,,null,,,
453,spreading,1,,,,,null,,,
454,spreading,1,,,,,null,,,
455,spreading,1,,,,,null,,,
456,spreading,1,,,,,null,,,
457,spreading,1,,,,,null,,,
458,spreading,1,,,,,null,,,
459,spreading,1,,,,,null,,,
460,spreading,1,,,,,null,,,
461,spreading,1,,,,,null,,,
462,spreading,1,,,,,null,,,
463,spreading,1,,,,,null,,,
464,spreading,1,,,,,null,,,
465,spreading,1,,,,,null,,,
466,spreading,1,,,,,null,,,
467,spreading,1,,,,,null,,,
468,spreading,1,,,,,null,,,
469,spreading,1,,,,,null,,,
470,spreading,1,,,,,null,,,
471,spreading,1,,,,,null,,,
472,spreading,1,,,,,null,,,
473,spreading,1,,,,,null,,,
474,spreading,1,,,,,null,,,
475,spreading,1,,,,,null,,,
476,spreading,1,,,,,null,,,
477,spreading,1,,,,,null,,,
478,spreading,1,,,,,null,,,
479,spreading,1,,,,,null,,,
480,spreading,1,,,,,null,,,
481,spreading,1,,,,,null,,,
482,spreading,1,,,,,null,,,
483,spreading,1,,,,,null,,,
484,spreading,1,734,4,531,5.62,sam2,13.038,751.405,11.385
485,spreading,1,,,,,null,,,
486,spreading,1,,,,,null,,,
487,spreading,1,,,,,null,,,
488,spreading,1,,,,,null,,,
489,spreading,1,,,,,null,,,
490,spreading,1,,,,,null,,,
491,spreading,1,,,,,null,,,
492,spreading,1,,,,,null,,,
493,spreading,1,,,,,null,,,
494,spreading,1,,,,,null,,,
495,spreading,1,,,,,null,,,
496,spreading,1,,,,,null,,,
497,spreading,1,,,,,null,,,
498,spreading,1,,,,,null,,,
499,spreading,1,,,,,null,,,
500,spreading,1,,,,,null,,,
501,spreading,1,,,,,null,,,
502,spreading,1,,,,,null,,,
503,spreading,1,,,,,null,,,
504,spreading,1,,,,,null,,,
505,spreading,1,,,,,null,,,
506,spreading,1,,,,,null,,,
507,spreading,1,,,,,null,,,
508,spreading,1,,,,,null,,,
509,spreading,1,,,,,null,,,
510,spreading,1,,,,,null,,,
511,spreading,1,,,,,null,,,
512,spreading,1,,,,,null,,,
513,spreading,1,,,,,null,,,
514,spreading,1,,,,,null,,,
515,spreading,1,,,,,null,,,
516,spreading,1,,,,,null,,,
517,spreading,1,,,,,null,,,
518,rebounding,1,,,,,null,,,
519,rebounding,1,,,,,null,,,
520,rebounding,1,,,,,null,,,
521,rebounding,1,,,,,null,,,
522,rebounding,1,,,,,null,,,
523,rebounding,1,,,,,null,,,
524,rebounding,1,,,,,null,,,
525,rebounding,1,,,,,null,,,
526,rebounding,1,,,,,null,,,
527,rebounding,1,,,,,null,,,
528,rebounding,1,,,,,null,,,
529,rebounding,1,,,,,null,,,
530,rebounding,1,,,,,null,,,
531,rebounding,1,,,,,null,,,
532,rebounding,1,,,,,null,,,
533,rebounding,1,,,,,null,,,
534,rebounding,1,,,,,null,,,
535,rebounding,1,,,,,null,,,
536,rebounding,1,,,,,null,,,
537,rebounding,1,,,,,null,,,
538,rebounding,1,,,,,null,,,
539,rebounding,1,,,,,null,,,
540,rebounding,1,,,,,null,,,
541,rebounding,1,,,,,null,,,
542,rebounding,1,,,,,null,,,
543,rebounding,1,,,,,null,,,
544,rebounding,1,,,,,null,,,
545,rebounding,1,,,,,null,,,
546,rebounding,1,,,,,null,,,
