frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
831,falling,1,38,38,2642,0.62,hough,,,
832,falling,1,713,231,425497,99.19,sam2,,,
833,falling,1,,,,,null,,,
834,falling,1,,,,,null,,,
835,falling,1,,,,,null,,,
836,falling,1,713,229,423622,98.75,sam2,2.0,1498.383,22.703
837,falling,1,,,,,null,,,
838,falling,1,,,,,null,,,
839,falling,1,,,,,null,,,
840,falling,1,714,227,423348,98.69,sam2,2.236,1675.243,25.382
841,falling,1,,,,,null,,,
842,falling,1,,,,,null,,,
843,falling,1,,,,,null,,,
844,spreading,1,713,224,423831,98.8,sam2,3.162,2369.152,35.896
845,spreading,1,,,,,null,,,
846,spreading,1,,,,,null,,,
847,spreading,1,,,,,null,,,
848,spreading,1,714,225,425837,99.27,sam2,1.414,1059.517,16.053
849,spreading,1,,,,,null,,,
850,spreading,1,,,,,null,,,
851,spreading,1,,,,,null,,,
852,spreading,1,713,225,425457,99.18,sam2,1.0,749.192,11.351
853,spreading,1,,,,,null,,,
854,spreading,1,,,,,null,,,
855,spreading,1,,,,,null,,,
856,spreading,1,712,224,422296,98.44,sam2,1.414,1059.517,16.053
857,spreading,1,,,,,null,,,
858,spreading,1,,,,,null,,,
859,spreading,1,,,,,null,,,
860,spreading,1,713,225,418488,97.55,sam2,1.414,1059.517,16.053
861,spreading,1,,,,,null,,,
862,spreading,1,,,,,null,,,
863,spreading,1,,,,,null,,,
864,spreading,1,714,225,415457,96.85,sam2,1.0,749.192,11.351
865,spreading,1,,,,,null,,,
866,spreading,1,,,,,null,,,
867,spreading,1,,,,,null,,,
868,spreading,1,712,226,418127,97.47,sam2,2.236,1675.243,25.382
869,spreading,1,,,,,null,,,
870,rebounding,1,,,,,null,,,
871,rebounding,1,,,,,null,,,
872,rebounding,1,714,227,420475,98.02,sam2,2.236,1675.243,25.382
873,rebounding,1,,,,,null,,,
874,rebounding,1,,,,,null,,,
875,rebounding,1,,,,,null,,,
876,rebounding,1,713,227,419890,97.88,sam2,1.0,749.192,11.351
877,rebounding,1,,,,,null,,,
878,rebounding,1,,,,,null,,,
879,rebounding,1,,,,,null,,,
880,rebounding,1,714,227,423685,98.76,sam2,1.0,749.192,11.351
881,rebounding,1,,,,,null,,,
882,rebounding,1,,,,,null,,,
883,rebounding,1,,,,,null,,,
884,rebounding,1,715,227,423459,98.71,sam2,1.0,749.192,11.351
885,rebounding,1,,,,,null,,,
886,rebounding,1,,,,,null,,,
887,rebounding,1,,,,,null,,,
888,rebounding,1,715,228,422221,98.42,sam2,1.0,749.192,11.351
889,rebounding,1,,,,,null,,,
890,rebounding,1,,,,,null,,,
891,rebounding,1,,,,,null,,,
892,rebounding,1,712,229,420691,98.07,sam2,3.162,2369.152,35.896
893,rebounding,1,,,,,null,,,
894,rebounding,1,,,,,null,,,
895,rebounding,1,,,,,null,,,
896,rebounding,1,713,230,421593,98.28,sam2,1.414,1059.517,16.053
897,rebounding,1,,,,,null,,,
898,rebounding,1,,,,,null,,,
899,rebounding,1,,,,,null,,,
900,rebounding,1,714,230,423474,98.71,sam2,1.0,749.192,11.351
901,rebounding,1,,,,,null,,,
902,rebounding,1,,,,,null,,,
903,rebounding,1,,,,,null,,,
904,rebounding,1,714,230,425916,99.28,sam2,0.0,0.0,0.0
905,rebounding,1,,,,,null,,,
906,rebounding,1,,,,,null,,,
907,rebounding,1,,,,,null,,,
