frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
268,falling,1,596,97,15839,100.0,sam2,,,
269,falling,1,,,,,null,,,
270,falling,1,,,,,null,,,
271,falling,1,,,,,null,,,
272,falling,1,599,197,15358,96.96,sam2,100.045,74952.868,1135.65
273,falling,1,,,,,null,,,
274,falling,1,,,,,null,,,
275,falling,1,,,,,null,,,
276,falling,1,602,298,14576,92.03,sam2,101.045,75701.726,1146.996
277,falling,1,,,,,null,,,
278,falling,1,,,,,null,,,
279,spreading,1,,,,,null,,,
280,spreading,1,605,392,12799,80.81,sam2,94.048,70459.869,1067.574
281,spreading,1,,,,,null,,,
282,spreading,1,,,,,null,,,
283,spreading,1,,,,,null,,,
284,spreading,1,603,424,8841,55.82,sam2,32.062,24020.911,363.953
285,spreading,1,,,,,null,,,
286,spreading,1,,,,,null,,,
287,spreading,1,,,,,null,,,
288,spreading,1,605,421,9850,62.19,sam2,3.606,2701.249,40.928
289,spreading,1,,,,,null,,,
290,spreading,1,,,,,null,,,
291,spreading,1,,,,,null,,,
292,spreading,1,611,417,9344,58.99,sam2,7.211,5402.498,81.856
293,spreading,1,,,,,null,,,
294,spreading,1,,,,,null,,,
295,spreading,1,,,,,null,,,
296,spreading,1,609,395,11670,73.68,sam2,22.091,16550.184,250.76
297,spreading,1,,,,,null,,,
298,spreading,1,,,,,null,,,
299,spreading,1,,,,,null,,,
300,spreading,1,610,380,12885,81.35,sam2,15.033,11262.82,170.649
301,spreading,1,,,,,null,,,
302,spreading,1,,,,,null,,,
303,spreading,1,,,,,null,,,
304,spreading,1,612,372,13824,87.28,sam2,8.246,6177.992,93.606
305,spreading,1,,,,,null,,,
306,spreading,1,,,,,null,,,
307,spreading,1,,,,,null,,,
308,spreading,1,612,369,14339,90.53,sam2,3.0,2247.575,34.054
309,spreading,1,,,,,null,,,
310,spreading,1,,,,,null,,,
311,spreading,1,,,,,null,,,
312,spreading,1,616,366,14320,90.41,sam2,5.0,3745.958,56.757
313,spreading,1,,,,,null,,,
314,spreading,1,,,,,null,,,
315,spreading,1,,,,,null,,,
316,spreading,1,617,368,13896,87.73,sam2,2.236,1675.243,25.382
317,spreading,1,,,,,null,,,
318,spreading,1,,,,,null,,,
319,spreading,1,,,,,null,,,
320,spreading,1,620,374,13503,85.25,sam2,6.708,5025.73,76.147
321,spreading,1,,,,,null,,,
322,spreading,1,,,,,null,,,
323,spreading,1,,,,,null,,,
324,spreading,1,622,381,13030,82.27,sam2,7.28,5454.197,82.639
325,spreading,1,,,,,null,,,
326,spreading,1,,,,,null,,,
327,spreading,1,,,,,null,,,
328,spreading,1,624,389,11977,75.62,sam2,8.246,6177.992,93.606
329,spreading,1,,,,,null,,,
330,spreading,1,,,,,null,,,
331,spreading,1,,,,,null,,,
332,spreading,1,626,396,11384,71.87,sam2,7.28,5454.197,82.639
333,spreading,1,,,,,null,,,
334,spreading,1,,,,,null,,,
335,spreading,1,,,,,null,,,
336,spreading,1,626,398,11437,72.21,sam2,2.0,1498.383,22.703
337,spreading,1,,,,,null,,,
338,spreading,1,,,,,null,,,
339,spreading,1,,,,,null,,,
340,spreading,1,628,396,11863,74.9,sam2,2.828,2119.034,32.107
341,spreading,1,,,,,null,,,
342,spreading,1,,,,,null,,,
343,spreading,1,,,,,null,,,
344,spreading,1,628,392,12404,78.31,sam2,4.0,2996.766,45.406
345,spreading,1,,,,,null,,,
346,spreading,1,,,,,null,,,
347,spreading,1,,,,,null,,,
348,spreading,1,628,388,12705,80.21,sam2,4.0,2996.766,45.406
349,spreading,1,,,,,null,,,
350,spreading,1,,,,,null,,,
351,spreading,1,,,,,null,,,
352,spreading,1,629,384,12828,80.99,sam2,4.123,3088.996,46.803
353,spreading,1,,,,,null,,,
354,spreading,1,,,,,null,,,
355,spreading,1,,,,,null,,,
356,spreading,1,630,382,12634,79.77,sam2,2.236,1675.243,25.382
357,spreading,1,,,,,null,,,
358,spreading,1,,,,,null,,,
359,spreading,1,,,,,null,,,
360,spreading,1,630,382,12837,81.05,sam2,0.0,0.0,0.0
361,spreading,1,,,,,null,,,
362,spreading,1,,,,,null,,,
363,spreading,1,,,,,null,,,
364,spreading,1,629,384,12967,81.87,sam2,2.236,1675.243,25.382
365,spreading,1,,,,,null,,,
366,spreading,1,,,,,null,,,
367,spreading,1,,,,,null,,,
368,spreading,1,629,386,12811,80.88,sam2,2.0,1498.383,22.703
369,spreading,1,,,,,null,,,
370,spreading,1,,,,,null,,,
371,spreading,1,,,,,null,,,
372,spreading,1,628,390,12323,77.8,sam2,4.123,3088.996,46.803
373,spreading,1,,,,,null,,,
374,spreading,1,,,,,null,,,
375,spreading,1,,,,,null,,,
376,spreading,1,627,392,12065,76.17,sam2,2.236,1675.243,25.382
377,spreading,1,,,,,null,,,
378,spreading,1,,,,,null,,,
379,spreading,1,,,,,null,,,
380,spreading,1,626,393,11895,75.1,sam2,1.414,1059.517,16.053
381,spreading,1,,,,,null,,,
382,spreading,1,,,,,null,,,
383,spreading,1,,,,,null,,,
384,spreading,1,625,392,11850,74.82,sam2,1.414,1059.517,16.053
385,spreading,1,,,,,null,,,
386,spreading,1,,,,,null,,,
387,spreading,1,,,,,null,,,
388,spreading,1,625,390,12007,75.81,sam2,2.0,1498.383,22.703
389,spreading,1,,,,,null,,,
390,spreading,1,,,,,null,,,
391,spreading,1,,,,,null,,,
392,spreading,1,625,387,12324,77.81,sam2,3.0,2247.575,34.054
393,spreading,1,,,,,null,,,
394,spreading,1,,,,,null,,,
395,spreading,1,,,,,null,,,
396,spreading,1,624,386,12605,79.58,sam2,1.414,1059.517,16.053
397,spreading,1,,,,,null,,,
398,spreading,1,,,,,null,,,
399,spreading,1,,,,,null,,,
400,spreading,1,624,385,12840,81.07,sam2,1.0,749.192,11.351
401,spreading,1,,,,,null,,,
402,spreading,1,,,,,null,,,
403,spreading,1,,,,,null,,,
404,spreading,1,624,386,12746,80.47,sam2,1.0,749.192,11.351
405,spreading,1,,,,,null,,,
406,spreading,1,,,,,null,,,
407,spreading,1,,,,,null,,,
408,spreading,1,623,387,12470,78.73,sam2,1.414,1059.517,16.053
409,spreading,1,,,,,null,,,
410,spreading,1,,,,,null,,,
411,spreading,1,,,,,null,,,
412,spreading,1,623,389,12283,77.55,sam2,2.0,1498.383,22.703
413,spreading,1,,,,,null,,,
414,spreading,1,,,,,null,,,
415,spreading,1,,,,,null,,,
416,spreading,1,624,390,12077,76.25,sam2,1.414,1059.517,16.053
417,spreading,1,,,,,null,,,
418,spreading,1,,,,,null,,,
419,spreading,1,,,,,null,,,
420,spreading,1,624,391,12004,75.79,sam2,1.0,749.192,11.351
421,spreading,1,,,,,null,,,
422,spreading,1,,,,,null,,,
423,spreading,1,,,,,null,,,
424,spreading,1,624,391,12050,76.08,sam2,0.0,0.0,0.0
425,spreading,1,,,,,null,,,
426,spreading,1,,,,,null,,,
427,spreading,1,,,,,null,,,
428,spreading,1,625,389,12254,77.37,sam2,2.236,1675.243,25.382
429,spreading,1,,,,,null,,,
430,spreading,1,,,,,null,,,
431,spreading,1,,,,,null,,,
432,spreading,1,625,388,12590,79.49,sam2,1.0,749.192,11.351
433,spreading,1,,,,,null,,,
434,spreading,1,,,,,null,,,
435,spreading,1,,,,,null,,,
436,spreading,1,626,387,12867,81.24,sam2,1.414,1059.517,16.053
437,spreading,1,,,,,null,,,
438,spreading,1,,,,,null,,,
439,spreading,1,,,,,null,,,
440,spreading,1,627,386,12943,81.72,sam2,1.414,1059.517,16.053
441,spreading,1,,,,,null,,,
442,spreading,1,,,,,null,,,
443,spreading,1,,,,,null,,,
444,spreading,1,627,387,12928,81.62,sam2,1.0,749.192,11.351
445,spreading,1,,,,,null,,,
446,spreading,1,,,,,null,,,
447,spreading,1,,,,,null,,,
448,spreading,1,627,387,12748,80.48,sam2,0.0,0.0,0.0
449,spreading,1,,,,,null,,,
450,spreading,1,,,,,null,,,
451,spreading,1,,,,,null,,,
452,spreading,1,627,389,12594,79.51,sam2,2.0,1498.383,22.703
453,spreading,1,,,,,null,,,
454,spreading,1,,,,,null,,,
455,spreading,1,,,,,null,,,
456,spreading,1,627,389,12375,78.13,sam2,0.0,0.0,0.0
457,spreading,1,,,,,null,,,
458,spreading,1,,,,,null,,,
459,spreading,1,,,,,null,,,
460,spreading,1,627,389,12258,77.39,sam2,0.0,0.0,0.0
461,spreading,1,,,,,null,,,
462,spreading,1,,,,,null,,,
463,spreading,1,,,,,null,,,
464,spreading,1,626,389,12484,78.82,sam2,1.0,749.192,11.351
465,spreading,1,,,,,null,,,
466,spreading,1,,,,,null,,,
467,spreading,1,,,,,null,,,
