frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1,1,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,0.3337,0,,,66.0,
2,2,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,0.6674,0,,,66.0,
3,3,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,1.0011,0,,,66.0,
4,4,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,1.3348,0,,,66.0,
5,5,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,1.6685,0,,,66.0,
6,6,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,2.0022,0,,,66.0,
7,7,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,2.3359,0,,,66.0,
8,8,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,2.6695,0,,,66.0,
9,9,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,3.0032,0,,,66.0,
10,10,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,3.3369,0,,,66.0,
11,11,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,3.6706,0,,,66.0,
12,12,spreading,,,,,,462,,,,,,,,,,,0.0,,376,,,,4.0043,0,,,66.0,
13,13,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,4.338,0,,,66.0,
14,14,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,4.6717,0,,,66.0,
15,15,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,5.0054,0,,,66.0,
16,16,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,5.3391,0,,,66.0,
17,17,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,5.6728,0,,,66.0,
18,18,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,6.0065,0,,,66.0,
19,19,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,6.3402,0,,,66.0,
20,20,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,6.6739,0,,,66.0,
21,21,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,7.0076,0,,,66.0,
22,22,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,7.3412,0,,,66.0,
23,23,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,7.6749,0,,,66.0,
24,24,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,8.0086,0,,,66.0,
25,25,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,8.3423,0,,,66.0,
26,26,spreading,,,,,,462,,,,,,,,,,,0.0,,373,,,,8.676,0,,,66.0,
27,27,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,9.0097,0,,,66.0,
28,28,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,9.3434,0,,,66.0,
29,29,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,9.6771,0,,,66.0,
30,30,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,10.0108,0,,,66.0,
31,31,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,10.3445,0,,,66.0,
32,32,spreading,,,,,,462,,,,,,,,,,,0.0,,372,,,,10.6782,0,,,66.0,
33,33,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,11.0119,0,,,66.0,
34,34,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,11.3456,0,,,66.0,
35,35,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,11.6793,0,,,66.0,
36,36,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,12.0129,0,,,66.0,
37,37,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,12.3466,0,,,66.0,
38,38,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,12.6803,0,,,66.0,
39,39,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,13.014,0,,,66.0,
40,40,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,13.3477,0,,,66.0,
41,41,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,13.6814,0,,,66.0,
42,42,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,14.0151,0,,,66.0,
43,43,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,14.3488,0,,,66.0,
44,44,spreading,,,,,,462,,,,,,,,,,,0.0,,374,,,,14.6825,0,,,66.0,
45,45,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,15.0162,0,,,66.0,
46,46,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,15.3499,0,,,66.0,
47,47,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,15.6836,0,,,66.0,
48,48,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,16.0173,0,,,66.0,
49,49,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,16.351,0,,,66.0,
50,50,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,16.6846,0,,,66.0,
51,51,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,17.0183,0,,,66.0,
52,52,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,17.352,0,,,66.0,
53,53,spreading,,,,,,462,,,,,,,,,,,0.0,,370,,,,17.6857,0,,,66.0,
54,54,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,18.0194,0,,,66.0,
55,55,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,18.3531,0,,,66.0,
56,56,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,18.6868,0,,,66.0,
57,57,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,19.0205,0,,,66.0,
58,58,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,19.3542,0,,,66.0,
59,59,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,19.6879,0,,,66.0,
60,60,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,20.0216,0,,,66.0,
61,61,spreading,,,,,,462,,,,,,,,,,,0.0,,371,,,,20.3553,0,,,66.0,
62,1,rebounding,12617.0,53.024,3,109,137.1,-73.5,345.733,200.294,178.7,0.283,194.0,249.0,2.0,178.7,200.294,1.726,0.134,0.888,0,263.151,3.9871,,0.3337,535.5,,,66.0,
