frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
506,1,falling,36955.0,41.121,1,83,112.0,286.0,216.895,216.88,157.5,0.842,218.0,203.0,346.0,157.5,216.88,1.0,1.0,0.994,0,216.888,3.2862,1.8074,0.0,168.0,,,66.0,
507,2,falling,21930.5,44.243,2,83,49.9,183.4,212.077,142.637,179.6,0.716,218.0,16.0,293.0,179.6,142.637,1.487,0.621,0.994,0,173.925,2.6352,1.4494,0.3337,270.6,119.93,359401.77,66.0,5445.48
508,3,falling,25521.0,57.119,1,113,175.3,167.8,256.127,146.94,5.9,0.25,218.0,202.0,281.0,5.9,146.94,1.743,0.495,0.931,0,193.998,2.9394,1.6166,0.6674,286.2,126.367,378691.22,66.0,5737.75
509,4,falling,19335.5,44.449,2,83,42.2,318.1,206.422,134.483,177.1,0.667,218.0,4.0,429.0,177.1,134.483,1.535,0.578,0.993,0,166.614,2.5245,1.3884,1.0011,135.9,200.763,601639.22,66.0,9115.75
510,5,falling,36975.5,41.27,1,82,110.0,322.0,217.04,216.999,175.4,0.881,218.0,201.0,262.0,175.4,216.999,1.0,0.999,0.994,0,217.02,3.2882,1.8085,1.3348,132.0,67.912,203516.63,66.0,3083.59
511,6,falling,20198.5,44.489,2,83,43.3,180.5,209.393,140.033,0.8,0.683,218.0,8.0,289.0,0.8,140.033,1.495,0.587,0.993,0,171.237,2.5945,1.427,1.6685,273.5,156.433,468791.8,66.0,7102.91
512,7,falling,36953.5,42.061,1,87,108.1,131.9,216.922,216.862,105.2,0.84,218.0,199.0,72.0,105.2,216.862,1.0,1.0,0.993,0,216.892,3.2862,1.8074,2.0022,322.1,81.0,242738.09,66.0,3677.85
513,8,falling,30454.5,50.084,1,112,160.8,164.4,239.399,172.705,7.5,0.337,218.0,176.0,277.0,7.5,172.705,1.386,0.677,0.948,0,203.336,3.0808,1.6945,2.3359,289.6,61.916,185546.56,66.0,2811.31
514,9,falling,28676.0,52.839,1,110,164.2,246.8,243.755,163.165,176.3,0.39,218.0,184.0,353.0,176.3,163.165,1.494,0.614,0.958,0,199.43,3.0217,1.6619,2.6695,207.2,82.47,247143.68,66.0,3744.6
517,10,falling,29512.5,50.812,1,114,158.8,234.5,249.446,162.405,179.2,0.258,218.0,178.0,343.0,179.2,162.405,1.536,0.604,0.949,0,201.274,3.0496,1.6773,3.6706,219.5,13.433,40256.07,66.0,609.94
519,11,falling,36975.5,41.264,1,85,110.0,320.0,217.032,216.948,81.8,0.871,217.8,165.0,226.0,81.8,216.948,1.0,0.999,0.994,0,216.99,3.2877,1.8083,4.338,134.0,98.446,295020.82,66.0,4470.01
520,12,falling,19778.5,43.971,1,80,45.9,273.3,208.754,130.082,179.6,0.693,218.0,6.0,383.0,179.6,130.082,1.605,0.578,0.993,0,164.788,2.4968,1.3732,4.6717,180.7,79.308,237666.44,66.0,3601.01
521,13,falling,36956.5,41.894,1,87,117.9,318.0,216.999,216.796,1.6,0.852,217.8,209.0,258.0,1.6,216.796,1.001,0.999,0.993,0,216.898,3.2863,1.8075,5.0054,136.0,84.747,253967.61,66.0,3847.99
525,14,falling,27083.0,55.401,1,113,173.0,277.4,240.922,157.32,175.1,0.435,218.0,196.0,383.0,175.1,157.32,1.531,0.594,0.95,0,194.683,2.9497,1.6224,6.3402,176.6,68.442,205106.06,66.0,3107.67
526,15,falling,24903.5,42.894,1,82,47.1,311.8,213.984,179.155,179.7,0.766,218.0,30.0,421.0,179.7,179.155,1.194,0.692,0.994,0,195.796,2.9666,1.6316,6.6739,142.2,130.515,391123.03,66.0,5926.11
527,16,falling,30372.5,51.266,1,109,166.4,136.5,237.791,173.655,7.0,0.478,217.9,211.0,35.0,7.0,173.655,1.369,0.684,0.957,0,203.208,3.0789,1.6934,7.0076,317.5,212.044,635445.8,66.0,9627.97
529,17,falling,35538.0,44.218,1,103,143.8,119.5,221.391,204.693,8.5,0.462,218.0,208.0,211.0,8.5,204.693,1.082,0.923,0.977,0,212.878,3.2254,1.774,7.6749,334.5,28.28,84748.64,66.0,1284.07
530,18,falling,28369.0,53.514,1,111,168.5,248.8,249.372,162.025,176.3,0.307,218.0,188.0,355.0,176.3,162.025,1.539,0.581,0.948,0,201.008,3.0456,1.6751,8.0086,205.2,131.638,394488.54,66.0,5977.1
531,19,falling,31115.0,50.067,1,108,166.1,321.8,242.005,174.39,169.0,0.297,218.0,180.0,427.0,169.0,174.39,1.388,0.676,0.941,0,205.434,3.1126,1.712,8.3423,132.2,73.039,218882.15,66.0,3316.4
532,20,falling,30559.5,51.208,1,110,166.7,111.8,244.234,169.827,9.0,0.308,218.0,182.0,225.0,9.0,169.827,1.438,0.652,0.95,0,203.66,3.0858,1.6972,8.676,342.2,210.001,629323.53,66.0,9535.21
533,21,falling,36966.0,41.888,1,87,112.0,332.0,217.021,216.874,171.5,0.864,218.0,203.0,392.0,171.5,216.874,1.001,0.999,0.993,0,216.948,3.2871,1.8079,9.0097,122.0,226.892,679943.34,66.0,10302.17
534,22,falling,29138.5,52.504,1,109,166.1,190.9,233.496,171.077,1.4,0.477,217.9,213.0,87.0,1.4,171.077,1.365,0.68,0.957,0,199.865,3.0283,1.6655,9.3434,263.1,151.116,452859.11,66.0,6861.5
535,23,falling,23530.0,60.24,1,111,180.7,159.6,242.528,134.928,6.6,0.374,218.0,214.0,275.0,6.6,134.928,1.797,0.509,0.946,0,180.897,2.7409,1.5075,9.6771,294.4,34.538,103501.3,66.0,1568.2
536,24,falling,29979.0,51.581,1,109,161.3,223.8,234.475,172.262,1.4,0.479,217.9,207.0,119.0,1.4,172.262,1.361,0.694,0.962,0,200.975,3.0451,1.6748,10.0108,230.2,67.067,200984.53,66.0,3045.22
537,25,falling,24489.5,43.794,2,84,39.7,287.1,214.072,191.19,5.6,0.767,218.0,28.0,395.0,5.6,191.19,1.12,0.68,0.994,0,202.308,3.0653,1.6859,10.3445,166.9,137.089,410824.33,66.0,6224.61
538,26,falling,29657.0,50.877,1,113,163.4,283.6,240.366,172.954,175.4,0.32,218.0,180.0,391.0,175.4,172.954,1.39,0.654,0.942,0,203.893,3.0893,1.6991,10.6782,170.4,123.75,370848.37,66.0,5618.91
539,27,falling,29819.5,51.709,1,108,166.8,134.1,246.644,167.129,6.0,0.291,217.9,213.0,31.0,6.0,167.129,1.476,0.624,0.952,0,203.03,3.0762,1.6919,11.0119,319.9,149.539,448132.44,66.0,6789.89
540,28,falling,30762.5,49.857,1,111,157.9,179.7,243.888,173.131,4.5,0.295,218.0,172.0,291.0,4.5,173.131,1.409,0.658,0.946,0,205.486,3.1134,1.7124,11.3456,274.3,46.46,139231.01,66.0,2109.56
541,29,falling,22782.5,43.826,2,83,47.2,294.4,210.882,157.785,177.0,0.712,217.8,34.0,188.0,177.0,157.785,1.337,0.652,0.994,0,182.411,2.7638,1.5201,11.6793,159.6,159.407,477705.45,66.0,7237.96
544,30,falling,21931.5,44.278,2,83,43.0,234.7,211.491,157.809,0.6,0.718,218.0,16.0,343.0,0.6,157.809,1.34,0.624,0.994,0,182.689,2.768,1.5224,12.6803,219.3,59.848,179349.15,66.0,2717.41
544,1,spreading,,,,,,454,,,,,,,,,,,0.0,,118,,,0.9833,12.6803,0,,,66.0,
545,2,spreading,,,,,,454,,,,,,,,,,,0.0,,162,,,1.35,13.014,0,,,66.0,
546,3,spreading,,,,,,454,,,,,,,,,,,0.0,,162,,,1.35,13.3477,0,,,66.0,
