frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
443,1,falling,34884.0,46.175,1,110,111.9,225.6,225.159,198.602,2.6,0.422,218.0,118.0,335.0,2.6,198.602,1.134,0.876,0.972,0,211.464,3.204,1.7622,0.0,247.4,,,66.0,
444,2,falling,33567.5,47.846,1,110,116.0,182.4,229.99,188.048,5.6,0.478,218.0,206.0,110.0,5.6,188.048,1.223,0.808,0.976,0,207.964,3.151,1.733,0.3337,290.6,43.394,130042.06,66.0,1970.33
447,3,falling,32821.5,49.843,1,116,124.0,143.4,233.797,186.663,3.7,0.352,218.0,134.0,253.0,3.7,186.663,1.253,0.765,0.959,0,208.905,3.1652,1.7409,1.3348,329.6,39.812,119307.44,66.0,1807.69
449,4,falling,33247.5,48.764,1,118,124.1,329.8,229.416,187.843,172.2,0.448,218.0,134.0,437.0,172.2,187.843,1.221,0.804,0.971,0,207.591,3.1453,1.7299,2.0022,143.2,186.4,558597.35,66.0,8463.6
450,5,falling,35681.0,46.099,1,100,110.3,137.7,221.41,205.988,5.0,0.512,218.0,174.0,47.0,5.0,205.988,1.075,0.927,0.977,0,213.56,3.2358,1.7797,2.3359,335.3,192.595,577162.37,66.0,8744.88
451,6,falling,35615.5,45.735,1,100,110.1,170.0,221.512,205.273,1.0,0.573,218.0,174.0,261.0,1.0,205.273,1.079,0.924,0.98,0,213.238,3.2309,1.777,2.6695,303.0,32.301,96797.41,66.0,1466.63
452,7,falling,32074.0,50.447,1,122,126.3,286.9,235.947,182.882,178.1,0.434,218.0,138.0,395.0,178.1,182.882,1.29,0.734,0.958,0,207.727,3.1474,1.7311,3.0032,186.1,118.017,353669.87,66.0,5358.63
453,8,falling,35714.0,45.441,1,101,108.4,171.7,220.94,206.4,4.8,0.544,218.0,172.0,263.0,4.8,206.4,1.07,0.932,0.977,0,213.547,3.2356,1.7796,3.3369,301.3,116.582,349370.15,66.0,5293.49
454,9,falling,34975.0,47.097,1,105,112.5,277.0,225.804,199.494,172.8,0.414,218.0,118.0,385.0,172.8,199.494,1.132,0.873,0.975,0,212.242,3.2158,1.7687,3.6706,196.0,105.38,315798.62,66.0,4784.83
455,10,falling,35467.5,46.012,1,104,111.4,312.5,222.441,203.315,175.7,0.469,218.0,176.0,221.0,175.7,203.315,1.094,0.913,0.976,0,212.663,3.2222,1.7722,4.0043,160.5,35.517,106436.27,66.0,1612.67
456,11,falling,35143.0,45.214,1,107,108.4,216.6,222.663,200.987,175.7,0.552,218.0,174.0,307.0,175.7,200.987,1.108,0.903,0.982,0,211.548,3.2053,1.7629,4.338,256.4,95.947,287530.49,66.0,4356.52
459,12,falling,35378.0,44.934,1,107,111.6,324.6,222.4,203.431,173.3,0.497,218.0,176.0,415.0,173.3,203.431,1.093,0.911,0.977,0,212.704,3.2228,1.7725,5.3391,148.4,108.047,323792.82,66.0,4905.95
460,13,falling,32179.5,50.337,2,116,125.8,118.9,233.343,182.823,5.9,0.393,218.0,138.0,229.0,5.9,182.823,1.276,0.752,0.968,0,206.544,3.1295,1.7212,5.6728,354.1,206.19,617901.93,66.0,9362.15
463,14,falling,31845.5,50.834,1,122,126.4,256.3,230.011,185.169,179.1,0.487,218.0,138.0,365.0,179.1,185.169,1.242,0.766,0.964,0,206.376,3.1269,1.7198,6.6739,216.7,137.401,411759.64,66.0,6238.78
467,15,falling,35684.0,44.802,1,100,114.1,346.6,221.694,205.26,173.7,0.508,218.0,209.0,406.0,173.7,205.26,1.08,0.924,0.977,0,213.319,3.2321,1.7777,8.0086,126.4,91.134,273106.89,66.0,4137.98
468,16,falling,36316.5,45.104,2,96,107.7,117.7,219.356,210.185,8.8,0.564,218.0,170.0,27.0,8.8,210.185,1.044,0.961,0.983,0,214.721,3.2533,1.7893,8.3423,355.3,228.989,686227.92,66.0,10397.39
469,17,falling,35633.5,45.155,1,105,114.3,338.2,222.031,205.449,175.9,0.483,218.0,178.0,429.0,175.9,205.449,1.081,0.92,0.976,0,213.579,3.236,1.7798,8.676,134.8,220.599,661082.95,66.0,10016.41
470,18,falling,30471.0,53.491,2,123,133.8,147.8,240.736,175.593,1.3,0.347,218.0,208.0,57.0,1.3,175.593,1.371,0.669,0.952,0,205.6,3.1152,1.7133,9.0097,325.2,191.396,573568.97,66.0,8690.44
471,19,falling,33353.5,49.01,1,119,128.5,358.8,232.102,188.041,175.8,0.399,218.0,138.0,467.0,175.8,188.041,1.234,0.788,0.966,0,208.913,3.1653,1.7409,9.3434,114.2,211.067,632517.17,66.0,9583.59
472,20,falling,35207.0,46.573,2,103,114.9,119.1,222.657,201.825,6.5,0.549,218.0,180.0,211.0,6.5,201.825,1.103,0.904,0.98,0,211.986,3.2119,1.7665,9.6771,353.9,240.086,719480.2,66.0,10901.22
473,21,falling,34885.0,46.462,1,107,113.9,276.4,225.488,198.513,175.9,0.441,218.0,211.0,336.0,175.9,198.513,1.136,0.874,0.976,0,211.571,3.2056,1.7631,10.0108,196.6,157.303,471400.89,66.0,7142.44
474,22,falling,35952.5,45.305,1,99,112.8,322.4,220.885,207.416,173.4,0.598,218.0,176.0,231.0,173.4,207.416,1.065,0.938,0.977,0,214.045,3.2431,1.7837,10.3445,150.6,46.013,137890.67,66.0,2089.25
475,23,falling,36010.5,45.257,1,100,114.9,356.2,220.784,207.637,176.7,0.574,218.0,178.0,265.0,176.7,207.637,1.063,0.941,0.982,0,214.11,3.2441,1.7843,10.6782,116.8,33.865,101486.02,66.0,1537.67
476,24,falling,29476.0,55.843,1,128,137.1,257.4,241.811,169.442,178.1,0.386,217.9,183.0,151.0,178.1,169.442,1.427,0.642,0.958,0,202.418,3.0669,1.6868,11.0119,215.6,101.263,303462.82,66.0,4597.92
477,25,falling,32820.0,50.104,1,116,125.9,139.8,235.494,185.31,2.0,0.343,218.0,136.0,249.0,2.0,185.31,1.271,0.754,0.963,0,208.901,3.1652,1.7408,11.3456,333.2,118.132,354014.41,66.0,5363.85
478,26,falling,35507.5,45.819,1,101,113.9,330.4,222.36,204.398,176.1,0.586,218.0,178.0,239.0,176.1,204.398,1.088,0.914,0.977,0,213.19,3.2302,1.7766,11.6793,142.6,190.977,572314.62,66.0,8671.43
479,27,falling,19784.5,44.453,2,83,25.6,345.5,208.748,174.964,4.5,0.707,218.0,6.0,453.0,4.5,174.964,1.193,0.578,0.994,0,191.111,2.8956,1.5926,12.0129,127.5,89.582,268455.75,66.0,4067.51
480,1,spreading,,,,,,473,,,,,,,,,,,0.0,,99,,,0.825,12.3466,0,,,66.0,
481,2,spreading,,,,,,473,,,,,,,,,,,0.0,,134,,,1.1167,12.6803,0,,,66.0,
482,3,spreading,,,,,,473,,,,,,,,,,,0.0,,186,,,1.55,13.014,0,,,66.0,
483,4,spreading,,,,,,473,,,,,,,,,,,0.0,,217,,,1.8083,13.3477,0,,,66.0,
484,5,spreading,,,,,,473,,,,,,,,,,,0.0,,230,,,1.9167,13.6814,0,,,66.0,
485,6,spreading,,,,,,473,,,,,,,,,,,0.0,,231,,,1.925,14.0151,0,,,66.0,
486,7,spreading,,,,,,473,,,,,,,,,,,0.0,,230,,,1.9167,14.3488,0,,,66.0,
487,8,spreading,,,,,,473,,,,,,,,,,,0.0,,220,,,1.8333,14.6825,0,,,66.0,
488,9,spreading,,,,,,473,,,,,,,,,,,0.0,,204,,,1.7,15.0162,0,,,66.0,
489,10,spreading,,,,,,473,,,,,,,,,,,0.0,,186,,,1.55,15.3499,0,,,66.0,
490,11,spreading,,,,,,473,,,,,,,,,,,0.0,,168,,,1.4,15.6836,0,,,66.0,
491,12,spreading,,,,,,473,,,,,,,,,,,0.0,,153,,,1.275,16.0173,0,,,66.0,
492,13,spreading,,,,,,473,,,,,,,,,,,0.0,,141,,,1.175,16.351,0,,,66.0,
493,14,spreading,,,,,,473,,,,,,,,,,,0.0,,138,,,1.15,16.6846,0,,,66.0,
494,15,spreading,,,,,,473,,,,,,,,,,,0.0,,129,,,1.075,17.0183,0,,,66.0,
495,16,spreading,,,,,,473,,,,,,,,,,,0.0,,125,,,1.0417,17.352,0,,,66.0,
496,17,spreading,,,,,,473,,,,,,,,,,,0.0,,118,,,0.9833,17.6857,0,,,66.0,
497,18,spreading,,,,,,473,,,,,,,,,,,0.0,,113,,,0.9417,18.0194,0,,,66.0,
498,19,spreading,,,,,,473,,,,,,,,,,,0.0,,106,,,0.8833,18.3531,0,,,66.0,
499,20,spreading,,,,,,473,,,,,,,,,,,0.0,,104,,,0.8667,18.6868,0,,,66.0,
500,21,spreading,,,,,,473,,,,,,,,,,,0.0,,99,,,0.825,19.0205,0,,,66.0,
501,22,spreading,,,,,,473,,,,,,,,,,,0.0,,89,,,0.7417,19.3542,0,,,66.0,
502,23,spreading,,,,,,473,,,,,,,,,,,0.0,,80,,,0.6667,19.6879,0,,,66.0,
503,24,spreading,,,,,,473,,,,,,,,,,,0.0,,80,,,0.6667,20.0216,0,,,66.0,
504,25,spreading,,,,,,473,,,,,,,,,,,0.0,,81,,,0.675,20.3553,0,,,66.0,
505,26,spreading,,,,,,473,,,,,,,,,,,0.0,,74,,,0.6167,20.689,0,,,66.0,
506,27,spreading,,,,,,473,,,,,,,,,,,0.0,,70,,,0.5833,21.0227,0,,,66.0,
507,28,spreading,,,,,,473,,,,,,,,,,,0.0,,68,,,0.5667,21.3564,0,,,66.0,
508,29,spreading,,,,,,473,,,,,,,,,,,0.0,,63,,,0.525,21.69,0,,,66.0,
509,30,spreading,,,,,,473,,,,,,,,,,,0.0,,60,,,0.5,22.0237,0,,,66.0,
510,31,spreading,,,,,,473,,,,,,,,,,,0.0,,60,,,0.5,22.3574,0,,,66.0,
511,32,spreading,,,,,,473,,,,,,,,,,,0.0,,52,,,0.4333,22.6911,0,,,66.0,
512,33,spreading,,,,,,473,,,,,,,,,,,0.0,,47,,,0.3917,23.0248,0,,,66.0,
513,34,spreading,,,,,,473,,,,,,,,,,,0.0,,37,,,0.3083,23.3585,0,,,66.0,
514,35,spreading,,,,,,473,,,,,,,,,,,0.0,,32,,,0.2667,23.6922,0,,,66.0,
515,36,spreading,,,,,,473,,,,,,,,,,,0.0,,19,,,0.1583,24.0259,0,,,66.0,
516,37,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,66.0,
517,38,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,66.0,
518,39,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,25.027,0,,,66.0,
519,40,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,66.0,
520,41,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,66.0,
521,42,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,66.0,
522,43,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,66.0,
523,44,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,66.0,
524,45,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,66.0,
525,46,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,66.0,
526,47,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,66.0,
527,48,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,28.0302,0,,,66.0,
528,49,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,28.3639,0,,,66.0,
529,50,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,28.6976,0,,,66.0,
530,51,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,29.0313,0,,,66.0,
531,52,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,29.365,0,,,66.0,
532,53,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,66.0,
533,54,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,66.0,
534,55,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,30.3661,0,,,66.0,
535,56,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,30.6998,0,,,66.0,
536,57,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,31.0334,0,,,66.0,
537,58,spreading,,,,,,473,,,,,,,,,,,0.0,,0,,,,31.3671,0,,,66.0,
538,59,spreading,,,,,,473,,,,,,,,,,,0.0,,37,,,0.3083,31.7008,0,,,66.0,
539,60,spreading,,,,,,473,,,,,,,,,,,0.0,,47,,,0.3917,32.0345,0,,,66.0,
540,61,spreading,,,,,,473,,,,,,,,,,,0.0,,66,,,0.55,32.3682,0,,,66.0,
541,62,spreading,,,,,,473,,,,,,,,,,,0.0,,61,,,0.5083,32.7019,0,,,66.0,
542,1,rebounding,10664.5,42.325,2,87,100.1,8.6,154.657,153.857,91.8,0.692,156.0,178.0,8.0,91.8,153.857,1.005,0.568,0.991,0,154.257,2.3372,1.2855,0.3337,464.4,,,66.0,
