frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
90,1,falling,32369.5,47.713,2,111,105.1,309.3,237.465,183.513,174.6,0.319,218.0,116.0,417.0,174.6,183.513,1.294,0.731,0.951,0,208.753,3.1629,1.6058,0.0,144.7,,,66.0,
95,2,falling,32386.5,47.809,3,100,99.7,289.9,236.039,180.11,173.4,0.35,218.0,172.0,379.0,173.4,180.11,1.311,0.74,0.966,0,206.187,3.124,1.5861,1.6685,164.1,20.138,60347.47,66.0,914.36
97,3,falling,33249.0,47.595,3,99,103.1,316.8,230.62,190.086,174.8,0.446,217.9,141.0,211.0,174.8,190.086,1.213,0.796,0.959,0,209.374,3.1723,1.6106,2.3359,137.2,27.114,81254.38,66.0,1231.13
105,4,falling,31547.5,48.996,3,105,103.4,157.1,245.907,175.986,3.5,0.188,218.0,36.0,232.0,3.5,175.986,1.397,0.664,0.94,0,208.029,3.152,1.6002,5.0054,296.9,159.7,478584.45,66.0,7251.28
109,5,falling,32273.0,50.104,3,108,110.0,139.2,235.067,186.14,3.7,0.379,218.0,180.0,231.0,3.7,186.14,1.263,0.744,0.952,0,209.178,3.1694,1.6091,6.3402,314.8,19.078,57172.3,66.0,866.25
115,6,falling,33428.5,47.802,3,103,104.4,145.3,230.671,192.708,4.9,0.359,218.0,112.0,255.0,4.9,192.708,1.197,0.8,0.959,0,210.837,3.1945,1.6218,8.3423,308.7,8.281,24815.33,66.0,375.99
116,7,falling,34208.0,45.247,3,100,102.9,116.9,228.366,195.013,6.8,0.412,218.0,170.0,27.0,6.8,195.013,1.171,0.835,0.967,0,211.031,3.1974,1.6233,8.676,337.1,28.44,85226.8,66.0,1291.32
119,8,falling,33004.0,47.371,3,108,108.2,122.2,233.214,186.511,7.4,0.357,218.0,118.0,233.0,7.4,186.511,1.25,0.773,0.963,0,208.559,3.16,1.6043,9.6771,331.8,7.495,22461.76,66.0,340.33
122,9,falling,33568.0,45.494,3,99,104.3,323.2,228.132,193.792,172.4,0.425,218.0,112.0,431.0,172.4,193.792,1.177,0.821,0.959,0,210.262,3.1858,1.6174,10.6782,130.8,201.038,602463.44,66.0,9128.23
122,1,spreading,,,,,,454,,,,,,,,,,,0.0,,93,,,0.7154,10.6782,0,,,66.0,
