frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
463,1,falling,30737.0,48.133,3,111,101.6,170.7,249.769,171.786,3.5,0.291,218.0,116.0,281.0,3.5,171.786,1.454,0.627,0.945,0,207.139,3.1385,1.7262,0.0,299.3,,,66.0,
472,2,falling,29009.0,50.517,2,122,114.9,348.8,246.265,162.395,168.8,0.269,217.9,163.0,449.0,168.8,162.395,1.516,0.609,0.952,0,199.981,3.03,1.6665,3.0032,121.2,178.596,535210.25,66.0,8109.25
474,3,falling,32853.5,43.478,3,105,105.9,356.1,232.088,185.973,170.1,0.357,218.0,116.0,463.0,170.1,185.973,1.248,0.777,0.962,0,207.755,3.1478,1.7313,3.6706,113.9,11.588,34727.6,66.0,526.18
491,4,falling,29967.5,50.692,3,112,107.5,186.7,255.821,165.381,2.4,0.236,217.9,153.0,83.0,2.4,165.381,1.547,0.583,0.936,0,205.689,3.1165,1.7141,9.3434,283.3,169.408,507674.89,66.0,7692.04
501,5,falling,33457.5,43.537,3,100,102.3,130.6,231.85,191.868,8.4,0.296,218.0,110.0,241.0,8.4,191.868,1.208,0.792,0.955,0,210.914,3.1957,1.7576,12.6803,339.4,56.34,168839.27,66.0,2558.17
500,1,spreading,,,,,,470,,,,,,,,,,,0.0,,75,,,0.625,12.3466,0,,,66.0,
501,2,spreading,,,,,,470,,,,,,,,,,,0.0,,66,,,0.55,12.6803,0,,,66.0,
502,3,spreading,,,,,,470,,,,,,,,,,,0.0,,231,,,1.925,13.014,0,,,66.0,
503,4,spreading,,,,,,470,,,,,,,,,,,0.0,,252,,,2.1,13.3477,0,,,66.0,
504,5,spreading,,,,,,470,,,,,,,,,,,0.0,,279,,,2.325,13.6814,0,,,66.0,
505,6,spreading,,,,,,470,,,,,,,,,,,0.0,,304,,,2.5333,14.0151,0,,,66.0,
506,7,spreading,,,,,,470,,,,,,,,,,,0.0,,357,,,2.975,14.3488,0,,,66.0,
507,8,spreading,,,,,,470,,,,,,,,,,,0.0,,374,,,3.1167,14.6825,0,,,66.0,
508,9,spreading,,,,,,470,,,,,,,,,,,0.0,,709,,,5.9083,15.0162,0,,,66.0,
509,10,spreading,,,,,,470,,,,,,,,,,,0.0,,716,,,5.9667,15.3499,0,,,66.0,
510,11,spreading,,,,,,470,,,,,,,,,,,0.0,,738,,,6.15,15.6836,0,,,66.0,
511,12,spreading,,,,,,470,,,,,,,,,,,0.0,,743,,,6.1917,16.0173,0,,,66.0,
512,13,spreading,,,,,,470,,,,,,,,,,,0.0,,736,,,6.1333,16.351,0,,,66.0,
513,14,spreading,,,,,,470,,,,,,,,,,,0.0,,725,,,6.0417,16.6846,0,,,66.0,
514,1,rebounding,2796.0,26.32,4,79,106.0,7.8,75.472,75.069,0.0,0.754,76.0,144.0,8.0,0.0,75.069,1.005,0.625,0.986,0,75.27,1.1405,0.6272,0.3337,462.2,,,66.0,
