frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
659,1,falling,33652.0,49.011,1,107,110.7,279.1,230.688,189.439,1.7,0.406,218.0,180.0,189.0,1.7,189.439,1.218,0.805,0.97,0,209.049,3.1674,1.6081,0.0,176.9,,,66.0,
660,2,falling,35711.5,46.354,1,99,108.2,334.4,222.104,205.733,175.2,0.657,218.0,172.0,243.0,175.2,205.733,1.08,0.922,0.982,0,213.762,3.2388,1.6443,0.3337,121.6,55.356,165890.45,66.0,2513.49
661,3,falling,18925.0,41.737,1,86,17.7,205.4,209.457,183.731,177.5,0.698,218.0,2.0,315.0,177.5,183.731,1.14,0.549,0.994,0,196.173,2.9723,1.509,0.6674,250.6,157.579,472228.5,66.0,7154.98
663,4,falling,34665.0,47.34,1,99,108.1,292.5,226.741,197.788,174.5,0.371,218.0,205.0,352.0,174.5,197.788,1.146,0.859,0.97,0,211.77,3.2086,1.629,1.3348,163.5,125.533,376193.52,66.0,5699.9
665,5,falling,34109.5,48.281,1,104,110.0,280.9,230.485,192.3,175.7,0.394,218.0,198.0,206.0,175.7,192.3,1.199,0.818,0.969,0,210.528,3.1898,1.6194,2.0022,175.1,11.755,35225.71,66.0,533.72
666,6,falling,32396.0,52.172,1,115,122.1,119.3,233.492,186.12,4.6,0.284,218.0,72.0,211.0,4.6,186.12,1.255,0.757,0.956,0,208.465,3.1586,1.6036,2.3359,336.7,162.052,485633.11,66.0,7358.08
667,7,falling,19351.5,41.78,1,92,37.9,239.7,206.149,143.997,179.9,0.694,218.0,4.0,349.0,179.9,143.997,1.432,0.58,0.994,0,172.293,2.6105,1.3253,2.6695,216.3,146.921,440288.13,66.0,6671.03
668,8,falling,33792.5,50.148,1,105,116.4,121.5,230.771,192.861,3.2,0.414,218.0,184.0,31.0,3.2,192.861,1.197,0.808,0.968,0,210.966,3.1965,1.6228,3.0032,334.5,141.893,425218.78,66.0,6442.71
669,9,falling,27111.5,60.521,1,125,139.8,115.1,252.079,154.642,4.8,0.295,217.8,176.0,10.0,4.8,154.642,1.63,0.543,0.944,0,197.439,2.9915,1.5188,3.3369,340.9,24.259,72699.85,66.0,1101.51
670,10,falling,34699.5,48.911,1,108,112.0,116.4,225.971,198.042,0.8,0.449,218.0,178.0,25.0,0.8,198.042,1.141,0.865,0.973,0,211.546,3.2052,1.6273,3.6706,339.6,27.83,83401.15,66.0,1263.65
677,11,falling,34213.0,49.646,1,102,116.3,134.8,224.487,199.735,7.9,0.55,218.0,182.0,227.0,7.9,199.735,1.124,0.864,0.964,0,211.75,3.2083,1.6288,6.0065,321.2,18.896,56626.2,66.0,857.97
678,12,falling,32935.0,50.351,1,111,114.1,224.2,234.539,186.684,179.0,0.366,217.9,153.0,119.0,179.0,186.684,1.256,0.762,0.953,0,209.247,3.1704,1.6096,6.3402,231.8,89.427,267992.03,66.0,4060.49
679,13,falling,35290.5,47.735,1,98,110.0,133.5,222.514,204.792,6.8,0.506,218.0,205.0,74.0,6.8,204.792,1.087,0.908,0.972,0,213.469,3.2344,1.6421,6.6739,322.5,90.793,272084.28,66.0,4122.49
681,14,falling,19343.0,43.346,1,89,39.8,119.0,209.396,139.157,178.5,0.685,218.0,4.0,229.0,178.5,139.157,1.505,0.562,0.993,0,170.701,2.5864,1.3131,7.3412,337.0,71.682,214813.82,66.0,3254.75
688,15,falling,33374.0,49.682,1,110,115.5,167.3,232.087,190.116,4.1,0.364,218.0,124.0,277.0,4.1,190.116,1.221,0.789,0.962,0,210.056,3.1827,1.6158,9.6771,288.7,89.796,269098.62,66.0,4077.25
689,16,falling,35123.5,46.334,1,100,111.0,326.3,222.982,202.309,176.1,0.476,218.0,207.0,386.0,176.1,202.309,1.102,0.899,0.977,0,212.394,3.2181,1.6338,10.0108,129.7,159.064,476676.67,66.0,7222.37
690,17,falling,34526.0,47.955,1,105,109.4,280.3,226.473,197.003,177.0,0.489,218.0,176.0,371.0,177.0,197.003,1.15,0.857,0.979,0,211.225,3.2004,1.6248,10.3445,175.7,46.028,137934.62,66.0,2089.92
692,18,falling,17404.0,58.463,1,127,1118.6,304.7,168.805,132.197,176.2,0.411,172.1,1133.0,390.0,176.2,132.197,1.277,0.778,0.964,0,149.384,2.2634,1.1491,11.0119,151.3,1009.495,3025220.56,66.0,45836.68
693,19,falling,33518.0,49.314,1,110,117.0,296.6,230.85,189.913,176.7,0.493,218.0,126.0,405.0,176.7,189.913,1.216,0.801,0.966,0,209.383,3.1725,1.6106,11.3456,159.4,1001.633,3001659.47,66.0,45479.69
