frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1126,1,falling,32251.5,51.201,1,111,114.0,245.0,241.775,178.964,1.0,0.286,217.9,155.0,141.0,1.0,178.964,1.351,0.702,0.954,0,208.012,3.1517,1.7334,0.0,213.0,,,66.0,
1127,2,falling,34267.0,48.472,1,102,106.6,181.9,228.723,194.148,1.5,0.387,218.0,174.0,91.0,1.5,194.148,1.178,0.834,0.967,0,210.727,3.1928,1.7561,0.3337,276.1,63.532,190391.87,66.0,2884.73
1128,3,falling,34432.0,48.842,1,101,107.4,185.7,227.014,196.835,3.3,0.443,218.0,174.0,277.0,3.3,196.835,1.153,0.851,0.968,0,211.386,3.2028,1.7615,0.6674,272.3,3.883,11637.34,66.0,176.32
1131,4,falling,34314.5,48.693,1,103,106.5,260.3,227.912,194.433,178.5,0.421,218.0,194.0,186.0,178.5,194.433,1.172,0.841,0.971,0,210.508,3.1895,1.7542,1.6685,197.7,74.605,223575.05,66.0,3387.5
1133,5,falling,34882.5,48.447,1,100,103.7,185.4,225.366,197.979,4.3,0.452,218.0,170.0,95.0,4.3,197.979,1.138,0.874,0.972,0,211.229,3.2004,1.7602,2.3359,272.6,74.952,224614.6,66.0,3403.25
1135,6,falling,34007.0,49.601,1,104,110.7,146.0,228.826,194.198,1.5,0.371,218.0,178.0,55.0,1.5,194.198,1.178,0.827,0.966,0,210.802,3.194,1.7567,3.0032,312.0,40.017,119921.59,66.0,1816.99
1136,7,falling,33281.0,49.461,1,110,110.8,270.7,234.224,187.818,177.0,0.366,218.0,200.0,344.0,177.0,187.818,1.247,0.772,0.958,0,209.741,3.1779,1.7478,3.3369,187.3,124.7,373696.9,66.0,5662.07
1137,8,falling,34692.5,47.174,1,100,110.4,339.0,225.321,199.33,169.8,0.359,218.0,176.0,247.0,169.8,199.33,1.13,0.87,0.964,0,211.928,3.211,1.7661,3.6706,119.0,68.301,204682.66,66.0,3101.25
1138,9,falling,33945.5,49.211,1,106,107.7,174.4,228.168,192.587,179.4,0.368,218.0,116.0,283.0,179.4,192.587,1.185,0.83,0.97,0,209.624,3.1761,1.7469,4.0043,283.6,164.622,493334.12,66.0,7474.76
1144,10,falling,34523.5,48.471,1,99,105.3,192.0,227.865,195.9,0.7,0.373,218.0,172.0,283.0,0.7,195.9,1.163,0.847,0.967,0,211.279,3.2012,1.7607,6.0065,266.0,17.763,53231.21,66.0,806.53
1146,11,falling,34641.5,47.478,1,104,114.6,336.8,225.033,200.134,172.8,0.49,218.0,180.0,245.0,172.8,200.134,1.124,0.871,0.971,0,212.219,3.2154,1.7685,6.6739,121.2,145.098,434825.86,66.0,6588.27
1147,12,falling,35129.5,47.735,1,97,105.0,264.4,223.601,201.527,177.3,0.525,218.0,201.0,324.0,177.3,201.527,1.11,0.895,0.979,0,212.277,3.2163,1.769,7.0076,193.6,73.034,218864.92,66.0,3316.14
1148,13,falling,32638.5,52.052,1,116,116.9,193.0,234.516,183.606,178.9,0.45,218.0,128.0,301.0,178.9,183.606,1.277,0.756,0.969,0,207.505,3.144,1.7292,7.3412,265.0,72.385,216920.57,66.0,3286.68
1152,14,falling,34777.5,48.093,1,105,112.2,316.3,225.375,199.222,176.8,0.462,218.0,178.0,225.0,176.8,199.222,1.131,0.872,0.971,0,211.895,3.2105,1.7658,8.676,141.7,123.39,369769.66,66.0,5602.57
1153,15,falling,34875.5,49.12,1,102,112.8,117.6,225.676,200.447,3.8,0.433,218.0,178.0,27.0,3.8,200.447,1.126,0.872,0.97,0,212.687,3.2225,1.7724,9.0097,340.4,198.701,595460.22,66.0,9022.12
1157,16,falling,33209.0,51.34,1,117,118.0,122.2,231.985,186.429,7.5,0.36,218.0,128.0,233.0,7.5,186.429,1.244,0.786,0.965,0,207.963,3.151,1.733,10.3445,335.8,6.943,20805.42,66.0,315.23
1162,1,spreading,,,,,,458,,,,,,,,,,,0.0,,77,,,0.6417,12.0129,0,,,66.0,
1163,2,spreading,,,,,,458,,,,,,,,,,,0.0,,605,,,5.0417,12.3466,0,,,66.0,
1164,3,spreading,,,,,,458,,,,,,,,,,,0.0,,617,,,5.1417,12.6803,0,,,66.0,
1165,4,spreading,,,,,,458,,,,,,,,,,,0.0,,631,,,5.2583,13.014,0,,,66.0,
1166,5,spreading,,,,,,458,,,,,,,,,,,0.0,,635,,,5.2917,13.3477,0,,,66.0,
1167,6,spreading,,,,,,458,,,,,,,,,,,0.0,,628,,,5.2333,13.6814,0,,,66.0,
1168,7,spreading,,,,,,458,,,,,,,,,,,0.0,,630,,,5.25,14.0151,0,,,66.0,
1169,8,spreading,,,,,,458,,,,,,,,,,,0.0,,631,,,5.2583,14.3488,0,,,66.0,
1170,9,spreading,,,,,,458,,,,,,,,,,,0.0,,636,,,5.3,14.6825,0,,,66.0,
1171,10,spreading,,,,,,458,,,,,,,,,,,0.0,,644,,,5.3667,15.0162,0,,,66.0,
1172,11,spreading,,,,,,458,,,,,,,,,,,0.0,,643,,,5.3583,15.3499,0,,,66.0,
1173,12,spreading,,,,,,458,,,,,,,,,,,0.0,,646,,,5.3833,15.6836,0,,,66.0,
1174,13,spreading,,,,,,458,,,,,,,,,,,0.0,,127,,,1.0583,16.0173,0,,,66.0,
1175,14,spreading,,,,,,458,,,,,,,,,,,0.0,,109,,,0.9083,16.351,0,,,66.0,
1176,15,spreading,,,,,,458,,,,,,,,,,,0.0,,94,,,0.7833,16.6846,0,,,66.0,
1177,16,spreading,,,,,,458,,,,,,,,,,,0.0,,85,,,0.7083,17.0183,0,,,66.0,
1178,17,spreading,,,,,,458,,,,,,,,,,,0.0,,76,,,0.6333,17.352,0,,,66.0,
1179,18,spreading,,,,,,458,,,,,,,,,,,0.0,,74,,,0.6167,17.6857,0,,,66.0,
1180,19,spreading,,,,,,458,,,,,,,,,,,0.0,,83,,,0.6917,18.0194,0,,,66.0,
1181,20,spreading,,,,,,458,,,,,,,,,,,0.0,,91,,,0.7583,18.3531,0,,,66.0,
1182,21,spreading,,,,,,458,,,,,,,,,,,0.0,,97,,,0.8083,18.6868,0,,,66.0,
1183,22,spreading,,,,,,458,,,,,,,,,,,0.0,,94,,,0.7833,19.0205,0,,,66.0,
1184,23,spreading,,,,,,458,,,,,,,,,,,0.0,,98,,,0.8167,19.3542,0,,,66.0,
1185,24,spreading,,,,,,458,,,,,,,,,,,0.0,,104,,,0.8667,19.6879,0,,,66.0,
1186,25,spreading,,,,,,458,,,,,,,,,,,0.0,,110,,,0.9167,20.0216,0,,,66.0,
1187,26,spreading,,,,,,458,,,,,,,,,,,0.0,,111,,,0.925,20.3553,0,,,66.0,
1188,27,spreading,,,,,,458,,,,,,,,,,,0.0,,113,,,0.9417,20.689,0,,,66.0,
1189,28,spreading,,,,,,458,,,,,,,,,,,0.0,,103,,,0.8583,21.0227,0,,,66.0,
1190,29,spreading,,,,,,458,,,,,,,,,,,0.0,,81,,,0.675,21.3564,0,,,66.0,
1191,30,spreading,,,,,,458,,,,,,,,,,,0.0,,61,,,0.5083,21.69,0,,,66.0,
1192,31,spreading,,,,,,458,,,,,,,,,,,0.0,,41,,,0.3417,22.0237,0,,,66.0,
1193,32,spreading,,,,,,458,,,,,,,,,,,0.0,,23,,,0.1917,22.3574,0,,,66.0,
1194,33,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,66.0,
1195,34,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,66.0,
1196,35,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,66.0,
1197,36,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,66.0,
1198,37,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,66.0,
1199,38,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,66.0,
1200,39,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,66.0,
1201,40,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,25.027,0,,,66.0,
1202,41,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,66.0,
1203,42,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,66.0,
1204,43,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,66.0,
1205,44,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,66.0,
1206,45,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,66.0,
1207,46,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,66.0,
1208,47,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,66.0,
1209,48,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,66.0,
1210,49,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,28.0302,0,,,66.0,
1211,50,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,28.3639,0,,,66.0,
1212,51,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,28.6976,0,,,66.0,
1213,52,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,29.0313,0,,,66.0,
1214,53,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,29.365,0,,,66.0,
1215,54,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,66.0,
1216,55,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,66.0,
1217,56,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,30.3661,0,,,66.0,
1218,57,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,30.6998,0,,,66.0,
1219,58,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,31.0334,0,,,66.0,
1220,59,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,31.3671,0,,,66.0,
1221,60,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,31.7008,0,,,66.0,
1222,61,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,32.0345,0,,,66.0,
1223,62,spreading,,,,,,458,,,,,,,,,,,0.0,,0,,,,32.3682,0,,,66.0,
1224,1,rebounding,3963.0,41.882,3,86,112.0,20.0,79.174,79.098,165.4,0.831,80.0,152.0,20.0,165.4,79.098,1.001,0.805,0.988,0,79.136,1.199,0.6595,0.3337,438.0,,,66.0,
