frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1671,1,falling,32789.0,50.515,2,112,120.2,117.3,235.209,185.74,4.0,0.333,218.0,210.0,44.0,4.0,185.74,1.266,0.755,0.957,0,209.016,3.1669,1.7418,0.0,336.7,,,66.0,
1674,2,falling,34749.0,47.413,2,101,110.7,119.3,224.134,200.697,7.2,0.474,218.0,116.0,229.0,7.2,200.697,1.117,0.881,0.969,0,212.092,3.2135,1.7674,1.0011,334.7,9.708,29093.34,66.0,440.81
1678,3,falling,33876.0,48.645,1,104,110.2,169.3,230.126,192.579,4.4,0.347,218.0,118.0,279.0,4.4,192.579,1.195,0.814,0.965,0,210.517,3.1897,1.7543,2.3359,284.7,50.002,149845.82,66.0,2270.39
1681,4,falling,34601.5,47.683,1,103,105.3,222.3,227.287,196.154,178.4,0.418,218.0,172.0,131.0,178.4,196.154,1.159,0.853,0.971,0,211.148,3.1992,1.7596,3.3369,231.7,53.226,159505.98,66.0,2416.76
1684,5,falling,33875.5,48.804,1,107,109.4,173.8,229.84,190.946,1.7,0.453,218.0,118.0,283.0,1.7,190.946,1.204,0.816,0.968,0,209.492,3.1741,1.7458,4.338,280.2,48.673,145861.59,66.0,2210.02
1694,6,falling,32978.5,50.113,1,110,116.0,181.7,233.271,186.677,1.6,0.443,218.0,126.0,291.0,1.6,186.677,1.25,0.772,0.965,0,208.677,3.1618,1.739,7.6749,272.3,10.294,30849.23,66.0,467.41
1701,7,falling,34952.5,47.213,2,98,104.2,191.8,226.113,198.632,1.3,0.374,218.0,170.0,283.0,1.3,198.632,1.138,0.87,0.976,0,211.928,3.211,1.7661,10.0108,262.2,15.532,46546.45,66.0,705.25
1703,8,falling,32807.5,51.299,2,114,114.4,195.1,235.757,181.969,2.7,0.418,218.0,126.0,305.0,2.7,181.969,1.296,0.752,0.966,0,207.125,3.1383,1.726,10.6782,258.9,10.721,32126.96,66.0,486.77
1704,9,falling,19789.5,39.275,2,86,6.7,128.0,216.693,215.672,1.9,0.711,218.0,6.0,237.0,1.9,215.672,1.005,0.537,0.994,0,216.182,3.2755,1.8015,11.0119,326.0,126.892,380267.11,66.0,5761.62
1710,1,spreading,,,,,,454,,,,,,,,,,,0.0,,80,,,0.6667,13.014,0,,,66.0,
1711,2,spreading,,,,,,454,,,,,,,,,,,0.0,,87,,,0.725,13.3477,0,,,66.0,
1712,3,spreading,,,,,,454,,,,,,,,,,,0.0,,129,,,1.075,13.6814,0,,,66.0,
1713,4,spreading,,,,,,454,,,,,,,,,,,0.0,,164,,,1.3667,14.0151,0,,,66.0,
1714,5,spreading,,,,,,454,,,,,,,,,,,0.0,,179,,,1.4917,14.3488,0,,,66.0,
1715,6,spreading,,,,,,454,,,,,,,,,,,0.0,,183,,,1.525,14.6825,0,,,66.0,
1716,7,spreading,,,,,,454,,,,,,,,,,,0.0,,177,,,1.475,15.0162,0,,,66.0,
1717,8,spreading,,,,,,454,,,,,,,,,,,0.0,,162,,,1.35,15.3499,0,,,66.0,
1718,9,spreading,,,,,,454,,,,,,,,,,,0.0,,144,,,1.2,15.6836,0,,,66.0,
1719,10,spreading,,,,,,454,,,,,,,,,,,0.0,,127,,,1.0583,16.0173,0,,,66.0,
1720,11,spreading,,,,,,454,,,,,,,,,,,0.0,,112,,,0.9333,16.351,0,,,66.0,
1721,12,spreading,,,,,,454,,,,,,,,,,,0.0,,104,,,0.8667,16.6846,0,,,66.0,
1722,13,spreading,,,,,,454,,,,,,,,,,,0.0,,97,,,0.8083,17.0183,0,,,66.0,
1723,14,spreading,,,,,,454,,,,,,,,,,,0.0,,88,,,0.7333,17.352,0,,,66.0,
1724,1,rebounding,7344.5,38.886,2,83,84.0,28.0,107.057,107.023,156.1,0.829,108.0,138.0,28.0,156.1,107.023,1.0,0.816,0.99,0,107.04,1.6218,0.892,0.3337,426.0,,,66.0,
