frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1,1,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,0.3337,0,,,66.0,
2,2,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,0.6674,0,,,66.0,
3,3,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,1.0011,0,,,66.0,
4,4,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,1.3348,0,,,66.0,
5,5,spreading,,,,,,454,,,,,,,,,,,0.0,,103,,,,1.6685,0,,,66.0,
6,6,spreading,,,,,,454,,,,,,,,,,,0.0,,103,,,,2.0022,0,,,66.0,
7,7,spreading,,,,,,454,,,,,,,,,,,0.0,,103,,,,2.3359,0,,,66.0,
8,8,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,2.6695,0,,,66.0,
9,9,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,3.0032,0,,,66.0,
10,10,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,3.3369,0,,,66.0,
11,11,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,3.6706,0,,,66.0,
12,12,spreading,,,,,,454,,,,,,,,,,,0.0,,1145,,,,4.0043,0,,,66.0,
13,13,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,4.338,0,,,66.0,
14,14,spreading,,,,,,454,,,,,,,,,,,0.0,,1100,,,,4.6717,0,,,66.0,
15,15,spreading,,,,,,454,,,,,,,,,,,0.0,,98,,,,5.0054,0,,,66.0,
16,16,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,5.3391,0,,,66.0,
17,17,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,5.6728,0,,,66.0,
18,18,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,6.0065,0,,,66.0,
19,19,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,6.3402,0,,,66.0,
20,20,spreading,,,,,,454,,,,,,,,,,,0.0,,158,,,,6.6739,0,,,66.0,
21,21,spreading,,,,,,454,,,,,,,,,,,0.0,,102,,,,7.0076,0,,,66.0,
22,22,spreading,,,,,,454,,,,,,,,,,,0.0,,102,,,,7.3412,0,,,66.0,
23,23,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,7.6749,0,,,66.0,
24,24,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,8.0086,0,,,66.0,
25,25,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,8.3423,0,,,66.0,
26,26,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,8.676,0,,,66.0,
27,27,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,9.0097,0,,,66.0,
28,28,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,9.3434,0,,,66.0,
29,29,spreading,,,,,,454,,,,,,,,,,,0.0,,102,,,,9.6771,0,,,66.0,
30,30,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,10.0108,0,,,66.0,
31,31,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,10.3445,0,,,66.0,
32,32,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,10.6782,0,,,66.0,
33,33,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,11.0119,0,,,66.0,
34,34,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,11.3456,0,,,66.0,
35,35,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,11.6793,0,,,66.0,
36,36,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,12.0129,0,,,66.0,
37,37,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,12.3466,0,,,66.0,
38,38,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,12.6803,0,,,66.0,
39,39,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,13.014,0,,,66.0,
40,40,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,13.3477,0,,,66.0,
41,41,spreading,,,,,,454,,,,,,,,,,,0.0,,102,,,,13.6814,0,,,66.0,
42,42,spreading,,,,,,454,,,,,,,,,,,0.0,,102,,,,14.0151,0,,,66.0,
43,43,spreading,,,,,,454,,,,,,,,,,,0.0,,158,,,,14.3488,0,,,66.0,
44,44,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,14.6825,0,,,66.0,
45,45,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,15.0162,0,,,66.0,
46,46,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,15.3499,0,,,66.0,
47,47,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,15.6836,0,,,66.0,
48,48,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,16.0173,0,,,66.0,
49,49,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,16.351,0,,,66.0,
50,50,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,16.6846,0,,,66.0,
51,51,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,17.0183,0,,,66.0,
52,52,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,17.352,0,,,66.0,
53,53,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,17.6857,0,,,66.0,
54,54,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,18.0194,0,,,66.0,
55,55,spreading,,,,,,454,,,,,,,,,,,0.0,,103,,,,18.3531,0,,,66.0,
56,56,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,18.6868,0,,,66.0,
57,57,spreading,,,,,,454,,,,,,,,,,,0.0,,101,,,,19.0205,0,,,66.0,
