frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
287,1,falling,28729.0,48.169,2,129,143.4,297.2,248.518,159.585,177.3,0.35,218.0,164.0,405.0,177.3,159.585,1.557,0.592,0.953,0,199.147,3.0174,1.6596,0.0,160.8,,,66.0,
288,2,falling,29657.5,46.66,2,131,139.5,261.7,243.832,165.355,0.3,0.476,217.9,187.0,367.0,0.3,165.355,1.475,0.635,0.968,0,200.796,3.0424,1.6733,0.3337,196.3,35.714,107025.27,66.0,1621.59
289,3,falling,27903.5,49.466,2,124,145.0,153.7,253.457,154.627,4.1,0.328,218.0,168.0,265.0,4.1,154.627,1.639,0.553,0.962,0,197.968,2.9995,1.6497,0.6674,304.3,108.14,324070.2,66.0,4910.15
290,4,falling,26874.5,51.13,2,128,149.7,158.5,255.541,150.661,2.1,0.343,218.0,174.0,269.0,2.1,150.661,1.696,0.524,0.957,0,196.215,2.973,1.6351,1.0011,299.5,6.718,20131.94,66.0,305.03
291,5,falling,27335.0,51.091,2,127,146.8,249.1,253.963,154.382,0.4,0.33,217.8,195.0,356.0,0.4,154.382,1.645,0.54,0.943,0,198.008,3.0001,1.6501,1.3348,208.9,90.646,271646.1,66.0,4115.85
292,6,falling,28766.5,47.731,2,130,143.6,285.0,248.958,160.197,0.2,0.402,218.0,164.0,395.0,0.2,160.197,1.554,0.591,0.969,0,199.706,3.0258,1.6642,1.6685,173.0,36.042,108010.47,66.0,1636.52
293,7,falling,27916.5,49.552,2,125,146.4,160.5,250.63,157.681,1.0,0.324,218.0,168.0,269.0,1.0,157.681,1.589,0.566,0.953,0,198.795,3.012,1.6566,2.0022,297.5,124.531,373191.77,66.0,5654.42
294,8,falling,29174.0,46.963,2,127,143.3,145.2,250.695,162.95,2.7,0.314,218.0,162.0,255.0,2.7,162.95,1.538,0.591,0.956,0,202.116,3.0624,1.6843,2.3359,312.8,15.611,46782.2,66.0,708.82
295,9,falling,30758.0,44.044,2,128,136.3,232.1,243.268,171.137,179.2,0.361,218.0,212.0,141.0,179.2,171.137,1.421,0.662,0.962,0,204.04,3.0915,1.7003,2.6695,225.9,87.181,261262.53,66.0,3958.52
296,10,falling,22369.0,30.76,3,75,18.2,135.9,216.776,216.56,168.5,0.737,218.0,18.0,245.0,168.5,216.56,1.001,0.606,0.994,0,216.668,3.2828,1.8056,3.0032,322.1,152.322,456474.04,66.0,6916.27
297,11,falling,25352.0,54.922,2,131,153.9,152.5,247.876,144.895,1.8,0.365,217.8,207.0,46.0,1.8,144.895,1.711,0.525,0.946,0,189.515,2.8714,1.5793,3.3369,305.5,136.712,409692.61,66.0,6207.46
298,12,falling,30260.0,44.647,2,128,137.3,179.2,242.213,169.144,1.8,0.379,218.0,154.0,289.0,1.8,169.144,1.432,0.657,0.966,0,202.407,3.0668,1.6867,3.6706,278.8,31.44,94217.21,66.0,1427.53
299,13,falling,25291.0,53.394,2,126,156.8,120.2,266.56,141.781,6.6,0.252,217.9,155.0,229.0,6.6,141.781,1.88,0.453,0.918,0,194.405,2.9455,1.62,4.0043,337.8,62.139,186215.94,66.0,2821.45
300,14,falling,24576.5,56.044,2,131,154.6,182.0,260.589,139.407,0.2,0.302,218.0,184.0,289.0,0.2,139.407,1.869,0.461,0.936,0,190.599,2.8879,1.5883,4.338,276.0,61.839,185317.48,66.0,2807.84
301,15,falling,30251.0,45.097,2,127,137.8,208.4,249.758,167.828,2.0,0.331,218.0,214.0,119.0,2.0,167.828,1.488,0.617,0.951,0,204.735,3.102,1.7061,4.6717,249.6,31.292,93775.33,66.0,1420.84
302,16,falling,25502.5,53.881,2,128,151.6,153.4,254.847,143.31,2.0,0.323,218.0,180.0,263.0,2.0,143.31,1.778,0.5,0.945,0,191.108,2.8956,1.5926,5.0054,304.6,56.705,169931.19,66.0,2574.72
303,17,falling,25282.5,55.35,2,130,153.1,284.6,252.391,142.582,178.1,0.364,218.0,182.0,393.0,178.1,142.582,1.77,0.505,0.958,0,189.7,2.8742,1.5808,5.3391,173.4,131.209,393201.46,66.0,5957.6
