frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
804,1,falling,22370.0,35.072,3,77,43.0,248.7,211.699,162.376,1.5,0.739,218.0,18.0,357.0,1.5,162.376,1.304,0.636,0.994,0,185.405,2.8092,1.545,0.0,213.3,,,66.0,
805,2,falling,23040.0,61.718,2,131,158.1,210.9,258.462,130.384,0.7,0.273,218.0,192.0,321.0,0.7,130.384,1.982,0.439,0.944,0,183.574,2.7814,1.5298,0.3337,251.1,121.148,363052.42,66.0,5500.79
806,3,falling,23630.0,60.79,2,128,158.1,270.9,256.102,135.367,176.9,0.306,217.8,215.0,374.0,176.9,135.367,1.892,0.459,0.938,0,186.192,2.8211,1.5516,0.6674,191.1,60.0,179805.99,66.0,2724.33
808,4,falling,30965.0,46.872,2,122,136.4,255.6,242.686,172.112,0.6,0.387,217.9,181.0,151.0,0.6,172.112,1.41,0.669,0.969,0,204.375,3.0966,1.7031,1.3348,206.4,26.551,79568.52,66.0,1205.58
809,5,falling,23468.0,59.308,2,122,162.2,120.7,258.967,134.593,5.6,0.284,217.8,219.0,18.0,5.6,134.593,1.924,0.446,0.926,0,186.695,2.8287,1.5558,1.6685,341.3,137.345,411590.9,66.0,6236.23
810,6,falling,26615.0,55.284,2,127,150.5,257.5,254.313,147.851,179.5,0.309,217.8,201.0,364.0,179.5,147.851,1.72,0.524,0.954,0,193.908,2.938,1.6159,2.0022,204.5,137.299,411454.29,66.0,6234.16
811,7,falling,29702.5,48.435,2,125,142.2,166.5,242.579,166.898,0.6,0.425,217.9,189.0,61.0,0.6,166.898,1.453,0.643,0.955,0,201.211,3.0487,1.6768,2.3359,295.5,91.378,273837.73,66.0,4149.06
813,8,falling,31356.5,46.816,2,122,135.7,219.9,241.721,174.692,179.6,0.403,218.0,150.0,329.0,179.6,174.692,1.384,0.683,0.966,0,205.492,3.1135,1.7124,3.0032,242.1,53.794,161208.49,66.0,2442.55
814,9,falling,27182.0,53.53,2,130,147.3,242.4,249.024,152.017,1.0,0.388,217.9,201.0,139.0,1.0,152.017,1.638,0.558,0.957,0,194.566,2.948,1.6214,3.3369,219.6,25.314,75860.82,66.0,1149.41
815,10,falling,24162.5,59.082,2,127,163.7,346.7,264.455,136.253,173.0,0.261,217.8,219.0,448.0,173.0,136.253,1.941,0.44,0.921,0,189.823,2.8761,1.5819,3.6706,115.3,105.581,316403.06,66.0,4793.99
817,11,falling,31397.5,46.318,2,122,138.0,147.4,238.649,176.854,1.8,0.441,218.0,152.0,257.0,1.8,176.854,1.349,0.702,0.971,0,205.441,3.1127,1.712,4.338,314.6,200.95,602200.8,66.0,9124.25
819,12,falling,26107.0,55.709,2,125,155.4,141.0,255.381,149.465,5.8,0.315,218.0,180.0,255.0,5.8,149.465,1.709,0.51,0.928,0,195.373,2.9602,1.6281,5.0054,321.0,18.54,55559.11,66.0,841.8
820,13,falling,26913.5,53.87,2,124,150.3,197.0,248.858,153.525,179.6,0.385,218.0,174.0,305.0,179.6,153.525,1.621,0.553,0.951,0,195.463,2.9616,1.6289,5.3391,265.0,56.232,168513.43,66.0,2553.23
822,14,falling,26335.0,54.783,2,125,150.4,199.2,247.257,149.832,1.4,0.403,218.0,176.0,309.0,1.4,149.832,1.65,0.548,0.949,0,192.476,2.9163,1.604,6.0065,262.8,2.202,6599.69,66.0,100.0
824,15,falling,26343.5,54.748,2,125,156.6,337.3,249.815,149.574,175.1,0.294,217.8,196.0,228.0,175.1,149.574,1.67,0.537,0.942,0,193.303,2.9288,1.6109,6.6739,124.7,138.239,414270.32,66.0,6276.82
825,16,falling,19782.5,34.418,3,77,44.7,128.2,207.992,133.188,0.8,0.703,218.0,6.0,237.0,0.8,133.188,1.562,0.582,0.994,0,166.439,2.5218,1.387,7.0076,333.8,237.159,710710.33,66.0,10768.34
827,17,falling,28395.5,50.365,2,126,145.0,268.8,250.557,158.132,178.4,0.352,218.0,166.0,377.0,178.4,158.132,1.584,0.576,0.952,0,199.051,3.0159,1.6588,7.6749,193.2,172.709,517568.99,66.0,7841.95
828,18,falling,31258.0,44.182,2,124,135.2,183.9,239.684,174.218,0.6,0.452,218.0,150.0,293.0,0.6,174.218,1.376,0.693,0.971,0,204.346,3.0962,1.7029,8.0086,278.1,85.464,256114.86,66.0,3880.53
829,19,falling,31469.5,46.526,2,125,136.5,236.1,239.706,177.38,179.5,0.416,218.0,150.0,345.0,179.5,177.38,1.351,0.697,0.967,0,206.202,3.1243,1.7184,8.3423,225.9,52.216,156479.71,66.0,2370.9
830,20,falling,25733.5,56.401,2,127,152.9,258.0,248.391,147.165,177.6,0.367,217.8,205.0,150.0,177.6,147.165,1.688,0.531,0.95,0,191.192,2.8968,1.5933,8.676,204.0,27.36,81991.55,66.0,1242.3
831,21,falling,24906.5,35.961,3,79,44.0,308.7,214.259,185.949,174.5,0.767,218.0,30.0,419.0,174.5,185.949,1.152,0.691,0.994,0,199.603,3.0243,1.6634,9.0097,153.3,120.124,359982.64,66.0,5454.28
833,22,falling,28230.5,52.147,2,128,146.2,193.4,247.839,158.144,1.4,0.393,217.9,197.0,299.0,1.4,158.144,1.567,0.585,0.957,0,197.975,2.9996,1.6498,9.6771,268.6,154.074,461725.09,66.0,6995.83
834,23,falling,24497.0,58.002,2,126,159.8,129.1,250.881,139.553,3.1,0.292,218.0,190.0,239.0,3.1,139.553,1.798,0.496,0.933,0,187.113,2.835,1.5593,10.0108,332.9,65.723,196955.05,66.0,2984.17
835,24,falling,29172.5,50.006,2,126,148.4,315.9,245.121,167.214,175.3,0.38,217.9,195.0,209.0,175.3,167.214,1.466,0.618,0.947,0,202.454,3.0675,1.6871,10.3445,146.1,187.148,560837.46,66.0,8497.54
836,25,falling,25479.0,57.078,2,125,153.1,191.1,252.074,142.418,178.5,0.358,217.8,207.0,82.0,178.5,142.418,1.77,0.511,0.958,0,189.473,2.8708,1.5789,10.6782,270.9,124.888,374261.58,66.0,5670.63
837,26,falling,26639.0,54.686,2,125,154.8,151.3,251.868,153.454,4.1,0.321,218.0,178.0,263.0,4.1,153.454,1.641,0.535,0.934,0,196.596,2.9787,1.6383,11.0119,310.7,39.836,119380.06,66.0,1808.79
838,27,falling,30754.5,47.18,2,125,138.5,214.2,242.599,171.905,179.5,0.376,218.0,154.0,323.0,179.5,171.905,1.411,0.665,0.966,0,204.216,3.0942,1.7018,11.3456,247.8,64.978,194722.96,66.0,2950.35
839,28,falling,25317.5,34.799,3,77,54.4,145.7,215.445,167.039,179.3,0.759,218.0,32.0,255.0,179.3,167.039,1.29,0.694,0.994,0,189.704,2.8743,1.5809,11.6793,316.3,108.467,325049.86,66.0,4925.0
843,1,spreading,,,,,,462,,,,,,,,,,,0.0,,92,,,0.7667,13.014,0,,,66.0,
844,2,spreading,,,,,,462,,,,,,,,,,,0.0,,111,,,0.925,13.3477,0,,,66.0,
845,3,spreading,,,,,,462,,,,,,,,,,,0.0,,165,,,1.375,13.6814,0,,,66.0,
846,4,spreading,,,,,,462,,,,,,,,,,,0.0,,197,,,1.6417,14.0151,0,,,66.0,
847,5,spreading,,,,,,462,,,,,,,,,,,0.0,,214,,,1.7833,14.3488,0,,,66.0,
848,6,spreading,,,,,,462,,,,,,,,,,,0.0,,222,,,1.85,14.6825,0,,,66.0,
849,7,spreading,,,,,,462,,,,,,,,,,,0.0,,224,,,1.8667,15.0162,0,,,66.0,
850,8,spreading,,,,,,462,,,,,,,,,,,0.0,,216,,,1.8,15.3499,0,,,66.0,
851,9,spreading,,,,,,462,,,,,,,,,,,0.0,,206,,,1.7167,15.6836,0,,,66.0,
852,10,spreading,,,,,,462,,,,,,,,,,,0.0,,187,,,1.5583,16.0173,0,,,66.0,
853,11,spreading,,,,,,462,,,,,,,,,,,0.0,,166,,,1.3833,16.351,0,,,66.0,
854,12,spreading,,,,,,462,,,,,,,,,,,0.0,,146,,,1.2167,16.6846,0,,,66.0,
855,13,spreading,,,,,,462,,,,,,,,,,,0.0,,131,,,1.0917,17.0183,0,,,66.0,
856,14,spreading,,,,,,462,,,,,,,,,,,0.0,,120,,,1.0,17.352,0,,,66.0,
857,15,spreading,,,,,,462,,,,,,,,,,,0.0,,109,,,0.9083,17.6857,0,,,66.0,
858,16,spreading,,,,,,462,,,,,,,,,,,0.0,,99,,,0.825,18.0194,0,,,66.0,
859,17,spreading,,,,,,462,,,,,,,,,,,0.0,,94,,,0.7833,18.3531,0,,,66.0,
860,18,spreading,,,,,,462,,,,,,,,,,,0.0,,91,,,0.7583,18.6868,0,,,66.0,
861,19,spreading,,,,,,462,,,,,,,,,,,0.0,,88,,,0.7333,19.0205,0,,,66.0,
862,20,spreading,,,,,,462,,,,,,,,,,,0.0,,85,,,0.7083,19.3542,0,,,66.0,
863,21,spreading,,,,,,462,,,,,,,,,,,0.0,,82,,,0.6833,19.6879,0,,,66.0,
864,22,spreading,,,,,,462,,,,,,,,,,,0.0,,80,,,0.6667,20.0216,0,,,66.0,
865,23,spreading,,,,,,462,,,,,,,,,,,0.0,,77,,,0.6417,20.3553,0,,,66.0,
866,24,spreading,,,,,,462,,,,,,,,,,,0.0,,72,,,0.6,20.689,0,,,66.0,
867,25,spreading,,,,,,462,,,,,,,,,,,0.0,,61,,,0.5083,21.0227,0,,,66.0,
868,26,spreading,,,,,,462,,,,,,,,,,,0.0,,47,,,0.3917,21.3564,0,,,66.0,
869,27,spreading,,,,,,462,,,,,,,,,,,0.0,,43,,,0.3583,21.69,0,,,66.0,
870,1,rebounding,3270.0,44.571,3,99,200.0,11.3,81.318,76.827,14.9,0.388,82.0,242.0,3.0,14.9,76.827,1.058,0.63,0.932,0,79.041,1.1976,0.6587,0.3337,450.7,,,66.0,
